PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-28,14:20:55,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,NA,Warmup,NA,80.7688,-1.337109342,4.928455623,2045.167433,154.2966469,11:15:00,6.0461,-3.73365,4.5554500000000004,-23.11999,23.61755,-11.41491,2.84197,0.01707,71.0983,-5.646273414,2.801037983,0.4920444175,7.8238,12.77952,3.23115,50,5.88638,-9.64856,-116.51271,-3.53655,10.37164,29.15014,-15.23284,8862c3c3-0aca-4fac-8d60-45ab4f19e94c,e4c583a7-15da-455d-90df-3619f955092a,76.60373,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.8206008,-17.03895755,1955.396323,0.9561057404,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-02-28,14:21:08,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,NA,Warmup,NA,71.4024,2.563085996,2.30147097,2029.857782,295.9593526,03:45:00,5.62313,-4.15315,3.59532,-65.19322,-4.45457,9.0774,2.67624,-1.16665,64.6084,-9.224664321,3.952565198,0.5609239155,-3.77953,-3.07329,3.86503,50,5.85616,-4.4674,-103.20412,2.32795,-4.00427,20.00862,-35.43008,4a61d63c-8593-4e9a-b6ee-e48849b0c479,e4c583a7-15da-455d-90df-3619f955092a,67.19706,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.91092204,1048.157852,0.5163700931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-02-28,14:21:19,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,NA,Warmup,NA,66.52238,2.240363461,2.09643769,1653.653057,298.915583,04:00:00,5.73576,-4.22986,3.65853,-78.28589,-8.3619,15.06987,1.38171,-0.94515,60.65906,-11.85907139,4.841897899,0.6018447472,-6.84919,-4.94912,3.9621,50,5.91363,-4.0106,-96.17324,1.2191,-6.28514,17.72768,-36.7156,4e15db46-f614-4148-a161-33267c725ce0,e4c583a7-15da-455d-90df-3619f955092a,62.62818,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.245157,-29.75047917,1435.692761,0.8681946645,05:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-02-28,14:21:37,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,NA,Warmup,NA,75.22593,-1.339871988,6.848591383,2009.95801,140.5580234,10:45:00,5.75259,-4.52887,4.03007,-34.66618,19.50893,-16.15977,1.56683,0.73654,67.80339,-7.64109384,3.912924934,0.5297504115,10.35235,10.31066,3.76876,50,5.56384,-12.43208,-108.25979,-3.77364,12.13226,21.10801,-20.09064,b38b944b-da03-493a-9245-e5efd46a2b76,e4c583a7-15da-455d-90df-3619f955092a,71.15132,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.9051316,-17.95409076,1912.080725,0.9513038162,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-02-28,14:21:56,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,NA,Warmup,NA,81.89174,-1.149843935,5.15916976,2057.794245,146.4603338,11:00:00,6.07957,-4.06694,4.74315,-28.82816,15.06338,-10.03614,2.58212,0.00302,74.45358,-6.44605508,3.314043295,0.4768280283,6.71199,8.14576,3.55576,50,5.93884,-10.33921,-118.45381,-3.40927,9.49093,23.63622,-20.65572,41a30289-c1c1-4671-b128-242bdc2864b2,e4c583a7-15da-455d-90df-3619f955092a,79.04829,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.6057554,-25.74337789,1853.554967,0.9007484455,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-02-28,14:22:13,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,Fastball,Live,NA,83.07323,-0.903601887,3.434753428,2116.95289,161.3763577,11:30:00,5.70756,-2.23117,5.12949,-26.24656,15.80152,-5.34411,2.66785,0.56178,75.18023,-5.780083967,2.439754695,0.4667072061,3.87419,8.59563,1.91286,50,5.60293,-7.04886,-120.46545,-2.79453,5.63271,25.71731,-19.67681,c3521f9a-9bff-4382-9ea4-5269ef9a2c5c,e4c583a7-15da-455d-90df-3619f955092a,80.7625,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.5524634,-21.7408995,1966.37064,0.9288683982,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-02-28,14:22:34,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,Fastball,Live,NA,84.68753,-2.152377013,3.901476722,2147.827502,157.6736997,11:15:00,5.63139,-2.19698,5.19748,-25.98691,14.23089,-5.86122,1.43588,0.98955,77.21733,-6.957649254,2.813144252,0.4564366944,4.22353,8.12338,1.83969,50,5.41241,-8.16939,-122.74452,-5.51804,6.41477,25.30571,-19.83611,7d77add8-6516-4d2f-aac8-1a84b29ccc4c,e4c583a7-15da-455d-90df-3619f955092a,82.57977,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.00462755,1991.365993,0.927153596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-02-28,14:22:55,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,Fastball,Live,NA,84.83943,NA,NA,2215.700078,NA,NA,5.87653,-2.4677,4.57406,NA,NA,NA,1.53229,-0.33019,75.78496,NA,NA,0.4647288141,2.86071,14.92856,2.20417,50,5.52692,-5.38548,-122.69768,-7.51858,4.26381,29.32062,-9.9234000000000009,0225c1c4-0910-4abc-91a5-eef3b5fab688,e4c583a7-15da-455d-90df-3619f955092a,81.10631,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.5358927,-17.31148449,2115.331466,0.9547011739,11:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-02-28,14:23:12,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,Slider,Live,NA,74.6807,0.5611065035,2.551204611,2083.646735,294.0358288,03:45:00,5.45397,-2.69045,4.47533,-60.22359,-6.42129,14.32512,0.97067,0.93644,67.85104,-10.45441545,5.19729169,0.527924486,-6.51944,-3.50416,2.40888,50,5.4578,-5.29377,-108.16339,-0.93406,-7.55731,22.64971,-36.23605,cf91c40d-fb37-4001-adfd-17c14d5d4c75,e4c583a7-15da-455d-90df-3619f955092a,71.39741,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.1732598,-64.85542188,885.3495374,0.4249038585,05:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-02-28,14:23:32,"Lloyd, Jaxon",1000119504,Left,VIR_KEY,NA,Slider,Live,NA,75.23647,0.1299587734,3.945524233,2148.568175,315.3090832,04:30:00,5.47486,-2.8425,4.32565,-60.49309,-6.52945,6.43107,0.55827,1.47014,67.66869,-10.94782096,5.134824364,0.5287154775,-1.8419,-3.40864,2.41054,50,5.43144,-7.71316,-108.69327,-1.78864,-2.13391,24.65384,-36.12307,03873758-4ad8-4dfe-b520-b904c48a0cfc,e4c583a7-15da-455d-90df-3619f955092a,71.29059,Pitching,25050126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.9519945,-68.92676121,772.5413498,0.3595610131,05:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
