PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:59:08,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.12118,-2.419269,-2.053228,2289.88111,206.124169,12:45:00,6.14372,1.23335,6.0094900000000004,-9.90894,19.15887,8.91697,3.07397,0.07349,89.13057,-4.363898,-0.450585,0.388041,-5.22201,10.88705,-1.07716,50,5.94838,4.70133,-142.34489,-6.2703,-10.65162,34.45684,-9.96709,ddb03a30-88fb-4c1f-afb9-b2935819fe67,NA,NA,NA,NA,175.46243,810905,"Schuldt, Andrew",1948.828781,NA,85.09984,Right,8.160333,NA,NA,NA,NA,25.32602,NA,NA,2.2191,3.08105,-0.06443,NA,NA,NA,NA,NA,1,1,CAM_CAM,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,0dee2010-ebf1-11ef-89ac-cbbe9f66bfdf,97.13519,5.25828,NA,8.99061,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,22:59:08,2025-02-15T22:59:08Z,2025-02-15T22:59:08Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.48834,-143.42725,17.22842,6.14042,-5.95721,-4.98355,-1.23009,5.03591,-5.32581,40.455678,2.22152,-123.30432,4.40191,NA,NA,NA,NA,NA,NA,3.08181,17.67221,-35.52659,NA,NA,NA,NA,NA,NA,-0.0654,9.8313,15.80579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
2,2025-02-15,14:59:38,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Sweeper,NA,NA,81.40301,0.557019,-0.799349,2487.672772,90.479688,09:00:00,5.63639,1.64767,5.6963,-41.33758,1.63323,-17.9119,2.71073,-0.58993,73.90653,-7.060451,-4.003852,0.4718,8.80457,1.12268,-1.56947,50,5.65776,2.36959,-118.10985,-0.23701,12.2634,25.42771,-30.61034,86739094-8ff3-4f87-8eb7-940baa5152fe,NA,NA,NA,NA,NA,810905,"Schuldt, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CAM_CAM,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,1fbd4c80-ebf1-11ef-89ac-cbbe9f66bfdf,79.89069,NA,NA,7.49648,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,22:59:38,2025-02-15T22:59:38Z,2025-02-15T22:59:38Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.80031,-119.13882,12.71386,5.64228,1.00168,-15.30517,-1.65532,1.87333,6.1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,15:00:00,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Slider,NA,NA,86.27121,-0.162699,-1.20769,2613.815264,91.822554,09:00:00,5.7579,1.49667,5.50188,-36.90797,1.83599,-13.62292,2.53003,-0.76825,77.88881,-6.950515,-3.63581,0.447995,6.50162,1.35902,-1.38162,50,5.71895,3.21967,-125.0567,-1.68786,10.09701,29.76824,-30.0635,6cb86ff0-60e6-47cd-bb9a-20cb242ef4f4,NA,NA,NA,NA,56.679784,810905,"Schuldt, Andrew",4573.714238,NA,79.96725,Right,70.874725,NA,NA,NA,113.88472,41.02853,5.777244,85.334562,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CAM_CAM,1,Top,0,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,2c716790-ebf1-11ef-89ac-cbbe9f66bfdf,84.13579,142.06721,NA,8.38241,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:00:00,2025-02-15T23:00:00Z,2025-02-15T23:00:00Z,Popup,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.99479,-126.24005,14.88412,5.7623,-0.49277,-15.03175,-1.50163,2.81829,5.04851,193.797967,2.5448,21.53024,-15.39629,6.60798,-2.16786,0.50517,-0.07137,0.00518,-1.4e-4,5.19846,111.16848,-29.6348,5.21034,-1.89021,0.5879,-0.11617,0.01217,-5.1e-4,0.98651,32.07796,-6.094,1.28268,-0.02638,-0.081,0.02532,-0.00329,1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
4,2025-02-15,15:00:24,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.30902,-1.244355,-2.988314,2447.792764,203.072941,12:45:00,6.25972,1.02697,6.24945,-16.11355,13.0628,5.08965,3.76762,-1.30728,87.92067,-4.344332,-2.070469,0.388765,-3.64768,7.50682,-0.80709,50,6.15925,7.19765,-142.3765,-3.58588,-7.31934,39.52896,-17.111,f5febe6a-86e7-456c-9071-8fb273df04c1,NA,NA,NA,NA,NA,810905,"Schuldt, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAM_CAM,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,3ac6d690-ebf1-11ef-89ac-cbbe9f66bfdf,96.95437,NA,NA,10.38835,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:00:24,2025-02-15T23:00:24Z,2025-02-15T23:00:24Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.24361,-143.54985,19.76448,6.25815,-3.07798,-8.5555,-1.02397,7.41491,-3.65967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-15,15:00:35,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Sweeper,NA,NA,82.85132,0.395285,-1.418554,2767.914733,89.515297,09:00:00,5.6423,1.71574,5.56242,-40.68841,1.40709,-18.57481,2.62099,-1.15765,74.59499,-7.098402,-4.731025,0.46697,8.83319,1.07154,-1.58114,50,5.65021,3.75513,-120.03522,-0.58743,12.58849,28.26291,-30.64698,8c4a311f-a867-45dd-b550-6c21c021342d,NA,NA,NA,NA,NA,810905,"Schuldt, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CAM_CAM,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,41e1d6a0-ebf1-11ef-89ac-cbbe9f66bfdf,80.717,NA,NA,8.25633,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:00:35,2025-02-15T23:00:35Z,2025-02-15T23:00:35Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.93249,-121.19103,14.13145,5.64861,0.66588,-15.32349,-1.72418,3.24032,6.29425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8592,2.615228,1.435443,1.179785,-0.38285,2.39164,1.30836,-4.24426,5.02534,4.44368,67.67572,8.80451,57.09332,-4.13566,67.95285,-5.98452,5.11841,21.17341,-15.27812,4.45475,46.77623,-1.82821,Medium,Medium,Medium,NA,NA,Low,High,High
6,2025-02-15,15:01:04,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.66662,-2.827824,-2.315554,2612.766439,192.917485,12:30:00,5.99844,1.13794,6.26212,-7.3887,21.38564,4.66288,2.77121,-0.60958,88.77884,-4.341036,-1.474054,0.386077,-3.1465,12.26591,-0.96844,50,5.78465,5.56519,-142.9392,-7.16323,-6.41094,37.61822,-7.18248,6dc49994-cb33-404e-bc1b-1206f3b43743,NA,NA,NA,NA,NA,701692,"Thompson, Dalen",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAM_CAM,1,Top,1,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,52f79e20-ebf1-11ef-89ac-cbbe9f66bfdf,97.62925,NA,NA,9.88778,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:01:04,2025-02-15T23:01:04Z,2025-02-15T23:01:04Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.23199,-144.04866,18.80911,5.99279,-6.9514,-3.59124,-1.13536,5.75426,-3.20547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,15:01:18,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.66404,-2.315261,-3.826474,2626.755127,186.5078,12:15:00,6.0613,1.06847,5.98562,-14.80276,14.47753,1.52559,2.67594,-2.35614,88.51005,-5.151791,-3.553238,0.389457,-2.05945,8.50575,-0.76698,50,5.87004,9.46689,-142.63608,-6.23606,-4.16011,38.76909,-14.99234,8d164b7b-58b7-4aa9-b33f-c9531c7b5e4c,NA,NA,NA,NA,NA,701692,"Thompson, Dalen",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CAM_CAM,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,5b867980-ebf1-11ef-89ac-cbbe9f66bfdf,96.78208,NA,NA,10.154,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:01:18,2025-02-15T23:01:18Z,2025-02-15T23:01:18Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.50704,-143.85589,19.38454,6.05883,-5.76434,-7.49617,-1.0669,9.59778,-2.08005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
8,2025-02-15,15:01:32,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.40564,-3.786465,-2.042739,2699.570582,194.144854,12:30:00,5.86102,1.42114,6.32548,-7.1178,21.673,5.20213,1.77364,-0.02729,88.91642,-5.242678,-1.102515,0.386188,-3.34992,12.77253,-1.27443,50,5.58064,4.85511,-142.55171,-9.54071,-6.81063,36.43358,-6.20676,ab48b739-7caa-4f87-bc5b-57c6ecb3797e,NA,NA,NA,NA,2.858738,701692,"Thompson, Dalen",NA,NA,110.22421,Right,-11.939493,NA,NA,NA,10.35813,10.35813,0.061643,1.093982,0.60839,2.06378,-0.28901,NA,NA,NA,NA,NA,2,3,CAM_CAM,1,Top,1,1,1,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,635e12d0-ebf1-11ef-89ac-cbbe9f66bfdf,97.60135,2.06378,NA,9.48922,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:01:32,2025-02-15T23:01:32Z,2025-02-15T23:01:32Z,GroundBall,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.17094,-143.61377,18.21679,5.85612,-9.35978,-3.10338,-1.41886,5.05364,-3.40532,NA,0.60675,158.13316,NA,NA,NA,NA,NA,NA,NA,2.06413,-33.4794,NA,NA,NA,NA,NA,NA,NA,-0.28909,7.89651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,Low,Low,NA,NA,NA
9,2025-02-15,15:02:07,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,97.90629,-2.437022,-4.397035,2589.09516,193.428719,12:30:00,5.93976,1.40756,6.35671,-12.7789,16.3832,3.66236,2.62397,-2.342,88.35598,-4.918045,-3.737367,0.38867,-3.27268,9.56926,-1.09004,50,5.75635,10.72291,-141.61435,-6.37427,-6.56135,36.18405,-12.98891,2e6699df-6fdf-49ac-b337-a5ceb5fe66cc,NA,NA,NA,NA,NA,1000222623,"Woodcox, Wilson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CAM_CAM,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,784f8de0-ebf1-11ef-89ac-cbbe9f66bfdf,96.97799,NA,NA,9.55031,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:02:07,2025-02-15T23:02:07Z,2025-02-15T23:02:07Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.13679,-142.66743,18.09202,5.93636,-5.99625,-6.49446,-1.40489,10.91387,-3.28067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,15:02:56,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,96.35509,-2.385845,-2.914486,2532.184372,208.693149,01:00:00,5.87006,1.42884,6.28723,-13.4906,16.87367,8.5913,2.54303,-0.5434,86.16769,-5.020671,-1.363602,0.3966,-5.49827,9.94359,-1.21818,50,5.68763,6.72966,-139.52118,-6.17807,-10.58114,38.32331,-13.03814,d6df63b1-b7ab-44ce-96c4-c2bd44009e8b,NA,NA,NA,NA,170.650439,1000222623,"Woodcox, Wilson",4322.064699,NA,81.38677,Right,73.704269,NA,NA,NA,NA,18.79762,NA,NA,2.84023,2.42285,0.48357,NA,NA,NA,NA,NA,3,2,CAM_CAM,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CAM_CAM,CaesarUyesaka,D1,BW,20250215-CaesarUyesaka-1,95b44600-ebf1-11ef-89ac-cbbe9f66bfdf,95.03891,58.96897,NA,10.1874,NA,NA,NA,6bbd13bf-dd42-4068-9443-73520eaff6a5,2025-02-15,23:02:56,2025-02-15T23:02:56Z,2025-02-15T23:02:56Z,NA,v3,471258,471264,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.20826,-140.67234,19.16166,5.86733,-5.78642,-6.51907,-1.4251,7.0475,-5.29057,356.468106,2.84023,-33.04872,-6.08826,3.22999,-0.9481,-0.00909,0.45882,-0.48694,0.19399,2.42285,114.57173,-36.18916,5.77051,-1.14851,0.06537,0.23203,-0.24879,0.09849,0.48357,5.44145,-1.54968,2.14985,-0.73879,-9e-4,0.37692,-0.40362,0.16123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
