PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,15:50:06,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Fastball,NA,NA,89.52602,-2.964168,-1.15408,2076.148743,211.823761,01:00:00,5.49228,0.45086,6.12816,-17.00584,17.72355,10.28008,1.33224,0.24063,81.64955,-6.204195,0.699813,0.42415,-5.65209,10.37134,-0.36793,50,5.2567,2.19533,-129.88991,-7.20249,-9.61244,28.35424,-14.53567,c0a15a3a-b9c7-41ca-aa37-6688f3b0fba1,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_RED,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,706837c0-ebde-11ef-90bf-9d5786b67427,88.86573,NA,NA,7.87647,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:50:06,2025-02-15T20:50:06Z,2025-02-15T20:50:06Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.36879,-130.84012,14.17712,5.48991,-6.71537,-7.26783,-0.44689,2.51746,-4.80622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,15:50:20,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Slider,NA,NA,81.0831,-1.016848,0.506057,2309.905007,138.68323,10:30:00,5.52335,0.45277,5.5779,-37.24423,5.88607,-3.93835,1.46986,0.59721,74.25784,-7.859359,-0.197868,0.472675,2.14579,3.68776,-0.49364,50,5.41159,-0.88348,-117.69953,-3.32665,2.99726,23.22754,-27.02295,bb43b90b-ce33-4984-922b-e716a62ad3e9,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIA_RED,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,78e5ae00-ebde-11ef-90bf-9d5786b67427,79.74283,NA,NA,6.82526,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:50:20,2025-02-15T20:50:20Z,2025-02-15T20:50:20Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.91922,-118.66635,11.61377,5.52665,-2.20186,-13.51147,-0.45427,-1.00824,1.49863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,15:50:33,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Slider,NA,NA,80.13478,1.036024,1.800495,2244.437519,48.57334,07:30:00,5.54071,0.12921,5.24319,-46.97227,-2.15969,-4.11126,2.60058,1.47924,73.17212,-7.513563,1.071028,0.481805,2.57744,-0.92472,-0.29147,50,5.60106,-3.48286,-116.21276,0.42378,3.50598,22.86615,-33.43192,928c2561-0752-4a71-a9d1-44c05030ded1,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIA_RED,1,Top,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,80cfe4f0-ebde-11ef-90bf-9d5786b67427,78.2317,NA,NA,6.96266,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:50:33,2025-02-15T20:50:33Z,2025-02-15T20:50:33Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,55.25429,-117.24204,11.43307,5.54812,1.92866,-16.71596,-0.13114,-3.64068,1.75299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-15,15:50:46,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Fastball,NA,NA,90.03812,-0.87043,-0.146029,2045.224155,209.464856,01:00:00,5.59274,0.40104,5.86837,-16.97481,17.97466,9.44504,3.36959,1.05248,81.12691,-4.128112,1.548499,0.425492,-4.8728,9.83249,-0.39472,50,5.51264,-0.07653,-130.60994,-2.47278,-8.28921,31.41771,-15.44782,d5e227f9-593d-4da7-b291-ebbdb8f75a1c,NA,NA,NA,NA,-136.279712,1000297118,"Batusich, Ty",4290.310369,NA,69.97908,Left,48.785604,-89.5987,55.0869,-63.81272,162.36716,54.91056,3.433971,-151.299246,1.34903,3.15705,-0.9356,NA,NA,NA,NA,NA,1,4,MIA_RED,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,88b22ca0-ebde-11ef-90bf-9d5786b67427,88.58547,57.84839,NA,8.91122,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:50:46,2025-02-15T20:50:46Z,2025-02-15T20:50:46Z,FlyBall,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.62668,-131.71817,15.70886,5.59026,-1.92787,-7.72391,-0.39718,0.21586,-4.14461,25.656661,1.3484,-48.85381,-1.56211,2.43436,-0.98083,0.32157,-0.0607,0.00474,-3e-5,3.15753,77.18924,-33.05779,5.01714,-0.73075,-0.10283,0.09487,-0.02071,0.00156,-0.93687,-46.69597,7.67155,0.45286,-0.8574,0.48395,-0.13408,0.01759,-8.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-02-15,15:51:05,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Fastball,NA,NA,90.47074,-3.90711,0.328683,2035.243427,201.075858,12:45:00,5.52002,0.38671,6.13107,-12.8728,21.47285,7.79532,0.83034,1.34012,81.83532,-6.413566,1.734095,0.4218,-3.89347,12.65257,-0.41559,50,5.21438,-1.08424,-131.01877,-9.2431,-6.68153,30.97119,-10.46104,cc6187d1-1c69-462f-8d0a-9d70ac7dd368,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MIA_RED,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,93c6ef90-ebde-11ef-90bf-9d5786b67427,89.36082,NA,NA,8.63541,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:51:05,2025-02-15T20:51:05Z,2025-02-15T20:51:05Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.36325,-132.04616,15.4856,5.51524,-8.89608,-5.23052,-0.38329,-0.8626,-3.34076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-15,15:51:18,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Slider,NA,NA,80.91873,0.661583,0.853165,2351.345682,101.829454,09:30:00,5.55149,0.26243,5.52749,-41.34939,2.36748,-4.04902,2.72427,0.72263,73.3896,-6.947937,0.130689,0.475878,2.3137,1.42579,-0.33377,50,5.58153,-1.58447,-117.36374,-0.04651,3.18755,24.75528,-30.20975,fc45b888-be9d-41f5-8a0f-94962bc6d607,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,MIA_RED,1,Top,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,9bc48770-ebde-11ef-90bf-9d5786b67427,79.20603,NA,NA,7.52913,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:51:18,2025-02-15T20:51:18Z,2025-02-15T20:51:18Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.96889,-118.40718,12.37764,5.55666,1.22684,-15.10488,-0.26415,-1.71882,1.59377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,15:51:36,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Fastball,NA,NA,90.69033,-1.854335,-0.966606,2248.256564,217.076289,01:15:00,5.41112,0.51891,6.16746,-15.98241,17.68552,12.54032,2.36565,0.67104,82.76965,-4.913565,1.296215,0.417618,-6.7965,10.02627,-0.45211,50,5.26246,1.71074,-131.74462,-4.7106,-11.91073,28.74154,-14.60323,e5404591-e7ad-4f4d-bae1-c88fd3ddb248,NA,NA,NA,NA,3.886947,1000297118,"Batusich, Ty",NA,NA,82.99168,Left,-29.125219,NA,NA,NA,6.23228,6.23228,0.040544,-3.376117,1.90973,2.4079,-0.65998,NA,NA,NA,NA,NA,1,7,MIA_RED,1,Top,0,2,2,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,a60f43a0-ebde-11ef-90bf-9d5786b67427,90.25572,2.4079,NA,7.92069,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:51:36,2025-02-15T20:51:36Z,2025-02-15T20:51:36Z,GroundBall,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.33058,-132.68602,14.37077,5.40892,-4.23229,-7.30162,-0.51453,2.10087,-5.95537,NA,1.90803,106.34686,NA,NA,NA,NA,NA,NA,NA,2.40886,-59.38984,NA,NA,NA,NA,NA,NA,NA,-0.6601,7.22566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
8,2025-02-15,15:52:10,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Fastball,NA,NA,89.25631,-3.887566,-2.968119,2145.515586,220.284249,01:15:00,5.45242,0.27461,6.16065,-17.59198,17.49371,13.80426,0.38485,-1.31935,81.2953,-7.233337,-0.480417,0.426321,-8.06036,10.57686,-0.05642,50,5.14778,6.14652,-129.23892,-9.28781,-13.54602,28.53241,-14.39886,3a1d56d4-06be-416f-8950-cd88021423b8,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIA_RED,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,ba36b7f0-ebde-11ef-90bf-9d5786b67427,88.41334,NA,NA,7.96101,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:52:10,2025-02-15T20:52:10Z,2025-02-15T20:52:10Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.33727,-130.19295,14.2662,5.45029,-8.80636,-7.19943,-0.26952,6.59945,-6.77301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-15,15:52:35,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Fastball,NA,NA,89.21401,-1.297755,-0.965746,2097.050273,214.388286,01:15:00,5.53849,0.27025,6.0795,-16.00965,18.9895,12.20028,3.00331,0.39336,81.13115,-4.374572,1.231754,0.425795,-6.59028,10.5293,-0.20209,50,5.42972,1.68285,-129.56634,-3.36918,-11.13711,28.55486,-14.3803,d6676dbe-adb1-4d49-8634-47a38e4f6553,NA,NA,NA,NA,80.250963,1000034148,"Baker, Dillon",4502.957756,NA,62.3295,Right,51.668605,NA,NA,NA,NA,71.58966,NA,NA,1.37161,4.62142,-0.28628,NA,NA,NA,NA,NA,2,2,MIA_RED,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,c91b6ea0-ebde-11ef-90bf-9d5786b67427,88.52257,69.68266,NA,8.08287,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:52:35,2025-02-15T20:52:35Z,2025-02-15T20:52:35Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.41764,-130.5363,14.27743,5.53588,-2.88071,-7.19015,-0.26568,2.06116,-5.56856,NA,1.37163,9.59816,-7.09784,2.10973,-0.30533,0.05049,-0.10186,0.06458,-0.01309,4.62141,71.71146,-21.08533,1.77043,-0.38294,0.07704,0.01416,-0.01913,0.00455,-0.28628,55.87765,-7.92759,1.78189,-0.26862,0.04942,-0.04769,0.02592,-0.00498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
10,2025-02-15,15:52:55,"Brash, Ben",10073696,Right,CIT_BUL,Undefined,Slider,NA,NA,80.88165,1.328377,0.455486,2331.622265,110.517511,09:45:00,5.48276,0.32688,5.58663,-39.41211,3.57803,-6.13485,3.4391,0.24098,74.35133,-5.911906,-0.639704,0.471906,3.22532,1.85441,-0.3619,50,5.57109,-0.69051,-117.50028,1.40126,4.52877,21.35455,-29.57021,68c6ec29-823c-4e7d-af24-38142a8a4593,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MIA_RED,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-2,d5459930-ebde-11ef-90bf-9d5786b67427,79.87271,NA,NA,6.53032,NA,NA,NA,a99556f2-6efc-4b07-b1a9-125610f21168,2025-02-15,20:52:55,2025-02-15T20:52:55Z,2025-02-15T20:52:55Z,NA,v3,471271,471355,NA,"Cadiz, Noah",10111341,Right,CIT_BUL,54.9114,-118.38952,10.67728,5.4871,2.63261,-14.78511,-0.32922,-0.8791,2.26439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
