PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:01:18,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,TwoSeamFastBall,NA,NA,91.9021,-4.080157,-4.415293,2048.355512,220.043588,01:15:00,5.86532,1.87983,5.98904,-17.10934,16.57839,12.88603,0.6403,-1.14663,83.01272,-7.336726,-2.107044,0.417741,-8.00059,10.16465,-1.53787,50,5.53262,9.68176,-132.66139,-9.99468,-14.0682,31.9017,-14.3006,f2332839-c6f7-4802-a94a-78f6f02ab876,NA,NA,NA,NA,NA,1000132207,"Phillips IV, Q",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UWM_PAN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,3d27a260-ebcf-11ef-ad24-7129f4699874,90.22917,NA,NA,8.88938,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:01:18,2025-02-15T19:01:18Z,2025-02-15T19:01:18Z,NA,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.50959,-133.74143,15.95085,5.8628,-9.51053,-7.1503,-1.87371,10.15804,-7.0341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,14:01:30,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,93.18253,-4.220628,-4.37442,2146.099824,217.012178,01:15:00,5.78013,1.8339,6.03151,-16.37938,16.3856,11.43194,0.48803,-1.27238,84.07197,-7.344797,-2.325195,0.41198,-7.29701,10.14654,-1.49762,50,5.44002,9.79086,-134.49422,-10.43584,-13.16582,33.24002,-13.86687,917ca3dd-d4ea-4b39-9b41-4d7f1d54ad86,NA,NA,NA,NA,NA,1000132207,"Phillips IV, Q",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UWM_PAN,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,447af080-ebcf-11ef-ad24-7129f4699874,91.49091,NA,NA,9.11055,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:01:30,2025-02-15T19:01:30Z,2025-02-15T19:01:30Z,NA,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.46754,-135.59387,16.62001,5.77767,-9.9771,-6.93344,-1.82873,10.22641,-6.58291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,14:01:45,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,91.79948,-2.117305,-3.915211,2129.318693,238.443319,02:00:00,5.81591,1.90839,6.30288,-21.43824,11.61847,17.03591,2.07318,-0.28482,83.2103,-6.174696,-0.840747,0.41381,-10.10335,7.03059,-1.62863,50,5.64976,8.40745,-133.0077,-5.58557,-17.91514,31.23649,-19.70749,9638d1b3-67fc-4fed-9996-ce4de2637614,NA,NA,NA,NA,57.003214,1000132207,"Phillips IV, Q",NA,NA,96.90393,Left,-19.472799,NA,NA,NA,7.5911,7.5911,0.04761,45.968519,1.79633,2.25937,0.09845,NA,NA,NA,NA,NA,1,3,UWM_PAN,1,Top,0,2,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,4d646f00-ebcf-11ef-ad24-7129f4699874,91.08632,2.25937,NA,8.58918,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:01:45,2025-02-15T19:01:45Z,2025-02-15T19:01:45Z,GroundBall,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.1982,-133.99001,15.61825,5.81567,-4.96582,-9.85375,-1.90188,8.97084,-8.95757,NA,1.79542,73.09167,NA,NA,NA,NA,NA,NA,NA,2.25996,-47.45584,NA,NA,NA,NA,NA,NA,NA,0.09706,112.56513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
4,2025-02-15,14:02:03,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,91.72571,-1.527178,-3.806872,2198.569327,208.387197,01:00:00,5.90331,1.91783,6.04298,-16.53532,16.84962,8.48457,3.10792,-0.90501,83.12249,-4.690432,-2.284904,0.41586,-5.52733,9.47764,-1.62527,50,5.77513,8.48044,-132.87759,-4.02957,-9.79998,30.68712,-15.37014,b9e1e0e5-025d-4d8f-bfef-7176c54c5c93,NA,NA,NA,NA,170.047097,1000132207,"Phillips IV, Q",5099.350571,NA,53.96288,Left,55.872319,NA,NA,NA,122.94071,43.82841,3.293986,169.703154,1.32284,3.40852,0.9225,NA,NA,NA,NA,NA,1,4,UWM_PAN,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,5841ce40-ebcf-11ef-ad24-7129f4699874,90.63743,49.50528,NA,8.60322,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:02:03,2025-02-15T19:02:03Z,2025-02-15T19:02:03Z,Popup,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.45665,-133.90286,15.34356,5.90118,-3.51605,-7.68507,-1.91408,8.80786,-4.89999,352.256038,1.32155,-43.68545,-1.31733,2.89497,-1.81309,0.93092,-0.28589,0.04519,-0.00289,3.40844,65.51381,-27.36915,3.46978,-0.3117,-0.27093,0.16656,-0.03837,0.00319,0.9224,7.67824,-1.58851,0.73783,-0.22644,0.05474,-0.00569,-5.7e-4,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-02-15,14:02:24,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,TwoSeamFastBall,NA,NA,92.01198,-2.93352,-3.817102,2135.121679,226.316306,01:30:00,5.84491,1.93121,6.14553,-19.35521,13.95402,13.33013,1.51275,-0.49051,83.0351,-6.609519,-1.418958,0.415388,-8.128,8.51032,-1.6469,50,5.61094,8.31733,-133.12033,-7.4231,-14.36676,32.56922,-17.13147,00a14bc8-6e67-4233-9501-a284f1b0666b,NA,NA,NA,NA,36.773156,1000132207,"Phillips IV, Q",NA,NA,81.38854,Left,-17.464111,NA,NA,NA,6.3425,2.23729,0.041957,31.456761,1.57762,1.50537,0.44541,NA,NA,NA,NA,NA,1,5,UWM_PAN,1,Top,0,2,2,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,64660560-ebcf-11ef-ad24-7129f4699874,90.74038,1.50537,NA,8.97688,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:02:24,2025-02-15T19:02:24Z,2025-02-15T19:02:24Z,GroundBall,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.35386,-134.18131,16.28461,5.84366,-6.86502,-8.56574,-1.92548,8.78535,-7.18338,NA,1.57667,91.35007,NA,NA,NA,NA,NA,NA,NA,1.50574,-35.8792,NA,NA,NA,NA,NA,NA,NA,0.44469,68.27185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
6,2025-02-15,14:02:54,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,92.0059,-2.761508,-2.864701,2252.978827,218.463157,01:15:00,5.95238,2.01002,6.12171,-17.7443,15.30458,11.25442,1.9155,0.29726,83.5808,-6.134476,-0.83833,0.413761,-6.63666,9.05556,-1.79608,50,5.73122,6.18649,-133.31826,-6.96404,-11.85763,30.60873,-15.99466,e18c832e-fcfe-4376-9102-6ddb95d0ba8b,NA,NA,NA,NA,NA,1000121342,"Hausser, Justin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UWM_PAN,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,764166d0-ebcf-11ef-ad24-7129f4699874,91.09709,NA,NA,8.4251,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:02:54,2025-02-15T19:02:54Z,2025-02-15T19:02:54Z,NA,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.37707,-134.31944,15.30436,5.95045,-6.44088,-7.99733,-2.00478,6.57434,-5.92882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,14:03:04,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Slider,NA,NA,82.27949,-3.837331,-3.665772,2325.75932,62.750835,08:00:00,5.7925,2.01531,5.95392,-43.87439,-0.56335,-4.78784,-1.43519,-1.78807,73.26941,-11.884565,-4.526606,0.473665,0.97465,1.63602,-1.72063,50,5.46169,7.77675,-118.62726,-9.35538,1.32152,32.91158,-29.95577,fa1de599-c559-41dd-b809-12b4a6f12e67,NA,NA,NA,NA,NA,1000121342,"Hausser, Justin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UWM_PAN,1,Top,1,0,1,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,7c600580-ebcf-11ef-ad24-7129f4699874,79.57622,NA,NA,9.01008,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:03:04,2025-02-15T19:03:04Z,2025-02-15T19:03:04Z,NA,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.5463,-119.88193,16.45579,5.79658,-8.21339,-14.97788,-2.01614,7.72637,0.66076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-15,14:03:21,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,TwoSeamFastBall,NA,NA,91.01213,-1.802995,-4.217281,2126.276754,224.518457,01:30:00,5.92988,1.85983,6.21519,-19.81682,14.03217,12.60843,2.60948,-0.98852,82.23021,-5.573742,-1.948614,0.41874,-7.88166,8.19209,-1.54948,50,5.78449,9.19613,-131.76589,-4.74716,-13.68286,31.27778,-17.95224,38b46e90-307b-42e4-bef1-f1b1250e92fd,NA,NA,NA,NA,21.674412,1000121342,"Hausser, Justin",3264.385391,NA,96.15948,Left,30.571006,101.54688,62.54784,42.28722,365.90602,363.06907,5.347653,22.75686,1.21336,2.75134,1.02086,NA,NA,NA,NA,NA,2,3,UWM_PAN,1,Top,1,1,1,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,86e866f0-ebcf-11ef-ad24-7129f4699874,90.01397,91.33529,NA,8.78191,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:03:21,2025-02-15T19:03:21Z,2025-02-15T19:03:21Z,FlyBall,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.28469,-132.77907,15.63889,5.92885,-4.16563,-8.97612,-1.85455,9.63936,-6.84143,187.082634,1.21753,112.76122,-23.0388,5.27927,-0.87248,0.09151,-0.00528,2.7e-4,-2e-5,2.74974,71.75666,-15.54437,0.34869,0.12791,-0.0904,0.02776,-0.00394,2.1e-4,1.02218,44.82421,-7.28098,1.27181,-0.13573,-4.2e-4,0.00189,-1.2e-4,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-02-15,14:04:02,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Slider,NA,NA,81.43724,-1.284494,-3.304376,2303.577673,116.595944,10:00:00,5.69219,2.20029,6.04535,-39.6136,2.89811,-2.83051,1.19965,-1.09829,74.13709,-8.601982,-3.813244,0.469273,0.40268,2.3635100000000002,-1.94114,50,5.57099,6.92079,-117.99333,-3.89753,0.55994,25.3033,-28.88735,309aa0fa-5906-48d1-835d-85fe948cec29,NA,NA,NA,NA,NA,1000301936,"Bickers, Tyler",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UWM_PAN,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,9edcc1c0-ebcf-11ef-ad24-7129f4699874,80.3209,NA,NA,7.30015,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:04:02,2025-02-15T19:04:02Z,2025-02-15T19:04:02Z,NA,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.45335,-118.94451,12.65165,5.69709,-2.81163,-14.44368,-2.2009,6.89974,0.27997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,14:04:13,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,92.32252,-2.212423,-3.015051,2219.768267,216.758352,01:15:00,5.93599,2.10951,6.05046,-15.73233,17.41686,12.09831,2.57296,0.32396,83.12411,-5.243161,-0.840694,0.414389,-7.2452,10.0541,-1.88132,50,5.75524,6.52703,-133.72527,-5.61912,-12.90685,33.19698,-14.26332,4bd46a9f-b44b-4a9a-936f-0662340c7f2e,NA,NA,NA,NA,6.994388,1000301936,"Bickers, Tyler",3657.55216,NA,91.49768,Right,28.661249,107.8347,52.75733,21.7152,320.38754,316.00412,4.451573,19.912146,1.80497,2.66702,-0.34037,NA,NA,NA,NA,NA,3,2,UWM_PAN,1,Top,1,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,MER_BEA,UWM_PAN,MercerUniversity,D1,SOCON,20250215-MercerUniversity-1,a54ed7a0-ebcf-11ef-ad24-7129f4699874,90.95916,66.12291,NA,9.19842,NA,NA,NA,c9d63d1d-b737-47d3-8e7c-27466d9e4eb9,2025-02-15,19:04:13,2025-02-15T19:04:13Z,2025-02-15T19:04:13Z,FlyBall,v3,471354,5036,15 February 2025 14:00-wiscmilw@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.44921,-134.82525,16.59849,5.9336,-5.1465,-7.13166,-2.10468,6.9547,-6.45343,224.667572,1.80574,116.86335,-23.08413,5.36816,-1.16527,0.2526,-0.05596,0.00876,-5.8e-4,2.66752,64.3483,-17.74902,0.47275,0.35898,-0.21667,0.06541,-0.00966,5.5e-4,-0.34026,14.33694,8.02139,-3.38871,1.04323,-0.25247000000000003,0.04591,-0.00514,2.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
