PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:38:55,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,FourSeamFastBall,NA,NA,89.92907,-1.396321,-2.492536,2103.065273,218.482391,01:15:00,5.9153,1.78026,5.74558,-16.92253,17.928,13.34379,3.20356,0.57011,81.9275,-4.612134,-0.10651,0.424889,-7.51174,9.86902,-1.58131,50,5.78894,5.10083,-130.46187,-3.69407,-12.91461,28.07426,-15.20666,8653faba-6488-4106-bdd4-1cd57738a154,NA,NA,NA,NA,173.307626,1000121073,"Ferrara, Dean",2298.496379,NA,75.40954,Right,12.821229,NA,NA,NA,NA,30.85476,NA,NA,2.38643,3.24139,-0.60036,NA,NA,NA,NA,NA,1,1,FAI_STA,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,700d0070-f215-11ef-adaa-9b67db499dda,88.71116,8.94308,NA,8.00156,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:38:55,2025-02-23T18:38:55Z,2025-02-23T18:38:55Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.75378,-131.48087,14.03713,5.91301,-3.14213,-7.60333,-1.77496,5.56958,-6.45731,290.989403,2.38553,-107.07076,9.18259,NA,NA,NA,NA,NA,NA,3.24407,24.43156,-20.51686,NA,NA,NA,NA,NA,NA,-0.59761,12.45297,-8.46464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
2,2025-02-23,13:39:11,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,TwoSeamFastBall,NA,NA,90.30459,-1.811093,-3.028662,2255.123892,235.103228,01:45:00,5.70906,1.88703,5.74428,-21.73824,13.03367,16.97131,2.20836,0.47877,81.98201,-5.888737,0.006018,0.42441,-9.51441,7.52611,-1.64542,50,5.5451,6.17351,-130.85922,-4.86323,-16.37619,29.51734,-19.22014,3aff7cf9-ef64-4127-befb-9c140c72a180,NA,NA,NA,NA,NA,1000121073,"Ferrara, Dean",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,FAI_STA,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,799bbfa0-f215-11ef-adaa-9b67db499dda,88.81138,NA,NA,8.32258,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:39:11,2025-02-23T18:39:11Z,2025-02-23T18:39:11Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.75435,-131.92728,14.75867,5.70848,-4.16777,-9.61007,-1.87952,6.76607,-8.1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:39:24,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,Slider,NA,NA,82.88758,-1.134099,-3.080481,2411.343125,138.243117,10:30:00,5.73106,1.97662,5.43423,-35.17108,6.78492,-4.75122,1.73639,-1.30692,75.32916,-7.591032,-3.924481,0.466196,1.42532,4.20142,-1.7002,50,5.60642,6.65598,-120.00371,-3.58827,2.05295,25.88323,-26.12257,907e6955-f089-4293-8218-90385d703fb8,NA,NA,NA,NA,NA,1000121073,"Ferrara, Dean",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,FAI_STA,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,817a36c0-f215-11ef-adaa-9b67db499dda,80.85109,NA,NA,7.55841,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:39:24,2025-02-23T18:39:24Z,2025-02-23T18:39:24Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,55.06341,-121.0909,12.94162,5.73409,-2.49103,-13.06128,-1.97796,6.56975,1.02647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:39:36,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,FourSeamFastBall,NA,NA,90.53236,-2.351724,-3.839833,2280.633641,224.019093,01:30:00,5.87418,1.8083,5.55338,-16.85414,18.38777,16.48469,2.26603,-0.41131,81.34693,-5.570685,-0.90780400000000006,0.427269,-9.58682,10.43485,-1.48709,50,5.65964,8.03878,-130.86962,-5.90116,-16.35052,31.88971,-14.37716,30ef40de-6468-488e-8b9d-7d38ab3c5b83,NA,NA,NA,NA,148.913281,1000121073,"Ferrara, Dean",4278.126674,NA,66.20541,Right,31.900843,NA,NA,NA,NA,26.0619,NA,NA,1.18705,2.18894,0.50179,NA,NA,NA,NA,NA,1,4,FAI_STA,1,Top,0,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,8852fdb0-f215-11ef-adaa-9b67db499dda,88.2172,16.55166,NA,9.18543,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:39:36,2025-02-23T18:39:36Z,2025-02-23T18:39:36Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.94446,-132.06896,15.94485,5.87141,-5.36044,-7.18858,-1.80098,8.65371,-8.17526,NA,1.18823,-70.64503,5.32805,NA,NA,NA,NA,NA,NA,2.19783,50.965,-26.63563,NA,NA,NA,NA,NA,NA,0.51107,42.20024,-14.36466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-02-23,13:39:52,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,Slider,NA,NA,83.7019,-1.422856,-3.819655,1971.653795,247.594517,02:15:00,5.68508,1.86719,6.66658,-29.41313,9.75256,20.34907,1.92894,0.06287,76.02844,-6.985635,-0.118855,0.450427,-11.94414,5.97555,-1.61829,50,5.57768,7.38583,-121.41915,-3.8219,-17.64021,26.14511,-23.34883,db8c5e7e-8ddf-4919-a411-936e9728da60,NA,NA,NA,NA,-4.179057,1000121073,"Ferrara, Dean",NA,NA,77.13122,Right,-32.586238,NA,NA,NA,5.45617,5.45617,0.033294,-3.11964,2.27535,2.03338,-0.0651,NA,NA,NA,NA,NA,1,5,FAI_STA,1,Top,0,1,2,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,91fb1140-f215-11ef-adaa-9b67db499dda,83.68158,2.03338,NA,7.67346,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:39:52,2025-02-23T18:39:52Z,2025-02-23T18:39:52Z,GroundBall,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,53.83393,-122.24192,13.07256,5.68639,-3.08713,-11.67441,-1.85946,7.94095,-8.82011,NA,2.27411,95.29512,NA,NA,NA,NA,NA,NA,NA,2.03418,-61.07391,NA,NA,NA,NA,NA,NA,NA,-0.06502,-6.96302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-02-23,13:40:27,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,Slider,NA,NA,81.90865,0.721496,-3.359071,2425.139141,130.926322,10:15:00,5.63134,1.8971,5.44213,-36.60608,5.83315,-5.22177,3.2576,-1.68691,75.12083,-5.987286,-4.285299,0.468873,1.69417,3.1524,-1.59614,50,5.67013,7.18362,-118.72289,0.24006,2.42025,22.53664,-27.67061,0a518178-2d98-462a-936c-b85d80ef416e,NA,NA,NA,NA,NA,10074743,"Nomura, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,FAI_STA,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,a7400380-f215-11ef-adaa-9b67db499dda,80.38943,NA,NA,6.78781,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:40:27,2025-02-23T18:40:27Z,2025-02-23T18:40:27Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,55.0565,-119.67889,11.26832,5.63505,1.41384,-13.83531,-1.89868,7.08095,1.21012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:40:57,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,FourSeamFastBall,NA,NA,90.1792,-1.173995,-4.109775,2381.139234,220.72599,01:15:00,5.88546,2.01773,5.78811,-16.06725,18.99765,15.25883,3.45137,-0.54063,81.19099,-4.26541,-1.3862,0.426194,-9.01619,10.38961,-1.68768,50,5.77901,8.69463,-130.47364,-3.13247,-15.34334,30.72685,-14.49347,fc83e6ac-bf5a-4abe-9153-64957aade80d,NA,NA,NA,NA,NA,10074743,"Nomura, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,FAI_STA,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,b8ae4b40-f215-11ef-adaa-9b67db499dda,88.43954,NA,NA,8.98821,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:40:57,2025-02-23T18:40:57Z,2025-02-23T18:40:57Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.70878,-131.57789,15.36343,5.88222,-2.6116,-7.24674,-2.01005,9.24603,-7.67167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:41:14,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,FourSeamFastBall,NA,NA,89.29086,-2.648626,-3.82463,2280.5637,218.731901,01:15:00,5.79758,1.96255,5.88023,-16.35863,19.15166,14.35749,1.96733,-0.39822,80.91137,-5.780512,-1.255614,0.428893,-8.46048,10.94355,-1.66138,50,5.57365,8.01813,-129.20988,-6.44722,-14.18734,28.95493,-13.82286,4b60c4be-a717-49a7-ac22-745a4bc0b20a,NA,NA,NA,NA,NA,10074743,"Nomura, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,FAI_STA,1,Top,0,2,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,c2c4b100-f215-11ef-adaa-9b67db499dda,87.88318,NA,NA,8.3795,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:41:14,2025-02-23T18:41:14Z,2025-02-23T18:41:14Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.61759,-130.24054,14.47746,5.79438,-5.95519,-6.91143,-1.95578,8.52313,-7.09367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,13:41:47,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,ChangeUp,NA,NA,82.78415,-2.426571,-4.232003,1852.988455,250.8628,02:15:00,5.56126,1.9935,6.35024,-32.56049,8.36284,19.6945,0.60679,-0.26794,74.82703,-8.528566,-0.671524,0.460423,-11.68371,5.59347,-1.69478,50,5.3695,8.13671,-119.80309,-6.03611,-16.6737,27.04847,-24.19167,61acc4f9-6c92-4c00-b610-1b12cb46586f,NA,NA,NA,NA,NA,10074743,"Nomura, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,FAI_STA,1,Top,0,2,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,d6cdeef0-f215-11ef-adaa-9b67db499dda,81.8648,NA,NA,7.95711,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:41:47,2025-02-23T18:41:47Z,2025-02-23T18:41:47Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.14909,-120.73621,13.52424,5.56334,-5.20154,-12.09583,-1.98541,8.71193,-8.33685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,13:42:04,"Topolski, Chase",1000222089,Right,RIC_SPI,Undefined,FourSeamFastBall,NA,NA,89.64739,-2.044369,-4.503238,2248.793583,221.172658,01:15:00,5.86975,1.93385,5.75868,-17.39588,18.06796,14.69898,2.51046,-1.0416,81.06669,-5.359945,-1.88288,0.428612,-8.83142,10.17725,-1.56883,50,5.68934,9.56463,-129.63231,-5.15633,-14.88839,29.44675,-15.01683,d3e7937f-7b17-461f-b3e7-e2bae4e9906c,NA,NA,NA,NA,NA,10074743,"Nomura, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,FAI_STA,1,Top,0,3,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_SPI,FAI_STA,PittFieldUOR,D1,A10,20250223-PittFieldUOR-2,e10f5c50-f215-11ef-adaa-9b67db499dda,87.94075,NA,NA,8.5807,NA,NA,NA,2550b9c6-85cb-49ea-93d7-a90d8af41bb8,2025-02-23,18:42:04,2025-02-23T18:42:04Z,2025-02-23T18:42:04Z,NA,v3,471420,471291,23 February 2025 13:00-fairfield@richmond,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,54.73923,-130.70442,14.72337,5.86712,-4.60959,-7.50841,-1.92693,10.1067,-7.4442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
