PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,17:32:19,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,83.5572,-0.902075,1.173347,1914.98017,141.623036,10:45:00,6.31149,-1.32733,5.99086,-24.04249,16.1319,-11.6841,3.47166,-1.2134,75.84964,-5.447266,-0.927935,0.45619,6.29981,8.95654,1.24087,50,6.22712,-2.01184,-121.25768,-2.60132,9.30086,25.56957,-18.95086,9c59b252-adbb-44f3-8b09-42d8c434df23,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NCA_BUL,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,5fc7c0b0-f3c8-11ef-ae29-138f5b3276ff,82.62437,NA,NA,7.70756,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:32:19,2025-02-25T22:32:19Z,2025-02-25T22:32:19Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.50701,-122.20437,12.78479,6.31044,-1.89968,-9.47543,1.32173,-2.3562,4.65043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-25,17:32:32,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,82.24957,-0.993052,2.171511,1902.655385,163.964303,11:30:00,6.3506,-1.17267,6.11084,-20.91159,20.35257,-5.44524,3.68894,0.38252,74.69245,-4.990248,1.191239,0.462336,3.4261,11.18174,1.00852,50,6.26317,-4.31053,-119.31476,-2.60505,4.9053,24.41396,-16.16463,2a75c895-b209-4f3f-aa53-09f19a75b688,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NCA_BUL,1,Top,0,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,674d6970-f3c8-11ef-ae29-138f5b3276ff,81.52605,NA,NA,7.55712,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:32:32,2025-02-25T22:32:32Z,2025-02-25T22:32:32Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.38626,-120.20892,12.20698,6.34774,-2.01302,-8.08232,1.16968,-4.49019,2.45265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-25,17:32:45,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,82.1499,-1.07632,1.946491,1928.386477,148.41296,11:00:00,6.26094,-1.27945,6.31522,-24.0182,16.85391,-9.53815,3.26729,-0.28063,74.95663,-5.634706,0.221468,0.460135,5.48941,9.47292,1.14107,50,6.17048,-3.69634,-119.29201,-2.87926,7.88298,23.68563,-18.57062,cada05c2-a5fd-4426-bbae-f1c71c6251e4,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NCA_BUL,1,Top,0,2,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,6f1ec130-f3c8-11ef-ae29-138f5b3276ff,81.91609,NA,NA,7.19327,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:32:45,2025-02-25T22:32:45Z,2025-02-25T22:32:45Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.18375,-120.11983,11.84282,6.25976,-2.23021,-9.28531,1.27507,-3.97185,3.94149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-25,17:32:56,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,82.60288,-2.463809,2.344168,1884.331953,162.657032,11:30:00,6.30438,-1.16509,6.08029,-21.34052,19.4784,-5.66296,2.24308,0.53312,75.53229,-6.504694,1.325084,0.459835,3.59418,11.15906,0.98678,50,6.1023,-4.69043,-119.81658,-5.73543,5.21294,23.64479,-15.98914,9c2da496-ddf2-44cd-8bda-3b03080af7dc,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NCA_BUL,1,Top,0,2,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,75b6fcb0-f3c8-11ef-ae29-138f5b3276ff,81.96947,NA,NA,7.0706,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:32:56,2025-02-25T22:32:56Z,2025-02-25T22:32:56Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.42004,-120.68569,11.8224,6.30232,-5.14772,-7.99457,1.16271,-4.88204,2.60647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-25,17:33:07,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,ChangeUp,NA,NA,73.57602,1.364524,0.445587,1203.551129,114.702254,09:45:00,6.23476,-1.25436,5.93307,-47.11132,4.13142,-5.68725,3.57511,-1.31487,67.89015,-7.326922,-0.576649,0.515214,3.02008,2.26421,1.22191,50,6.31728,-0.63283,-106.9369,1.17622,3.5149,17.56317,-29.53884,ab553f6f-dc82-479c-a981-ebef6aa317c0,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NCA_BUL,1,Top,0,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,7ca854b0-f3c8-11ef-ae29-138f5b3276ff,73.15881,NA,NA,5.68586,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:33:07,2025-02-25T22:33:07Z,2025-02-25T22:33:07Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.56803,-107.68454,8.78159,6.24045,2.43364,-14.76942,1.25203,-0.78245,1.75745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-25,17:33:21,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,81.60464,-1.021502,1.861134,1839.337328,150.157734,11:00:00,6.29982,-1.16547,6.37045,-25.27864,16.00725,-8.4139,3.25271,-0.15346,74.56429,-5.810647,0.337733,0.462458,4.81532,9.02233,1.034,50,6.21403,-3.52381,-118.48397,-2.78169,6.83655,22.90322,-19.36456,9c8d2936-5575-438e-8263-164faa698336,NA,NA,NA,NA,175.909089,10090813,"Lowe, Logan",1858.191899,NA,69.39367,Right,7.783252,NA,NA,NA,73.18647,46.83393,0.777828,171.421964,3.23607,3.12822,0.29886,NA,NA,NA,NA,NA,1,6,NCA_BUL,1,Top,0,3,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,84611b60-f3c8-11ef-ae29-138f5b3276ff,81.50459,5.08744,NA,7.04036,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:33:21,2025-02-25T22:33:21Z,2025-02-25T22:33:21Z,GroundBall,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.12541,-119.27876,11.45161,6.2989,-2.1097,-9.68228,1.1604,-3.76105,3.41827,NA,3.23607,-100.58266,3.73667,1.02189,-0.39342,0.1404,-0.02859,0.00635,-0.00127,3.12822,13.78327,-25.14887,3.38388,-0.71694,0.14107,-0.02137,0.00535,-8.5e-4,0.29886,7.19382,9.3295,-1.55229,0.31871,-0.0324,0.00287,-0.00163,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-02-25,17:33:39,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,83.81318,-2.510785,2.978407,1930.293252,146.279557,11:00:00,6.27626,-1.27301,6.25961,-24.2436,15.33607,-9.33382,1.93614,0.69806,76.37826,-7.086574,1.293339,0.452801,5.75327,9.11882,1.0564,50,6.07777,-5.97244,-121.5067,-6.01026,8.53988,25.39146,-18.63855,4759537a-61d7-4887-8465-b6cbf3124fda,NA,NA,NA,NA,NA,10090813,"Lowe, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NCA_BUL,1,Top,0,3,2,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,8f590780-f3c8-11ef-ae29-138f5b3276ff,83.24283,NA,NA,7.43492,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:33:39,2025-02-25T22:33:39Z,2025-02-25T22:33:39Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.24099,-122.38974,12.69573,6.27552,-5.36207,-9.31928,1.26927,-6.26944,4.26994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.00084,2.802288,1.635686,1.166602,1.88785,1.99453,-0.68736,-5.28806,4.15086,4.62745,76.24993,7.95553,48.55585,-5.18033,77.74118,-6.80298,4.22823,20.71858,-15.01764,4.64055,39.64334,-1.71365,High,High,High,NA,NA,High,High,High
8,2025-02-25,17:34:05,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,Fastball,NA,NA,83.89673,-2.428581,1.640205,1936.782695,140.151306,10:45:00,6.33294,-1.06298,5.99309,-24.61182,15.09678,-11.50442,2.02898,-0.50119,76.71157,-7.04197,-0.429548,0.453538,6.40347,8.85922,0.94005,50,6.12779,-3.03857,-121.73533,-5.89328,9.57426,24.71028,-18.92803,c089a33d-a64d-49da-b59f-4919c32e6e53,NA,NA,NA,NA,NA,801907,"Lanowitz, Corbin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NCA_BUL,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,9e9999d0-f3c8-11ef-ae29-138f5b3276ff,83.10753,NA,NA,7.18517,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:34:05,2025-02-25T22:34:05Z,2025-02-25T22:34:05Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.50778,-122.64692,12.35514,6.33232,-5.195,-9.46402,1.05866,-3.39178,4.78713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-25,17:34:17,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,ChangeUp,NA,NA,74.66533,-1.702914,2.102989,1212.16564,147.680284,11:00:00,6.27169,-1.09426,6.051,-40.67388,9.24036,-4.83244,1.30421,0.45075,68.79621,-9.21738,1.232117,0.508491,3.09008,5.73004,0.93313,50,6.11722,-3.81448,-108.38433,-4.36708,3.66987,19.2254,-25.36892,07e59519-bc08-44b2-bc7d-902259673a7e,NA,NA,NA,NA,NA,801907,"Lanowitz, Corbin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NCA_BUL,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,a64c6d10-f3c8-11ef-ae29-138f5b3276ff,74.12602,NA,NA,5.86911,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:34:17,2025-02-25T22:34:17Z,2025-02-25T22:34:17Z,NA,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.44972,-109.17077,9.6127,6.27464,-3.32933,-12.68446,1.09224,-3.9646,1.83493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-25,17:34:30,"Egger, Sheldon",1000254674,Left,WOF_TER,Undefined,ChangeUp,NA,NA,74.42032,-1.089404,1.68526,1062.19504,123.985354,10:15:00,6.25508,-1.2579,6.0778,-44.55829,5.96772,-6.28969,1.53333,-0.22225,68.08513,-9.335544,0.550435,0.511598,3.79567,3.87303,1.13095,50,6.14703,-2.96735,-108.03388,-3.30492,4.4384,20.68044,-27.64518,226d788f-b301-47e5-80e3-3ed533937fde,NA,NA,NA,NA,29.954514,801907,"Lanowitz, Corbin",2255.354436,NA,96.0319,Left,12.641816,92.16601,15.36467,60.04515,213.95826,213.95826,1.92628,37.292005,3.29721,1.99618,0.44494,NA,NA,NA,NA,NA,2,3,NCA_BUL,1,Top,1,1,1,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,WOF_TER,NCA_BUL,WoffordCollege,D1,SOCON,20250225-WoffordCollege-1,ad9f4600-f3c8-11ef-ae29-138f5b3276ff,73.67588,15.37496,NA,6.33518,NA,NA,NA,9e9c48d0-c4b8-407d-aef1-1e3e6d68a17c,2025-02-25,22:34:30,2025-02-25T22:34:30Z,2025-02-25T22:34:30Z,LineDrive,v3,471512,1570,NA,"Manning, Lucas",809053,Right,WOF_TER,54.42379,-108.87742,10.34022,6.25884,-2.1773,-13.82259,1.25568,-3.14839,2.2192,NA,3.29721,119.07414,-22.843,4.48829,-0.9812,0.19536,-0.0374,0.00558,-4.3e-4,1.99618,30.82503,-19.13244,1.82857,-0.35855,0.07507,-0.01301,0.00193,-1.6e-4,0.44493,68.62154,0.65046,-1.32912,0.46877,-0.13026,0.02881,-0.00458,3.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
