PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-02,14:36:29,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,85.17334,-1.075897,2.914081,2010.628737,119.973402,10:00:00,5.4392,-2.55103,5.59746,-27.25356,12.03095,-18.51863,2.16219,-1.37131,77.35762,-6.150296,-0.389336,0.45111,10.36548,6.80311,2.31396,50,5.3294,-5.52773,-123.47731,-3.21914,15.865,26.56704,-21.76145,c26a0b7b-2951-4d79-9085-347cafbad5e3,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ICC_COU,1,Top,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,0540cf60-f7a6-11ef-ac60-076905e8e89f,83.55496,NA,NA,7.81573,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:36:29,2025-03-02T20:36:29Z,2025-03-02T20:36:29Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.90137,-124.52741,13.28352,5.43964,-2.35899,-10.88072,2.54484,-6.15482,7.9325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-02,14:36:50,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,85.41773,-1.157584,3.43108,2177.384909,120.415744,10:00:00,5.43234,-2.60614,5.5451,-25.70903,14.02942,-21.25304,2.20605,-1.16699,76.43249,-5.990248,-0.353834,0.453708,11.85056,7.91445,2.32304,50,5.31541,-6.48135,-123.53053,-3.33011,17.90351,29.72085,-20.21712,b174c007-2031-42de-b2a6-3fc6f7dd5f4c,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ICC_COU,1,Top,0,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,12178da0-f7a6-11ef-ac60-076905e8e89f,83.07637,NA,NA,8.98524,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:36:50,2025-03-02T20:36:50Z,2025-03-02T20:36:50Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.9495,-124.71568,14.86042,5.43213,-2.52394,-10.10856,2.59573,-7.19527,8.95176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-02,14:37:08,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,86.90462,-0.481642,3.291976,2129.750185,120.757047,10:00:00,5.39206,-2.69317,5.53481,-24.62442,13.69639,-20.54588,2.88908,-1.32494,77.79467,-5.114984,-0.365812,0.445542,11.5519,7.49,2.42165,50,5.33431,-6.34725,-125.76565,-1.86709,18.10542,30.60254,-20.43488,1fec9d95-cc4b-4b45-b11c-db097361ff8b,NA,NA,NA,NA,143.18818,10305595,"Fulton, Aidan",4352.338997,NA,65.47358,Right,60.902793,NA,NA,NA,NA,29.69648,NA,NA,2.55544,2.9414,1.28668,NA,NA,NA,NA,NA,1,3,ICC_COU,1,Top,0,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,1ca8c8b0-f7a6-11ef-ac60-076905e8e89f,84.59909,45.87132,NA,9.10995,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:37:08,2025-03-02T20:37:08Z,2025-03-02T20:37:08Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.96178,-126.96726,15.30127,5.39187,-1.0647200000000001,-10.21744,2.68483,-7.05816,9.05271,348.000285,2.55544,-37.38637,-2.69053,2.4792,-2.6167,7.77746,-14.17706,12.93685,-4.7078,2.9414,83.90877,-31.89114,4.63788,-2.24962,5.22433,-9.19744,8.25908,-2.97552,1.28668,27.98068,-2.62896,0.10408,0.21999,-0.76127,1.42918,-1.3295,0.48981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-03-02,14:37:27,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,ChangeUp,NA,NA,80.42209,-0.26751,2.492663,1929.2031,117.834685,10:00:00,5.81319,-2.23229,6.20209,-32.71754,10.78646,-17.33836,2.83957,-1.37486,72.34178,-6.435446,-0.636933,0.474718,9.86587,6.13008,2.05362,50,5.77683,-4.44104,-116.61819,-1.47456,13.30306,26.19682,-23.90828,58dc1d72-ca29-48c2-8624-b820419202bf,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ICC_COU,1,Top,0,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,28678740-f7a6-11ef-ac60-076905e8e89f,79.39959,NA,NA,8.08032,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:37:27,2025-03-02T20:37:27Z,2025-03-02T20:37:27Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.2945,-117.57894,13.09841,5.81483,-0.59775,-11.95414,2.22543,-4.92891,6.65153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-02,14:37:47,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,87.25152,-0.627585,3.702852,2056.842815,129.822196,10:15:00,5.5073,-2.53736,5.73035,-22.61745,15.76335,-16.91048,3.03681,-0.49336,76.86504,-4.955215,0.684263,0.445891,10.06221,8.70811,2.23907,50,5.44161,-7.42481,-126.01159,-2.06864,15.56836,34.59865,-18.70072,bca758a3-20a4-4d04-8d51-d90889df7fa1,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,ICC_COU,1,Top,0,0,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,33ce3ac0-f7a6-11ef-ac60-076905e8e89f,84.53292,NA,NA,10.38648,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:37:47,2025-03-02T20:37:47Z,2025-03-02T20:37:47Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.76295,-127.31262,17.29933,5.50618,-1.36542,-9.35036,2.52928,-8.01024,7.78418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-02,14:38:10,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,ChangeUp,NA,NA,81.36282,-1.114634,3.473135,1992.032286,145.804007,10:45:00,5.80796,-2.24949,6.04722,-25.19592,17.43044,-10.79071,2.6744,0.07049,73.46179,-5.894311,1.535242,0.469905,6.74296,9.79662,1.98495,50,5.70771,-6.75502,-117.87564,-2.99193,9.34219,25.6016,-18.60109,0128fb0a-5285-4475-a0f4-50d41d871dde,NA,NA,NA,NA,-53.969164,10305595,"Fulton, Aidan",3072.673688,NA,80.02805,Right,21.912823,61.33436,26.30363,-91.31302,208.24294,163.50567,2.416966,-60.486216,3.90186,2.8358,0.17169,NA,NA,NA,NA,NA,1,6,ICC_COU,1,Top,0,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,41b15ff0-f7a6-11ef-ac60-076905e8e89f,80.21282,26.30482,NA,7.90103,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:38:10,2025-03-02T20:38:10Z,2025-03-02T20:38:10Z,LineDrive,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.45005,-118.83823,12.8008,5.80705,-2.29255,-9.30054,2.24553,-7.10627,4.6711,NA,3.9019,64.05192,-14.99851,3.33001,-0.62916,0.07172,0.0091,-0.00503,5.5e-4,2.8357,43.8089,-22.89414,2.89722,-0.86019,0.32522,-0.10573,0.01916,-0.0013,0.17165,-88.06091,8.43946,-1.86916,0.32097,-0.00952,-0.01864,0.00555,-5.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-03-02,14:38:30,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,ChangeUp,NA,NA,80.47059,-2.084694,2.28173,1691.71676,152.716091,11:00:00,5.89289,-2.08235,6.11816,-22.51588,20.62285,-9.86709,2.08686,-0.794,73.19527,-6.369248,0.504325,0.472721,5.83111,11.74709,1.9128,50,5.72142,-4.29336,-116.72598,-4.83647,7.97713,23.70156,-16.10365,ea59491d-3ff1-423c-8884-56a77cc2f976,NA,NA,NA,NA,93.74061,10305595,"Fulton, Aidan",NA,NA,30.80768,Right,-26.938997,NA,NA,NA,6.49099,6.49097,0.112945,56.903577,3.8465,2.35319,0.81712,NA,NA,NA,NA,NA,1,7,ICC_COU,1,Top,0,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,4d774a70-f7a6-11ef-ac60-076905e8e89f,79.73502,2.35319,NA,7.27532,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:38:30,2025-03-02T20:38:30Z,2025-03-02T20:38:30Z,GroundBall,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.37924,-117.61184,11.85078,5.89094,-4.23458,-8.05183,2.07884,-4.59151,3.98856,NA,3.84735,-2.67474,NA,NA,NA,NA,NA,NA,NA,2.35981,-20.83492,NA,NA,NA,NA,NA,NA,NA,0.80411,40.91134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
8,2025-03-02,14:38:54,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,88.402,-0.89612,2.327146,2236.553384,130.948472,10:15:00,5.64513,-2.37859,5.63096,-18.56446,18.18395,-19.37442,3.26124,-1.82066,79.34446,-4.442829,-1.131125,0.436305,10.4702,9.86445,2.19268,50,5.55725,-4.32844,-128.03613000000001,-2.55451,17.07582,30.75695,-16.08615,fede2be0-665a-413e-88b2-f496a0bf5cb8,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,ICC_COU,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,5c19ef10-f7a6-11ef-ac60-076905e8e89f,86.39002,NA,NA,9.05754,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:38:54,2025-03-02T20:38:54Z,2025-03-02T20:38:54Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.8629,-129.19902,15.37847,5.64234,-1.94631,-8.04307,2.36854,-4.97406,8.53791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-02,14:39:10,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,86.94818,-3.282089,3.534764,2070.291899,135.098108,10:30:00,5.71445,-2.30383,5.77805,-19.14922,18.49202,-17.08981,1.0557,-0.43488,78.85146,-6.909966,0.479339,0.441574,9.83693,10.83568,2.02247,50,5.43157,-7.06211,-125.78876,-7.79168,15.6094,27.80671,-14.97986,5a4bfe92-3757-4629-8b84-68d2dfc972ac,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,ICC_COU,1,Top,0,1,2,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,65a0e610-f7a6-11ef-ac60-076905e8e89f,85.35932,NA,NA,8.09671,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:39:10,2025-03-02T20:39:10Z,2025-03-02T20:39:10Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.71954,-126.82776,13.90335,5.71224,-7.23195,-7.48993,2.29725,-7.64535,7.8047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-02,14:39:26,"Sims, Zach",10130741,Left,JOH_LOG,Undefined,Fastball,NA,NA,85.42405,-3.065477,3.605751,2043.220058,126.349181,10:15:00,5.78285,-2.19058,5.73796,-23.69025,15.37698,-18.99899,0.94586,-0.4119,77.5245,-7.503097,0.209993,0.44986,10.82646,9.18166,1.90222,50,5.51274,-7.0103,-123.5909,-7.36768,16.57406,26.9866,-18.11801,19739cb8-391a-4770-af5f-87ae72b4cfc7,NA,NA,NA,NA,NA,10305595,"Fulton, Aidan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,ICC_COU,1,Top,0,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JOH_LOG,ICC_COU,JohnALogan,JUCO,NJCAA,20250302-JohnALogan-2,6f28ee80-f7a6-11ef-ac60-076905e8e89f,83.78699,NA,NA,7.89955,NA,NA,NA,56b7f29c-b561-44ea-9aaf-3622bd652150,2025-03-02,20:39:26,2025-03-02T20:39:26Z,2025-03-02T20:39:26Z,NA,v3,NA,NA,NA,"Roberson, Michael",10045400,Right,JOH_LOG,54.75976,-124.62588,13.4933,5.78198,-6.67283,-9.059,2.18326,-7.64594,8.28703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
