PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-08,16:04:39,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Fastball,NA,NA,87.09739,-1.729899,-1.942151,2130.263681,197.979685,12:30:00,6.07228,2.19093,6.21032,-20.34379,16.00899,4.82504,2.77901,0.79988,79.8183,-5.58055,-1.071336,0.433951,-3.00894,9.10556,-2.04745,50,5.93207,4.09382,-126.4736,-4.39756,-4.8827,25.34534,-17.39823,4734dbde-94ad-4154-b1c7-33af1f282456,NA,NA,NA,NA,NA,813806,"Kashimoto, Cody",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,STM_GAE,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,b6c4a7a0-fc71-11ef-ba7b-233b944a40ff,86.85884,NA,NA,7.27908,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:04:39,2025-03-08T23:04:39Z,2025-03-08T23:04:39Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.28618,-127.32966,12.67267,6.07068,-3.80992,-8.69912,-2.1885,4.25873,-2.44135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-08,16:04:53,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Slider,NA,NA,80.03806,-1.293715,-2.071197,1972.136648,95.884033,09:15:00,5.72869,2.34837,6.21285,-41.12018,2.29516,-8.37264,1.10709,-0.26165,73.3393,-8.895011,-3.584117,0.474234,3.7478,1.96382,-2.18888,50,5.61108,4.49881,-116.2127,-3.85302,5.07698,23.69721,-29.51377,ab742409-faad-4e6a-963e-c2c04f67f071,NA,NA,NA,NA,NA,813806,"Kashimoto, Cody",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,STM_GAE,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,bf2b88a0-fc71-11ef-ba7b-233b944a40ff,79.48061,NA,NA,6.69877,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:04:53,2025-03-08T23:04:53Z,2025-03-08T23:04:53Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.28685,-117.08358,11.8486,5.73275,-2.76838,-14.75689,-2.35078,4.31223,2.53849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-08,16:05:07,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Fastball,NA,NA,86.94,-2.46752,-3.082025,2139.183155,205.020766,12:45:00,6.01983,2.1615,6.22906,-19.82296,16.6271,7.23504,2.08669,-0.08179,79.90909,-6.213703,-1.777481,0.434531,-4.59831,9.64528,-1.93477,50,5.82528,6.51502,-126.15675,-6.00379,-7.43923,24.73921,-16.56969,cb0ff6f1-ad40-4350-9e50-2d8f180d6caf,NA,NA,NA,NA,15.484825,813806,"Kashimoto, Cody",5046.213731,NA,99.68082,Left,8.513987,105.28096,9.57711,31.87335,190.03971,149.5826,1.605701,18.214038,1.31252,2.09332,0.09276,NA,NA,NA,NA,NA,1,3,STM_GAE,1,Top,0,1,1,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,c79c2da0-fc71-11ef-ba7b-233b944a40ff,86.74285,9.74701,NA,7.03091,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:05:07,2025-03-08T23:05:07Z,2025-03-08T23:05:07Z,LineDrive,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.2704,-126.99141,12.3696,6.0184,-5.44476,-8.28484,-2.15881,6.766,-3.71961,237.493623,1.31252,139.33881,-21.42835,3.50794,-0.77138,0.16513,-0.03318,0.00543,-4.8e-4,2.09332,21.64478,-16.32849,1.61451,-0.30543,0.07426,-0.01445,0.00222,-2e-4,0.09276,38.60233,-1.08887,0.05764,-0.02065,0.00376,-8.2e-4,1.5e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-03-08,16:05:40,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Fastball,NA,NA,87.29809,-3.318545,-2.30912,2129.380501,201.085552,12:45:00,5.96766,2.22164,6.05224,-18.97241,17.79493,6.37693,1.30878,0.61439,79.53522,-6.914405,-1.161788,0.436418,-3.96268,10.52005,-2.04539,50,5.69898,4.84101,-126.48306,-7.87593,-6.38109,27.23584,-15.23369,521bc439-2fc4-451d-a492-fe172a5a0537,NA,NA,NA,NA,NA,702522,"Taurek, Aiden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,STM_GAE,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,db3fcbf0-fc71-11ef-ba7b-233b944a40ff,86.36778,NA,NA,7.76287,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:05:40,2025-03-08T23:05:40Z,2025-03-08T23:05:40Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.4448,-127.43657,13.61792,5.96538,-7.34261,-7.61684,-2.21878,5.06441,-3.19054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-08,16:05:53,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Fastball,NA,NA,86.14859,-1.524055,-2.260611,2134.750115,194.887863,12:30:00,6.03771,2.19033,6.01297,-17.161740000000002,20.69131,5.14961,3.1943,0.52423,78.01916,-4.826611,-1.335338,0.442814,-3.35063,11.50619,-2.01577,50,5.90881,4.72524,-124.93666,-3.7765,-5.24202,27.56593,-14.17282,9abcd51b-b2cf-40c8-a631-3e0f38cde4eb,NA,NA,NA,NA,-44.951647,702522,"Taurek, Aiden",3391.387246,NA,96.19888,Right,58.013308,NA,NA,NA,NA,74.88265,NA,NA,1.48884,3.13747,-0.83457,NA,NA,NA,NA,NA,2,2,STM_GAE,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,e30d7a30-fc71-11ef-ba7b-233b944a40ff,85.12016,120.9283,NA,8.12943,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:05:53,2025-03-08T23:05:53Z,2025-03-08T23:05:53Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.48411,-125.92214,13.78297,6.03476,-3.26982,-7.08641,-2.18805,4.91264,-2.62101,NA,1.48884,52.89327,-17.88303,5.40192,-1.41516,0.35906,-0.04932,-0.02289,0.01052,3.13747,119.6697,-26.8954,3.04045,-0.50132,0.07519,-0.0352,0.02631,-0.00777,-0.83457,-52.80405,11.97281,-3.26626,0.79111,-0.19229,0.02938,0.00826,-0.00433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-03-08,16:06:36,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,ChangeUp,NA,NA,82.29052,0.424457,-3.252607,1544.916597,232.757098,01:45:00,5.83652,2.36126,5.87523,-34.05986,6.7404,7.4041,3.39306,-0.0459,76.30991,-5.854287,-1.926762,0.45973,-4.60032,3.67339,-2.10253,50,5.85081,6.51636,-119.5636,-0.20169,-6.75163,20.0572,-26.78282,84cc4b5b-14a4-4972-b9db-9725d8cff46f,NA,NA,NA,NA,-13.456103,702522,"Taurek, Aiden",2389.083692,NA,104.81147,Right,23.6338,106.88094,48.23207,-26.00819,408.39615,404.50516,5.036443,-14.490217,1.32021,3.49412,0.04455,NA,NA,NA,NA,NA,2,3,STM_GAE,1,Top,1,1,1,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,fcc0c310-fc71-11ef-ba7b-233b944a40ff,81.98817,76.64448,NA,5.98061,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:06:36,2025-03-08T23:06:36Z,2025-03-08T23:06:36Z,LineDrive,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.62591,-120.33711,10.0286,5.83867,0.8312,-13.39141,-2.35886,6.77674,-3.37581,174.735748,1.31902,136.98974,-26.62322,6.40846,-1.44758,0.30662,-0.05283,0.00579,-2.8e-4,3.49764,61.54981,-13.03586,-0.35618,0.37832,-0.15625,0.03787,-0.00473,2.3e-4,0.04474,-32.77559,5.01741,-1.04116,0.24596,-0.06496,0.01372,-0.00168,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-03-08,16:07:17,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Fastball,NA,NA,87.05206,-1.657642,-2.973396,2112.314725,183.04403,12:00:00,6.03242,2.13521,6.47212,-21.73867,14.00796,0.69118,2.69608,-0.54027,80.56948,-5.750751,-2.848231,0.430317,-1.10339,8.08052,-1.92595,50,5.90564,6.54633,-126.51743,-4.27677,-1.80709,23.28899,-18.9401,19a6e5c5-8a6f-4f4c-bd62-27ff04777c38,NA,NA,NA,NA,50.316622,1000122611,"Madrigal, Eddie",4439.104474,NA,91.21398,Left,9.089427,NA,NA,NA,130.29748,130.29748,1.111639,55.720518,1.93453,2.7338,0.55587,NA,NA,NA,NA,NA,3,1,STM_GAE,1,Top,1,0,0,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,156b0060-fc72-11ef-ba7b-233b944a40ff,87.59218,7.5964,NA,6.48258,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:07:17,2025-03-08T23:07:17Z,2025-03-08T23:07:17Z,LineDrive,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.02818,-127.25676,11.6445,6.03187,-3.67549,-9.47005,-2.13469,6.60369,-0.90354,NA,1.93453,84.35199,-20.55667,2.78489,-0.59327,0.11968,-0.02341,0.00439,-4.9e-4,2.7338,21.13405,-24.46194,3.57178,-0.76224,0.19006,-0.04118,0.00759,-8.5e-4,0.55587,101.66246,-4.7758,-0.00856,0.02045,-0.01715,0.00532,-9.7e-4,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-03-08,16:07:46,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Fastball,NA,NA,87.25764,-3.03836,-3.167886,2048.253917,202.513615,12:45:00,5.92073,2.37321,6.19345,-20.52103,16.00434,6.13217,1.39865,-0.0434,79.73917,-6.913882,-2.06294,0.43498,-4.10693,9.54111,-2.13759,50,5.6810600000000004,6.7598,-126.45408,-7.30953,-6.62699,26.62175,-16.77852,81d42867-35c0-4b04-895b-0c634f935067,NA,NA,NA,NA,NA,1000122611,"Madrigal, Eddie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,STM_GAE,1,Top,1,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,26818b30-fc72-11ef-ba7b-233b944a40ff,86.65337,NA,NA,7.51847,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:07:46,2025-03-08T23:07:46Z,2025-03-08T23:07:46Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.30519,-127.35721,13.31088,5.91938,-6.74033,-8.38926,-2.37073,6.98462,-3.3135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-08,16:08:02,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,ChangeUp,NA,NA,82.10239,-0.350715,-0.974749,1519.853216,250.028383,02:15:00,5.6409,2.66073,6.26335,-35.55128,5.03937,10.57654,2.35489,2.6433,75.77173,-6.954302,0.939081,0.458547,-5.73516,3.1013,-2.59339,50,5.59768,1.64067,-119.42539,-1.81013,-8.32602,21.87662,-27.67172,e9b16f6f-a617-4083-b562-083ffd19d87d,NA,NA,NA,NA,NA,1000122611,"Madrigal, Eddie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,STM_GAE,1,Top,1,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,2ffbff10-fc72-11ef-ba7b-233b944a40ff,82.19964,NA,NA,6.33066,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:08:02,2025-03-08T23:08:02Z,2025-03-08T23:08:02Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.23592,-120.19883,10.93831,5.64438,-0.8318,-13.83586,-2.65659,1.93503,-4.16301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-08,16:08:13,"Ray, Tyler",10295859,Right,DIX_STE,Undefined,Slider,NA,NA,79.93403,0.371599,-1.991823,1975.109155,98.359347,09:15:00,5.75158,2.4260100000000002,6.31952,-41.78006,2.14807,-3.42921,2.61238,0.305,71.9619,-7.440886,-2.612269,0.477027,1.09516,1.44791,-2.27883,50,5.75929,4.15595,-115.93677,-0.47535,1.45546,26.43896,-30.24981,6208f404-500a-46f6-bc9c-8da636bebfb0,NA,NA,NA,NA,-135.984836,1000122611,"Madrigal, Eddie",5789.936162,NA,68.40546,Left,63.375109,NA,NA,NA,NA,30.22648,NA,NA,1.81549,2.96464,-0.39719,NA,NA,NA,NA,NA,3,4,STM_GAE,1,Top,1,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DIX_STE,STM_GAE,BruceHurst,D1,WAC,20250308-BruceHurst-2,368f7fa0-fc72-11ef-ba7b-233b944a40ff,79.01535,51.27703,NA,7.97213,NA,NA,NA,e7f56b39-0725-4352-9922-cb0187c89ab7,2025-03-08,23:08:13,2025-03-08T23:08:13Z,2025-03-08T23:08:13Z,NA,v3,526275,471428,NA,"Pyle, Andrew",811564,Right,DIX_STE,54.17727,-116.8855,13.21948,5.75687,0.61012,-15.12491,-2.42702,4.10372,0.72773,12.448242,1.81549,-32.33445,-4.26389,2.59977,-0.81209,0.21486,-0.05173,0.0108,-0.00119,2.96464,89.68904,-30.99509,4.33211,-0.86856,0.13882,-0.00615,-0.01563,0.00758,-0.39719,-31.24156,1.78153,0.5043,-0.26727,0.09109,-0.02921,0.01135,-0.00307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
