PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-08,12:33:20,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Fastball,NA,NA,92.55927,-2.180295,-2.619561,1905.335372,198.928023,12:45:00,6.57798,1.73017,6.20916,-13.98079,18.77859,6.02851,3.39745,-0.18697,83.3593,-4.901324,-1.532796,0.411945,-3.92166,10.72024,-1.53612,50,6.40678,5.86832,-134.08374,-5.45488,-7.03373,32.99619,-12.94672,54765052-8cad-4c30-8728-66dc1ff5e561,NA,NA,NA,NA,NA,1000033983,"Lane, Jonathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ALA_LIO,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,cfd51610-fc4b-11ef-85ba-8b21327b1c7d,91.49872,NA,NA,9.19997,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:33:20,2025-03-08T18:33:20Z,2025-03-08T18:33:20Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.28733,-135.13468,16.49809,6.57396,-5.04253,-6.47336,-1.72659,6.09234,-3.51686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-08,12:33:30,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Fastball,NA,NA,93.25904,-4.444511,-2.775018,2041.906839,180.778496,12:00:00,6.60693,1.71635,6.28201,-12.16182,20.04249,0.25665,1.48381,-0.82205,84.47906,-6.810676,-2.728717,0.40844,-0.99287,12.09449,-1.51156,50,6.27173,6.52569,-134.85887,-10.77204,-1.80839,32.34146,-10.14584,39530b38-fb2d-4b30-bbaa-eaccba11f529,NA,NA,NA,NA,NA,1000033983,"Lane, Jonathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ALA_LIO,1,Top,0,1,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,d614f860-fc4b-11ef-85ba-8b21327b1c7d,92.2839,NA,NA,8.77998,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:33:30,2025-03-08T18:33:30Z,2025-03-08T18:33:30Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.21601,-135.86618000000001,16.17073,6.60232,-10.45604,-5.07292,-1.71569,6.58201,-0.90419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-08,12:33:43,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Fastball,NA,NA,94.8123,-2.826835,-3.107986,1960.396258,196.520137,12:30:00,6.58679,1.80271,6.18866,-12.6132,18.49292,5.16374,2.91957,-0.63954,85.91848,-5.275766,-2.178234,0.401416,-3.62945,10.76568,-1.5707,50,6.3667299999999996,7.23577,-137.35603,-7.12032,-6.8686,33.09801,-11.80039,cdbf3453-14cd-4337-9651-c5f4d61ee56b,NA,NA,NA,NA,124.46661,1000033983,"Lane, Jonathan",5095.166133,NA,73.57457,Right,48.427532,NA,NA,NA,NA,54.36771,NA,NA,0.91666,2.74874,0.57945,NA,NA,NA,NA,NA,1,3,ALA_LIO,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,dd57a4b0-fc4b-11ef-85ba-8b21327b1c7d,93.89875,51.69279,NA,8.89382,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:33:43,2025-03-08T18:33:43Z,2025-03-08T18:33:43Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.3117,-138.3911,16.549,6.58363,-6.75129,-5.90019,-1.80034,7.45057,-3.4343,316.417485,0.91665,-40.52255,-3.40066,2.19969,-0.10776,-1.31507,1.85929,-1.26144,0.3493,2.74874,80.72865,-29.10914,3.62618,-0.67362,0.20109,-0.16056,0.10187,-0.02799,0.57945,59.0357,-13.8931,4.10742,-0.34076,-1.34581,1.91887,-1.30022,0.35967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-03-08,12:33:58,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Slider,NA,NA,83.91019,0.947006,-1.155584,1996.200224,76.259728,08:30:00,6.53329,1.56617,5.93146,-41.0029,-1.155,-10.04756,3.99531,-0.34346,76.51695,-6.621489,-2.960664,0.454333,4.76894,-0.43032,-1.46837,50,6.58621,2.86425,-121.83726,0.62389,7.11626,25.56284,-32.816160000000004,ba57e5ff-e9b7-47c8-8980-6c84a3930f3b,NA,NA,NA,NA,NA,1000033983,"Lane, Jonathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ALA_LIO,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,e6bac000-fc4b-11ef-85ba-8b21327b1c7d,82.96217,NA,NA,7.39324,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:33:58,2025-03-08T18:33:58Z,2025-03-08T18:33:58Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.56917,-122.79218,12.78142,6.54001,1.84976,-16.408080000000002,-1.5704,2.59841,3.55813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.16547,NA,NA,1.000464,NA,NA,NA,2.30388,6.0797,1.90364,72.1212,8.16709,-52.69727,2.36017,74.58736,-4.83268,6.13923,16.43262,-14.3717,1.82073,-60.384,5.85368,High,High,High,NA,NA,High,Medium,High
5,2025-03-08,12:34:27,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Fastball,NA,NA,94.3554,-2.362281,-2.060108,1952.30272,205.333599,12:45:00,6.52679,0.74826,6.08976,-13.52013,17.63808,7.88221,3.21218,-0.50146,86.29249,-4.956119,-0.641213,0.401752,-4.59847,10.01941,-0.5932,50,6.33696,4.57565,-136.93727,-6.02628,-8.74407,29.83476,-13.12189,3171b080-4e90-45a9-9f71-5a1a1d1df91d,NA,NA,NA,NA,NA,1000353531,"Rippen, Nash",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ALA_LIO,1,Top,1,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,f7f74960-fc4b-11ef-85ba-8b21327b1c7d,93.82024,NA,NA,8.0629,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:34:27,2025-03-08T18:34:27Z,2025-03-08T18:34:27Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.41003,-137.89474,14.91738,6.5236,-5.60517,-6.56095,-0.74454,4.85627,-4.37204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-08,12:34:39,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Splitter,NA,NA,82.75467,0.015356,-0.51493,3023.490246,212.940761,01:00:00,6.30805,0.80183,5.93882,-32.95368,8.04819,4.31772,3.57616,0.68393,75.2406,-6.125814,0.261213,0.460865,-2.35,4.56036,-0.76308,50,6.29098,0.90641,-120.12681,-1.01119,-3.40606,25.03096,-25.56432,64a23690-2dd7-417a-adab-86f1fd5aeae0,NA,NA,NA,NA,NA,1000353531,"Rippen, Nash",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ALA_LIO,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,fec07ff0-fc4b-11ef-85ba-8b21327b1c7d,81.78636,NA,NA,7.51407,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:34:39,2025-03-08T18:34:39Z,2025-03-08T18:34:39Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.55939,-121.07313,12.51548,6.31094,-0.04471,-12.78216,-0.79978,1.03518,-1.70303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-08,12:34:54,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Curveball,NA,NA,77.87398,3.152398,0.947519,2246.210081,20.583262,06:45:00,6.45767,0.92635,6.20445,-61.80114,-15.92977,-6.54465,4.2208,1.25567,71.0362,-8.236645,-0.235073,0.487464,3.63047,-8.54756,-0.99462,50,6.66548,-1.62744,-113.07564,4.25754,4.65958,22.29262,-43.14454,158404f2-4b3f-48ad-a040-230b4a52b659,NA,NA,NA,NA,NA,1000353531,"Rippen, Nash",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ALA_LIO,1,Top,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,07b214c0-fc4c-11ef-85ba-8b21327b1c7d,77.3236,NA,NA,6.83778,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:34:54,2025-03-08T18:34:54Z,2025-03-08T18:34:54Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.30045,-113.92031,11.14631,6.47319,5.89229,-21.57227,-0.92961,-1.80399,2.32979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-08,12:35:06,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Curveball,NA,NA,78.45048,2.021624,0.523587,2358.730965,23.472581,06:45:00,6.46218,0.79027,6.21228,-60.65669,-15.51383,-7.37737,3.27414,0.65874,71.74171,-9.146764,-0.811748,0.483577,3.95858,-8.11544,-0.82611,50,6.58462,-0.77293,-114.02009,2.10254,5.15956,22.90623,-42.75157,5460e48f-fc60-4897-8535-e1a03889e2fb,NA,NA,NA,NA,NA,1000353531,"Rippen, Nash",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ALA_LIO,1,Top,1,2,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,0f5f1ba0-fc4c-11ef-85ba-8b21327b1c7d,77.945,NA,NA,6.70877,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:35:06,2025-03-08T18:35:06Z,2025-03-08T18:35:06Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.29286,-114.87928,11.45312,6.47568,3.7061,-21.37578,-0.79349,-0.96646,2.57978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-08,12:35:19,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Fastball,NA,NA,94.98409,-1.247602,-1.613047,2085.236765,206.245118,12:45:00,6.51317,0.91335,6.14921,-12.07453,18.67084,8.71186,4.35349,0.14843,86.44698,-3.595898,-0.04263,0.399081,-4.92126,10.2676,-0.7947,50,6.41162,3.49371,-137.92372,-3.30753,-9.45347,31.46749,-12.45049,29676c8f-f7c7-48c0-a557-bee2cec551a5,NA,NA,NA,NA,NA,1000353531,"Rippen, Nash",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,ALA_LIO,1,Top,1,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,16a76d40-fc4c-11ef-85ba-8b21327b1c7d,94.44806,NA,NA,8.53711,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:35:19,2025-03-08T18:35:19Z,2025-03-08T18:35:19Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.34989,-138.91261,15.73374,6.50942,-2.91627,-6.22524,-0.90916,3.7908,-4.72674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-08,12:35:34,"Eyanson, Anthony",809254,Right,LSU_TIG,Undefined,Fastball,NA,NA,95.0987,-4.333014,-1.679523,1918.892677,207.282294,01:00:00,6.44565,0.92636,6.12644,-11.69327,19.05084,9.31201,1.45626,0.14931,87.04491,-6.58644,-0.001399,0.399073,-5.24437,11.31422,-0.80243,50,6.10708,3.62844,-137.78635,-10.74344,-10.09211,30.32699,-10.40134,14b01552-bc7c-4ab9-a084-f8898acc21f0,NA,NA,NA,NA,NA,1000353531,"Rippen, Nash",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,ALA_LIO,1,Top,1,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,LSU_TIG,ALA_LIO,LSU,D1,SEC,20250308-LSU-1,1fab78a0-fc4c-11ef-85ba-8b21327b1c7d,94.44998,NA,NA,8.0538,NA,NA,NA,9df40eee-f7fa-4d6b-b066-1421f6b47d8b,2025-03-08,18:35:34,2025-03-08T18:35:34Z,2025-03-08T18:35:34Z,NA,v3,5323,471594,NA,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.37392,-138.74572,15.1635,6.44173,-10.4144,-5.20067,-0.92226,3.94769,-5.04606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
