PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-12,15:05:47,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.90659,-2.627209,-1.290682,1961.560483,216.905307,01:15:00,5.95566,0.73064,5.34013,-18.27458,20.13871,14.04906,1.96584,0.6904,78.31399,-6.092747,1.20549,0.446079,-7.49347,11.37528,-0.62486,50,5.70623,2.2159,-125.80324,-6.3349,-11.81323,29.40182,-14.2412,b04eb9dc-b0d5-4f5c-9ccc-545a0ff07c80,NA,NA,NA,NA,-34.758438,809994,"Mitchell, Henry",3978.647703,NA,84.51352,Left,34.714646,85.66378,59.90737,-69.00459,275.30955,252.41677,4.218744,-42.855812,1.63453,1.96792,-0.5943,NA,NA,NA,NA,NA,1,1,NAV_MID,1,Top,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,02577fc0-ff75-11ef-aea1-9ba770d8d2a1,84.49719,66.4968,NA,8.59259,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:05:47,2025-03-12T19:05:47Z,2025-03-12T19:05:47Z,FlyBall,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.15622,-127.00259,14.70091,5.95279,-5.75397,-7.1206,-0.72508,2.69778,-5.90662,139.653844,1.63689,83.65993,-20.59681,5.96728,-1.49542,0.40909,-0.11984,0.02276,-0.00172,1.97189,70.48096,-21.45786,0.44974,1.20235,-0.77062,0.23957,-0.03664,0.00218,-0.59728,-58.01282,4.21191,0.6979,-0.94575,0.46181,-0.12383,0.01699,-0.00093000000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-03-12,15:06:21,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,ChangeUp,NA,NA,78.84775,-0.55781,-1.493827,1438.635491,236.273642,02:00:00,5.91245,0.57291,5.08578,-33.59203,13.33914,17.45005,2.58717,0.61877,71.34856,-6.754496,1.59322,0.493063,-9.22721,7.27536,-0.44629,50,5.83385,2.27085,-114.23636,-2.22437,-12.01943,23.84301,-22.69711,4c833eb1-bd3c-4394-aab5-d1c43587e29b,NA,NA,NA,NA,89.727338,809994,"Mitchell, Henry",NA,NA,44.85321,Left,-55.080313,NA,NA,NA,3.82094,3.44284,0.052352,25.518104,3.43872,2.85301,-0.34568,NA,NA,NA,NA,NA,1,2,NAV_MID,1,Top,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,16766890-ff75-11ef-aea1-9ba770d8d2a1,76.44555,2.85301,NA,7.49919,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:06:21,2025-03-12T19:06:21Z,2025-03-12T19:06:21Z,GroundBall,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.41182,-115.36037,11.92151,5.91349,-1.15439,-11.34855,-0.5667,2.83747,-6.00971,NA,3.43871,0.18105,NA,NA,NA,NA,NA,NA,NA,2.85769,-54.49639,NA,NA,NA,NA,NA,NA,NA,-0.34895,38.04462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
3,2025-03-12,15:06:54,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.76818,-1.850473,-2.69607,2228.093906,194.852192,12:30:00,6.26641,0.72708,5.20873,-11.93135,26.4234,6.66032,3.52943,-1.25513,78.74648,-4.178285,-1.518161,0.445739,-4.11642,14.11698,-0.4829,50,6.08703,5.62019,-125.6614,-4.36155,-6.54962,26.64001,-9.71255,94a250ea-4a05-496e-b791-3bf62c13e4f8,NA,NA,NA,NA,-155.533997,809994,"Mitchell, Henry",2924.034287,NA,41.17273,Left,23.565276,NA,NA,NA,68.89617,48.33179,1.394885,-159.643076,0.61679,3.37269,1.30332,NA,NA,NA,NA,NA,1,3,NAV_MID,1,Top,0,0,2,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,2a1db060-ff75-11ef-aea1-9ba770d8d2a1,84.56161,10.59575,NA,8.0217,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:06:54,2025-03-12T19:06:54Z,2025-03-12T19:06:54Z,GroundBall,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.28795,-126.77748,13.32001,6.26123,-3.95464,-4.85628,-0.72411,5.89458,-3.27481,40.399508,0.6168,-50.3822,1.96326,0.48861,0.30553,-0.83469,0.81353,-0.35762,0.05946,3.37268,24.14258,-21.30993,2.16658,-0.60685,0.37274,-0.3165,0.15969,-0.03114,1.30333,-22.92496,4.55125,-1.26536,0.76623,-0.84736,0.76571,-0.36263,0.06591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-03-12,15:08:16,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,84.06587,-3.416532,-1.702118,2137.194648,207.197231,01:00:00,6.2123,0.92207,5.31347,-17.89225,23.24635,11.15146,1.50941,0.25334,75.84764,-6.82013,0.277543,0.461632,-6.13937,13.19044,-0.77622,50,5.89006,3.13338,-121.56605,-7.77252,-9.0491,27.17666,-12.73208,2ec62743-4552-4ad8-b687-c9252d7b1707,NA,NA,NA,NA,NA,802604,"Murtha, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NAV_MID,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,5ab3e410-ff75-11ef-aea1-9ba770d8d2a1,81.65036,NA,NA,8.21823,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:08:16,2025-03-12T19:08:16Z,2025-03-12T19:08:16Z,NA,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.182,-122.71905,13.58833,6.20835,-7.23235,-6.36604,-0.9173,3.5173,-4.52455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-12,15:08:34,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,85.87746,-2.496861,-2.552693,2152.397931,204.250997,12:45:00,6.24978,0.81055,5.22614,-16.80064,22.69297,9.56418,2.49863,-0.79378,77.41328,-5.703108,-0.859424,0.452308,-5.59481,12.54749,-0.58269,50,6.00767,5.11386,-124.21367,-5.91431,-8.61875,28.12866,-12.84472,fedebbb9-eac2-4a7a-9c8e-e6e35e592416,NA,NA,NA,NA,NA,802604,"Murtha, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NAV_MID,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,65cf36b0-ff75-11ef-aea1-9ba770d8d2a1,83.33349,NA,NA,8.46418,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:08:34,2025-03-12T19:08:34Z,2025-03-12T19:08:34Z,NA,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.26943,-125.40127,14.06433,6.24593,-5.372,-6.42236,-0.80628,5.47775,-4.30938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-12,15:09:03,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,85.64776,-4.339491,-4.423583,2253.339406,204.279797,12:45:00,6.16467,0.83355,5.13115,-15.67938,24.24238,10.28162,0.75128,-2.48384,77.67282,-7.317694,-2.61262,0.454754,-6.41512,13.7569,-0.42603,50,5.7443,9.08747,-123.44955,-9.84464,-9.8281,26.23543,-11.09813,c79a7c99-4b15-4e6c-94dd-4354eb22d667,NA,NA,NA,NA,NA,802604,"Murtha, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NAV_MID,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,771535f0-ff75-11ef-aea1-9ba770d8d2a1,82.88539,NA,NA,7.97495,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:09:03,2025-03-12T19:09:03Z,2025-03-12T19:09:03Z,NA,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.36419,-124.58433,13.11772,6.15973,-9.3646,-5.54907,-0.82829,9.51257,-4.91405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-12,15:09:40,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,85.0977,-4.248034,-3.198759,2165.697701,199.572579,12:45:00,6.17787,0.9412,5.25198,-17.69934,22.60064,7.50311,0.69774,-1.44234,76.99623,-7.593166,-1.870859,0.456903,-4.78977,13.10162,-0.65351,50,5.77482,6.54324,-122.84052,-9.66816,-7.22603,27.21171,-12.40847,e16a707e-b7bf-4853-8063-4efbe3899f57,NA,NA,NA,NA,NA,802604,"Murtha, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NAV_MID,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,8cdf5dc0-ff75-11ef-aea1-9ba770d8d2a1,82.49554,NA,NA,8.10147,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:09:40,2025-03-12T19:09:40Z,2025-03-12T19:09:40Z,NA,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.24495,-123.99694,13.60585,6.17449,-9.14084,-6.20424,-0.9381,6.85033,-3.61302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-12,15:10:00,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,ChangeUp,NA,NA,78.21271,-0.804084,-2.222356,1279.777147,228.792224,01:45:00,6.157,0.74076,5.13057,-36.0103,11.37316,11.1302,2.39827,-0.4257,71.23862,-7.411372,-0.252394,0.495433,-6.25528,6.35697,-0.54136,50,6.05398,3.9537,-113.3351,-2.78733,-8.07142,22.25021,-23.97139,e38c5cf5-6f27-4d04-93c0-806fc84b0bce,NA,NA,NA,NA,-23.038382,802604,"Murtha, Brock",4297.326066,NA,99.24483,Right,-1.508709,NA,NA,NA,37.85563,37.31558,0.257981,-21.311152,2.20311,2.53477,0.41216,NA,NA,NA,NA,NA,2,5,NAV_MID,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Error,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,98c887b0-ff75-11ef-aea1-9ba770d8d2a1,76.07982,2.53477,NA,6.97408,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:10:00,2025-03-12T19:10:00Z,2025-03-12T19:10:00Z,GroundBall,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.36717,-114.38394,11.1251,6.15874,-1.65736,-11.9857,-0.7367,4.33418,-4.03571,11.274996,2.20608,133.75012,-21.73956,NA,NA,NA,NA,NA,NA,2.53793,-3.99504,-22.69303,NA,NA,NA,NA,NA,NA,0.4113,-56.89985,7.6728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-03-12,15:10:45,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,ChangeUp,NA,NA,78.33382,-1.757272,-1.285275,1394.488744,219.308846,01:15:00,6.2156,0.89467,5.15314,-33.37777,13.76473,9.95115,1.77895,0.51381,71.51118,-7.886198,0.478271,0.494172,-5.34217,7.85402,-0.78257,50,6.02619,2.1437,-113.51697,-4.57832,-6.92675,22.00474,-21.99041,0fdeaa8f-e6db-4b8d-bb00-1ad876501ea8,NA,NA,NA,NA,NA,10070205,"Manning, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NAV_MID,1,Top,0,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,b3e01b80-ff75-11ef-aea1-9ba770d8d2a1,76.274,NA,NA,6.82264,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:10:45,2025-03-12T19:10:45Z,2025-03-12T19:10:45Z,NA,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.3431,-114.54802,11.00237,6.21658,-3.54794,-10.99521,-0.89062,2.46826,-3.46338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-12,15:11:03,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,ChangeUp,NA,NA,78.07175,-0.401965,-1.173466,1191.844442,231.22611,01:45:00,6.11419,0.91354,5.12943,-36.26132,11.78347,12.41942,2.71377,0.84319,70.31664,-7.093969,1.02584,0.498878,-6.62481,6.48843,-0.81371,50,6.049,1.81613,-113.05298,-1.98426,-8.40332,24.43314,-23.9437,bf13556d-8f4a-4a7e-b755-7dc23b287938,NA,NA,NA,NA,NA,10070205,"Manning, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NAV_MID,1,Top,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,NAV_MID,FordhamUniversity,D1,A10,20250312-FordhamUniversity-1,be4fc4d0-ff75-11ef-aea1-9ba770d8d2a1,75.55439,NA,NA,7.75511,NA,NA,NA,d2be85ae-df09-4410-b802-a4a28c657584,2025-03-12,19:11:03,2025-03-12T19:11:03Z,2025-03-12T19:11:03Z,NA,v3,471298,471474,NA,"McAndrews, Thomas",1000092049,Right,FOR_RAM,55.36689,-114.20699,12.21657,6.11601,-0.85337,-11.97185,-0.90886,2.21303,-4.20166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
