PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-14,18:04:23,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,FourSeamFastBall,NA,NA,95.03141,-1.912418,-2.087465,2064.746077,219.184368,01:15:00,5.44506,1.86253,5.69192,-12.41115,19.20324,14.71985,2.6266,1.14282,85.60749,-4.323227,0.542875,0.404682,-8.0793,10.65501,-1.69612,50,5.27659,4.31777,-137.67965,-4.94009,-15.29998,34.39243,-11.99638,cd8175e4-66e5-46d1-97fe-64eafa91fa82,NA,NA,NA,NA,NA,801979,"Riley, Chandler",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CHA_FOR,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,49b279e0-0120-11f0-918f-f30d242c45f6,93.14089,NA,NA,9.42392,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:04:23,2025-03-14T22:04:23Z,2025-03-14T22:04:23Z,NA,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.805,-138.87475,17.19621,5.44101,-4.52323,-5.99819,-1.85539,4.84943,-7.64999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-14,18:04:38,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,FourSeamFastBall,NA,NA,94.20017,-2.410719,-3.423819,2082.707249,215.113785,01:15:00,5.35874,1.88862,5.71085,-11.69631,20.44245,13.568,2.13274,-0.17434,85.07049,-4.692485,-1.002844,0.408024,-8.00032,11.49784,-1.61043,50,5.14962,7.54379,-136.36495,-6.06679,-14.89965,33.04851,-10.76062,3d8e905a-8d34-45c3-8417-7a57dda71fe7,NA,NA,NA,NA,-155.382352,801979,"Riley, Chandler",1474.571709,NA,72.78006,Left,13.465014,NA,NA,NA,124.31324,46.87061,1.395995,-161.04401,1.40018,1.95906,0.43736,NA,NA,NA,NA,NA,1,2,CHA_FOR,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,531769f0-0120-11f0-918f-f30d242c45f6,92.37792,9.68563,NA,9.12969,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:04:38,2025-03-14T22:04:38Z,2025-03-14T22:04:38Z,LineDrive,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.78871,-137.52062,16.52426,5.35519,-5.69051,-5.38031,-1.88334,8.06481,-7.44982,71.190111,1.38139,-94.19378,6.44365,NA,NA,NA,NA,NA,NA,2.13309,23.13392,-17.74612,NA,NA,NA,NA,NA,NA,0.23606,-41.22093,8.77364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-03-14,18:04:57,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,FourSeamFastBall,NA,NA,94.9019,-1.528077,-3.004653,2233.611296,210.320224,01:00:00,5.37611,2.00609,5.80154,-14.59528,17.81843,9.58804,2.73631,0.00797,83.39412,-4.386725,-1.290004,0.409766,-6.05949,10.05737,-1.76482,50,5.24217,6.74073,-137.06587,-4.06764,-11.06925,41.49783,-13.80167,ef848ab6-a4f7-4ae3-985d-4b00f33b51bd,NA,NA,NA,NA,-9.845051,801979,"Riley, Chandler",2038.988711,NA,81.14896,Left,9.847358,NA,NA,NA,133.21964,131.8101,1.309536,-13.503732,0.88197,2.66712,0.02628,NA,NA,NA,NA,NA,1,3,CHA_FOR,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,5e5d27f0-0120-11f0-918f-f30d242c45f6,91.98531,8.41011,NA,11.50779,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:04:57,2025-03-14T22:04:57Z,2025-03-14T22:04:57Z,LineDrive,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.69182,-138.47907,20.74891,5.37269,-3.59763,-6.90084,-2.00079,7.11769,-5.53462,90.34978,0.88197,115.53789,-16.44846,3.1664,-0.66782,0.13769,-0.02881,0.00505,-4.9e-4,2.66712,20.35497,-18.94723,1.79621,-0.38177,0.08453,-0.01667,0.00299,-3.1e-4,0.02628,-20.05043,-3.61527,0.75441,-0.16163,0.03422,-0.00703,0.00124,-1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-03-14,18:05:34,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,FourSeamFastBall,NA,NA,94.96286,-2.683165,-2.457607,2340.588657,219.438201,01:15:00,5.44021,1.96131,5.85836,-14.79406,17.22666,13.08013,1.71036,0.7666,84.30601,-5.553278,-0.113327,0.407274,-7.52457,10.12316,-1.76919,50,5.21376,5.27322,-137.26409,-6.85905,-13.92436,38.89315,-13.441,fcdbb12f-8f13-461a-8486-67b0aed53428,NA,NA,NA,NA,NA,695543,"Ector, Thad",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CHA_FOR,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,7416d500-0120-11f0-918f-f30d242c45f6,92.54805,NA,NA,10.65685,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:05:34,2025-03-14T22:05:34Z,2025-03-14T22:05:34Z,NA,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.63585,-138.57141,19.44658,5.43672,-6.40725,-6.7205,-1.95431,5.74126,-6.96218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-14,18:05:51,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,Cutter,NA,NA,87.25972,-1.375778,-3.548962,2046.932741,160.179526,11:15:00,5.32623,1.86493,5.41573,-33.21108,4.7441,-1.22835,1.26707,-1.56639,79.15457,-7.464653,-3.766971,0.443412,-0.50807,3.15059,-1.54821,50,5.18053,7.88469,-126.29065,-4.24005,-0.8088,29.15297,-27.15855,9b931a72-3e0b-4a94-b0ae-dae162ac9c13,NA,NA,NA,NA,NA,695543,"Ector, Thad",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CHA_FOR,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,7ead8e50-0120-11f0-918f-f30d242c45f6,85.00553,NA,NA,8.10516,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:05:51,2025-03-14T22:05:51Z,2025-03-14T22:05:51Z,NA,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,55.08459,-127.45897,14.57649,5.32864,-3.15165,-13.57928,-1.86484,7.9171,-0.4044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-14,18:06:08,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,Cutter,NA,NA,86.73705,-0.423002,-3.092563,2016.985075,170.335643,11:45:00,5.27148,2.05484,5.32539,-33.26368,5.99937,-0.74524,2.10198,-0.9121,77.02567,-6.58121,-3.224665,0.450986,-0.79492,3.60036,-1.77429,50,5.2097,6.80218,-125.28611,-2.13011,-1.22093,33.24232,-26.64409,7c4c572c-00e9-434f-8625-ede023c52442,NA,NA,NA,NA,33.356012,695543,"Ector, Thad",2918.755296,NA,98.32243,Left,32.21733,86.21414,60.35242,68.31603,373.94823,283.4912,4.859424,46.163164,1.17134,2.32978,1.08994,NA,NA,NA,NA,NA,2,3,CHA_FOR,1,Top,1,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,88f16cb0-0120-11f0-918f-f30d242c45f6,83.57779,80.91192,NA,9.71138,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:06:08,2025-03-14T22:06:08Z,2025-03-14T22:06:08Z,FlyBall,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,55.16995,-126.65043,16.62116,5.27468,-1.03659,-13.32205,-2.05449,6.85229,-0.61047,NA,1.18661,101.61423,-24.15587,5.60223,-0.70979,0.03864,-0.02984,0.01054,-9.6e-4,2.34012,76.65104,-20.91014,-0.14281,1.59698,-0.85967,0.23453,-0.03192,0.0017,1.10262,66.79603,-0.06447,-3.83239,2.80135,-1.21125,0.30382,-0.03979,0.00209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
7,2025-03-14,18:06:49,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,FourSeamFastBall,NA,NA,96.04227,-1.174146,-3.286923,2268.478368,231.203039,01:45:00,5.43192,1.84025,5.63422,-14.30843,16.97698,19.61599,3.14212,0.40486,85.78118,-3.937065,0.210568,0.402571,-11.02993,9.32812,-1.57318,50,5.32315,7.03643,-138.9638,-3.29042,-21.10457,37.38592,-14.32573,2b99ec21-be71-44ce-b315-c340aafc6780,NA,NA,NA,NA,-166.298644,695543,"Ector, Thad",835.633059,NA,79.42221,Left,16.816744,NA,NA,NA,NA,47.0735,NA,NA,0.43832,3.08755,-0.39485,NA,NA,NA,NA,NA,2,4,CHA_FOR,1,Top,1,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,a0c98cf0-0120-11f0-918f-f30d242c45f6,93.62934,13.83245,NA,10.26109,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:06:49,2025-03-14T22:06:49Z,2025-03-14T22:06:49Z,NA,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.86319,-140.26606,18.69296,5.42907,-2.79142,-7.16287,-1.83108,7.77157,-10.55229,323.901948,0.43084,-108.10688,11.79159,NA,NA,NA,NA,NA,NA,3.09692,33.41956,-21.07344,NA,NA,NA,NA,NA,NA,-0.39482,-26.41199,1.32419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
8,2025-03-14,18:07:10,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,FourSeamFastBall,NA,NA,96.46736,-1.644631,-2.85867,2298.151021,219.70761,01:15:00,5.3712,1.87918,5.80264,-11.93379,18.85359,14.6754,2.8448,0.4412,86.24745,-3.985235,-0.233069,0.399354,-8.42493,10.48697,-1.65301,50,5.22908,6.27638,-139.63646,-4.3308,-16.2852,37.59468,-11.90298,c113cde8-b3b9-48f9-b635-b93f2e65420d,NA,NA,NA,NA,-4.47957,695543,"Ector, Thad",NA,NA,98.31824,Left,-14.452425,NA,NA,NA,10.83349,10.38029,0.075912,-6.676641,0.17285,2.73701,-0.43013,NA,NA,NA,NA,NA,2,5,CHA_FOR,1,Top,1,1,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,adcd4ea0-0120-11f0-918f-f30d242c45f6,94.38358,2.73701,NA,10.21991,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:07:10,2025-03-14T22:07:10Z,2025-03-14T22:07:10Z,GroundBall,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.69413,-140.89461,18.79734,5.36736,-3.93245,-5.95149,-1.87218,6.8213800000000004,-8.1426,180,0.16972,139.46625,NA,NA,NA,NA,NA,NA,NA,2.73782,-36.05504,NA,NA,NA,NA,NA,NA,NA,-0.42989,-10.9262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-03-14,18:07:41,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,Cutter,NA,NA,87.6369,-1.323336,-3.398399,2022.772072,127.123794,10:15:00,5.29148,1.8051,5.52809,-35.23565,2.32378,-1.28823,1.11566,-1.48297,79.33614,-7.785975,-3.627659,0.441094,-0.45732,1.96386,-1.5085,50,5.15279,7.58702,-126.83175,-4.21729,-0.73244,30.00013,-29.02875,5386c534-0596-43aa-acc7-741a39ca4619,NA,NA,NA,NA,NA,280366,"Bryce, Dawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CHA_FOR,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,c049d210-0120-11f0-918f-f30d242c45f6,85.45223,NA,NA,8.30076,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:07:41,2025-03-14T22:07:41Z,2025-03-14T22:07:41Z,NA,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.97081,-128.00212,15.00006,5.29523,-3.08482,-14.51437,-1.80505,7.61559,-0.36622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-14,18:08:01,"Taylor, Zane",1000138347,Right,UNC_SEA,Undefined,Cutter,NA,NA,86.61189,-1.248408,-3.580215,1995.186345,64.982384,08:15:00,5.29003,1.82001,5.54878,-37.05285,1.14339,-0.32902,1.03321,-1.55743,78.92167,-8.023545,-3.638786,0.444817,-0.93819,1.28756,-1.50952,50,5.15707,7.86164,-125.42973,-4.07284,-1.47885,27.86955,-30.14448,e5ef0221-dffc-4c68-b46f-6d59c4f7a24c,NA,NA,NA,NA,NA,280366,"Bryce, Dawson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CHA_FOR,1,Top,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNC_SEA,CHA_FOR,BrooksField,D1,CAA,20250314-BrooksField-1,cbde2540-0120-11f0-918f-f30d242c45f6,84.73688,NA,NA,7.69022,NA,NA,NA,6bc005f4-0567-4b87-bff7-3064aa2d33ad,2025-03-14,22:08:01,2025-03-14T22:08:01Z,2025-03-14T22:08:01Z,NA,v3,471373,471371,NA,"Arendt, Bryan",1000134744,Right,UNC_SEA,54.95159,-126.52516,13.93477,5.29387,-2.888,-15.07224,-1.81967,7.91977,-0.73943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
