PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-18,16:02:08,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Fastball,NA,NA,92.24335,-2.586591,-2.156301,2276.516356,192.312582,12:30:00,6.35949,0.71827,6.11781,-15.84237,16.66469,3.41748,2.6446,-0.99143,84.64387,-5.595802,-1.540831,0.410355,-2.33264,9.59717,-0.55474,50,6.15264,4.89445,-133.87472,-6.50984,-4.24899,27.90282,-14.69255,89cb3893-b7c9-4ee5-981f-faf2e27b944f,NA,NA,NA,NA,NA,10148893,"Palmese, Jamie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ETS_BUC,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,419d92c0-043c-11f0-8559-a7697564e310,91.85317,NA,NA,7.59948,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:02:08,2025-03-18T21:02:08Z,2025-03-18T21:02:08Z,NA,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.37909,-134.78434,13.95141,6.35706,-6.03087,-7.34627,-0.71656,5.03297,-2.1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-18,16:02:23,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Fastball,NA,NA,90.56962,-1.578538,-1.057975,2162.52299,197.9086,12:30:00,6.25299,1.10442,5.92726,-21.20017,12.80131,3.78941,3.02104,0.43844,82.88376,-5.554339,-0.377127,0.419682,-2.24827,7.33622,-1.02205,50,6.1148,2.27002,-131.54514,-4.31264,-3.93766,28.02326,-19.32525,eb2167f1-932f-4d18-a9df-f1aa856c3b32,NA,NA,NA,NA,-21.686593,10148893,"Palmese, Jamie",1345.637887,NA,102.04022,Right,19.505436,99.57355,31.61424,-46.7451,304.69283,278.21145,2.980179,-30.961328,1.87331,3.14327,-0.49175,NA,NA,NA,NA,NA,1,2,ETS_BUC,1,Top,0,1,0,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,4a0e85e0-043c-11f0-8559-a7697564e310,89.81192,36.16748,NA,7.68586,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:02:23,2025-03-18T21:02:23Z,2025-03-18T21:02:23Z,LineDrive,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.57089,-132.51531,14.01163,6.25252,-3.6436,-9.66262,-1.103,2.40635,-1.96883,107.51721,1.87347,131.07515,-23.89613,4.90627,-0.65488,-0.12043,0.09289,-0.02236,0.00204,3.14321,49.97369,-21.09608,2.07261,-0.49541,0.1793,-0.05909,0.01221,-0.00108,-0.49179,-52.13084,-3.62432,2.34087,-0.53545,0.01627,0.02543,-0.00637,5.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
3,2025-03-18,16:02:58,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Curveball,NA,NA,77.72017,1.999759,0.359587,2512.577453,29.796644,07:00:00,6.21271,0.92799,5.20314,-59.35054,-12.12379,-7.73433,3.14839,0.62166,71.81605,-8.713068,-1.013592,0.494613,3.95303,-6.14658,-0.95522,50,6.35264,-0.39973,-112.90767,1.82417,5.123,19.79952,-40.13978,7faf4839-c6e8-45de-970b-d639cee1df07,NA,NA,NA,NA,NA,1000224405,"Jacklin, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ETS_BUC,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,5f24ee10-043c-11f0-8559-a7697564e310,76.20594,NA,NA,5.90412,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:02:58,2025-03-18T21:02:58Z,2025-03-18T21:02:58Z,NA,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.29948,-113.8332,9.89976,6.22352,3.7005,-20.06989,-0.93093,-0.6392,2.5615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-18,16:03:13,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Fastball,NA,NA,90.83916,-1.624743,-2.290763,2252.882466,184.660761,12:15:00,6.32305,0.86409,6.17537,-21.64387,11.4078,0.85713,3.01731,-1.18118,84.3305,-5.662367,-2.136229,0.413779,-0.98421,6.58489,-0.69128,50,6.18892,5.24847,-132.07348,-4.43954,-1.76437,24.19885,-20.36961,5d48c07d-a828-40af-8aaa-08c867a94406,NA,NA,NA,NA,NA,1000224405,"Jacklin, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ETS_BUC,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,686edc10-043c-11f0-8559-a7697564e310,91.09321,NA,NA,6.50867,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:03:13,2025-03-18T21:03:13Z,2025-03-18T21:03:13Z,NA,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.32371,-132.86332,12.09943,6.32298,-3.77468,-10.1848,-0.86353,5.3060600000000004,-0.88219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-18,16:03:29,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Fastball,NA,NA,90.94233,-3.079905,-0.941418,2270.710989,193.259474,12:30:00,6.4574,0.69866,5.97631,-18.11359,15.31698,3.37862,2.08973,0.10745,84.01756,-6.474273,-0.333771,0.416144,-1.98378,8.97111,-0.62614,50,6.20352,2.03045,-132.07955,-7.67441,-3.53602,25.75082,-16.18344,b030f9a1-2dcb-4261-a637-d78850cf693f,NA,NA,NA,NA,34.173467,1000224405,"Jacklin, Blake",NA,NA,80.73455,Left,-27.383516,NA,NA,NA,5.24137,5.24137,0.038321,24.345717,1.43431,2.09173,-0.10755,NA,NA,NA,NA,NA,2,3,ETS_BUC,1,Top,1,2,0,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,71ecd260-043c-11f0-8559-a7697564e310,90.57553,2.09173,NA,6.92477,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:03:29,2025-03-18T21:03:29Z,2025-03-18T21:03:29Z,GroundBall,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.5229,-132.95843,12.87541,6.45603,-7.12207,-8.09172,-0.6975,2.15114,-1.76801,NA,1.4331,87.18479,NA,NA,NA,NA,NA,NA,NA,2.09249,-54.58511,NA,NA,NA,NA,NA,NA,NA,-0.10837,59.19172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-03-18,16:04:02,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Slider,NA,NA,79.03757,0.456148,-0.255143,2658.579649,54.75949,07:45:00,6.24972,0.85031,5.36053,-50.1916,-4.86654,-8.75414,2.49486,-0.11846,73.17538,-8.640403,-1.814267,0.484552,4.34032,-2.17488,-0.82094,50,6.25466,0.85672,-114.87917,-0.83442,5.82898,20.29359,-35.0949,c49fd339-2fc4-49a5-94f1-7330225bd96b,NA,NA,NA,NA,NA,1000230177,"Miller, Cody",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ETS_BUC,1,Top,2,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,85a41fc0-043c-11f0-8559-a7697564e310,77.78821,NA,NA,5.86219,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:04:02,2025-03-18T21:04:02Z,2025-03-18T21:04:02Z,NA,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.14037,-115.78366,10.14679,6.25699,0.72978,-17.54745,-0.85333,0.59692,2.91449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-18,16:04:16,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Fastball,NA,NA,92.17744,-3.362737,-1.147757,2284.985377,195.046185,12:30:00,6.45701,0.74837,5.91226,-16.1791,16.61462,4.19386,1.98353,0.03247,84.72926,-6.413383,-0.39457,0.412161,-2.47028,9.74556,-0.6588,50,6.17785,2.50191,-133.75725,-8.36033,-4.49327,27.76526,-14.44758,8b0fea54-2601-41fc-a7de-bc50da5803a2,NA,NA,NA,NA,-7.107517,1000230177,"Miller, Cody",3907.001987,NA,105.37914,Right,13.581972,109.16934,22.67468,-13.49157,310.90749,308.13698,2.929987,-6.716326,1.67477,2.05417,-0.02027,NA,NA,NA,NA,NA,3,2,ETS_BUC,1,Top,2,0,1,Four-Seam,InPlay,Undefined,LineDrive,Triple,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,8d7836a0-043c-11f0-8559-a7697564e310,91.4508,26.94,NA,7.44818,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:04:16,2025-03-18T21:04:16Z,2025-03-18T21:04:16Z,LineDrive,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,54.58667,-134.70598,13.88263,6.45509,-7.86665,-7.22379,-0.74691,2.65545,-2.24664,177.327239,1.67478,149.07925,-24.76518,5.48569,-1.22346,0.25579,-0.04537,0.00558,-3.3e-4,2.05417,36.29413,-13.85032,0.47662,-0.01776,-0.00676,0.00303,-3.9e-4,2e-5,-0.02028,-18.58798,2.67946,-0.19091,-0.0251,0.01502,-0.00343,4.6e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-03-18,16:05:01,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Slider,NA,NA,80.34101,0.789238,-0.685591,2724.853203,67.023871,08:15:00,6.31774,0.94249,5.48041,-48.22534,-4.23992,-13.22871,3.03752,-0.8014,73.80585,-7.995856,-3.044905,0.477338,6.48603,-1.95965,-0.87308,50,6.35407,1.92318,-116.69337,-0.06886,8.92015,22.49574,-34.86911,7aee3a05-33f2-4cdd-8628-b9989878317c,NA,NA,NA,NA,57.658626,824576,"Torres, Cooper",2762.244224,NA,91.77973,Right,17.731236,52.07122,28.5477,96.89415,268.01402,127.90843,3.095452,68.304596,-0.25238,2.6227,0.67964,NA,NA,NA,NA,NA,4,1,ETS_BUC,1,Top,2,0,0,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,a882d220-043c-11f0-8559-a7697564e310,78.96388,31.32688,NA,6.53516,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:05:01,2025-03-18T21:05:01Z,2025-03-18T21:05:01Z,LineDrive,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.01974,-117.65708,11.24787,6.32502,1.42491,-17.43455,-0.94729,1.54104,4.46008,NA,-0.25237,68.58974,-19.46514,4.32411,-0.99106,0.20152,-0.03401,0.00395,-2.2e-4,2.6227,40.99586,-15.95047,1.13385,-0.19629,0.03957,-0.00576,7.2e-4,-5e-5,0.67965,108.32587,-13.2112,2.08404,-0.3628,0.05686,-0.00786,8e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
9,2025-03-18,16:05:20,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Slider,NA,NA,79.71311,-2.315817,-0.961938,2621.353807,67.182197,08:15:00,6.20525,1.00462,5.33379,-48.71672,-3.61654,-11.9832,-0.02869,-0.89656,73.67229,-11.088098,-3.09896,0.483349,5.81248,-0.81835,-0.90865,50,5.96058,2.40744,-115.65134,-6.36614,7.83064,22.63447,-33.27656,079499ce-9012-4573-a940-74e04fe258ed,NA,NA,NA,NA,NA,824576,"Torres, Cooper",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,ETS_BUC,1,Top,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,b3cb7650-043c-11f0-8559-a7697564e310,77.98185,NA,NA,6.04082,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:05:20,2025-03-18T21:05:20Z,2025-03-18T21:05:20Z,NA,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.16718,-116.65825,11.31723,6.21085,-4.88582,-16.63828,-1.008,2.05909,3.91532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-18,16:05:42,"Breedlove, Austin",824445,Right,TEN_VOL,Undefined,Curveball,NA,NA,77.32887,1.772277,-1.27195,2659.233447,40.008446,07:15:00,6.36822,0.96528,5.32502,-57.73479,-10.10678,-9.67579,3.22097,-1.03478,71.34713,-8.678116,-2.992106,0.49671,4.48933,-5.08177,-0.84309,50,6.48679,2.87456,-112.30224,1.4644,5.73983,20.11776,-38.67134,dd856c6d-5478-4cc3-ac78-a127a103bb22,NA,NA,NA,NA,NA,824576,"Torres, Cooper",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,ETS_BUC,1,Top,2,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEN_VOL,ETS_BUC,LindseyNelsonStadium,D1,SEC,20250318-LindseyNelsonStadium-2,c10403a0-043c-11f0-8559-a7697564e310,75.88426,NA,NA,5.98174,NA,NA,NA,a1b86712-adf8-4503-8fce-571d8a8841da,2025-03-18,21:05:42,2025-03-18T21:05:42Z,2025-03-18T21:05:42Z,NA,v3,471459,4844,NA,"Peebles, Cannon",702555,Right,TEN_VOL,55.17664,-113.22578,10.05888,6.37882,3.23968,-19.33567,-0.96901,2.61107,2.86991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
