PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-28,18:06:33,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.5885,-3.636596,-2.734729,2173.168491,227.183906,01:30:00,5.72117,1.7728,5.715,-16.79174,15.69666,15.72123,0.92571,0.53339,85.01626,-6.806315,0.075837,0.410238,-8.94312,9.44997,-1.55432,50,5.40622,5.78295,-135.48498,-9.16894,-16.48197,31.94673,-14.75799,fec50870-52d4-4379-a9e7-884593b73592,NA,NA,NA,NA,NA,831882,"Rivera, Juan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CHA_FOR,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,4b26ecc0-0c29-11f0-ba01-1561eda55fbe,91.87951,NA,NA,8.57224,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:06:33,2025-03-28T23:06:33Z,2025-03-28T23:06:33Z,NA,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.78514,-136.60863,15.97337,5.71959,-8.64986,-7.379,-1.76792,6.36266,-8.24099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-28,18:06:47,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.61172,-2.337747,-2.61276,2240.056642,227.576437,01:30:00,5.77249,1.75054,5.68012,-15.32595,17.43477,17.7282,2.31266,0.79065,84.06519,-5.278244,0.554007,0.411954,-9.88453,9.98178,-1.54179,50,5.56604,5.37018,-135.51219,-6.00498,-18.04527,34.64693,-13.95123,fc8cb1dd-49e5-40a7-8cfa-4e0f97d487bb,NA,NA,NA,NA,-67.997916,831882,"Rivera, Juan",4415.660095,NA,78.9054,Left,43.069185,35.0368,73.14743,-104.27077,270.12077,126.9282,4.358899,-76.660349,1.47623,2.54098,-0.5854,NA,NA,NA,NA,NA,1,2,CHA_FOR,1,Top,0,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,53550a80-0c29-11f0-ba01-1561eda55fbe,91.49681,79.02908,NA,9.54653,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:06:47,2025-03-28T23:06:47Z,2025-03-28T23:06:47Z,FlyBall,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.8171,-136.73826,17.32347,5.76981,-5.51129,-6.97561,-1.74313,6.00875,-9.02263,NA,1.47395,31.7278,-8.41143,2.15631,-0.48965,0.06907,0.00152,-0.00285,3.6e-4,2.54579,78.90532,-23.41944,1.37755,0.67844,-0.57003,0.18636,-0.02936,0.00181,-0.59224,-78.2187,6.07182,0.27019,-1.12465,0.63363,-0.17748,0.02528,-0.00145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-03-28,18:07:06,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.33339,-1.607638,-2.329549,2142.703865,227.39738,01:30:00,5.74345,1.71185,5.69225,-16.31753,16.16568,16.3993,2.88377,0.9062,84.85625,-4.702905,0.601109,0.410205,-9.03713,9.01115,-1.52657,50,5.59826,4.76715,-135.38208,-4.32585,-16.69034,30.90479,-15.53169,e4a04331-c6eb-490f-97ed-289579e3f05a,NA,NA,NA,NA,-50.687839,831882,"Rivera, Juan",4517.446644,NA,83.70231,Left,34.038218,63.53365,57.34185,-89.79662,291.65101,163.85978,4.071496,-61.969846,1.37522,2.90662,-0.48552,NA,NA,NA,NA,NA,1,3,CHA_FOR,1,Top,0,1,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,5ebafab0-0c29-11f0-ba01-1561eda55fbe,91.88686,64.701,NA,8.47714,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:07:06,2025-03-28T23:07:06Z,2025-03-28T23:07:06Z,FlyBall,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.80656,-136.4749,15.45239,5.74152,-3.77664,-7.76585,-1.70558,5.35734,-8.34517,NA,1.37528,64.44721,-14.50118,3.24111,-0.63813,0.119,-0.02801,0.00488,-3.4e-4,2.90724,68.69823,-21.92093,1.95775,-0.20125,-0.0662,0.03795,-0.00699,4.6e-4,-0.48557,-78.71195,5.77344,-0.87751,0.2896,-0.13828,0.04624,-0.00807,5.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
4,2025-03-28,18:07:29,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,94.49647,-1.634119,-0.735214,2157.69249,224.648966,01:30:00,5.81491,1.57155,5.72201,-13.86379,17.88371,16.58859,3.13697,2.26908,85.61053,-4.294243,2.232793,0.405533,-8.61607,9.89473,-1.52034,50,5.67,0.98522,-137.09108,-4.32082,-16.24832,32.87492,-13.51447,ca69970f-37ad-48c6-a86e-cb02a48f04f1,NA,NA,NA,NA,NA,831882,"Rivera, Juan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CHA_FOR,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,6c2ce780-0c29-11f0-ba01-1561eda55fbe,92.94544,NA,NA,8.88595,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:07:29,2025-03-28T23:07:29Z,2025-03-28T23:07:29Z,NA,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.77497,-138.2314,16.43746,5.81175,-3.85205,-6.75723,-1.56428,1.54882,-8.12416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-28,18:07:42,"Garner, Seth",811671,Right,MT,Undefined,ChangeUp,NA,NA,85.80417,-0.926483,-2.512386,1732.663711,263.949953,02:45:00,5.57877,2.12696,5.79033,-35.30226,3.12689,17.14422,1.77414,1.217,78.09086,-7.442363,0.561036,0.446172,-9.58949,2.22126,-1.93076,50,5.48114,4.76841,-124.48064,-3.22084,-14.89888,27.27769,-28.72292,1dacb476-790d-4576-9860-eaa6a2fd4fba,NA,NA,NA,NA,8.626111,831882,"Rivera, Juan",NA,NA,68.93149,Left,-6.842849,NA,NA,NA,19.65288,17.36414,0.16436,6.508943,3.30993,2.17479,-0.54615,NA,NA,NA,NA,NA,1,5,CHA_FOR,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,748aeee0-0c29-11f0-ba01-1561eda55fbe,84.4797,2.17479,NA,7.71331,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:07:42,2025-03-28T23:07:42Z,2025-03-28T23:07:42Z,GroundBall,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.70966,-125.50844,13.63885,5.58211,-2.13859,-14.36146,-2.12101,5.32979,-7.44944,234.204429,3.30986,99.24946,-3.56269,NA,NA,NA,NA,NA,NA,2.17481,-12.04725,-7.20894,NA,NA,NA,NA,NA,NA,-0.54623,15.06173,11.05254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
6,2025-03-28,18:08:21,"Garner, Seth",811671,Right,MT,Undefined,ChangeUp,NA,NA,85.24348,-0.737183,-2.856868,1698.0746,247.585567,02:15:00,5.58446,2.11072,5.88763,-31.94336,6.55378,12.93072,2.23711,0.53332,78.08698,-6.652822,-0.537286,0.446566,-7.49737,3.89481,-1.88803,50,5.50637,5.66901,-123.74396,-2.64187,-11.61226,24.94725,-26.14161,3f53633f-e8f7-428d-9a7f-349598d85bb0,NA,NA,NA,NA,0.699901,801979,"Riley, Chandler",3254.563367,NA,73.24532,Left,12.798853,NA,NA,NA,123.12044,123.12044,1.287941,-4.588242,2.94882,2.39996,-0.52639,NA,NA,NA,NA,NA,2,1,CHA_FOR,1,Top,1,0,0,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,8b9eadb0-0c29-11f0-ba01-1561eda55fbe,84.4051,9.11218,NA,7.1565,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:08:21,2025-03-28T23:08:21Z,2025-03-28T23:08:21Z,LineDrive,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.61282,-124.67045,12.47362,5.58646,-1.67102,-13.07081,-2.10657,6.10026,-5.80613,66.925741,2.94882,104.74934,-10.27481,1.05039,-0.09757,-0.02718,0.0091,-0.00232,3.5e-4,2.39996,23.79804,-22.2655,2.28323,-0.45005,0.08224,-0.01285,0.00219,-2.5e-4,-0.52639,1.2796400000000001,-9.14477,2.67781,-0.70912,0.15212,-0.03013,0.0052,-4.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-03-28,18:08:57,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.2015,-2.594556,-3.231474,2202.390245,227.031106,01:30:00,5.96225,1.30827,5.79005,-15.84965,16.70473,16.74485,2.22235,-0.30561,84.7141,-5.608703,-0.236456,0.410654,-9.44882,9.59233,-1.05201,50,5.73877,6.8634,-135.00382,-6.61474,-17.35319,30.73388,-14.55732,9875834d-95e6-4452-b2a2-406f3c5c1a09,NA,NA,NA,NA,NA,1000223628,"Gunderson, Cody",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CHA_FOR,1,Top,2,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,a0c89de0-0c29-11f0-ba01-1561eda55fbe,91.78633,NA,NA,8.4874,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:08:57,2025-03-28T23:08:57Z,2025-03-28T23:08:57Z,NA,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.70779,-136.07133,15.36694,5.95975,-6.1091,-7.27866,-1.30088,7.46615,-8.67659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-28,18:09:12,"Garner, Seth",811671,Right,MT,Undefined,Slider,NA,NA,83.01007,-0.672745,-0.902144,2350.787638,85.734583,08:45:00,5.91767,1.29076,5.69523,-40.46703,0.37532,-11.93516,1.91837,-0.54462,76.36526,-8.07835,-3.039539,0.459967,5.82465,0.76173,-1.20742,50,5.8359,2.37573,-120.59051,-2.80317,8.56288,23.81009,-31.05419,923818af-1851-444c-ad39-5c6218f441aa,NA,NA,NA,NA,NA,1000223628,"Gunderson, Cody",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CHA_FOR,1,Top,2,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,a9d16430-0c29-11f0-ba01-1561eda55fbe,81.94593,NA,NA,6.64482,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:09:12,2025-03-28T23:09:12Z,2025-03-28T23:09:12Z,NA,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.80451,-121.53544,11.90505,5.92269,-1.57075,-15.5271,-1.29497,2.0359,4.28144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-28,18:09:28,"Garner, Seth",811671,Right,MT,Undefined,Slider,NA,NA,82.11576,-0.298306,-2.304644,2269.116842,82.527944,08:45:00,5.96541,1.15644,5.29627,-44.33798,-1.11957,-20.35194,1.99028,-2.70449,74.41362,-8.366978,-5.913397,0.473158,9.36733,0.03071,-0.93162,50,5.90641,5.65119,-118.91343,-2.22086,13.13545,27.19809,-32.13098,8d643bcf-e642-45fb-aaa2-f3956b9a06a2,NA,NA,NA,NA,NA,1000223628,"Gunderson, Cody",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,CHA_FOR,1,Top,2,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,b3133be0-0c29-11f0-ba01-1561eda55fbe,79.66149,NA,NA,7.70214,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:09:28,2025-03-28T23:09:28Z,2025-03-28T23:09:28Z,NA,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,55.20128,-120.09719,13.59905,5.97264,-0.8224,-16.06549,-1.16514,5.07949,6.56773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-28,18:09:45,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.0844,-0.527758,-2.315909,2268.684844,204.164139,12:45:00,6.02892,1.19959,5.7704,-12.80977,20.21564,8.51304,4.4699,-0.24735,83.3009,-3.038104,-0.79333,0.413614,-5.05181,10.76264,-1.013,50,5.9776,5.05134,-134.80131,-1.56405,-9.11891,34.49682,-12.74667,8b93febf-ff25-4a7d-8f4c-cadbdd6e1dfe,NA,NA,NA,NA,NA,1000223628,"Gunderson, Cody",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,CHA_FOR,1,Top,2,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,CHA_FOR,FedExPark,D1,AMER,20250328-FedExPark-1,bd39a730-0c29-11f0-ba01-1561eda55fbe,91.12943,NA,NA,9.7835,NA,NA,NA,b0641695-8758-4b5e-bd25-31fb6b3f16d9,2025-03-28,23:09:45,2025-03-28T23:09:45Z,2025-03-28T23:09:45Z,NA,v3,471353,471371,28 March 2025 19:05-charlotte@memphis,"Sutton, Jonah",803359,Right,MT,54.72269,-136.00452,17.24841,6.0244,-1.11946,-6.37334,-1.19473,5.36939,-4.55946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
