PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-29,17:07:03,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,89.689,-1.350735,-3.988268,2293.061597,244.755169,02:15:00,5.67042,2.3645,5.60806,-24.88419,10.97119,20.39474,2.3326,0.33518,80.53974,-6.00794,-0.355247,0.430971,-11.64071,6.38398,-2.03647,50,5.53886,8.13234,-129.71089,-3.92158,-19.46848,31.77295,-21.49719,ae83001c-952e-4b65-a900-798f87eaee54,NA,NA,NA,NA,-11.657031,1000175598,"Alvarez, Noah",1530.40904,NA,100.06597,Left,6.804815,107.42903,4.60065,-23.64034,144.04129,144.04129,1.149931,-12.792715,0.3644,2.24052,0.46743,NA,NA,NA,NA,NA,1,1,CSU_BAK,1,Top,0,0,0,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,e977b860-0cfa-11f0-a649-15fc21653cc7,87.45924,6.47396,NA,9.14926,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:07:03,2025-03-30T00:07:03Z,2025-03-30T00:07:03Z,GroundBall,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.89029,-130.9033,15.88647,5.67089,-3.11481,-10.74859,-2.35538,8.86297,-9.73424,89.811808,0.56951,140.24774,-16.3033,NA,NA,NA,NA,NA,NA,2.33954,16.20219,-15.92587,NA,NA,NA,NA,NA,NA,0.4714,-29.49844,1.17431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
2,2025-03-29,17:07:44,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,89.52512,-1.645179,-3.243667,2297.133757,232.68392,01:45:00,5.73742,2.09162,5.7879,-19.64489,16.11863,19.34741,2.5669400000000002,0.68305,80.22433,-5.38816,0.217238,0.430419,-10.91729,9.14812,-1.8358,50,5.59015,6.49004,-129.55905,-4.32602,-18.18004,32.18483,-16.94009,97ff7502-07ff-48eb-965e-bcfcf1e85732,NA,NA,NA,NA,-33.513049,809923,"Cloyd, Evan",NA,NA,64.52418,Right,-7.946663,NA,NA,NA,14.99048,14.99048,0.150925,-34.354112,0.82805,2.48925,-0.6834,NA,NA,NA,NA,NA,2,1,CSU_BAK,1,Top,0,0,0,Sinker,InPlay,Undefined,GroundBall,Out,2,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,01631280-0cfb-11f0-a649-15fc21653cc7,87.57149,2.48925,NA,9.30078,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:07:44,2025-03-30T00:07:44Z,2025-03-30T00:07:44Z,GroundBall,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.70935,-130.7237,16.09242,5.73561,-3.71302,-8.47005,-2.08255,7.14791,-9.09002,33.700409,0.82805,78.145,-10.81946,NA,NA,NA,NA,NA,NA,2.4896,-13.1135,-22.42643,NA,NA,NA,NA,NA,NA,-0.68327,-51.75987,1.57068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-03-29,17:11:00,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,89.45805,-0.927541,-2.52573,2247.43128,244.765956,02:15:00,5.94771,2.26786,5.43001,-24.55671,11.35162,21.41824,3.0317,1.68569,80.96742,-5.49891,1.284264,0.43129,-11.48989,6.36213,-2.05901,50,5.84875,4.73693,-129.63948,-2.97041,-19.35234,29.70774,-21.45835,e63f2220-69b1-4939-97fd-367c51617276,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CSU_BAK,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,76476380-0cfb-11f0-a649-15fc21653cc7,87.39474,NA,NA,8.49063,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:11:00,2025-03-30T00:11:00Z,2025-03-30T00:11:00Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.068600000000004,-130.79582,14.85387,5.94811,-2.13516,-10.72918,-2.25805,5.4902,-9.67617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-29,17:11:17,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,90.02108,-0.010858,-3.538678,2187.494078,249.468059,02:15:00,5.8593,2.27282,5.49422,-26.4808,9.35504,21.27659,3.64239,0.73143,80.42148,-4.959352,0.245181,0.430854,-11.80965,5.11918,-1.97719,50,5.84094,7.05415,-130.18571,-0.97234,-19.82634,32.87919,-23.57987,c35001d4-1a60-4007-9b46-563c7b2590d5,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CSU_BAK,1,Top,2,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,80760c30-0cfb-11f0-a649-15fc21653cc7,87.4831,NA,NA,9.59959,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:11:17,2025-03-30T00:11:17Z,2025-03-30T00:11:17Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.00191,-131.4429,16.4396,5.86088,-0.07072,-11.78993,-2.2614,7.81224,-9.91317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-29,17:11:32,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,89.05458,-2.774833,-3.120994,2133.010732,245.537767,02:15:00,5.84852,2.34803,5.58903,-25.81604,10.21658,19.71351,1.10021,1.07361,81.01307,-7.556007,0.396718,0.432035,-10.92162,6.37567,-2.09304,50,5.59315,6.165,-128.93649,-7.15962,-18.23823,28.81492,-21.52715,2202f15d-6941-41c4-86c6-b130d17ddb16,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,CSU_BAK,1,Top,2,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,89cc7d50-0cfb-11f0-a649-15fc21653cc7,87.24388,NA,NA,8.04151,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:11:32,2025-03-30T00:11:32Z,2025-03-30T00:11:32Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.91073,-130.02932,14.40746,5.8492,-6.34318,-10.76357,-2.33997,6.8567,-9.11911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-29,17:11:50,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,90.0524,-1.135878,-3.473012,2247.002805,248.968207,02:15:00,5.90824,2.24299,5.54455,-26.13616,9.45989,21.13328,2.66659,0.75437,80.92768,-6.008183,0.290954,0.42941,-11.72068,5.54166,-1.95582,50,5.79273,6.93301,-130.29748,-3.51814,-19.79632,31.85402,-22.81415,3729c487-f2e5-4bf5-9019-eef2cc1fd471,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,CSU_BAK,1,Top,2,3,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,941516a0-0cfb-11f0-a649-15fc21653cc7,87.77723,NA,NA,9.12471,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:11:50,2025-03-30T00:11:50Z,2025-03-30T00:11:50Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.95268,-131.50269,15.92701,5.90951,-2.65496,-11.40708,-2.2323,7.68201,-9.89816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-29,17:12:06,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,89.74083,-0.347742,-3.178774,2238.439988,246.051896,02:15:00,5.85836,2.28571,5.49499,-26.00395,9.60245,18.8232,3.36557,0.87775,81.18473,-5.182828,0.170422,0.429473,-10.40867,5.31374,-2.02025,50,5.8106,6.36097,-130.00415,-1.72119,-17.6419,29.70585,-23.16766,35532844-918a-4214-8365-9bb938491637,NA,NA,NA,NA,NA,1000114484,"Mascaro, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,CSU_BAK,1,Top,2,3,1,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,9dffff90-0cfb-11f0-a649-15fc21653cc7,87.76447,NA,NA,8.5561,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:12:06,2025-03-30T00:12:06Z,2025-03-30T00:12:06Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.00341,-131.14245,14.85293,5.85955,-0.83344,-11.58383,-2.27694,7.03698,-8.82095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-29,17:12:43,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,89.76798,-0.359584,-4.684831,2246.816378,236.11136,01:45:00,5.76512,2.15164,5.73805,-22.3097,12.98469,17.51698,3.57001,-0.76079,81.24913,-4.551116,-1.563834,0.427587,-10.23709,7.06138,-1.7714,50,5.72156,9.86301,-129.88099,-1.55214,-17.36583,28.95826,-20.19534,686d7932-4719-4091-b43a-001bebf9ae4a,NA,NA,NA,NA,NA,1000125317,"Perreira, Brock",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,CSU_BAK,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,b3902ba0-0cfb-11f0-a649-15fc21653cc7,88.15156,NA,NA,8.51885,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:12:43,2025-03-30T00:12:43Z,2025-03-30T00:12:43Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.76004,-130.93799,14.47913,5.76476,-0.815,-10.09767,-2.14298,10.49687,-8.68292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-29,17:13:08,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Sinker,NA,NA,90.00718,-1.422977,-3.633764,2242.254252,243.808637,02:15:00,5.83543,2.23243,5.56383,-23.86722,11.4452,20.76324,2.51417,0.56339,81.55726,-5.874022,0.064068,0.427696,-11.54709,6.57611,-1.93233,50,5.69693,7.33785,-130.33266,-4.07443,-19.69176,29.58189,-20.95955,7cd7ed3b-2b4c-4771-9c63-5e5e5fa7906c,NA,NA,NA,NA,NA,1000125317,"Perreira, Brock",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,CSU_BAK,1,Top,2,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,c2621da0-0cfb-11f0-a649-15fc21653cc7,88.12906,NA,NA,8.44992,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:13:08,2025-03-30T00:13:08Z,2025-03-30T00:13:08Z,NA,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.93518,-131.44804,14.79095,5.83566,-3.28415,-10.47978,-2.223,8.08033,-9.84588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-29,17:13:29,"Smith, Dylan",1000083207,Right,CAL_FUL,Undefined,Curveball,NA,NA,77.64285,2.26171,-0.927864,2715.605271,29.288636,07:00:00,5.81246,2.13074,5.03727,-64.93807,-16.43969,-10.16044,2.53608,0.4086,70.63935,-9.445336,-2.726141,0.501228,4.73547,-8.38288,-2.03359,50,5.97607,2.23986,-112.53702,2.0664,5.98188,23.27833,-42.7633,e38eb57a-9f82-415d-9952-8c88eef1ce94,NA,NA,NA,NA,-23.142923,1000125317,"Perreira, Brock",NA,NA,66.2114,Left,-68.313472,NA,NA,NA,1.31373,1.31373,0.025811,-33.12212,0.24527,2.33812,-0.35242,NA,NA,NA,NA,NA,4,3,CSU_BAK,1,Top,2,1,1,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,CAL_FUL,CSU_BAK,GoodwinField,D1,BW,20250329-GoodwinField-1,cf05bdf0-0cfb-11f0-a649-15fc21653cc7,75.20025,2.33812,NA,7.0035,NA,NA,NA,02679246-d7ea-4571-8115-bd8c3d40c8c4,2025-03-30,00:13:29,2025-03-30T00:13:29Z,2025-03-30T00:13:29Z,GroundBall,v3,471254,471252,29 March 2025 20:00-calstbaker@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.4661,-113.66206,11.63917,5.82626,4.13315,-21.38165,-2.13486,1.95075,2.99094,NA,0.24474,33.12513,NA,NA,NA,NA,NA,NA,NA,2.33957,-90.58651,NA,NA,NA,NA,NA,NA,NA,-0.35219,-14.1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
