PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-29,12:06:11,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Fastball,NA,NA,88.19279,-1.965129,-2.641327,2141.287289,221.90736,01:30:00,6.31873,1.47381,5.88861,-19.44505,16.43261,13.7428,2.8708,0.16452,80.87905,-5.627884,-0.177165,0.431105,-7.79422,9.29847,-1.26874,50,6.14878,5.34303,-128.004,-4.99087,-12.96855,25.71966,-16.70266,66b65aeb-318d-4779-ae13-0f2f35d4d2fa,NA,NA,NA,NA,NA,10157178,"Chaplain, Cooper",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LIT_TRO,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,bc16ba80-0cb7-11f0-b667-5bfb90e44196,87.43206,NA,NA,7.31374,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:06:11,2025-03-29T16:06:11Z,2025-03-29T16:06:11Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.61595,-128.92814,12.85983,6.31733,-4.39073,-8.35133,-1.46909,5.80901,-6.48427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-29,12:06:28,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Curveball,NA,NA,74.00899,2.707878,1.182383,2352.342037,49.103289,07:45:00,6.29573,1.3613,5.3499,-59.8855,-7.79748,-10.85375,3.84775,1.56607,67.99287,-8.170487,-0.74705,0.519446,5.74957,-4.1328,-1.45984,50,6.49692,-1.8052,-107.39326,3.09999,6.71479,18.59665,-37.00062,5772a97b-ba3c-4d28-98e3-68e7f4275f96,NA,NA,NA,NA,NA,10157178,"Chaplain, Cooper",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LIT_TRO,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,c668c9b0-0cb7-11f0-b667-5bfb90e44196,72.56279,NA,NA,6.01612,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:06:28,2025-03-29T16:06:28Z,2025-03-29T16:06:28Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,55.15641,-108.28248,9.29833,6.30639,4.86922,-18.50031,-1.36584,-2.12628,3.3574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-29,12:06:43,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Curveball,NA,NA,73.85491,0.653913,-0.667781,2386.910084,39.694378,07:15:00,6.23803,1.35589,5.41232,-63.98531,-11.52375,-10.97272,1.51866,-0.18419,67.98862,-10.924292,-2.626541,0.521305,5.36894,-5.62445,-1.28836,50,6.25082,1.64815,-107.25939,-0.84805,6.19694,20.14864,-38.6659,181f5234-e128-4667-8f6f-eab95a06f34c,NA,NA,NA,NA,72.042063,10157178,"Chaplain, Cooper",NA,NA,78.00965,Left,-20.276406,NA,NA,NA,6.2411,6.2411,0.044304,48.286402,2.68393,1.76017,0.12658,NA,NA,NA,NA,NA,1,3,LIT_TRO,1,Top,0,1,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,cef3d480-0cb7-11f0-b667-5bfb90e44196,72.30399,1.76017,NA,5.86629,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:06:43,2025-03-29T16:06:43Z,2025-03-29T16:06:43Z,GroundBall,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,55.09536,-108.21232,10.07432,6.24769,0.98065,-19.33295,-1.35938,1.35506,3.09847,NA,2.68346,33.15612,NA,NA,NA,NA,NA,NA,NA,1.76073,-39.72935,NA,NA,NA,NA,NA,NA,NA,0.12512,102.29952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
4,2025-03-29,12:07:02,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Fastball,NA,NA,89.01718,-0.657129,-1.438737,2126.633854,213.460295,01:00:00,6.35704,1.50921,5.96672,-18.80781,16.26902,10.03249,4.18019,1.0109,81.4567,-4.218725,0.363934,0.426267,-5.50457,8.84772,-1.40043,50,6.29429,2.82109,-129.31543,-2.04428,-9.34152,26.41193,-17.15913,813e60ae-75d5-477f-b0bc-f90e6005eb25,NA,NA,NA,NA,NA,10157178,"Chaplain, Cooper",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,LIT_TRO,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,da38a820-0cb7-11f0-b667-5bfb90e44196,88.42454,NA,NA,7.56048,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:07:02,2025-03-29T16:07:02Z,2025-03-29T16:07:02Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.53513,-130.23841,13.20596,6.35526,-1.44465,-8.57956,-1.50472,3.14754,-4.67076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-29,12:07:18,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Curveball,NA,NA,75.95379,1.371744,-1.220345,2302.974687,58.267555,08:00:00,5.96013,1.62258,5.51581,-49.31692,-1.12587,-3.76729,3.13367,0.16729,71.08968,-7.585626,-1.892089,0.499637,1.64181,-0.51843,-1.51353,50,6.04606,2.49196,-110.50936,1.04886,2.07036,16.05171,-32.82779,097ce165-e87c-4d1f-a54d-539aab6a76b6,NA,NA,NA,NA,NA,10157178,"Chaplain, Cooper",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,LIT_TRO,1,Top,0,2,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,e3df0e00-0cb7-11f0-b667-5bfb90e44196,75.43964,NA,NA,4.86411,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:07:18,2025-03-29T16:07:18Z,2025-03-29T16:07:18Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.99116,-111.23198,8.02586,5.96558,2.5267,-16.41389,-1.62362,2.39876,1.03518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.71868,2.324568,1.35721,0.967358,-0.68229,2.84704,-0.09746,0.08848,5.49511,-2.80621,81.66098,7.827,-43.1837,0.20154,91.88705,-7.88283,5.54871,15.64072,-13.70552,-2.86233,-45.49057,3.90975,High,High,High,NA,NA,High,High,High
6,2025-03-29,12:07:49,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Curveball,NA,NA,76.30867,0.920436,-1.311588,2366.356026,59.70898,08:00:00,6.07731,1.54764,5.4722,-50.09463,-0.93362,-4.43201,2.76448,-0.0494,69.60771,-8.239859,-2.101456,0.50464,1.83047,-0.25595,-1.42916,50,6.12418,2.70415,-110.68903,0.13836,2.24921,21.52615,-32.48853,378e0ccd-f802-4e71-b2a2-3fd07485bed5,NA,NA,NA,NA,NA,825134,"Harris, Sammy",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LIT_TRO,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,f69b3280-0cb7-11f0-b667-5bfb90e44196,74.69172,NA,NA,6.70097,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:07:49,2025-03-29T16:07:49Z,2025-03-29T16:07:49Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,55.0308,-111.6631,10.76308,6.08466,1.60849,-16.24427,-1.54922,2.60238,1.12461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-29,12:08:01,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Fastball,NA,NA,89.19619,-1.128183,-1.84634,2202.054407,229.180579,01:45:00,6.22733,1.35588,6.0371,-20.95249,14.39505,15.2132,3.43589,0.91329,80.59107,-5.104912,0.891205,0.427908,-8.25768,8.10315,-1.21891,50,6.12784,3.4981,-129.34756,-3.17846,-13.82374,29.97039,-18.60897,54378c55-d5f1-41d8-b67f-c2689e9bf67f,NA,NA,NA,NA,-174.290743,825134,"Harris, Sammy",NA,NA,72.93422,Left,4.866397,NA,NA,NA,NA,26.45248,NA,NA,-0.79321,3.38133,-1.00143,NA,NA,NA,NA,NA,2,2,LIT_TRO,1,Top,1,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,fd9abb50-0cb7-11f0-b667-5bfb90e44196,88.0853,5.69829,NA,8.60512,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:08:01,2025-03-29T16:08:01Z,2025-03-29T16:08:01Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.46147,-130.3772,14.9852,6.22606,-2.53914,-9.30449,-1.34725,3.97302,-6.91187,186.674321,-0.7932,-106.05623,4.91883,NA,NA,NA,NA,NA,NA,3.38063,9.11267,1.88785,NA,NA,NA,NA,NA,NA,-1.00132,-10.60883,-1.64636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
8,2025-03-29,12:08:21,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Curveball,NA,NA,76.84989,1.200605,0.561006,2554.550819,49.229752,07:45:00,6.31844,1.12083,5.31947,-63.51492,-14.21387,-18.58001,2.15258,0.09905,69.61932,-10.319847,-2.749556,0.505359,9.49292,-7.003,-1.15772,50,6.38126,-0.35517,-111.42429,0.12281,11.65529,24.38459,-40.77222,e9cb88aa-7362-4053-90f6-1e2e71641525,NA,NA,NA,NA,NA,825134,"Harris, Sammy",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,LIT_TRO,1,Top,1,0,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,09a96ea0-0cb8-11f0-b667-5bfb90e44196,74.58554,NA,NA,7.23057,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:08:21,2025-03-29T16:08:21Z,2025-03-29T16:08:21Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,55.18679,-112.55366,12.19229,6.33184,2.01119,-20.38611,-1.12877,-0.89499,5.82764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.98338,2.27402,1.325363,0.948657,1.07405,2.08988,-0.08253,0.30847,5.44965,-2.44812,83.02227,7.452,-41.82044,0.37448,93.60853,-6.8047,5.51198,15.58229,-14.23615,-2.58664,-49.50084,8.51427,High,High,High,NA,NA,High,High,High
9,2025-03-29,12:08:53,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Fastball,NA,NA,90.46812,-3.862157,-3.499149,2176.249397,207.931305,01:00:00,6.28423,1.27302,6.04968,-13.06024,21.33005,10.66831,1.60815,-1.08153,82.12649,-6.396663,-1.584007,0.422075,-6.53973,12.49394,-1.0059,50,5.97544,7.55269,-130.86297,-9.17214,-11.25787,29.49872,-10.66623,ae551138-b2c4-43c2-993f-a6ebcd4d650e,NA,NA,NA,NA,NA,1000227733,"Geck, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LIT_TRO,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,1c866190-0cb8-11f0-b667-5bfb90e44196,89.30281,NA,NA,8.34164,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:08:53,2025-03-29T16:08:53Z,2025-03-29T16:08:53Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.4527,-131.86286,14.74936,6.28021,-8.81059,-5.33312,-1.26837,7.93429,-5.62893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-29,12:09:13,"Kimball, Blake",1000364963,Right,SOU_IND16,Undefined,Fastball,NA,NA,89.3513,-2.792068,-2.743365,2059.736191,214.70292,01:15:00,6.3242,1.31819,5.99657,-15.78068,19.08607,12.45367,2.41662,-0.18832,81.8987,-5.7985,-0.506663,0.424988,-7.17583,10.92079,-1.10885,50,6.09509,5.69984,-129.60891,-6.77294,-12.23739,26.44171,-13.55016,f86391a6-5f76-49ac-b4e9-b732bb75e312,NA,NA,NA,NA,53.904257,1000227733,"Geck, Ryan",4756.017362,NA,76.69941,Right,48.098608,NA,NA,NA,NA,63.61379,NA,NA,1.64446,2.81987,0.13117,NA,NA,NA,NA,NA,3,2,LIT_TRO,1,Top,2,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_IND16,LIT_TRO,USIField,D1,OVC,20250329-USIField-1,28ab0de0-0cb8-11f0-b667-5bfb90e44196,88.6905,66.26856,NA,7.4526,NA,NA,NA,ce0739ab-fb68-4fff-a68a-d3e1af605fe9,2025-03-29,16:09:13,2025-03-29T16:09:13Z,2025-03-29T16:09:13Z,NA,v3,southernindiana,471235,29 March 2025 16:00-arkansaslr@southernindiana,"Wall, Micajah",1000131896,Right,SOU_IND16,54.50771,-130.52529,13.22085,6.32168,-6.30333,-6.77508,-1.31374,6.12395,-6.11869,NA,1.64446,44.26066,-18.73077,5.37121,-1.31644,0.29357,-0.06409,0.01179,-0.00129,2.81987,83.72748,-21.09655,1.46024,-0.08929,-0.03513,0.01792,-0.00458,6.9e-4,0.13117,60.70599,-5.3279,0.45865,0.08695,-0.05975,0.02005,-0.00485,6.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
