PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-04,13:04:07,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,89.50847,-1.762523,4.691059,2205.058008,124.402603,10:15:00,4.91869,-2.93351,5.74292,-21.93938,13.20036,-17.6634,1.44327,-0.02779,82.0209,-5.85685,1.542442,0.426649,10.2591,7.5254,2.55358,50,4.75816,-9.88004,-129.62173,-4.72943,17.52477,26.07109,-19.31901,2a8cc235-24a3-4874-a2d1-75eb04943f05,NA,NA,NA,NA,NA,804826,"Ogden, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_HUR,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,0575c4f0-1177-11f0-8cb3-c1c9a198e887,88.34535,NA,NA,7.48758,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:04:07,2025-04-04T17:04:07Z,2025-04-04T17:04:07Z,NA,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.75862,-130.57533,13.03555,4.91822,-4.0228,-9.6595,2.92668,-10.52104,8.76239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-04,13:04:24,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,90.10879,-2.358368,4.610409,2255.688278,117.909643,10:00:00,4.9316700000000004,-2.85918,5.71873,-22.66442,12.09595,-20.73903,0.8377,-0.28341,82.53554,-6.576285,0.912404,0.42434,11.87201,7.12741,2.48637,50,4.71979,-9.63497,-130.46258,-6.15894,20.50997,26.83666,-19.86083,c72e67c1-39f8-47dd-9f85-4d8138244504,NA,NA,NA,NA,NA,804826,"Ogden, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIA_HUR,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,0f72d650-1177-11f0-8cb3-c1c9a198e887,88.8261,NA,NA,7.57325,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:04:24,2025-04-04T17:04:24Z,2025-04-04T17:04:24Z,NA,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.78385,-131.44295,13.41833,4.93153,-5.43341,-9.93042,2.85204,-10.38423,10.25499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-04,13:04:41,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,80.83859,0.833143,3.107406,2350.557649,257.833814,02:30:00,4.61246,-3.04451,5.58347,-40.28494,2.6504,6.7552,2.03465,0.42324,74.8786,-6.524461,4.309575,0.471605,-2.67406,1.44756,2.77251,50,4.65744,-6.63061,-117.37661,0.36407,-3.76452,20.32113,-30.13618,cbedf6e6-b024-4583-89dc-7705e073af2f,NA,NA,NA,NA,-60.713515,804826,"Ogden, Jake",NA,NA,93.09323,Right,-3.580408,NA,NA,NA,37.03687,28.14083,0.260064,-57.085006,2.77281,2.21963,-0.15219,NA,NA,NA,NA,NA,1,3,MIA_HUR,1,Top,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,19aacdd0-1177-11f0-8cb3-c1c9a198e887,79.92367,2.21963,NA,5.95999,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:04:41,2025-04-04T17:04:41Z,2025-04-04T17:04:41Z,GroundBall,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.91947,-118.22524,10.16056,4.61596,1.62258,-15.06809,3.04613,-6.4734,-1.88226,180,2.77009,66.72524,NA,NA,NA,NA,NA,NA,NA,2.21997,-8.53493,NA,NA,NA,NA,NA,NA,NA,-0.14733,-118.96872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
4,2025-04-04,13:05:03,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,ChangeUp,NA,NA,83.31141,0.944091,3.091201,2012.013236,86.781131,09:00:00,4.48774,-3.11295,5.76528,-40.19427,0.61343,-13.58871,2.01826,-1.36552,75.70147,-6.468956,0.660757,0.459772,7.88004,0.40665,2.86532,50,4.54156,-5.97997,-120.79759,0.63254,11.54507,25.38882,-31.57823,f82bdb2a-5698-4c3f-bf1c-3395e40710eb,NA,NA,NA,NA,-119.96524,804826,"Ogden, Jake",NA,NA,63.60269,Right,-59.98316,NA,NA,NA,1.32436,1.8555,0.025463,14.994329,1.87497,2.06434,1.37587,NA,NA,NA,NA,NA,1,4,MIA_HUR,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,26dd67b0-1177-11f0-8cb3-c1c9a198e887,81.98073,2.06434,NA,7.60995,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:05:03,2025-04-04T17:05:03Z,2025-04-04T17:05:03Z,GroundBall,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.7358,-121.78888,12.69441,4.49279,1.86549,-15.78912,3.1076,-6.43074,5.77253,NA,1.87532,-23.39477,NA,NA,NA,NA,NA,NA,NA,2.06556,-81.0721,NA,NA,NA,NA,NA,NA,NA,1.37649,-40.57777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
5,2025-04-04,13:05:45,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,81.39822,0.973322,1.791602,2336.334012,263.502096,02:45:00,4.59768,-3.13372,5.46887,-40.6614,2.6439,10.27099,2.12069,-0.60052,73.92145,-6.495702,3.619003,0.473633,-4.61701,1.4635,2.96887,50,4.65574,-4.11112,-118.0094,0.60889,-6.4371,24.82889,-30.13358,7d3c7203-2559-425a-ba65-7fcba81c609b,NA,NA,NA,NA,143.839585,804826,"Ogden, Jake",3778.014992,NA,63.46792,Right,24.574082,NA,NA,NA,130.80424,46.14643,1.843411,149.851978,0.34056,2.02526,0.31385,NA,NA,NA,NA,NA,1,5,MIA_HUR,1,Top,0,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,3ff18a60-1177-11f0-8cb3-c1c9a198e887,79.58153,17.84008,NA,7.47677,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:05:45,2025-04-04T17:05:45Z,2025-04-04T17:05:45Z,LineDrive,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,55.03042,-119.06308,12.41445,4.60277,1.88769,-15.06679,3.13754,-3.83794,-3.21855,NA,0.34057,-68.34784,2.34144,1.15392,-0.43144,0.20639,-0.10746,0.04546,-0.00846,2.02525,38.71218,-26.07985,3.40259,-0.78943,0.22761,-0.07978,0.02456,-0.0034,0.31384,49.95102,-9.55761,1.31762,-0.24631,-0.01527,0.05302,-0.03182,0.00688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-04-04,13:06:12,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,88.84256,-1.213739,2.790616,2149.868745,118.906459,10:00:00,4.86754,-2.85389,5.89307,-24.55037,11.04977,-17.86021,1.69323,-1.74914,80.88192,-5.807115,-0.413288,0.429435,9.86516,6.36996,2.63874,50,4.75565,-5.5064,-128.8581,-3.5399,16.51019,27.93333,-21.51339,7abf99ac-5947-466a-a7c0-b2ba856a5e06,NA,NA,NA,NA,NA,804826,"Ogden, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,MIA_HUR,1,Top,0,1,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,4f5b0170-1177-11f0-8cb3-c1c9a198e887,87.77222,NA,NA,7.96065,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:06:12,2025-04-04T17:06:12Z,2025-04-04T17:06:12Z,NA,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.60576,-129.85268,13.96667,4.86805,-2.7739,-10.7567,2.84526,-6.09425,8.25509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.74412,NA,NA,1.222705,NA,NA,NA,-2.36481,5.53917,3.21759,70.66361,9.72585,-54.14376,-2.28185,64.71888,-4.12841,5.60857,20.34992,-13.879,3.0984,-53.05863,5.09164,High,High,High,NA,NA,High,High,High
7,2025-04-04,13:06:45,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,88.66827,-0.896303,2.36048,2208.475159,115.777254,09:45:00,4.87051,-2.91605,5.87786,-25.90431,10.08595,-18.24607,1.8786,-2.24301,80.17794,-5.748978,-0.913205,0.431781,9.86859,5.83457,2.73458,50,4.78337,-4.47649,-128.53115,-2.87458,16.31875,29.50098,-22.52599,26a232f7-a779-4e45-8126-972dd820f1ca,NA,NA,NA,NA,NA,806678,"Peralta, Fabio",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIA_HUR,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,63797510-1177-11f0-8cb3-c1c9a198e887,87.29518,NA,NA,8.49033,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:06:45,2025-04-04T17:06:45Z,2025-04-04T17:06:45Z,NA,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.61794,-129.58674,14.75049,4.8718,-2.06856,-11.263,2.90521,-5.0604,8.15937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-04,13:07:16,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,80.29328,0.831139,4.863949,2362.985799,270.052569,03:00:00,4.59913,-3.13729,5.60216,-42.6016,1.27008,5.79827,1.82778,1.89764,74.12656,-6.934583,5.891741,0.47672,-1.6478,0.83327,2.71601,50,4.64293,-10.12097,-116.26616,0.26465,-2.26664,20.7941,-31.02782,9130bd58-30c6-4b34-9856-dd3a6ef33be9,NA,NA,NA,NA,NA,806678,"Peralta, Fabio",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MIA_HUR,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,7587a650-1177-11f0-8cb3-c1c9a198e887,79.06619,NA,NA,6.16672,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:07:16,2025-04-04T17:07:16Z,2025-04-04T17:07:16Z,NA,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.89889,-117.13904,10.39705,4.60448,1.56712,-15.51391,3.13886,-10.02582,-1.13332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-04,13:07:38,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,87.78968,-0.522281,3.883254,2235.808491,123.302574,10:00:00,4.92376,-2.88199,6.01882,-22.10379,13.94725,-19.52544,2.59687,-0.90656,80.36675,-4.681642,0.379524,0.432146,11.16272,7.65926,2.5882,50,4.87064,-7.8662,-127.38628,-1.84332,18.39679,25.44052,-19.55116,363e072c-4198-4ce5-83bb-dcb1b3f4eb8c,NA,NA,NA,NA,113.409146,806678,"Peralta, Fabio",NA,NA,46.88602,Left,-17.692734,NA,NA,NA,10.47291,7.54545,0.146163,67.336699,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MIA_HUR,1,Top,1,2,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,833319b0-1177-11f0-8cb3-c1c9a198e887,87.22155,3.08475,NA,7.42294,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:07:38,2025-04-04T17:07:38Z,2025-04-04T17:07:38Z,GroundBall,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.48365,-128.27859,12.72026,4.92327,-1.15758,-9.77558,2.87542,-8.51145,9.1984,NA,7.88325,-26.28476,NA,NA,NA,NA,NA,NA,NA,3.08959,-21.10492,NA,NA,NA,NA,NA,NA,NA,0.7762,60.71391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-04-04,13:08:09,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,81.13189,0.813541,5.195647,2359.979155,273.07703,03:00:00,4.60731,-3.1358,5.73536,-42.14538,1.01421,6.49327,1.85598,2.257,74.30121,-6.902825,6.348177,0.472835,-1.78429,0.71937,2.69784,50,4.64969,-10.92524,-117.33648,0.2737,-2.4773,23.05412,-31.17525,24bc85c2-7e74-4632-af86-2cdebd994cba,NA,NA,NA,NA,NA,806678,"Peralta, Fabio",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,MIA_HUR,1,Top,1,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MIA_HUR,CharlesCost,D1,ACC,20250404-CharlesCost-1,956797a0-1177-11f0-8cb3-c1c9a198e887,79.71578,NA,NA,6.83068,NA,NA,NA,60067e0e-79ab-4f09-b1ab-620a15a778e1,2025-04-04,17:08:09,2025-04-04T17:08:09Z,2025-04-04T17:08:09Z,NA,v3,471411,236,04 April 2025 15:00-miamifl@pittsburgh,"Melendez, Jayden",695624,Right,PIT_PAN,54.76443,-118.26889,11.52706,4.61312,1.53455,-15.58762,3.13768,-10.82505,-1.23865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
