PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-05,13:00:27,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,91.27516,-1.494396,-1.675299,2172.807239,216.731839,01:15:00,5.98657,2.22379,6.12989,-14.64485,18.90891,13.23717,3.38398,1.77796,82.5709,-4.331098,0.710489,0.41691,-7.4702,10.63737,-2.10301,50,5.865,3.33927,-132.49908,-3.85468,-13.12045,31.48528,-13.49093,4cb7978f-43e4-47d0-a7e2-8ad8101cd454,NA,NA,NA,NA,NA,10054523,"Drumm, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BUT_BUL,1,Top,0,0,0,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,79a17770-123f-11f0-819f-1ffac5a53409,90.40911,NA,NA,8.70427,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:00:27,2025-04-05T17:00:27Z,2025-04-05T17:00:27Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.36889,-133.53321,15.74264,5.98433,-3.41157,-6.74547,-2.21977,3.77021,-6.56023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-05,13:01:09,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,89.58963,-1.42398,-2.311479,2226.284134,215.911118,01:15:00,5.98349,2.2108,6.0576,-16.33426,18.71816,12.64316,3.30296,1.12381,80.80658,-4.575217,-0.036999,0.426119,-7.17878,10.42087,-2.03761,50,5.86399,4.69792,-129.87958,-3.66552,-12.10237,30.51384,-14.60599,c2484721-22b1-4c87-a6e2-ee3278145976,NA,NA,NA,NA,NA,1000077015,"Moroknek, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BUT_BUL,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,926afc90-123f-11f0-819f-1ffac5a53409,88.4553,NA,NA,8.78305,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:01:09,2025-04-05T17:01:09Z,2025-04-05T17:01:09Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.43654,-130.91775,15.25692,5.98025,-3.16858,-7.303,-2.20445,5.10968,-6.05118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-05,13:01:26,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Sinker,NA,NA,89.59855,-1.392159,-1.300445,2137.834516,234.73333,01:45:00,5.94345,2.15545,6.10496,-22.98371,11.45981,14.6945,2.74017,2.17721,82.16418,-5.700385,1.348917,0.422401,-7.89437,6.62752,-2.06282,50,5.82439,2.3404,-130.19012,-3.89357,-13.57135,26.91325,-20.78055,928378a3-a8ec-4df1-a065-25b20208076a,NA,NA,NA,NA,NA,1000077015,"Moroknek, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BUT_BUL,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,9cb40b10-123f-11f0-819f-1ffac5a53409,89.23373,NA,NA,7.43437,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:01:26,2025-04-05T17:01:26Z,2025-04-05T17:01:26Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.39216,-131.09494,13.45663,5.94355,-3.19493,-10.39028,-2.14917,2.79667,-6.78568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-05,13:01:45,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Sinker,NA,NA,89.76217,-1.933188,-2.083306,2100.98412,235.662643,01:45:00,5.94625,2.24448,6.21834,-23.03698,11.1889,14.80725,2.24077,1.55516,82.30273,-6.255477,0.591486,0.421065,-8.19748,6.66567,-2.09533,50,5.78993,4.12973,-130.35847,-5.12149,-14.12256,27.09812,-20.6905,3cb0f4fa-46a9-4eaa-8135-400cdd134d3a,NA,NA,NA,NA,NA,1000077015,"Moroknek, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,BUT_BUL,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,a82e6da0-123f-11f0-819f-1ffac5a53409,89.51701,NA,NA,7.45943,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:01:45,2025-04-05T17:01:45Z,2025-04-05T17:01:45Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.27877,-131.2449,13.54906,5.94639,-4.44466,-10.34525,-2.23798,4.59171,-7.06128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-05,13:02:04,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,90.21955,-1.570809,-1.943758,2255.664669,219.787981,01:15:00,6.0351,1.98113,5.92572,-17.78312,16.69591,12.93847,3.09446,1.25509,82.00256,-4.953259,0.379184,0.422619,-7.22776,9.37457,-1.83314,50,5.89947,3.89514,-130.9202,-4.1241,-12.46597,29.25687,-16.00537,b044feff-c1e6-4f03-96b6-1800259331b7,NA,NA,NA,NA,-159.012358,1000077015,"Moroknek, Jack",2445.814876,NA,71.23211,Right,32.924188,-102.87167,36.26748,-38.95255,210.06636,78.87474,2.690611,-160.194598,0.65438,3.07757,-1.27637,NA,NA,NA,NA,NA,2,4,BUT_BUL,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,b34c7f60-123f-11f0-819f-1ffac5a53409,89.18776,36.45109,NA,8.21699,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:02:04,2025-04-05T17:02:04Z,2025-04-05T17:02:04Z,FlyBall,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.57156,-131.93786,14.62844,6.03324,-3.56738,-8.00268,-1.97617,4.32875,-6.23299,10.729178,0.65467,-81.88964,5.50553,-1.59956,0.62335,-0.27157,0.06951,-0.00756,1.1e-4,3.07767,56.77999,-27.68561,3.64889,-0.70837,0.10023,-0.01354,0.00235,-2.8e-4,-1.27619,-31.41686,3.62514,-1.02579,0.38146,-0.16248,0.04151,-0.0046,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-04-05,13:02:33,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Fastball,NA,NA,90.22817,-2.187523,-1.503766,2199.731993,215.39559,01:15:00,5.96832,1.86661,6.01403,-16.1245,18.49281,12.25386,2.59656,1.49446,81.46517,-5.289378,0.700579,0.423465,-6.76241,10.5576,-1.75525,50,5.78796,2.91033,-130.82051,-5.44115,-11.55891,31.11768,-14.12806,039ea062-bb2b-41d7-a29b-71ed1be1afc7,NA,NA,NA,NA,-47.640365,1000077015,"Moroknek, Jack",3228.847707,NA,89.81141,Right,20.501982,66.59515,35.03114,-87.55046,278.12486,113.22785,3.322104,-59.870222,0.30749,2.67276,-1.58227,NA,NA,NA,NA,NA,2,5,BUT_BUL,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,c4c3eee0-123f-11f0-819f-1ffac5a53409,89.00947,39.41012,NA,8.763,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:02:33,2025-04-05T17:02:33Z,2025-04-05T17:02:33Z,LineDrive,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.48135,-131.88216,15.55884,5.96537,-4.95914,-7.06403,-1.86127,3.30469,-5.77946,NA,0.30784,83.11985,-24.11047,6.09657,-1.2644,0.24174,-0.04371,0.00588,-3.8e-4,2.67221,46.15192,-14.5074,-0.18324,0.18811,-0.06532,0.01946,-0.00362,3e-4,-1.58236,-91.16616,10.79029,-2.53549,0.49453,-0.0881,0.01456,-0.00177,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
7,2025-04-05,13:02:56,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Sinker,NA,NA,89.34951,-2.027102,-2.234913,2138.239635,237.065315,02:00:00,5.96355,1.79828,6.15604,-23.46946,11.18804,15.57804,2.13282,1.03068,81.88301,-6.424326,0.575542,0.423711,-8.71229,6.68552,-1.63649,50,5.7974,4.43665,-129.74686,-5.33261,-14.84938,27.1791,-20.77914,7ecde25c-3155-49f3-8403-ea2dd3605071,NA,NA,NA,NA,-3.206348,1000077015,"Moroknek, Jack",NA,NA,106.44654,Right,-13.578556,NA,NA,NA,10.39916,10.39916,0.058818,-9.102081,1.34528,2.15853,-1.14522,NA,NA,NA,NA,NA,2,6,BUT_BUL,1,Top,0,2,2,Sinker,InPlay,Undefined,GroundBall,Out,2,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,d259b760-123f-11f0-819f-1ffac5a53409,88.95785,2.15853,NA,7.4665,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:02:56,2025-04-05T17:02:56Z,2025-04-05T17:02:56Z,GroundBall,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.3427,-130.65339,13.58955,5.9637,-4.63954,-10.38957,-1.79273,4.93193,-7.42469,180,1.34354,151.70348,NA,NA,NA,NA,NA,NA,NA,2.15895,-36.69829,NA,NA,NA,NA,NA,NA,NA,-1.14512,-8.4984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
8,2025-04-05,13:03:29,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Sinker,NA,NA,91.28728,-2.703761,-2.508934,2167.74092,235.874855,01:45:00,6.00754,2.25775,6.18235,-20.53096,12.66902,17.13698,1.79574,1.36762,83.65426,-6.564189,0.583449,0.414706,-9.52772,7.62725,-2.07653,50,5.7927,5.08564,-132.46691,-6.89892,-16.9413,28.11103,-18.612,d6f6cad4-1792-431c-ad83-cb8690452778,NA,NA,NA,NA,NA,1000116126,"Bello, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BUT_BUL,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,e5e8bc40-123f-11f0-819f-1ffac5a53409,90.88955,NA,NA,7.63303,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:03:29,2025-04-05T17:03:29Z,2025-04-05T17:03:29Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.31547,-133.37956,14.05552,6.00687,-6.29466,-9.306,-2.25057,5.63565,-8.47065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-05,13:03:46,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Sinker,NA,NA,90.12548,-1.639373,-2.720067,2145.38547,226.825574,01:30:00,5.93007,2.13488,6.48782,-19.78162,13.63202,13.47666,2.77445,0.75887,83.00591,-5.385601,-0.275952,0.416038,-7.82808,7.88634,-1.94986,50,5.8060600000000004,5.7141,-131.0068,-4.31944,-13.69509,25.94995,-18.37701,331e00ce-59b5-4278-8667-34409e507463,NA,NA,NA,NA,NA,1000116126,"Bello, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,BUT_BUL,1,Top,2,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,f0819870-123f-11f0-819f-1ffac5a53409,90.59847,NA,NA,7.11957,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:03:46,2025-04-05T17:03:46Z,2025-04-05T17:03:46Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.01211,-131.79912,12.97497,5.92938,-3.75834,-9.18851,-2.13071,6.13225,-6.84755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-05,13:04:07,"Schmidt, Logan",1000164817,Right,XAV_MUS,Undefined,Slider,NA,NA,82.03844,-0.260314,-2.403579,2140.901737,25.752179,06:45:00,5.89722,2.10485,5.50551,-43.3238,-0.34724,-0.93673,2.04324,-0.22237,74.03171,-8.20721,-2.57054,0.471832,-0.34252,0.38181,-1.89433,50,5.84563,5.02524,-118.79734,-2.05116,-0.47935,27.15533,-31.63973,32afe83c-3fdf-4350-b35c-bd51770d135a,NA,NA,NA,NA,NA,1000116126,"Bello, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,BUT_BUL,1,Top,2,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,BUT_BUL,HaydenField,D1,BEAST,20250405-HaydenField-1,fca1ff00-123f-11f0-819f-1ffac5a53409,79.88531,NA,NA,8.00672,NA,NA,NA,d2928c98-b457-42b9-b416-7d55db5bf320,2025-04-05,17:04:07,2025-04-05T17:04:07Z,2025-04-05T17:04:07Z,NA,v3,471497,471250,05 April 2025 14:00-butler@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.98982,-119.93251,13.57767,5.90373,-0.72852,-15.81987,-2.10482,5.04528,-0.23968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
