PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-05,13:02:13,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,89.89246,-2.981304,1.708081,2444.844946,143.998384,10:45:00,6.28171,-1.55501,5.97406,-16.62883,18.53017,-12.49623,2.12838,-1.01239,80.82558,-6.177266,-0.538121,0.426766,6.94264,10.86442,1.42654,50,6.03635,-3.33913,-130.15188,-7.2379,11.68748,32.04941,-13.88451,1fbf508b-1b92-444e-9df3-b99d3f6946e0,NA,NA,NA,NA,NA,1000220872,"Foley, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,EMO_HEN,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,b91f6f10-123f-11f0-b453-c198db140695,88.32114,NA,NA,9.06688,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:02:13,2025-04-05T17:02:13Z,2025-04-05T17:02:13Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.52224,-131.26074,16.02471,6.27846,-6.75752,-6.94225,1.54906,-3.7435,5.84374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-05,13:02:27,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,ChangeUp,NA,NA,84.14169,-1.904796,0.99715,1929.400564,144.32854,10:45:00,6.25152,-1.69905,5.86433,-30.10167,9.90367,-6.08807,1.9726,-1.27996,76.327,-7.509123,-0.09639,0.45523,3.44477,6.07996,1.62185,50,6.0797,-1.88154,-122.02098,-5.01524,5.12218,27.0923,-23.13349,d2920709-0791-4848-b0a1-acc221851409,NA,NA,NA,NA,1.574837,1000220872,"Foley, Jared",1164.086956,NA,82.55556,Right,14.38499,109.80408,16.72806,6.55733,206.35369,206.35369,2.108793,4.145774,1.84365,2.08855,1.27141,NA,NA,NA,NA,NA,1,2,EMO_HEN,1,Top,0,0,1,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,c0ebbdc0-123f-11f0-b453-c198db140695,82.79874,16.73186,NA,7.81468,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:02:27,2025-04-05T17:02:27Z,2025-04-05T17:02:27Z,LineDrive,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.63414,-123.0456,13.54615,6.25283,-4.14034,-11.56675,1.69667,-2.07526,2.56109,219.577899,1.84365,117.24087,-13.7669,2.73083,-0.53666,0.09841,-0.01752,0.00252,-1.9e-4,2.08855,30.08096,-16.23909,0.93018,-0.14502,0.0238,-0.00234,3.6e-4,-4e-5,1.27141,3.22331,2.41711,-0.63115,0.15049,-0.03245,0.00611,-9e-4,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-04-05,13:03:26,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,89.97733,-2.483838,1.625133,2461.700101,156.407424,11:15:00,6.44701,-1.59947,5.90991,-11.17241,24.08564,-9.9206,3.20814,-0.91736,80.49296,-4.717256,-0.154964,0.427367,5.57394,13.4932,1.47442,50,6.24106,-3.2535,-130.25471,-5.86413,9.37231,32.78884,-9.48596,df28c46e-7440-4a16-92ed-46f6955e8c65,NA,NA,NA,NA,NA,10147955,"Hoppes, Jaret",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,EMO_HEN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,e4822760-123f-11f0-b453-c198db140695,88.19696,NA,NA,9.48438,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:03:26,2025-04-05T17:03:26Z,2025-04-05T17:03:26Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.58471,-131.40374,16.39442,6.44074,-5.53171,-4.74298,1.59419,-3.58194,4.68616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-05,13:03:41,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,89.27257,-2.689109,3.749853,2288.863359,154.1526,11:15:00,6.26427,-1.67334,6.15331,-16.60241,18.52773,-8.38473,2.389,1.09752,81.03327,-5.87165,2.242305,0.426591,5.45961,10.74477,1.39214,50,6.05072,-8.12705,-129.25492,-6.53073,9.16389,28.91233,-14.13911,a4b8fe71-831e-46b2-b597-7f97481520a1,NA,NA,NA,NA,NA,10147955,"Hoppes, Jaret",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,EMO_HEN,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,ed6abb80-123f-11f0-b453-c198db140695,88.3574,NA,NA,8.2393,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:03:41,2025-04-05T17:03:41Z,2025-04-05T17:03:41Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.34509,-130.22322,14.45617,6.26151,-6.0572,-7.06956,1.66946,-8.43396,4.58195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-05,13:03:58,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,89.59235,-1.182813,1.487429,2432.039069,157.21953,11:15:00,6.42811,-1.45467,6.35272,-15.68816,18.77698,-7.39044,4.03152,-0.70112,81.19753,-4.222095,0.149875,0.422534,4.26914,10.45804,1.34989,50,6.33461,-3.07387,-130.07429,-3.0748,7.25081,29.48884,-14.41182,e6a2d9da-aba9-42b2-a233-2ffabfc5d01a,NA,NA,NA,NA,NA,10147955,"Hoppes, Jaret",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,EMO_HEN,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,f78c44d0-123f-11f0-b453-c198db140695,89.20574,NA,NA,8.39482,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:03:58,2025-04-05T17:03:58Z,2025-04-05T17:03:58Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.14423,-131.01045,14.74442,6.42496,-2.61728,-7.20591,1.45112,-3.30406,3.6254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-05,13:04:16,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,86.53386,-3.674622,1.387508,2343.244377,159.43884,11:15:00,6.5024,-1.14125,6.13323,-15.13115,22.2556,-7.85445,1.8394,-0.51308,78.59483,-6.597726,-0.028451,0.440079,4.47449,12.99745,1.03926,50,6.21346,-2.72304,-125.38139,-8.4179,7.06051,27.41982,-11.66475,30c482dc-105e-414b-9ccd-fb842462c54e,NA,NA,NA,NA,NA,10147955,"Hoppes, Jaret",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,EMO_HEN,1,Top,0,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,024a5c40-1240-11f0-b453-c198db140695,85.64931,NA,NA,7.93903,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:04:16,2025-04-05T17:04:16Z,2025-04-05T17:04:16Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.36486,-126.33234,13.70991,6.49839,-8.01336,-5.83238,1.13795,-2.96791,3.53026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-05,13:04:30,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,87.55794,-2.87474,2.283432,2371.740452,160.870547,11:15:00,6.47458,-1.32976,6.54199,-15.03804,20.80198,-6.79095,2.58052,0.19969,79.64792,-5.797823,1.050797,0.430879,4.21882,12.10741,1.17417,50,6.26834,-4.80149,-127.00516,-6.71556,6.84714,27.5523,-12.52374,7d94673c-d506-40c0-9d50-049ba241e62f,NA,NA,NA,NA,NA,10147955,"Hoppes, Jaret",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,EMO_HEN,1,Top,0,3,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,0ac70f30-1240-11f0-b453-c198db140695,87.47795,NA,NA,7.91003,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:04:30,2025-04-05T17:04:30Z,2025-04-05T17:04:30Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,53.9557,-127.86042,13.77615,6.47077,-6.32681,-6.26187,1.32652,-5.01404,3.42357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-05,13:04:49,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,88.2788,-4.056678,1.274638,2346.379225,162.217569,11:30:00,6.50792,-1.23115,6.18405,-15.49217,20.24781,-6.10508,1.46377,-0.56271,80.53535,-7.024704,0.172782,0.430277,3.55103,12.05705,1.13804,50,6.19334,-2.60506,-127.93686,-9.47655,5.85572,27.64214,-12.29164,47f10083-759b-4dc4-88f6-36e829c6e0ef,NA,NA,NA,NA,8.693499,10147955,"Hoppes, Jaret",3595.058831,NA,69.0691,Right,45.135157,107.54579,75.24485,23.10595,199.83892,187.36904,4.595082,13.119034,2.06216,1.66815,0.57887,NA,NA,NA,NA,NA,2,6,EMO_HEN,1,Top,0,3,2,Four-Seam,InPlay,Undefined,Popup,FieldersChoice,1,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,1594de10-1240-11f0-b453-c198db140695,87.60035,75.45801,NA,7.74345,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:04:49,2025-04-05T17:04:49Z,2025-04-05T17:04:49Z,Popup,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.31561,-128.86592,13.82107,6.50491,-9.06343,-6.14582,1.22891,-2.80187,2.92786,196.770546,2.06792,70.49978,-13.86827,2.40422,0.44503,-0.48431,0.14595,-0.01976,0.00102,1.66583,71.84533,-19.80476,1.50252,-0.23826,-0.01107,0.02729,-0.00652,4.8e-4,0.57803,10.81783,1.10533,-0.86734,0.25723,-0.05613,0.01247,-0.0021,1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-05,13:05:32,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,Fastball,NA,NA,88.86827,-2.142457,1.039027,2367.285718,154.955362,11:15:00,6.46409,-1.3653,6.26061,-14.33528,20.97233,-9.21016,3.29276,-1.17466,80.29672,-4.9396,-0.625411,0.427667,5.07111,11.89292,1.2924,50,6.29787,-1.95761,-128.91953,-5.15408,8.42699,29.95335,-12.41081,aa3bed8e-86f4-4fe8-904e-bd68829e9b46,NA,NA,NA,NA,NA,1000311251,"Smith, Steven",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,EMO_HEN,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,2f74dc40-1240-11f0-b453-c198db140695,88.13508,NA,NA,8.57155,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:05:32,2025-04-05T17:05:32Z,2025-04-05T17:05:32Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.23605,-129.90001,14.97667,6.45994,-4.74783,-6.2054,1.361,-2.23345,4.21349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-05,13:05:52,"Nix, Kemper",1000303725,Left,LIM_STO,Undefined,ChangeUp,NA,NA,82.26624,-2.786261,3.555744,1785.635167,171.595204,11:45:00,6.2354,-1.82493,5.98252,-30.97088,10.63501,-1.36327,1.06483,1.36158,75.22209,-8.523812,3.311092,0.464247,1.78284,6.70319,1.54453,50,5.99755,-7.35225,-119.13153,-6.74841,2.54155,24.60365,-22.61815,48001a18-7c25-4278-88e8-035edff5e360,NA,NA,NA,NA,NA,1000311251,"Smith, Steven",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,EMO_HEN,1,Top,1,1,0,Changeup,InPlay,Undefined,Undefined,Out,1,0,NA,LIM_STO,EMO_HEN,LimestoneUniversity,D2,CC,20250405-LimestoneUniversity-1,3b5c0a60-1240-11f0-b453-c198db140695,81.19055,NA,NA,7.04414,NA,NA,NA,d303afd6-fd87-44e0-871d-503aee34cc90,2025-04-05,17:05:52,2025-04-05T17:05:52Z,2025-04-05T17:05:52Z,NA,v3,LIM_STO,NA,NA,"Greenberg, Zach",10030720,Right,LIM_STO,54.51801,-120.06099,12.30183,6.23635,-5.89396,-11.30908,1.82409,-7.44826,1.27077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.85184,2.401505,0.995328,1.406177,5.56123,1.66869,-1.12111,-0.1657,5.86191,0.95749,127.28702,6.8421,6.48645,0.04215,103.2137,-9.14196,5.89748,17.89438,-12.26732,0.90652,1.74498,1.6034,High,High,High,NA,NA,High,High,High
