PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-04,18:04:00,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,93.06353,-1.583491,-2.376742,2486.765444,211.596101,01:00:00,5.91281,1.80795,5.05483,-17.15174,16.88469,9.57737,2.98852,0.36338,83.23227,-4.829777,-0.685887,0.419898,-5.55937,9.28001,-1.58982,50,5.74933,5.11281,-134.55702,-4.31918,-9.97779,34.9308,-15.51862,ea4b716f-4d78-4ed0-9337-5fe1bfcb1c61,NA,NA,NA,NA,-45.357859,800725,"Burckel, Brandon",4465.470924,NA,91.30576,Right,-3.119141,NA,NA,NA,32.42659,32.42659,0.237103,-45.088102,1.72609,3.25557,-0.53938,NA,NA,NA,NA,NA,1,1,IWC,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,6f0ec6f0-11a9-11f0-a2c4-b3fafe68f346,89.76581,3.25557,NA,9.83126,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:04:00,2025-04-04T23:04:00Z,2025-04-04T23:04:00Z,GroundBall,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.4383,-135.96146,17.4654,5.91045,-3.69524,-7.75931,-1.80345,5.51398,-4.98889,NA,1.72704,93.90646,-19.56211,NA,NA,NA,NA,NA,NA,3.25777,-7.40886,-26.74044,NA,NA,NA,NA,NA,NA,-0.53816,-95.20869,2.61465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-04-04,18:04:18,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,82.55934,-0.195408,-1.318658,2621.114421,156.193685,11:15:00,5.8226,1.88068,4.63828,-35.28022,8.50969,-3.02847,2.69683,0.37493,74.24716,-6.635296,-1.849847,0.476276,1.03083,4.70878,-1.74273,50,5.7712,2.88832,-119.3895,-1.74282,1.46028,26.95519,-25.50345,0282407e-1f6a-41c8-a405-706df6e0deb9,NA,NA,NA,NA,NA,800725,"Burckel, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,IWC,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,79a99ef0-11a9-11f0-a2c4-b3fafe68f346,79.13996,NA,NA,8.31218,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:04:18,2025-04-04T23:04:18Z,2025-04-04T23:04:18Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.85311,-120.70375,13.4776,5.82586,-0.49935,-12.75173,-1.88182,2.81713,0.73014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-04,18:04:30,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,80.8072,-1.191413,-3.512223,2813.462446,118.112803,10:00:00,5.79744,1.91254,4.56801,-38.89045,7.17926,-10.20123,1.42058,-2.28381,72.93597,-8.220495,-5.293563,0.488516,3.78607,4.39457,-1.53802,50,5.63817,7.61388,-116.63921,-3.88819,5.10676,26.21568,-26.24651,af7a1a84-7de1-4d10-94b3-3eaed9ecbf8b,NA,NA,NA,NA,NA,800725,"Burckel, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,IWC,1,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,810aa8b0-11a9-11f0-a2c4-b3fafe68f346,77.15696,NA,NA,7.87123,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:04:30,2025-04-04T23:04:30Z,2025-04-04T23:04:30Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.92522,-117.96344,13.10784,5.80109,-2.5624,-13.12325,-1.9161,7.35592,2.55338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.73034,2.874201,1.999616,0.874585,1.03567,1.36508,2.31917,-0.5274,5.90012,-0.09841,69.38209,9.83777,-55.38278,-0.39797,85.06625,-5.9897,5.96913,16.10194,-13.32864,-0.19399,-67.06798,4.49888,High,High,High,NA,NA,High,Low,Medium
4,2025-04-04,18:04:54,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,80.91909,1.473047,-0.492114,2477.307534,162.124674,11:30:00,5.85537,1.88126,4.74059,-31.08021,14.268,-4.06244,4.66295,1.07593,72.59396,-4.271702,-1.20548,0.484676,1.80512,6.98977,-1.82802,50,5.97722,1.19006,-117.01703,1.91723,2.46208,25.43997,-22.64036,c6af7e9b-4742-4dbf-8d95-749976d72ecd,NA,NA,NA,NA,NA,1000121981,"Calabrese, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,IWC,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,8f9f1c80-11a9-11f0-a2c4-b3fafe68f346,77.76831,NA,NA,8.32513,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:04:54,2025-04-04T23:04:54Z,2025-04-04T23:04:54Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.74911,-118.26031,12.71998,5.85649,3.02368,-11.32018,-1.88324,1.06973,1.23104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-04,18:05:05,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,93.09504,-1.421804,-3.01488,2579.002861,192.664161,12:30:00,5.93292,1.66366,5.18866,-16.27985,16.82229,3.54725,3.23662,-0.8795,85.16848,-4.470203,-2.387949,0.414095,-2.53469,9.02851,-1.38629,50,5.78864,6.92422,-134.86238,-3.90819,-4.68858,28.12853,-15.47344,0dcd841d-0440-4025-bc7c-b75d0e1b37ce,NA,NA,NA,NA,176.839728,1000121981,"Calabrese, Daniel",1573.529829,NA,80.13416,Right,11.049656,NA,NA,NA,NA,40.06618,NA,NA,3.44275,3.13795,0.83645,NA,NA,NA,NA,NA,2,2,IWC,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,9625f2e0-11a9-11f0-a2c4-b3fafe68f346,91.02376,8.93706,NA,7.92656,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:05:05,2025-04-04T23:05:05Z,2025-04-04T23:05:05Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.30317,-135.96398,14.06427,5.92982,-3.30221,-7.73672,-1.66106,7.10783,-2.34429,300.595759,3.43898,-115.0473,10.98299,NA,NA,NA,NA,NA,NA,3.14264,22.36614,-19.3759,NA,NA,NA,NA,NA,NA,0.83864,6.28438,-3.61984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-04-04,18:05:23,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,76.93816,0.519302,-0.580034,2519.817786,64.527612,08:15:00,5.94684,1.83932,4.61956,-54.4368,-4.25047,-12.64426,1.90416,0.2342,69.95184,-9.26281,-2.801189,0.509875,5.99079,-1.73406,-1.76737,50,5.95012,1.66335,-111.42986,-1.01018,7.41769,22.86564,-34.32112,f464e96e-b249-4b6c-9dc0-4319c4b37dec,NA,NA,NA,NA,NA,1000121981,"Calabrese, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,IWC,1,Top,1,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,a0a04a90-11a9-11f0-a2c4-b3fafe68f346,73.9248,NA,NA,6.98632,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:05:23,2025-04-04T23:05:23Z,2025-04-04T23:05:23Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.87706,-112.62939,11.43282,5.95588,0.7903,-17.16056,-1.84442,1.27422,3.70884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-04,18:05:41,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,93.07369,-0.965326,-3.193924,2557.10652,189.90387,12:15:00,6.11016,1.50423,4.99632,-15.94997,17.87162,2.91071,3.86815,-1.27164,83.95898,-3.977704,-2.681573,0.41857,-2.4448,9.50741,-1.19938,50,6.00518,7.37153,-134.64621,-2.82728,-4.43586,32.41693,-14.92372,8bb6c9ff-db0b-4fee-b5c9-488dd857085b,NA,NA,NA,NA,164.260714,1000121981,"Calabrese, Daniel",4544.471576,NA,69.3264,Right,71.116002,NA,NA,NA,NA,15.26673,NA,NA,2.48139,3.82844,1.21469,NA,NA,NA,NA,NA,2,4,IWC,1,Top,1,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,ab6259a0-11a9-11f0-a2c4-b3fafe68f346,90.05042,45.70313,NA,9.11471,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:05:41,2025-04-04T23:05:41Z,2025-04-04T23:05:41Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.49849,-135.96356,16.20847,6.10775,-2.22082,-7.46186,-1.50261,7.55179,-2.21793,347.053531,2.48139,-31.67451,-3.65428,2.30636,-2.13684,7.18137,-17.77746,22.87817,-11.63586,3.82844,96.20591,-30.96719,4.29278,-1.74582,4.10868,-9.93835,12.70739,-6.42016,1.21469,8.92681,-4.93712,0.76636,-0.20098,0.41762,-1.01039,1.2761,-0.63376999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-04-04,18:06:00,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,80.85855,-0.272024,-2.249544,2768.844813,138.362997,10:30:00,5.78596,1.77645,4.71581,-35.42868,9.87627,-7.3467,2.57523,-0.97162,73.21083,-6.731372,-3.5382,0.484445,2.87201,5.40548,-1.54218,50,5.72766,4.92239,-116.97377,-1.8506,3.92801,24.71699,-24.78103,85e7558a-a9ce-4618-8a7b-7597c7ab1281,NA,NA,NA,NA,NA,1000121981,"Calabrese, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,IWC,1,Top,1,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,b6a22430-11a9-11f0-a2c4-b3fafe68f346,77.80548,NA,NA,7.64772,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:06:00,2025-04-04T23:06:00Z,2025-04-04T23:06:00Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.77682,-118.18813,12.3585,5.78867,-0.6331,-12.39052,-1.77927,4.7294,1.96401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.17223,2.195173,1.296077,0.899097,-1.31262,2.24364,1.14193,-1.35311,6.15157,1.50532,67.01151,4.56664,-57.75975,-1.28679,81.53736,-6.16061,6.18365,9.72099,-12.79163,1.42982,-71.7668,6.55621,High,High,High,NA,NA,High,Medium,Low
9,2025-04-04,18:06:24,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,80.98052,0.021889,-1.120733,2714.711691,105.944797,09:30:00,5.84015,1.83964,4.72491,-41.16656,5.03079,-10.68658,2.43038,-0.11441,71.70836,-7.510785,-2.998813,0.489193,4.73425,3.06036,-1.71664,50,5.80696,2.7769,-116.87414,-1.49243,6.30578,29.61739,-28.09781,fa7eab7a-7bdf-4d00-84c1-9bf866a45414,NA,NA,NA,NA,NA,1000313545,"Liddington, Rob",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,IWC,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,c5091f60-11a9-11f0-a2c4-b3fafe68f346,77.05029,NA,NA,9.27216,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:06:24,2025-04-04T23:06:24Z,2025-04-04T23:06:24Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.76336,-118.32564,14.80869,5.84636,-0.11541,-14.0489,-1.84516,2.46787,3.15289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-04,18:06:35,"Stuprich, Brennan",1000098708,Right,SOU_LIO,Undefined,Undefined,NA,NA,92.82491,-1.450481,-2.221355,2599.577276,187.537442,12:15:00,5.96206,1.68713,5.26407,-14.96556,18.53092,2.29949,3.35103,-0.20904,84.08674,-4.293535,-1.813958,0.416554,-1.78917,9.97276,-1.48552,50,5.81856,5.09976,-134.42149,-3.87818,-3.25254,30.89394,-14.04479,4f1c0c64-7d12-4866-bf84-660e740fcf04,NA,NA,NA,NA,175.350056,1000313545,"Liddington, Rob",1564.113639,NA,80.25764,Left,17.056958,NA,NA,NA,NA,39.94509,NA,NA,3.89194,3.45588,0.09981,NA,NA,NA,NA,NA,3,2,IWC,1,Top,2,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_LIO,IWC,AlumniField,D1,SLAND,20250404-AlumniField-1,cb848410-11a9-11f0-a2c4-b3fafe68f346,90.48638,13.93113,NA,8.73817,NA,NA,NA,e5c5d4c4-b1ed-42b9-b09c-875c01c5b6d3,2025-04-04,23:06:35,2025-04-04T23:06:35Z,2025-04-04T23:06:35Z,NA,v3,471445,471511,04 April 2025 19:00-incarnword@sela,"O'Neal, Conner",1000090238,Right,SOU_LIO,55.22702,-135.61749,15.44697,5.95817,-3.33446,-7.0224,-1.68539,5.22568,-1.62627,290.363638,3.88574,-111.96097,12.82017,NA,NA,NA,NA,NA,NA,3.4638,34.26867,-21.34836,NA,NA,NA,NA,NA,NA,0.10606,8.91795,-6.81006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
