PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-12,14:05:39,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,89.53773,-1.876974,2.66385,2123.751335,156.843064,11:15:00,5.97048,-1.72747,6.53631,-11.14753,23.64009,-9.53457,3.31732,-0.07676,80.03831,-4.133438,0.934603,0.424506,5.85063,13.34135,1.546,50,5.83456,-5.64389,-129.72741,-4.42182,9.7474,32.7931,-9.94677,2de5c162-6c92-4234-bceb-04a5722dbf0d,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,COA_CHA,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,be45f840-17c8-11f0-8f81-bdd3a8fadb7f,88.79128,NA,NA,9.49941,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:05:39,2025-04-12T18:05:39Z,2025-04-12T18:05:39Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,53.96008,-130.72462,16.39655,5.96443,-4.11934,-4.97338,1.72213,-5.9403,4.8737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-12,14:05:58,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,89.54947,-2.222657,2.308475,2195.961841,149.256748,11:00:00,5.90431,-1.65484,6.72408,-15.5243,18.74186,-10.40642,2.57643,-0.41094,80.77015,-5.2575,0.412697,0.421312,6.22268,10.96674,1.5057,50,5.75079,-4.83545,-129.91685,-5.39305,10.47052,31.15072,-13.72091,ed0b53e9-f823-4daf-9ef9-cdee99dfa8f7,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,COA_CHA,1,Top,0,0,1,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,c99f8c60-17c8-11f0-8f81-bdd3a8fadb7f,89.46435,NA,NA,8.77932,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:05:58,2025-04-12T18:05:58Z,2025-04-12T18:05:58Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,53.77513,-130.8189,15.57536,5.9012,-4.99573,-6.86046,1.65011,-5.13865,5.23526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-12,14:06:21,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,90.86235,-2.879116,3.984069,2181.56205,165.997261,11:30:00,5.92229,-1.62873,6.53154,-13.09367,20.91867,-4.87957,2.18132,1.62539,81.12943,-5.475898,3.10141,0.419749,3.95284,12.33938,1.35354,50,5.71576,-8.94974,-131.35873,-6.88595,6.73069,34.43019,-11.1631,59112ecc-dc2f-4e2f-8535-9440e5b8de40,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,COA_CHA,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,d72d8cb0-17c8-11f0-8f81-bdd3a8fadb7f,89.79758,NA,NA,9.73291,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:06:21,2025-04-12T18:06:21Z,2025-04-12T18:06:21Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,53.96571,-132.3941,17.2151,5.91778,-6.55026,-5.58155,1.62571,-9.15215,3.36534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-12,14:06:39,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Slider,NA,NA,79.76213,0.606659,1.723047,2330.171294,259.206132,02:45:00,5.77114,-2.10669,5.53306,-41.21675,4.16973,13.12851,2.90379,0.59853,71.9194,-6.995517,4.06196,0.484881,-6.02717,2.3963,1.94808,50,5.79682,-4.00428,-115.54466,-0.1411,-7.9807,25.65115,-29.00106,d2c13332-bd26-40c6-8ed4-047a367d2505,NA,NA,NA,NA,-165.247235,811743,"Barthol, Blake",2643.655284,NA,67.16168,Left,8.83701,NA,NA,NA,76.02161,58.77126,0.858368,-165.448933,-0.03894,2.68476,-0.7146,NA,NA,NA,NA,NA,1,4,COA_CHA,1,Top,0,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,e1ea4490-17c8-11f0-8f81-bdd3a8fadb7f,77.73552,5.2455,NA,7.84272,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:06:39,2025-04-12T18:06:39Z,2025-04-12T18:06:39Z,GroundBall,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.9658,-116.64187,12.82558,5.77633,1.09939,-14.50053,2.11206,-3.66291,-3.99035,18.545741,-0.03894,-94.12557,10.05569,-0.31861,0.07454,0.00845,-0.00465,3.2e-4,0,2.68476,15.13254,-23.13768,2.48437,-0.44089,0.10189,-0.01598,0.00241,-3.4e-4,-0.7146,-24.78605,4.47034,-0.7457,0.14728,-0.0284,0.00408,-6.9e-4,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-04-12,14:07:04,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Slider,NA,NA,80.16569,-0.390448,2.835241,2228.834932,222.441924,01:30:00,5.86346,-1.96355,5.69546,-33.79195,11.02197,8.53449,2.68314,1.39214,72.10762,-6.685455,4.357758,0.481812,-3.32512,6.23827,1.71992,50,5.81007,-6.0894,-116.00345,-1.84226,-4.43205,26.11553,-23.85902,4f9c69fa-0936-499e-a834-9e0ee4c279d1,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,COA_CHA,1,Top,0,1,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,f0c9f230-17c8-11f0-8f81-bdd3a8fadb7f,78.23056,NA,NA,8.05806,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:07:04,2025-04-12T18:07:04Z,2025-04-12T18:07:04Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.80058,-117.0792,13.05777,5.86572,-0.85946,-11.92951,1.96699,-5.90683,-2.21603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.46694,2.962492,1.72841,1.234082,-1.04149,2.38695,-1.58098,-3.94787,4.68262,-0.27629,82.00848,10.18061,-42.80867,-3.84687,75.50012,-4.79088,4.74965,21.78822,-14.07771,-0.3462,-38.23619,3.09212,High,High,High,NA,NA,High,High,High
6,2025-04-12,14:07:36,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,90.44789,-3.119749,2.044307,2232.414929,151.006219,11:00:00,5.89443,-1.75087,6.29985,-11.78347,22.33785,-11.69268,2.03323,-0.84082,81.67419,-5.450178,-0.068796,0.420421,6.65804,12.89599,1.60564,50,5.65871,-4.18499,-131.05776,-7.37964,11.4337,30.9654,-10.02804,9d27d104-ce59-494f-b942-917281358424,NA,NA,NA,NA,NA,805207,"Bodine, Caden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,COA_CHA,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,03ef11b0-17c9-11f0-8f81-bdd3a8fadb7f,89.65402,NA,NA,8.7737,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:07:36,2025-04-12T18:07:36Z,2025-04-12T18:07:36Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.19841,-132.04601,15.4827,5.88912,-7.0596,-5.01402,1.74502,-4.54989,5.71685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-12,14:07:53,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,89.78625,-1.450432,1.890537,2203.201686,147.465879,11:00:00,5.90192,-1.73592,6.34493,-15.76072,18.63418,-11.12335,3.25221,-0.92177,81.26487,-4.503727,-0.121953,0.422103,6.34595,10.48312,1.60329,50,5.78875,-3.84654,-130.31443,-3.69639,10.7988,30.04661,-14.33513,9cd65f1a-fa94-49e3-90c7-902d7c7fd64e,NA,NA,NA,NA,33.473387,805207,"Bodine, Caden",NA,NA,81.56802,Right,45.89981,83.63868,92.02522,71.44623,274.60084,140.37943,5.196583,46.269789,0.12972,4.11448,1.79514,NA,NA,NA,NA,NA,2,2,COA_CHA,1,Top,1,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,0df83100-17c9-11f0-8f81-bdd3a8fadb7f,89.29675,101.80003,NA,8.52137,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:07:53,2025-04-12T18:07:53Z,2025-04-12T18:07:53Z,FlyBall,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.15444,-131.26882,15.02331,5.89893,-3.24105,-7.16757,1.73092,-4.18955,5.3994,211.316914,0.14111,69.21028,-15.31186,2.59467,0.37567,-0.38036,0.10074,-0.01198,5.4e-4,4.11103,85.96403,-22.42902,2.13821,-0.28429,-0.04533,0.0335,-0.00606,3.6e-4,1.79481,45.9218,-2.275,0.01612,0.13527,-0.06427,0.01656,-0.00222,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-04-12,14:08:34,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,90.38498,-2.101755,2.543688,2284.660907,144.134594,10:45:00,5.90085,-1.8004,6.24357,-14.6582,19.7371,-13.33339,2.73792,-0.5637,81.15823,-4.964755,0.137303,0.422105,7.67855,11.25367,1.61682,50,5.73666,-5.24662,-130.9422,-5.15902,13.08959,32.32821,-12.99,8f4c9fe0-092f-4159-b204-4ed95bf99f43,NA,NA,NA,NA,NA,831301,"Tozzi, Domenico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,COA_CHA,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,26913040-17c9-11f0-8f81-bdd3a8fadb7f,89.29626,NA,NA,9.22674,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:08:34,2025-04-12T18:08:34Z,2025-04-12T18:08:34Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.25381,-131.98824,16.1641,5.89679,-4.7387,-6.495,1.79344,-5.67016,6.5448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-12,14:08:54,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,90.56078,-0.449358,2.401414,2244.018837,156.461415,11:15:00,5.95723,-1.51254,6.4631,-10.58119,23.29037,-9.60729,4.66233,-0.10601,81.30004,-2.588487,0.660842,0.418879,5.72323,12.57701,1.34631,50,5.91983,-5.10188,-131.34268,-1.186,9.83423,32.05816,-10.56302,23618271-a6de-48a8-a9a1-96b0f8cea992,NA,NA,NA,NA,NA,831301,"Tozzi, Domenico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,COA_CHA,1,Top,2,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,32bf2b60-17c9-11f0-8f81-bdd3a8fadb7f,89.98402,NA,NA,9.26074,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:08:54,2025-04-12T18:08:54Z,2025-04-12T18:08:54Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.03327,-132.32346,16.02908,5.95117,-0.86284,-5.28151,1.507,-5.40275,4.91711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-12,14:09:15,"Hembree, Jake",806119,Left,GEO_PAN,Undefined,Fastball,NA,NA,89.54621,-2.293553,1.826316,2242.188311,147.412557,11:00:00,5.89232,-1.75593,6.27935,-14.73816,20.01485,-12.00264,2.54782,-1.07215,80.95844,-5.159293,-0.342758,0.424295,6.76855,11.44949,1.62645,50,5.71542,-3.64535,-129.87315,-5.55863,11.42192,30.24154,-12.85306,11cc6063-eaaa-4fb1-8082-90d1794e2c10,NA,NA,NA,NA,NA,831301,"Tozzi, Domenico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,COA_CHA,1,Top,2,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,GEO_PAN,COA_CHA,GeorgiaState,D1,SBELT,20250412-GeorgiaState-1,3f0d31a0-17c9-11f0-8f81-bdd3a8fadb7f,88.83552,NA,NA,8.58777,NA,NA,NA,9f5657b5-9043-4c83-9cf4-ee3b2152e3e0,2025-04-12,18:09:15,2025-04-12T18:09:15Z,2025-04-12T18:09:15Z,NA,v3,471304,4104,12 April 2025 14:00-coastcar@georgiast,"Hynek, Colin",831240,Right,GEO_PAN,54.21971,-130.85204,15.12077,5.88861,-5.14259,-6.42653,1.75043,-4.01507,5.71096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
