PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-13,12:19:51,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Fastball,NA,NA,88.47009,-2.439878,2.819866,2164.342192,162.548632,11:30:00,6.54573,-2.18011,6.42514,-17.78217,17.68765,-5.1628,2.81716,-0.01633,80.05138,-5.861234,1.885372,0.428648,3.5924,10.38599,1.98133,50,6.36347,-6.11532,-128.2453,-5.92888,5.90554,29.72103,-15.1006,b008d465-48ed-4d74-a9df-e3ca8eec31b1,NA,NA,NA,NA,10.560381,1000268563,"MacDougall, Ryan",2716.173691,NA,101.91031,Left,30.164851,108.35523,60.88875,18.94904,414.09965,404.86761,5.253318,8.289817,1.4178,2.79636,0.02,NA,NA,NA,NA,NA,1,1,DAY_FLY,1,Bottom,1,2,0,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,2,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,20f45030-1883-11f0-b871-c57edea8528a,87.93329,93.52084,NA,8.41871,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:19:51,2025-04-13T16:19:51Z,2025-04-13T16:19:51Z,FlyBall,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,54.07131,-129.18539,14.86052,6.54345,-5.45125,-7.5503,2.17771,-6.30211,2.95277,174.593701,1.42041,126.99153,-23.33407,5.6831,-1.14787,0.20779,-0.03255,0.00351,-1.7e-4,2.79689,75.08649,-16.84586,0.32969,0.32276,-0.18148,0.04663,-0.00584,2.9e-4,0.02058,23.67353,-5.57855,1.28137,-0.24678,0.04434,-0.00735,8.5e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-04-13,12:20:39,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Slider,NA,NA,79.92441,0.00634,1.470033,2493.832206,325.304755,04:45:00,6.3667299999999996,-2.39968,5.51297,-48.53885,-3.50071,3.53591,2.32776,-0.73011,72.52482,-8.86675,2.101282,0.483016,-1.28595,-1.18953,2.26921,50,6.33546,-3.11849,-115.84965,-1.67615,-1.71912,24.93514,-33.76431,72ed730f-a17e-4570-a15e-19dee5e73c8e,NA,NA,NA,NA,NA,1000138110,"Stang, Bobby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,DAY_FLY,1,Bottom,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,3dfa1f70-1883-11f0-b871-c57edea8528a,78.03558,NA,NA,7.39959,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:20:39,2025-04-13T16:20:39Z,2025-04-13T16:20:39Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,54.98251,-116.91715,12.46757,6.37628,-0.23066,-16.88216,2.40114,-3.04489,-0.85956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-13,12:20:51,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Fastball,NA,NA,89.74436,-2.274155,2.466773,2300.799422,150.892565,11:00:00,6.62129,-2.16333,6.10862,-18.13032,16.68217,-8.60536,3.00449,-0.59804,81.27978,-5.734541,0.917293,0.424658,5.15662,9.64607,1.97807,50,6.43692,-5.23556,-130.06482,-5.6826,8.74369,29.86324,-15.81786,9968bcba-ba97-48f3-8838-098d3bc38199,NA,NA,NA,NA,NA,1000138110,"Stang, Bobby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,DAY_FLY,1,Bottom,1,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,44c0e500-1883-11f0-b871-c57edea8528a,88.75961,NA,NA,8.46458,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:20:51,2025-04-13T16:20:51Z,2025-04-13T16:20:51Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,54.38599,-131.06799,14.93162,6.61889,-5.15124,-7.90893,2.15887,-5.52928,4.37184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-13,12:21:07,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Slider,NA,NA,82.11357,-0.361963,3.358294,2507.806309,291.320628,03:45:00,5.93058,-2.8788,5.36717,-44.73723,-0.73976,6.66996,1.86251,0.82946,72.92021,-8.570604,4.54168,0.477403,-1.98894,0.37429,2.5725,50,5.86727,-7.24359,-118.50609,-2.35131,-2.71933,30.7694,-31.66228,741a8353-f622-44b1-bc7c-eeaade758ba2,NA,NA,NA,NA,NA,1000138110,"Stang, Bobby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,DAY_FLY,1,Bottom,1,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,4e654f10-1883-11f0-b871-c57edea8528a,78.95307,NA,NA,9.19336,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:21:07,2025-04-13T16:21:07Z,2025-04-13T16:21:07Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,55.12408,-119.82914,15.3847,5.9391,-0.98986,-15.83114,2.88145,-7.12666,-1.35967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.0213,2.580283,1.537485,1.042798,-0.24089,1.6077,-0.96167,-2.22517,6.28134,-1.21523,67.10672,5.15493,-57.6755,-2.19947,70.53612,-3.91204,6.32396,13.85336,-14.36795,-1.28582,-61.33062,6.97088,High,High,High,NA,NA,High,High,High
5,2025-04-13,12:21:36,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Fastball,NA,NA,80.58115,-0.737479,3.345974,2594.086957,321.888759,04:45:00,6.27025,-2.61101,5.55331,-45.34987,-1.08843,2.06878,1.8008,0.69136,73.34097,-9.018354,3.714634,0.478833,0.02543,0.15772,2.32007,50,6.1767,-6.90457,-116.67905,-3.05354,0.03455,24.86736,-31.9597,c83a7c41-0d61-4415-ac27-bb7a67562527,NA,NA,NA,NA,NA,10148886,"Zorn, Adin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,DAY_FLY,1,Bottom,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,5fe9ddf0-1883-11f0-b871-c57edea8528a,78.71727,NA,NA,7.24018,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:21:36,2025-04-13T16:21:36Z,2025-04-13T16:21:36Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,54.94351,-117.72793,12.43368,6.27706,-1.70551,-15.97985,2.61133,-6.90603,0.01727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-13,12:21:48,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Slider,NA,NA,83.09906,-0.66785,3.040482,2040.184204,118.204034,10:00:00,6.42472,-2.38733,6.32225,-30.47293,10.08099,-15.97871,3.26935,-0.9161,74.79667,-6.421841,0.151416,0.45834,9.20646,5.92658,2.17167,50,6.36179,-5.77032,-120.42932,-2.28966,13.27155,27.40569,-23.6306,3cf9c618-82a5-41b4-863c-ed1f294b6b92,NA,NA,NA,NA,NA,10148886,"Zorn, Adin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,DAY_FLY,1,Bottom,2,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,66bfbeb0-1883-11f0-b871-c57edea8528a,82.23684,NA,NA,8.30239,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:21:48,2025-04-13T16:21:48Z,2025-04-13T16:21:48Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,54.1717,-121.37495,13.70284,6.42673,-1.47429,-11.8153,2.37867,-6.22825,6.63577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-13,12:22:04,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Fastball,NA,NA,90.49198,0.086269,1.762469,2223.619984,158.046338,11:15:00,6.57186,-2.37835,5.90597,-13.38292,21.45871,-8.11268,5.53673,-1.41792,80.74477,-2.552739,0.307122,0.424835,4.62488,11.18064,2.24068,50,6.57057,-3.64821,-131.02335,-0.09134,7.87245,33.05199,-13.14241,98ed6d95-36e6-423b-81c1-9f38a0f838fd,NA,NA,NA,NA,NA,10148886,"Zorn, Adin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,DAY_FLY,1,Bottom,2,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,7054bf70-1883-11f0-b871-c57edea8528a,88.72246,NA,NA,9.74721,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:22:04,2025-04-13T16:22:04Z,2025-04-13T16:22:04Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,54.582,-132.17415,16.526,6.56579,0.36625,-6.57121,2.37248,-3.92231,3.93622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-13,12:22:22,"Brennan, Teddy",1000107383,Left,GEO_COL,Undefined,Slider,NA,NA,76.3265,0.122217,1.452512,2523.161205,328.81309,05:00:00,6.29578,-2.43213,5.43449,-52.19172,-3.14059,2.87221,2.06096,-0.83228,70.01674,-9.37366,1.964662,0.504076,-1.0226,-1.2085,2.30145,50,6.2702,-2.91681,-110.77686,-1.47927,-1.2615,21.12495,-33.6649,12790fe1-a599-4d4c-b230-d0d54df1a760,NA,NA,NA,NA,-28.616257,10148886,"Zorn, Adin",NA,NA,76.48909,Right,-45.121324,NA,NA,NA,4.17282,4.17282,0.027564,-2.569749,2.24806,2.19711,0.86074,NA,NA,NA,NA,NA,3,4,DAY_FLY,1,Bottom,2,2,1,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,7af38f10-1883-11f0-b871-c57edea8528a,74.77532,2.19711,NA,6.30975,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:22:22,2025-04-13T16:22:22Z,2025-04-13T16:22:22Z,GroundBall,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Lavey, Robbie",1000193172,Right,GEO_COL,55.06511,-111.73859,10.56248,6.30266,0.05336,-16.83245,2.43293,-2.85938,-0.63075,NA,2.24723,69.67614,NA,NA,NA,NA,NA,NA,NA,2.19806,-79.70847,NA,NA,NA,NA,NA,NA,NA,0.8612,-38.01432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
9,2025-04-13,12:22:23,"Malecha, Peyton",1000232746,Right,DAY_FLY,Undefined,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GEO_COL,2,Top,0,0,0,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,c6add9b0-1883-11f0-b871-c57edea8528a,NA,NA,NA,NA,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:22:23,2025-04-13T16:22:23Z,2025-04-13T16:22:23Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-04-13,12:24:31,"Malecha, Peyton",1000232746,Right,DAY_FLY,Undefined,Fastball,NA,NA,87.67334,-1.810631,-1.306289,2415.823554,217.438118,01:15:00,5.58549,0.88663,6.88034,-19.41103,15.75639,11.16686,2.31705,0.62668,79.85939,-5.548182,0.73635,0.426817,-6.27201,9.24989,-0.80698,50,5.46346,2.49089,-127.41847,-4.49427,-10.24751,27.69243,-17.06113,7911c91a-0ee2-41ba-9d3c-71a6baab90c1,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GEO_COL,2,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAY_FLY,GEO_COL,WoernerField,D1,A10,20250413-WoernerField-1,c803a5b0-1883-11f0-b871-c57edea8528a,88.31057,NA,NA,7.81395,NA,NA,NA,e23a1b98-6dc8-4d46-9593-0601ea182a4e,2025-04-13,16:24:31,2025-04-13T16:24:31Z,2025-04-13T16:24:31Z,NA,v3,471281,471301,13 April 2025 12:00-georgewash@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,53.61569,-128.20187,13.84621,5.58377,-4.01161,-8.53056,-0.88155,2.78079,-5.12376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
