PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-15,18:32:51,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,89.35545,-2.651891,4.080355,2097.669904,130.684864,10:15:00,6.00726,-1.83397,6.00802,-18.67721,16.65316,-17.91316,1.98589,0.46006,80.93937,-6.205748,0.867283,0.427805,10.40942,9.72355,1.5225,50,5.78809,-8.46305,-129.29816,-6.54786,17.46026,29.26712,-15.86427,afe89a94-732d-4508-bfa2-176f02967239,NA,NA,NA,NA,NA,1000097151,"Daniels, Phillips",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CIT_BUL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,912dad70-1a49-11f0-b3fe-7f7c5b8b2f06,88.10662,NA,NA,8.41608,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:32:51,2025-04-15T22:32:51Z,2025-04-15T22:32:51Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.4912,-130.3108,14.63356,6.00514,-5.99896,-7.93214,1.82577,-9.06717,8.73013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-15,18:33:08,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,91.17598,-1.573452,3.017981,2172.73077,137.677849,10:30:00,6.01735,-1.91184,6.03043,-14.38576,19.55741,-16.68497,3.35898,-0.50474,82.10146,-4.370499,0.020333,0.419322,9.45024,10.87068,1.68425,50,5.88625,-6.22706,-132.09429,-3.99904,16.4676,31.75303,-13.23126,3f4bf60e-9a0d-40b9-9b03-48c33cb25c9c,NA,NA,NA,NA,NA,1000097151,"Daniels, Phillips",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CIT_BUL,1,Top,0,0,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,9b4c2980-1a49-11f0-b3fe-7f7c5b8b2f06,89.88903,NA,NA,9.07453,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:33:08,2025-04-15T22:33:08Z,2025-04-15T22:33:08Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.46692,-133.16373,15.87651,6.01343,-3.55341,-6.61563,1.90332,-6.78169,8.2338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-15,18:33:28,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,90.5083,-2.415924,2.955474,2165.074067,130.327088,10:15:00,6.02813,-1.77479,6.11371,-17.72422,16.48875,-18.00773,2.31296,-0.54026,82.00333,-5.800518,-0.286769,0.420985,10.2193,9.60898,1.55725,50,5.83324,-6.02192,-131.18552,-6.05203,17.62871,30.37076,-15.59818,9d51869b-276f-46ea-89a7-c653fd88c8e7,NA,NA,NA,NA,122.828032,1000097151,"Daniels, Phillips",4235.746953,NA,72.89486,Right,39.757289,NA,NA,NA,NA,52.64441,NA,NA,0.23709,2.14115,0.42569,NA,NA,NA,NA,NA,1,3,CIT_BUL,1,Top,0,0,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,a7288230-1a49-11f0-b3fe-7f7c5b8b2f06,89.53386,37.19827,NA,8.50497,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:33:28,2025-04-15T22:33:28Z,2025-04-15T22:33:28Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.38654,-132.19715,15.18538,6.02617,-5.53247,-7.79909,1.76762,-6.60912,8.81436,313.518204,0.23709,-44.55679,-2.65109,1.45865,0.1059,-2.01093,4.51607,-4.62397,1.81131,2.14115,68.3743,-27.00849,3.29983,-0.22107,-1.92556,4.36357,-4.4197,1.71618,0.42569,69.0643,-11.67659,1.14798,-0.04643,-0.55948,1.12521,-1.07548,0.40053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-04-15,18:33:51,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,91.93321,-1.119437,2.712457,2082.23381,138.575291,10:30:00,5.95863,-1.8436,6.00838,-17.48725,16.18623,-13.13296,3.46293,-0.4231,82.14762,-4.48565,0.353025,0.417653,7.6754,9.06626,1.63751,50,5.86122,-5.73121,-133.14047,-3.11323,13.45764,34.76565,-16.27772,adb87127-1781-4086-b347-75e9b1455a5e,NA,NA,NA,NA,15.396877,1000097151,"Daniels, Phillips",2783.184666,NA,78.74967,Right,30.16721,103.8972,51.56453,36.12924,277.89032,243.62069,3.990606,24.510085,0.57673,3.45468,0.42705,NA,NA,NA,NA,NA,1,4,CIT_BUL,1,Top,0,0,2,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,b52aef30-1a49-11f0-b3fe-7f7c5b8b2f06,90.24827,56.71345,NA,9.78559,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:33:51,2025-04-15T22:33:51Z,2025-04-15T22:33:51Z,LineDrive,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.4889,-134.3075,17.38283,5.95655,-2.56681,-8.13886,1.83748,-6.18297,6.72882,211.19832,0.57616,96.28905,-17.10895,4.2748,-1.07161,0.29961,-0.07222,0.01063,-6.6e-4,3.45546,58.01982,-17.039,0.6193,0.1798,-0.15008,0.04708,-0.00696,3.9e-4,0.42716,26.50893,0.90037,-0.1414,0.04423,-0.02326,0.00786,-0.00131,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-04-15,18:34:25,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,91.31313,-1.298753,3.814973,2149.167053,130.740781,10:15:00,6.10671,-1.76886,6.12874,-19.38473,14.29339,-15.20296,3.28791,0.49591,82.4636,-4.990152,1.081486,0.417682,8.9989,8.12434,1.48437,50,5.99714,-8.16742,-132.26719,-3.58624,15.7564,31.27158,-17.94895,9e590409-797c-41da-b325-2d2ae5ce31a3,NA,NA,NA,NA,-61.356508,1000375158,"Anderson, TJ",4255.394584,NA,95.13099,Left,10.955419,46.01075,18.18389,-99.91444,256.94663,190.03834,2.505377,-70.635533,-0.1088,3.62092,-0.55867,NA,NA,NA,NA,NA,2,1,CIT_BUL,1,Top,1,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,c98e5b10-1a49-11f0-b3fe-7f7c5b8b2f06,90.24202,18.94879,NA,8.84953,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:34:25,2025-04-15T22:34:25Z,2025-04-15T22:34:25Z,LineDrive,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.36983,-133.29634,15.63579,6.10544,-2.99554,-8.97448,1.76169,-8.68596,7.8782,NA,-0.10868,65.65708,-19.36956,4.06938,-0.7487,0.10657,-0.01765,0.00398,-4.7e-4,3.62082,26.5217,-11.738,0.31081,-0.13419,0.07038,-0.01431,6.8e-4,1.1e-4,-0.55862,-120.22158,13.21424,-2.23167,0.47182,-0.11477,0.02327,-0.00271,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-04-15,18:34:50,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,91.1738,-2.274152,4.29426,2104.826628,137.263946,10:30:00,6.15398,-1.85245,6.15533,-15.47485,18.54391,-15.94217,2.75628,0.794,81.82851,-5.277123,1.429416,0.419789,9.54501,10.65103,1.53304,50,5.97252,-9.20055,-131.82531,-5.64683,16.50731,32.52119,-13.754,922c6cf4-044e-4c77-9936-9cc2e41e0875,NA,NA,NA,NA,NA,1000375158,"Anderson, TJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CIT_BUL,1,Top,1,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,d8434f30-1a49-11f0-b3fe-7f7c5b8b2f06,89.78909,NA,NA,9.34529,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:34:50,2025-04-15T22:34:50Z,2025-04-15T22:34:50Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.3412,-132.89196,16.26059,6.15033,-5.19572,-6.877,1.84368,-9.74197,8.25366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-15,18:35:10,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,92.07369,-2.456799,3.768238,2214.399643,138.142604,10:30:00,6.06569,-1.7138,6.32395,-14.68776,18.18241,-15.24383,2.57278,0.49133,83.26412,-5.304806,1.017348,0.412641,9.00808,10.51827,1.44467,50,5.87846,-8.13129,-133.33861,-6.1023,16.05424,31.36454,-13.42833,a467e849-30c4-4f01-876d-c6296648fd68,NA,NA,NA,NA,NA,1000375158,"Anderson, TJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CIT_BUL,1,Top,1,0,2,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,e46b56e0-1a49-11f0-b3fe-7f7c5b8b2f06,91.34437,NA,NA,8.80957,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:35:10,2025-04-15T22:35:10Z,2025-04-15T22:35:10Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.17411,-134.31687,15.68227,6.06226,-5.68347,-6.71416,1.70609,-8.63202,8.02712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.14631,2.883796,1.950618,0.933179,-1.83247,2.26493,-0.54422,0.44872,5.29869,-2.62247,76.07522,7.06481,-48.71911,0.48518,86.33216,-5.70112,5.34231,15.32016,-14.42642,-2.71346,-57.27444,8.52146,High,High,High,NA,NA,High,High,High
8,2025-04-15,18:35:47,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Fastball,NA,NA,90.75622,-2.017436,2.608102,2099.859593,131.821126,10:30:00,5.94596,-1.88808,5.92909,-19.07847,15.36099,-15.75158,2.48147,-0.77909,81.75801,-5.647044,-0.219052,0.422376,8.89634,8.88516,1.68834,50,5.77385,-5.30238,-131.47385,-5.21689,15.32467,31.99637,-16.86867,e5bc88f7-bfa2-4ffd-9997-8cda5eff2bb0,NA,NA,NA,NA,29.84639,1000104350,"Elliott, Travis",3953.948515,NA,86.55318,Right,16.64025,90.43854,24.21881,62.61676,231.3162,230.11612,2.618875,39.854402,0.07882,2.38783,0.74631,NA,NA,NA,NA,NA,3,1,CIT_BUL,1,Top,2,0,0,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,fa4731f0-1a49-11f0-b3fe-7f7c5b8b2f06,89.23896,24.73976,NA,8.99821,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:35:47,2025-04-15T22:35:47Z,2025-04-15T22:35:47Z,LineDrive,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.56925,-132.58119,15.99819,5.94429,-4.6331,-8.43433,1.88102,-5.83274,7.66234,232.117123,0.07879,105.49848,-23.83097,5.70884,-1.24485,0.24883,-0.04161,0.00474,-2.6e-4,2.38788,36.34703,-15.25695,0.34954,0.05586,-0.02095,0.00125,6.4e-4,-9e-5,0.74632,60.53023,-2.11012,0.20129,0.00892,-0.00695,8.7e-4,0,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-15,18:36:30,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Slider,NA,NA,81.52146,-0.316558,3.922291,2282.953756,235.03295,01:45:00,5.78531,-1.99179,6.05362,-38.94671,2.98902,2.41362,2.24603,1.84584,74.92475,-7.499186,4.355349,0.466083,-0.13906,2.05622,1.68512,50,5.73998,-8.19644,-118.20676,-1.88352,-0.19659,22.68024,-29.26674,005ed0bf-249a-4b47-ad03-56f892498204,NA,NA,NA,NA,NA,1000266249,"Hausner, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,CIT_BUL,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,140ace80-1a4a-11f0-b3fe-7f7c5b8b2f06,80.87062,NA,NA,6.59671,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:36:30,2025-04-15T22:36:30Z,2025-04-15T22:36:30Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.44625,-119.0568,11.34012,5.79001,-0.78662,-14.63337,1.99218,-8.18908,-0.09829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-15,18:37:07,"Soucie, Jackson",805735,Left,SOU_GAM,Undefined,Slider,NA,NA,79.18697,0.62647,2.153305,2214.279481,273.752723,03:15:00,5.90291,-1.98575,5.88977,-43.48967,1.27449,2.62225,2.86092,0.23316,72.43584,-7.392366,2.623762,0.481545,-0.70791,0.92878,1.81061,50,5.92863,-4.42093,-114.93611,-0.12223,-0.94217,22.30948,-30.93792,911096dd-3f5c-47da-9e2e-d0158a9ece46,NA,NA,NA,NA,NA,1000266249,"Hausner, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,CIT_BUL,1,Top,2,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,CIT_BUL,UofSouthCarolina,D1,SEC,20250415-UofSouthCarolina-1,29c95d90-1a4a-11f0-b3fe-7f7c5b8b2f06,78.27401,NA,NA,6.75113,NA,NA,NA,a93da1a0-a5d5-4d58-bdc0-a1e1ee88a9ad,2025-04-15,22:37:07,2025-04-15T22:37:07Z,2025-04-15T22:37:07Z,NA,v3,471441,471271,15 April 2025 18:30-citadel@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.61003,-115.82747,11.15474,5.90882,1.11388,-15.46896,1.98649,-4.38328,-0.47109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
