PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-20,13:03:53,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.08211,-1.843014,-4.327472,2296.762756,199.178748,12:45:00,5.7924,2.5557,6.29694,-9.52973,22.44147,7.36713,3.29465,-0.82533,83.84755,-3.78295,-3.001718,0.406959,-5.27981,12.56516,-2.24024,50,5.65142,9.95947,-135.97868,-4.52672,-9.64936,36.45575,-9.20999,71faaba6-62d0-44dd-adcc-7de1ef13e941,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIN_GOL,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,70bcb680-1e09-11f0-9a43-5fafb057e222,92.6197,NA,NA,10.23456,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:03:53,2025-04-20T17:03:53Z,2025-04-20T17:03:53Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.19561,-137.0989,18.22787,5.78617,-4.24371,-4.605,-2.55083,10.25597,-4.82468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-20,13:04:07,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Curveball,NA,NA,79.96485,2.215031,-3.264686,1999.130056,40.201807,07:15:00,5.81073,2.26322,6.02258,-57.57326,-13.20544,-12.48292,3.06886,-1.80404,72.43881,-8.361027,-5.504707,0.479408,5.26697,-6.96296,-2.00106,50,5.95425,7.08821,-115.84552,2.58185,7.01357,25.69852,-41.446,ee3715ce-c139-4b55-acfa-553dcaa9bcaa,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIN_GOL,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,78f47130-1e09-11f0-9a43-5fafb057e222,78.62284,NA,NA,7.52605,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:04:07,2025-04-20T17:04:07Z,2025-04-20T17:04:07Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.47732,-116.83451,12.84926,5.8242,4.17689,-20.723,-2.26865,6.81829,3.50678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-20,13:04:21,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Slider,NA,NA,80.38567,-0.193789,-3.161153,2391.503035,92.367948,09:00:00,5.67626,2.69457,5.71817,-42.04266,1.7715,-8.80359,1.99191,-0.98669,73.67779,-7.898853,-4.732896,0.476407,3.54319,1.39724,-2.42467,50,5.63421,6.78008,-116.5568,-1.77795,4.84652,23.07261,-30.26283,009ccced-c96a-4a46-89d9-d61704a40e5b,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIN_GOL,1,Top,0,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,8126d4b0-1e09-11f0-9a43-5fafb057e222,79.11808,NA,NA,6.70788,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:04:21,2025-04-20T17:04:21Z,2025-04-20T17:04:21Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.77999,-117.4992,11.53631,5.68159,-0.54187,-15.13142,-2.69756,6.58212,2.42326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-20,13:04:36,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,94.26137,-2.040826,-5.665766,2401.614803,196.951487,12:30:00,5.84504,2.41309,6.4615,-10.55516,20.84084,6.01087,3.08087,-2.30723,85.05011,-4.140362,-4.584953,0.403282,-4.87992,11.80619,-2.0141,50,5.69488,13.25091,-136.16276,-5.07152,-9.05607,33.11148,-10.26438,e5afc258-e215-42c8-810b-94dd6d5797a6,NA,NA,NA,NA,NA,804994,"Berkland, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MIN_GOL,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,8a0381f0-1e09-11f0-9a43-5fafb057e222,93.4643,NA,NA,9.21127,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:04:36,2025-04-20T17:04:36Z,2025-04-20T17:04:36Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.03361,-137.14013,16.55574,5.8401,-4.76854,-5.13219,-2.40918,13.51822,-4.52803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-20,13:04:49,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Cutter,NA,NA,88.76492,-0.916582,-4.317891,2375.072529,189.330718,12:15:00,5.72283,2.65854,6.54784,-28.51175,6.66268,0.89158,2.50386,-1.2343,80.36358,-6.280274,-4.156605,0.426859,-1.85402,4.15421,-2.36001,50,5.64735,9.6742,-128.58323,-2.92128,-3.05882,30.28246,-25.32029,df628fba-9d87-4adc-b8f1-2be1f15db69d,NA,NA,NA,NA,29.785741,804994,"Berkland, Drew",4507.735656,NA,75.73827,Right,49.394029,86.27336,90.58519,68.24152,239.92877,98.15436,4.91702,43.671604,1.27077,2.71822,2.0832,NA,NA,NA,NA,NA,1,5,MIN_GOL,1,Top,0,2,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,920c6470-1e09-11f0-9a43-5fafb057e222,88.30177,93.72057,NA,8.40135,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:04:49,2025-04-20T17:04:49Z,2025-04-20T17:04:49Z,FlyBall,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,53.94911,-129.50995,15.14123,5.72489,-2.14643,-12.66015,-2.65749,9.76781,-1.52941,215.840513,1.28987,62.33536,-12.06572,0.48745,1.7624,-0.96554,0.2382,-0.02838,0.00132,2.71895,84.2944,-22.7647,1.55619,0.37077,-0.39407,0.13188,-0.02004,0.00115,2.07898,35.99389,0.20266,-0.28511,-0.00629,0.00141,0.00944,-0.00286,2.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-04-20,13:05:22,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,92.23191,-2.34031,-3.522174,2378.563619,218.673781,01:15:00,5.68479,2.50979,8.39062,-16.35001,13.82516,10.22894,2.24636,0.24162,83.62324,-5.592066,-1.600249,0.395363,-7.00331,8.89465,-2.37986,50,5.59569,7.99278,-134.17453,-5.73795,-12.58008,32.99408,-16.19661,409c5320-14ea-442a-8e70-395350c4134d,NA,NA,NA,NA,28.526749,809741,"Richter, Easton",3503.829049,NA,99.60456,Left,17.609904,92.51997,19.999,59.49834,212.36267,136.01618,1.906406,37.483326,1.81142,2.12978,0.03948,NA,NA,NA,NA,NA,2,1,MIN_GOL,1,Top,1,0,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,a5f01900-1e09-11f0-9a43-5fafb057e222,95.33618,19.99747,NA,8.60867,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:05:22,2025-04-20T17:05:22Z,2025-04-20T17:05:22Z,LineDrive,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,52.11018,-134.69243,16.49704,5.68377,-5.48371,-8.0983,-2.50687,8.19024,-6.29004,NA,1.81142,122.33602,-22.87988,3.22582,-0.49526,0.02513,0.00636,-0.00149,1.5e-4,2.12978,44.19616,-31.3969,5.88465,-1.46863,0.35231,-0.07006,0.01094,-9.2e-4,0.03948,66.49706,4.7953,-3.58782,1.19908,-0.34842,0.07865,-0.01293,0.00111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-04-20,13:05:57,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,92.21705,-2.24495,-5.199664,2295.575655,223.511005,01:30:00,5.87109,2.64786,6.18819,-17.7154,15.06241,13.273,2.31241,-1.06015,84.07082,-5.60963,-2.818419,0.412061,-8.29697,8.74252,-2.26123,50,5.69202,11.5735,-133.39372,-5.77273,-14.93286,28.99352,-16.43926,fe6ee030-6876-4f0b-8b62-7b3edf031a2f,NA,NA,NA,NA,NA,809730,"Neels, Weber",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIN_GOL,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,baa57570-1e09-11f0-9a43-5fafb057e222,91.47296,NA,NA,8.14623,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:05:57,2025-04-20T17:05:57Z,2025-04-20T17:05:57Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.30947,-134.32713,14.49676,5.86934,-5.24349,-8.21963,-2.64157,12.05425,-7.46643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-20,13:06:13,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Cutter,NA,NA,87.4251,-0.116477,-3.516619,2325.058918,170.486631,11:45:00,5.7475,2.65459,6.25737,-24.55675,12.02288,-1.80051,3.5935,-0.74219,79.02825,-4.761281,-3.840825,0.435302,-0.18346,6.65103,-2.39262,50,5.72688,7.8579,-126.71162,-0.98489,-0.29418,29.23375,-21.51027,7b2fefdc-f698-427e-ae35-8fbbc1556a1f,NA,NA,NA,NA,12.337917,809730,"Neels, Weber",NA,NA,80.35201,Right,71.995029,NA,NA,NA,NA,32.9334,NA,NA,1.00989,3.44559,0.57226,NA,NA,NA,NA,NA,3,2,MIN_GOL,1,Top,1,0,1,Cutter,InPlay,Undefined,Popup,Out,1,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,c3e6d7f0-1e09-11f0-9a43-5fafb057e222,86.5891,112.57856,NA,8.39685,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:06:13,2025-04-20T17:06:13Z,2025-04-20T17:06:13Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.2394,-127.68596,14.61688,5.74776,-0.26797,-10.75513,-2.65468,7.8677,-0.14709,171.245245,1.0099,35.58335,-13.72756,3.99813,0.07437,-1.16096,0.90201,-0.3396,0.05246,3.44558,112.07907,-27.96438,3.3495,-0.91987,0.59525,-0.38258,0.1417,-0.02216,0.57226,7.78175,-7.83199,2.52087,0.13224,-0.89568,0.69113,-0.26054,0.04034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
9,2025-04-20,13:07:04,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Fastball,NA,NA,92.24642,-1.592215,-3.708646,2368.622126,213.590534,01:00:00,5.81613,2.66108,6.11348,-16.87725,16.47725,10.08859,2.93404,0.06795,82.50863,-4.847594,-1.895726,0.41567,-6.39705,9.37115,-2.38112,50,5.68491,8.197,-133.43306,-4.18603,-11.28768,34.40732,-15.63849,5bdc03f6-882f-4ce5-9988-f8aaecae03da,NA,NA,NA,NA,NA,686574,"Fitzgerald, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,MIN_GOL,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,e27fca50-1e09-11f0-9a43-5fafb057e222,90.67875,NA,NA,9.73778,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:07:04,2025-04-20T17:07:04Z,2025-04-20T17:07:04Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.37947,-134.55761999999999,17.20366,5.81337,-3.6749,-7.81925,-2.65506,8.56592,-5.64384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-20,13:07:25,"Shadek, Justin",10313394,Right,RUT_SCA,Undefined,Cutter,NA,NA,87.84529,-1.552033,-4.688881,2265.676558,164.869444,11:30:00,5.73306,2.75343,6.37042,-21.38926,14.78139,-3.6561,2.51741,-1.87525,79.61829,-5.610592,-5.346632,0.432862,0.41886,8.55611,-2.41272,50,5.6106,10.57069,-127.08827,-4.04746,0.67683,28.95536,-18.34803,3f45b32a-0ebc-430a-8ba2-a327ba68104a,NA,NA,NA,NA,NA,686574,"Fitzgerald, Josh",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,MIN_GOL,1,Top,2,0,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RUT_SCA,MIN_GOL,BaintonField,D1,BIG10,20250420-BaintonField-1,eed4fc80-1e09-11f0-9a43-5fafb057e222,87.07724,NA,NA,8.227,NA,NA,NA,db4ca490-d1c7-405d-bf47-2b800bef882b,2025-04-20,17:07:25,2025-04-20T17:07:25Z,2025-04-20T17:07:25Z,NA,v3,471422,471360,20 April 2025 13:00-minnesota@rutgers,"Chatelle, Matthew",10164827,Right,RUT_SCA,54.12422,-128.02447,14.47768,5.73187,-3.45423,-9.17402,-2.75414,10.54881,0.33841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
