PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-20,14:02:35,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Fastball,NA,NA,95.46826,-1.54655,-0.72376,2264.750274,210.001697,01:00:00,6.30558,1.25768,5.70342,-12.98654,18.04595,9.81934,3.78187,1.40154,86.68984,-4.042362,1.032419,0.40094,-5.22075,9.94981,-1.20329,50,6.16808,1.29726,-138.54999,-4.1303,-10.08493,32.75595,-12.95406,5eef4e44-a570-4f6f-a8e0-49d556dee52f,NA,NA,NA,NA,NA,804119,"Boser, Bobby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FLA_GAT,1,Top,0,0,0,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,05c820b0-1e1a-11f0-bd92-bf0f7836c811,94.0101,NA,NA,8.77842,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:02:35,2025-04-20T19:02:35Z,2025-04-20T19:02:35Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,54.79499,-139.67902,16.37798,6.30275,-3.6838,-6.47703,-1.254,1.64486,-5.04246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-20,14:03:06,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Sinker,NA,NA,96.42741,-2.51039,-0.938194,2398.460029,232.849601,01:45:00,6.186,1.3909,5.69697,-16.98336,13.22603,16.22312,2.42951,1.86845,88.45797,-5.687674,1.964397,0.395587,-8.4706,7.68437,-1.32223,50,5.96455,1.52862,-139.97982,-6.72909,-16.8542,30.76241,-16.88423,8d122247-1f13-42c4-840e-b89558dab89a,NA,NA,NA,NA,NA,1000092133,"Shelton, Colby",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,FLA_GAT,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,18992cc0-1e1a-11f0-bd92-bf0f7836c811,95.28226,NA,NA,7.96944,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:03:06,2025-04-20T19:03:06Z,2025-04-20T19:03:06Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,54.80219,-141.03122,15.38121,6.18468,-6.15202,-8.44211,-1.38432,2.10466,-8.4271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-20,14:03:24,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,ChangeUp,NA,NA,86.8377,-0.555541,-3.822811,1714.550498,258.147867,02:30:00,6.0098,1.84549,5.10275,-34.33274,4.1002,13.47268,2.62409,-0.63921,79.18171,-6.813358,-1.444562,0.446193,-7.75918,2.59878,-1.49529,50,5.93066,7.7819,-125.70443,-2.54421,-12.3751,26.2511,-28.02927,c0937560-fd3e-4692-ac3d-2667362af7fe,NA,NA,NA,NA,NA,1000092133,"Shelton, Colby",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,FLA_GAT,1,Top,0,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,22f83440-1e1a-11f0-bd92-bf0f7836c811,84.47555,NA,NA,7.65599,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:03:24,2025-04-20T19:03:24Z,2025-04-20T19:03:24Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,55.39529,-126.82614,13.12555,6.01379,-1.34653,-14.01464,-1.83911,8.31068,-6.18755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-20,14:03:43,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,ChangeUp,NA,NA,86.85594,-2.357312,-3.333118,1726.371217,272.60681,03:00:00,6.0208,2.02856,5.33049,-37.68333,0.45382,17.82229,0.6637,0.38281,79.52865,-9.199347,-0.164435,0.444473,-9.97713,1.25941,-1.74061,50,5.78007,6.55439,-125.78653,-6.60358,-15.89708,26.82558,-30.1674,084caffc-55ae-4cb2-aeaf-c1d20221f3fb,NA,NA,NA,NA,NA,1000092133,"Shelton, Colby",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,FLA_GAT,1,Top,0,1,1,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,2e97d210-1e1a-11f0-bd92-bf0f7836c811,84.80253,NA,NA,7.32729,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:03:43,2025-04-20T19:03:43Z,2025-04-20T19:03:43Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,55.17035,-126.88438,13.41279,6.02506,-5.36896,-15.0837,-2.02217,7.20498,-7.94854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-20,14:04:34,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,ChangeUp,NA,NA,87.58626,-0.63584,-2.918592,1808.206151,260.948493,02:45:00,5.99636,1.84474,5.30254,-33.15277,3.84394,17.31532,2.63592,0.54543,80.7985,-6.679401,0.154605,0.437777,-9.50075,2.38488,-1.59279,50,5.91416,5.73263,-127.15077,-2.65892,-15.67342,24.19265,-28.2397,71d5b462-e056-4e88-8c89-fafc851ec965,NA,NA,NA,NA,-22.165069,1000092133,"Shelton, Colby",4065.457308,NA,94.88744,Left,26.868278,97.94905,50.04813,-50.05922,353.67797,333.3918,4.336528,-35.368816,0.74196,2.65126,-0.54186,NA,NA,NA,NA,NA,2,4,FLA_GAT,1,Top,0,1,2,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,2,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,4c8edf20-1e1a-11f0-bd92-bf0f7836c811,86.09964,64.85084,NA,6.78776,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:04:34,2025-04-20T19:04:34Z,2025-04-20T19:04:34Z,FlyBall,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,55.19945,-128.13623,12.09633,5.99904,-1.5086,-14.11985,-1.83931,6.37107,-7.83671,136.377473,0.74215,114.96767,-25.56639,6.78622,-1.57804,0.34149,-0.06561,0.0088,-5.3e-4,2.65271,62.85764,-16.43005,-0.41349,0.77983,-0.36765,0.09938,-0.01398,7.8e-4,-0.54158,-46.84442,-2.36174,1.50028,-0.47822,0.10362,-0.01546,0.00147,-7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-04-20,14:05:50,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Fastball,NA,NA,96.44081,-3.259786,-0.8672,2307.463444,212.452672,01:00:00,6.14137,1.30093,5.57707,-12.06048,18.35958,11.0589,2.08812,1.4125,88.25373,-5.559252,1.106196,0.396964,-5.8063,10.45627,-1.23359,50,5.8528,1.58631,-139.84277,-8.33108,-11.518980000000001,30.9937,-11.43009,585704e3-290d-4acb-a8b3-db68f981ef43,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,FLA_GAT,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,7a4153d0-1e1a-11f0-bd92-bf0f7836c811,94.95174,NA,NA,8.18708,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:05:50,2025-04-20T19:05:50Z,2025-04-20T19:05:50Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,54.92106,-140.92922,15.49685,6.13782,-7.93041,-5.71505,-1.29627,1.99009,-5.7594900000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-20,14:06:05,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Fastball,NA,NA,92.4492,-3.022616,-1.905676,2158.449927,230.902614,01:45:00,6.09327,1.33666,5.64646,-20.13186,13.12064,14.76143,1.59203,0.78857,84.20383,-6.782091,0.732671,0.415034,-7.99477,7.87371,-1.18426,50,5.82384,3.77683,-133.94624,-7.76566,-14.44764,30.36549,-17.94519,485867a6-0f9e-4335-912f-e75e5dc328b7,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,FLA_GAT,1,Top,0,1,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,83514610-1e1a-11f0-bd92-bf0f7836c811,90.81776,NA,NA,8.24537,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:06:05,2025-04-20T19:06:05Z,2025-04-20T19:06:05Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,54.85077,-135.04143,15.18275,6.09225,-7.11844,-8.9726,-1.32988,4.29791,-7.22382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-20,14:06:24,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Fastball,NA,NA,95.73675,-2.920592,-1.633541,2323.919414,219.918829,01:15:00,6.21235,1.27512,5.54032,-15.08339,15.98611,12.50705,2.22228,0.79022,87.18537,-5.769121,0.596591,0.401179,-6.84666,9.25776,-1.14224,50,5.94921,3.37636,-138.77654,-7.59108,-13.29234,32.35526,-14.20072,f7975545-e2ec-4b9e-a280-598567527eb8,NA,NA,NA,NA,19.882915,807116,"Lawson, Brendan",NA,NA,84.72952,Left,-9.469736,NA,NA,NA,14.68456,14.68456,0.105069,14.116503,2.18519,2.33931,-0.80493,NA,NA,NA,NA,NA,3,3,FLA_GAT,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,8e710580-1e1a-11f0-bd92-bf0f7836c811,93.95408,2.33931,NA,8.55138,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:06:24,2025-04-20T19:06:24Z,2025-04-20T19:06:24Z,GroundBall,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,54.95927,-139.928,16.17763,6.21036,-7.08571,-7.10036,-1.27081,3.84941,-6.64617,312.238925,2.18518,115.26974,-5.01041,NA,NA,NA,NA,NA,NA,2.33933,-20.44865,-17.28742,NA,NA,NA,NA,NA,NA,-0.80493,41.68879,0.56482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-20,14:06:56,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Fastball,NA,NA,96.87695,-1.558266,-1.404512,2429.404879,211.733454,01:00:00,6.26463,1.16554,5.31355,-12.9252,17.51473,10.22847,3.72418,0.69941,88.36494,-4.014168,0.411181,0.397094,-5.47744,9.47359,-1.04573,50,6.11427,2.93288,-140.52947,-4.24851,-10.95802,31.72165,-13.22141,3b5da088-7f76-4023-8284-d0867fa76b8c,NA,NA,NA,NA,NA,701326,"Heyman, Luke",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,FLA_GAT,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,a13455f0-1e1a-11f0-bd92-bf0f7836c811,94.92073,NA,NA,8.51202,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:06:56,2025-04-20T19:06:56Z,2025-04-20T19:06:56Z,NA,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,55.18371,-141.69476,15.86082,6.26142,-3.76283,-6.61071,-1.16087,3.33542,-5.47901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-20,14:07:07,"Ligon, Karson",695704,Right,MSU_BDG,Undefined,Fastball,NA,NA,95.30535,-3.758061,-2.591571,2370.788459,212.301996,01:00:00,6.26636,1.19742,5.47737,-12.3341,19.06521,11.40201,1.71337,-0.27905,87.04487,-6.110041,-0.563303,0.403303,-6.50902,10.99556,-0.97795,50,5.92772,5.7138,-137.98545,-9.45674,-12.54624,30.77341,-10.97988,db7b2956-c2ef-440d-bdba-15749a2009cd,NA,NA,NA,NA,-7.7711,701326,"Heyman, Luke",1733.367613,NA,101.54228,Right,20.941798,108.82364,38.43472,-16.04382,368.70546,368.70546,4.094145,-9.643883,1.98399,1.84819,0.26612,NA,NA,NA,NA,NA,4,2,FLA_GAT,1,Top,1,1,0,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,NA,MSU_BDG,FLA_GAT,MSST,D1,SEC,20250420-MSST-1,a827a9c0-1e1a-11f0-bd92-bf0f7836c811,93.45938,53.62861,NA,8.26048,NA,NA,NA,1100ce0d-4eda-4858-95e9-73c44739918a,2025-04-20,19:07:07,2025-04-20T19:07:07Z,2025-04-20T19:07:07Z,LineDrive,v3,5080,471297,20 April 2025 14:00-florida@missst,"Powell, Joe",701128,Right,MSU_BDG,55.02237,-139.10103,15.3867,6.26332,-9.05871,-5.48994,-1.19333,6.16862,-6.27312,165.523017,1.98398,137.81267,-25.18523,6.10258,-1.3193,0.27838,-0.05354,0.007,-4e-4,1.84821,53.23082,-13.71553,-0.28898,0.2974,-0.11735,0.0302,-0.0039,1.8e-4,0.26662,-18.82065,0.37549,0.42617,-0.12306,0.01277,6.5e-4,-2.4e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
