PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-18,18:05:58,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Fastball,NA,NA,95.67885,-3.872005,-3.555524,2428.231993,234.020391,01:45:00,6.27962,1.90368,6.56406,-25.87915,4.06532,4.30429,0.56108,-1.00136,87.9539,-8.678127,-2.773938,0.393849,-3.2915,3.49484,-1.66048,50,6.00123,8.44377,-138.63404,-10.24977,-6.3951,31.47427,-25.3838,5bcc6eaf-d3dd-45da-9541-7e6d5af24190,NA,NA,NA,NA,NA,1000120922,"Zimbardo, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NOT_IRI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,73ada520-1cba-11f0-a286-0752afe74c3e,95.70276,NA,NA,7.72494,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:05:58,2025-04-19T01:05:58Z,2025-04-19T01:05:58Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,53.93676,-139.52495,15.73714,6.28119,-9.53126,-12.6919,-1.90205,8.62479,-3.19755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-18,18:06:23,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Fastball,NA,NA,95.23276,-3.710654,-3.039069,2632.489724,236.889709,02:00:00,6.25367,2.03836,6.61136,-25.41745,4.63819,5.69697,0.72731,-0.27307,87.71232,-8.440612,-2.002699,0.394579,-3.88721,3.71303,-1.83391,50,5.99,7.11531,-138.13817,-9.78669,-7.515,30.62048,-24.99572,46befabe-d8f0-4617-bdd6-f664f336680b,NA,NA,NA,NA,NA,1000120922,"Zimbardo, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NOT_IRI,1,Top,0,1,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,82d494f0-1cba-11f0-a286-0752afe74c3e,95.52563,NA,NA,7.52044,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:06:23,2025-04-19T01:06:23Z,2025-04-19T01:06:23Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,53.89041,-138.99787,15.31024,6.25492,-9.08491,-12.49786,-2.03664,7.3263,-3.7575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-18,18:06:40,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Slider,NA,NA,90.11726,1.06902,-0.613696,2807.80356,106.921689,09:30:00,6.28289,2.01758,6.20147,-32.1449,2.21709,-3.38536,4.59112,1.16895,81.47699,-4.937323,-1.224973,0.421901,1.53823,1.22197,-1.96995,50,6.34768,1.54637,-130.80988,1.33884,2.63256,30.75603,-30.08279,f6f9921a-70b6-4ac0-bc24-3d06c2f7c3d7,NA,NA,NA,NA,NA,1000120922,"Zimbardo, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NOT_IRI,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,8d3a0510-1cba-11f0-a286-0752afe74c3e,89.33952,NA,NA,8.64027,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:06:40,2025-04-19T01:06:40Z,2025-04-19T01:06:40Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,54.29427,-131.81569,15.37802,6.28782,2.32262,-15.04139,-2.01911,1.46028,1.31628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-18,18:06:57,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Slider,NA,NA,90.05015,-0.056417,-2.164511,2932.705891,116.010354,09:45:00,6.27347,2.01751,6.35775,-31.39502,2.6948,-3.20874,3.60526,-0.24295,81.94542,-5.919435,-2.745106,0.420227,1.00622,1.79559,-1.85935,50,6.25514,5.07383,-130.75511,-1.16721,1.72776,29.67619,-29.09085,53312fd9-461b-466e-92d3-8317539e334a,NA,NA,NA,NA,NA,1000120922,"Zimbardo, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NOT_IRI,1,Top,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,96fad0c0-1cba-11f0-a286-0752afe74c3e,89.69547,NA,NA,8.10473,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:06:57,2025-04-19T01:06:57Z,2025-04-19T01:06:57Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,54.13949,-131.69126,14.83809,6.27749,-0.24953,-14.54543,-2.01854,5.01933,0.86388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-18,18:07:13,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Slider,NA,NA,89.8468,-1.814856,-2.785179,2811.227954,137.681655,10:30:00,6.16327,2.20395,6.61783,-30.80254,3.38512,-1.98614,1.9318,-0.51429,81.48569,-7.586199,-3.146352,0.42083,0.1437,2.70894,-2.01399,50,6.02744,6.41686,-130.34478,-5.08392,0.24323,31.54801,-27.58933,44545e0d-1e26-4272-b6fb-233e0ea4efc4,NA,NA,NA,NA,-41.954035,1000120922,"Zimbardo, Jared",NA,NA,67.00921,Right,-22.485413,NA,NA,NA,6.37928,5.58231,0.029553,-18.874041,4.03702,1.11274,-0.26639,NA,NA,NA,NA,NA,1,5,NOT_IRI,1,Top,0,2,2,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,a0806830-1cba-11f0-a286-0752afe74c3e,89.567,1.11274,NA,8.36111,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:07:13,2025-04-19T01:07:13Z,2025-04-19T01:07:13Z,GroundBall,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,53.88069,-131.28068,15.774,6.16612,-4.26546,-13.79466,-2.20424,6.40964,0.12161,180,4.03646,67.65031,NA,NA,NA,NA,NA,NA,NA,1.11305,-37.65255,NA,NA,NA,NA,NA,NA,NA,-0.26588,-60.81441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
6,2025-04-18,18:07:49,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Fastball,NA,NA,95.56565,-2.745588,-3.095208,2702.965406,190.908318,12:15:00,6.32432,1.92209,6.61756,-17.34619,12.52713,2.23075,2.35874,-0.72943,87.44673,-6.042984,-2.690121,0.393381,-2.04701,7.66209,-1.71261,50,6.13018,7.4067,-138.65208,-7.15994,-3.97951,31.38711,-17.27838,83a08226-14eb-4a68-83e7-673062895415,NA,NA,NA,NA,NA,1000111037,"Watters, Brenson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NOT_IRI,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,b5f4cee0-1cba-11f0-a286-0752afe74c3e,95.81669,NA,NA,8.11892,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:07:49,2025-04-19T01:07:49Z,2025-04-19T01:07:49Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,53.88117,-139.5279,15.69355,6.32325,-6.67781,-8.63919,-1.92084,7.51774,-1.98976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-18,18:08:05,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Fastball,NA,NA,95.81545,-2.854628,-3.017849,2653.604474,198.447589,12:30:00,6.31194,2.05723,6.50781,-17.87166,11.78587,3.63524,2.19703,-0.41199,88.22078,-6.227818,-2.358866,0.391957,-2.70819,7.21481,-1.84791,50,6.1043,7.1848,-139.08331,-7.48797,-5.33281,29.65343,-17.96708,158238fb-5e37-4f39-9f82-e0671bc8c1f5,NA,NA,NA,NA,52.505538,1000111037,"Watters, Brenson",NA,NA,93.72027,Left,-47.560848,NA,NA,NA,3.63116,2.20798,0.024761,33.631649,1.62249,2.51697,0.18511,NA,NA,NA,NA,NA,2,2,NOT_IRI,1,Top,1,0,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,bfa96590-1cba-11f0-a286-0752afe74c3e,96.16464,2.51697,NA,7.59467,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:08:05,2025-04-19T01:08:05Z,2025-04-19T01:08:05Z,GroundBall,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,53.99232,-139.93191,14.82671,6.31122,-6.97381,-8.98354,-2.0557,7.33741,-2.6664,NA,1.62203,56.57508,NA,NA,NA,NA,NA,NA,NA,2.51779,-101.64977,NA,NA,NA,NA,NA,NA,NA,0.18451,73.74484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-04-18,18:08:47,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Fastball,NA,NA,95.41067,-1.05202,-2.643867,2524.888613,239.381389,02:00:00,6.39315,1.93769,6.34339,-26.66549,3.53949,4.38126,3.20139,-0.13289,87.33753,-6.02374,-1.851307,0.395558,-3.01599,2.44496,-1.74733,50,6.30425,6.21068,-138.56557,-3.47387,-5.85795,31.24947,-27.42517,33622dd7-05b9-438f-80cf-9fdca95c7b1b,NA,NA,NA,NA,NA,806245,"Tinney, Carson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NOT_IRI,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,d88a1c30-1cba-11f0-a286-0752afe74c3e,95.28921,NA,NA,8.07314,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:08:47,2025-04-19T01:08:47Z,2025-04-19T01:08:47Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,54.15525,-139.49952,15.62473,6.39582,-2.65422,-13.71258,-1.93557,6.38575,-2.92897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-18,18:09:04,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Slider,NA,NA,89.89555,-1.110434,-1.758764,2729.557646,99.946992,09:15:00,6.31796,1.9221,6.31051,-32.07864,1.97386,-5.20957,2.62122,-0.13268,82.48784,-7.064383,-2.701621,0.419997,2.22976,1.63441,-1.79077,50,6.2212,4.2157,-130.65027,-3.59178,3.84422,28.18438,-29.3563,bfd11426-e87c-4eae-94b3-05a83985b9bc,NA,NA,NA,NA,-46.615915,806245,"Tinney, Carson",4154.010334,NA,95.3202,Right,12.224827,70.6868,7.9302,-84.28052,145.96915,144.03629,1.252099,-51.618042,2.48346,2.59169,0.04171,NA,NA,NA,NA,NA,3,2,NOT_IRI,1,Top,2,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,e30696c0-1cba-11f0-a286-0752afe74c3e,89.74461,10.56303,NA,7.40771,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:09:04,2025-04-19T01:09:04Z,2025-04-19T01:09:04Z,LineDrive,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,54.18996,-131.55103,14.09219,6.321,-2.65355,-14.67815,-1.92354,4.09284,1.92211,NA,2.48346,93.85078,-24.35057,5.91988,-1.55714,0.63827,-0.51913,0.31566,-0.07717,2.59169,29.60293,-29.69023,4.54376,-1.10569,0.38222,-0.25265,0.14313,-0.03403,0.04171,-99.30009,5.37842,1.31192,-0.71151,0.33604,-0.22848,0.13903,-0.03556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-18,18:09:25,"Volchko, Joey",811285,Right,STA_CAR,Undefined,Fastball,NA,NA,94.50348,-1.408192,-4.118367,2627.870981,176.513448,12:00:00,6.35496,1.952,6.58814,-23.69608,7.638,-0.39161,3.08632,-1.86094,84.56146,-5.903232,-4.189278,0.402884,-1.25331,4.87756,-1.66971,50,6.24883,9.8615,-136.72591,-4.10854,-2.31195,37.31483,-23.17668,fa15b92a-f530-449b-921f-6dfd711b83d2,NA,NA,NA,NA,NA,806245,"Tinney, Carson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NOT_IRI,1,Top,2,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,NOT_IRI,KleinField,D1,ACC,20250418-KleinField-1,ef7f2f70-1cba-11f0-a286-0752afe74c3e,93.5566,NA,NA,9.94203,NA,NA,NA,85c59e08-2e7c-47d9-88f9-6fb6f5183eea,2025-04-19,01:09:25,2025-04-19T01:09:25Z,2025-04-19T01:09:25Z,NA,v3,471454,225,18 April 2025 21:05-notredame@stanford,"Saum, Charlie",691793,Right,STA_CAR,53.90545,-137.78765,18.65742,6.35635,-3.44908,-11.58834,-1.95124,9.92729,-1.15597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
