PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-22,18:02:17,"Butash, Mason",831921,Right,PEN_NIT,Undefined,Curveball,NA,NA,76.56359,1.206611,-0.158692,2121.604549,19.503325,06:45:00,5.87103,0.807,5.29481,-61.26452,-12.25631,-4.90536,1.89871,0.24923,70.22278,-9.880197,-1.032017,0.503855,2.39744,-5.95583,-0.78891,50,5.93619,0.50175,-111.14214,0.20512,2.97516,21.38397,-39.56509,82f2f7a3-6400-4e3f-bd1b-12267d150d83,NA,NA,NA,NA,NA,703455,"King, Skylar",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WES_MOU,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,761a0340-1fc5-11f0-9d50-7f2b813056d8,74.80806,NA,NA,6.34081,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:02:17,2025-04-22T22:02:17Z,2025-04-22T22:02:17Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,55.20603,-112.13931,10.69199,5.88361,2.05012,-19.78255,-0.80907,0.36301,1.48758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-22,18:02:32,"Butash, Mason",831921,Right,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,92.68592,-1.646262,-3.493253,2135.846776,205.276351,12:45:00,5.66073,0.93901,5.68026,-15.36017,17.76509,7.85032,2.84285,-1.66712,83.98798,-4.577792,-2.093823,0.414239,-5.00548,9.82666,-0.64934,50,5.51231,7.83122,-134.20525,-4.32826,-9.06424,30.96856,-14.37931,3be4a7ae-cb82-4d9a-b78f-4f13b68ce826,NA,NA,NA,NA,NA,703455,"King, Skylar",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WES_MOU,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,7f2847d0-1fc5-11f0-9d50-7f2b813056d8,90.99198,NA,NA,8.69793,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:02:32,2025-04-22T22:02:32Z,2025-04-22T22:02:32Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,54.81525,-135.31184,15.48428,5.65779,-3.81446,-7.18966,-0.93495,8.15511,-4.53212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
3,2025-04-22,18:03:26,"Butash, Mason",831921,Right,PEN_NIT,Undefined,Curveball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703455,"King, Skylar",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WES_MOU,1,Top,0,1,1,NA,InPlay,Undefined,LineDrive,Single,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,900af160-1fc5-11f0-9d50-7f2b813056d8,NA,NA,NA,NA,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:03:26,2025-04-22T22:03:26Z,2025-04-22T22:03:26Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-04-22,18:03:27,"Butash, Mason",831921,Right,PEN_NIT,Undefined,Curveball,NA,NA,79.04617,-0.523608,-0.707527,2070.890559,68.392555,08:15:00,5.75438,1.04124,5.74311,-48.70117,-3.63669,-12.77229,1.20839,-0.6819,72.7728,-9.414379,-2.999497,0.483157,6.35366,-1.34039,-0.97432,50,5.68076,1.89352,-114.85338,-2.6359,8.44331,22.29311,-33.95528,214dccae-e620-41e8-9a20-d18ee381b822,NA,NA,NA,NA,NA,702524,"Sauve, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WES_MOU,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,9f936220-1fc5-11f0-9d50-7f2b813056d8,78.01278,NA,NA,6.27337,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:03:27,2025-04-22T22:03:27Z,2025-04-22T22:03:27Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,54.75762,-115.77315,11.14656,5.76062,-1.23496,-16.97764,-1.04526,1.54517,4.22165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-22,18:03:49,"Butash, Mason",831921,Right,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,92.43683,-1.557746,-1.674658,2107.180555,211.337086,01:00:00,5.90428,0.87058,5.64504,-17.05714,15.90918,9.0554,3.02884,0.06266,84.55806,-4.772112,-0.057276,0.413244,-5.08847,8.83134,-0.73449,50,5.76138,3.52289,-134.19662,-4.21141,-9.28869,28.76075,-16.0529,6b15c20f-b23c-4553-8d1a-1b9fbcd454d5,NA,NA,NA,NA,96.401068,702524,"Sauve, Logan",1847.540237,NA,84.44148,Right,58.930706,NA,NA,NA,NA,71.02009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WES_MOU,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,acebfa90-1fc5-11f0-9d50-7f2b813056d8,91.21108,131.37926,NA,7.87878,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:03:49,2025-04-22T22:03:49Z,2025-04-22T22:03:49Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,54.85381,-135.23288,14.38037,5.9027,-3.63302,-8.02645,-0.86746,3.85757,-4.64435,NA,5.80676,-7.12572,-1.24579,0.81271,-0.29499,0.08497,-0.01911,0.00285,-2e-4,3.66396,106.08087,-26.4548,2.29759,-0.0472,-0.10547,0.04001,-0.0082,7.7e-4,-7.92683,63.51583,-24.28321,8.13385,-2.18922,0.52182,-0.10111,0.01301,-7.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
6,2025-04-22,18:04:47,"Butash, Mason",831921,Right,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,91.10541,-0.507097,-2.473598,2055.110759,201.791718,12:45:00,5.8443,0.90693,5.84741,-19.11434,14.64737,5.42611,3.77977,-0.9409,83.11958,-4.113725,-1.501854,0.418199,-3.45358,7.94575,-0.70882,50,5.79186,5.47339,-132.21439,-1.77898,-6.1096,28.34178,-18.11749,75529c75-d28a-4af9-929c-071c45368378,NA,NA,NA,NA,NA,702524,"Sauve, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WES_MOU,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,ce5c76f0-1fc5-11f0-be3f-f995e6139fa1,90.13029,NA,NA,7.98583,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:04:47,2025-04-22T22:04:47Z,2025-04-22T22:04:47Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,54.64912,-133.20726,14.17089,5.84306,-1.14429,-9.05874,-0.90432,5.68742,-3.0548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-22,18:05:24,"Butash, Mason",831921,Right,PEN_NIT,Undefined,Slider,NA,NA,80.31414,1.653448,-1.532793,2003.651671,108.072899,09:30:00,5.5939,1.09599,5.44135,-39.30349,4.89485,-10.70886,3.86778,-1.23196,73.34881,-5.567628,-3.436535,0.478492,4.93016,2.43083,-0.95295,50,5.71324,3.55284,-116.49797,2.03358,6.75611,22.46865,-28.84293,5ec6cc8f-f700-4e28-a1e8-f86709ea6968,NA,NA,NA,NA,NA,702524,"Sauve, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,WES_MOU,1,Top,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,e45aa710-1fc5-11f0-be3f-f995e6139fa1,78.77347,NA,NA,6.96533,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:05:24,2025-04-22T22:05:24Z,2025-04-22T22:05:24Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,55.05576,-117.46901,11.23433,5.59842,3.2801,-14.42146,-1.10019,3.26085,3.37806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-22,18:05:43,"Butash, Mason",831921,Right,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,91.85257,-1.665006,-1.161009,2145.460739,208.49688,01:00:00,5.78836,0.9297,5.52949,-18.05009,15.39068,7.79867,2.72699,0.49413,84.27235,-5.044523,0.229422,0.416207,-4.27937,8.5493,-0.83431,50,5.63187,2.35621,-133.37997,-4.49068,-7.73841,27.66616,-16.71438,d49a8651-ae29-4560-ac0b-6551c3d0bf2c,NA,NA,NA,NA,-15.472385,702524,"Sauve, Logan",4095.174583,NA,104.1508,Right,35.937423,106.72009,80.83994,-26.65953,393.45673,393.45673,6.074772,-10.46549,1.93123,2.85787,-0.52645,NA,NA,NA,NA,NA,2,5,WES_MOU,1,Top,0,3,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,eff87020-1fc5-11f0-be3f-f995e6139fa1,90.56175,126.36936,NA,7.58022,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:05:43,2025-04-22T22:05:43Z,2025-04-22T22:05:43Z,FlyBall,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,54.96951,-134.40681,13.83308,5.78703,-3.87032,-8.35719,-0.92709,2.64342,-3.86921,188.742905,1.93747,119.07438,-28.52204,7.67934,-1.44406,0.17146,-0.00999,9e-5,1e-5,2.85286,89.73599,-17.2019,-0.275,0.48455,-0.16899,0.03561,-0.0041,1.9e-4,-0.52883,-32.94745,11.07206,-3.03981,0.5858,-0.07276,0.00476,-1e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-22,18:06:47,"Butash, Mason",831921,Right,PEN_NIT,Undefined,Curveball,NA,NA,79.28688,1.789808,-0.398824,2084.689248,63.532273000000004,08:00:00,5.57923,1.22354,5.44645,-50.34274,-5.19591,-13.20284,3.06029,-0.2501,72.84923,-7.380298,-2.750664,0.483599,6.52528,-2.67555,-1.17901,50,5.7026,1.32719,-115.14599,1.85139,8.75994,21.3956,-35.76587,adc33ff3-7e54-4c02-a544-6ead358dd36e,NA,NA,NA,NA,NA,823918,"West, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,WES_MOU,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,15f1f710-1fc6-11f0-be3f-f995e6139fa1,77.94159,NA,NA,6.43765,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:06:47,2025-04-22T22:06:47Z,2025-04-22T22:06:47Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,55.05395,-116.08128,10.6978,5.5875,3.41487,-17.882930000000002,-1.22865,0.94426,4.37997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-22,18:07:21,"Butash, Mason",831921,Right,PEN_NIT,Undefined,Curveball,NA,NA,80.645,2.24206,1.345757,2100.003652,60.144565,08:00:00,5.70242,1.01542,5.15064,-50.55641,-6.20008,-13.29532,3.60174,1.17461,73.59958,-6.932837,-1.008955,0.479346,6.98705,-3.28083,-1.13059,50,5.87316,-2.18597,-116.94958,2.71466,9.63781,22.8855,-36.69955,8a8eca53-f32a-4413-a502-969b09525249,NA,NA,NA,NA,NA,823918,"West, Kyle",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,WES_MOU,1,Top,1,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,1,0,NA,PEN_NIT,WES_MOU,LubranoPark,D1,BIG10,20250422-LubranoPark-1,2a0bafc0-1fc6-11f0-be3f-f995e6139fa1,78.63302,NA,NA,7.04541,NA,NA,NA,8732b2c6-606b-476f-908b-0638509b0ffe,2025-04-22,22:07:21,2025-04-22T22:07:21Z,2025-04-22T22:07:21Z,NA,v3,5326,5327,NA,"Voss, Nate",702490,Right,PEN_NIT,55.34915,-117.9917,11.44275,5.71149,4.38581,-18.34977,-1.02106,-2.62484,4.8189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.71812,1.935376,0.663501,1.271875,-1.20865,3.27123,-1.12574,-1.19271,6.097,-0.51042,127.28017,3.30079,3.2651,-1.06698,113.16842,-9.7434,6.12703,13.75188,-12.58851,-0.56651,-0.81036,3.0524,High,High,High,NA,NA,High,High,High
