PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-23,15:05:17,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,Fastball,NA,NA,84.83581,-2.28298,3.014406,2317.541169,142.080049,10:45:00,5.84903,-1.89721,6.14,-21.72922,16.98154,-12.21698,1.92429,-0.1268,77.36084,-6.396427,0.814324,0.447803,7.15563,9.81725,1.67313,50,5.66328,-5.99464,-122.99272,-5.51629,10.91684,25.31008,-17.19659,641d68dc-c2fb-4ff5-849d-9ac5c641ad56,NA,NA,NA,NA,NA,1000297583,"Lambdin, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,XAV_MUS,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,e5cfaae0-2075-11f0-bac9-af64d2124e33,84.17186,NA,NA,7.47498,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:05:17,2025-04-23T19:05:17Z,2025-04-23T19:05:17Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.35987,-123.88667,12.65504,5.84739,-4.90891,-8.59829,1.89167,-6.38022,5.45842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-23,15:05:32,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,ChangeUp,NA,NA,77.24831,-2.172035,2.290304,1748.635052,119.151694,10:00:00,5.78419,-1.76392,6.07226,-36.28683,10.38434,-15.88324,0.74775,-0.96699,70.98973,-8.89623,-0.57378,0.491695,8.83808,6.44709,1.59473,50,5.59652,-3.9164,-112.09658,-5.29607,11.21497,20.77792,-23.99308,1ea8f05f-1cc2-4c19-aae5-12e67397c459,NA,NA,NA,NA,NA,1000297583,"Lambdin, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,XAV_MUS,1,Top,0,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,ee3b46d0-2075-11f0-bac9-af64d2124e33,76.65817,NA,NA,6.25858,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:05:32,2025-04-23T19:05:32Z,2025-04-23T19:05:32Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.42903,-112.91455,10.38896,5.78642,-4.35153,-11.99654,1.7576,-4.3579,5.60748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-23,15:05:48,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,Fastball,NA,NA,87.93239,-1.143034,0.887527,2285.291198,140.81628,10:45:00,5.80312,-1.74762,6.15524,-19.9443,16.03273,-12.0832,3.08474,-1.93447,79.92116,-4.938156,-1.292363,0.431702,6.4828,8.9813,1.68606,50,5.70592,-1.48344,-127.69095,-3.1165,10.62803,28.02266,-17.4499,7592300c-0d43-40ac-be83-80356d010d84,NA,NA,NA,NA,NA,1000297583,"Lambdin, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,XAV_MUS,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,f81eb5b0-2075-11f0-bac9-af64d2124e33,87.31125,NA,NA,8.01124,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:05:48,2025-04-23T19:05:48Z,2025-04-23T19:05:48Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.34444,-128.64083,14.01133,5.80154,-2.525,-8.72495,1.74245,-1.8437,5.31402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-23,15:06:04,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,ChangeUp,NA,NA,78.69902,-1.196734,3.158724,1747.893685,129.115572,10:15:00,5.79598,-1.72364,6.28782,-31.65765,12.69839,-13.92957,2.05307,0.02965,72.43379,-7.117584,0.642434,0.479345,8.15284,7.33603,1.49745,50,5.69218,-5.8297,-114.28898,-3.25865,10.81426,20.49967,-22.44324,cad2ef06-b7f5-4ab8-a80b-d89fb73175b6,NA,NA,NA,NA,NA,1000297583,"Lambdin, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,XAV_MUS,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,018c7f60-2076-11f0-bac9-af64d2124e33,78.63328,NA,NA,6.26524,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:06:04,2025-04-23T19:06:04Z,2025-04-23T19:06:04Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.21516,-115.04255,10.24984,5.79681,-2.43363,-11.22162,1.71906,-6.22724,5.40713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-23,15:06:29,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,ChangeUp,NA,NA,78.38628,0.775045,2.640065,1931.051673,112.502618,09:45:00,5.80878,-1.80919,6.21059,-36.5423,8.33189,-16.75521,3.47973,-0.76704,71.87336,-6.044085,-0.382959,0.482136,9.37213,4.54103,1.61894,50,5.84877,-4.64842,-113.86063,0.4934,12.32026,20.63728,-26.20456,8ae183e9-a92b-41c3-8fe8-375a98b11cc1,NA,NA,NA,NA,NA,1000297583,"Lambdin, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,XAV_MUS,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,10434840-2076-11f0-bac9-af64d2124e33,78.17798,NA,NA,6.51292,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:06:29,2025-04-23T19:06:29Z,2025-04-23T19:06:29Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.29122,-114.63577,10.31864,5.81175,1.47765,-13.10228,1.80223,-5.11117,6.16013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-23,15:06:44,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,ChangeUp,NA,NA,79.50171,-0.575858,2.756573,1837.754397,121.918016,10:00:00,5.7551,-1.85467,6.46995,-33.18136,10.10938,-14.01607,2.46046,-0.48898,72.86506,-6.804411,0.21464,0.473553,8.16768,5.85595,1.66627,50,5.69963,-5.08534,-115.50832,-2.06192,11.01516,21.87328,-24.27659,0a43b6df-d1ea-4c76-ae65-3725791267c5,NA,NA,NA,NA,-15.410079,1000297583,"Lambdin, Jake",NA,NA,89.69666,Right,66.970161,NA,NA,NA,NA,48.32239,NA,NA,2.37196,2.29301,0.05624,NA,NA,NA,NA,NA,1,6,XAV_MUS,1,Top,0,2,2,Changeup,InPlay,Undefined,Popup,Out,1,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,199302a0-2076-11f0-bac9-af64d2124e33,79.5949,118.5075,NA,6.63665,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:06:44,2025-04-23T19:06:44Z,2025-04-23T19:06:44Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.03275,-116.26948,10.93664,5.75668,-1.21713,-12.1383,1.8499,-5.46865,5.50758,183.006592,2.37197,49.61477,-16.67655,4.99445,-1.17373,0.30945,-0.23547,0.1755,-0.04784,2.293,121.07038,-28.1027,3.42135,-0.65935,0.1224,0.02888,-0.05341,0.01672,0.05623,-13.67548,6.103,-1.91386,0.46104,-0.12342,0.0978,-0.07392,0.02022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
7,2025-04-23,15:07:24,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,Fastball,NA,NA,86.58077,-3.597996,3.642126,2335.186658,133.386314,10:30:00,5.70313,-1.75251,6.08917,-20.88159,16.41056,-16.04194,0.62342,0.28448,79.14951,-7.532117,0.757207,0.439522,9.36843,9.88032,1.47978,50,5.41359,-7.35087,-125.35453,-8.50423,14.86705,25.97139,-16.49462,5313d8aa-cae6-42de-bdcd-5adb2ad4376e,NA,NA,NA,NA,NA,1000113446,"Hendrickson, Carter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,XAV_MUS,1,Top,1,0,0,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,31077f10-2076-11f0-bac9-af64d2124e33,85.7579,NA,NA,7.43126,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:07:24,2025-04-23T19:07:24Z,2025-04-23T19:07:24Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.41329,-126.26558,12.9857,5.70176,-7.92562,-8.24731,1.74678,-7.87239,7.43352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-23,15:07:39,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,ChangeUp,NA,NA,79.17512,-2.298757,2.924724,1745.309514,136.264631,10:30:00,5.73273,-1.8237,6.28304,-31.63541,12.21686,-10.39375,0.97378,0.00823,73.06199,-8.191194,1.045939,0.476615,6.2076,7.385,1.61272,50,5.54741,-5.50959,-114.92477,-5.49826,8.33205,20.58223,-22.26165,28f32895-8255-461d-8f49-d584525f4f4e,NA,NA,NA,NA,NA,1000113446,"Hendrickson, Carter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,XAV_MUS,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,3a6ce450-2076-11f0-bac9-af64d2124e33,79.08367,NA,NA,6.11313,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:07:39,2025-04-23T19:07:39Z,2025-04-23T19:07:39Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.21905,-115.67791,10.29112,5.7337,-4.68368,-11.13083,1.8199,-5.81447,4.16603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-23,15:07:55,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,ChangeUp,NA,NA,78.03381,-2.902799,3.583588,1789.187024,122.20005,10:00:00,5.75728,-1.77026,6.25261,-35.23762,10.09067,-13.77009,0.13622,0.39145,72.10677,-9.426379,1.096034,0.484569,8.2128,6.43611,1.51062,50,5.52347,-6.62361,-113.15711,-6.73169,10.67172,20.22967,-23.81096,338d2a63-6b41-4148-979e-bfa59ab089ce,NA,NA,NA,NA,NA,1000113446,"Hendrickson, Carter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,XAV_MUS,1,Top,1,2,0,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,43bb6630-2076-11f0-bac9-af64d2124e33,77.78542,NA,NA,5.92703,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:07:55,2025-04-23T19:07:55Z,2025-04-23T19:07:55Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.25107,-113.91456,10.11483,5.75883,-5.84014,-11.90548,1.7661,-7.02318,5.33586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-23,15:08:13,"Lax, Chet",1000147384,Left,WRI_RAI,Undefined,Fastball,NA,NA,86.17534,-1.811702,2.828578,2253.339337,139.061325,10:45:00,5.77137,-1.67414,6.09567,-22.49942,14.97761,-11.92784,2.21804,-0.04964,78.70183,-6.05324,0.681741,0.44061,6.93292,8.60796,1.46212,50,5.61968,-5.69737,-125.01099,-4.62045,10.94798,25.69842,-18.58103,df2ea140-6c51-42ff-a156-b0af10b927ce,NA,NA,NA,NA,NA,1000113446,"Hendrickson, Carter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,XAV_MUS,1,Top,1,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WRI_RAI,XAV_MUS,NischwitzField,D1,HORZ,20250423-NischwitzField-1,4e635d90-2076-11f0-bac9-af64d2124e33,85.54612,NA,NA,7.47351,NA,NA,NA,a8f24267-adcc-4c17-8dfb-6a69ec08a72f,2025-04-23,19:08:13,2025-04-23T19:08:13Z,2025-04-23T19:08:13Z,NA,v3,471496,471497,23 April 2025 15:00-xavier@wrightst,"Smith, Boston",1000077197,Right,WRI_RAI,54.40465,-125.9132,12.84921,5.77044,-3.96811,-9.29052,1.66888,-6.08173,5.47399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
