PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,18:05:32,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Fastball,NA,NA,90.51146,-3.346673,-4.34754,2300.64225,229.467268,01:45:00,6.17932,1.88258,5.38,-18.5441,16.30796,17.78615,1.48409,-0.71858,83.09725,-6.800764,-1.19586,0.424899,-10.09249,9.40741,-1.50592,50,5.8658,9.15062,-130.92146,-8.31036,-17.61639,26.17199,-15.7535,043baea9-33c6-41ef-9fb5-6dadae31cbd5,NA,NA,NA,NA,NA,1000235635,"Natividad, Gabriel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WIN_EAG,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,68800190-2221-11f0-90af-2580ac2502dd,88.70918,NA,NA,7.4142,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:05:32,2025-04-25T22:05:32Z,2025-04-25T22:05:32Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.12056,-131.94112,13.086,6.17762,-7.6966,-7.87675,-1.87579,9.83696,-8.8082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-25,18:05:47,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Fastball,NA,NA,91.4091,-2.516284,-3.951654,2307.391144,225.353223,01:30:00,6.24106,1.81459,5.24737,-18.303,15.89828,15.03619,2.344,-0.65181,84.02465,-5.918233,-1.292772,0.420913,-8.6006,8.93209,-1.46316,50,5.99614,8.46067,-132.38838,-6.48116,-15.37539,26.33168,-16.20601,7b819ba1-f6c9-403d-b89d-414a316cd9c8,NA,NA,NA,NA,-8.803076,1000235635,"Natividad, Gabriel",1716.655012,NA,98.59678,Right,-3.127089,NA,NA,NA,37.08411,36.09944,0.248122,-7.747017,2.28579,2.72109,0.49066,NA,NA,NA,NA,NA,1,2,WIN_EAG,1,Top,0,0,1,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,71bad460-2221-11f0-90af-2580ac2502dd,89.54919,2.72109,NA,7.38445,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:05:47,2025-04-25T22:05:47Z,2025-04-25T22:05:47Z,GroundBall,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.25389,-133.42928,13.16584,6.23968,-5.84054,-8.10301,-1.80962,9.06846,-7.6877,135.619643,2.28733,142.61014,-15.07222,NA,NA,NA,NA,NA,NA,2.72141,-7.9053,-12.34869,NA,NA,NA,NA,NA,NA,0.49077,-22.10361,-0.08763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-04-25,18:06:28,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Slider,NA,NA,79.45251,0.256308,1.290437,2741.763299,126.330811,10:15:00,6.25299,0.88011,4.83828,-36.55159,9.30209,-10.74835,3.44978,1.20652,73.04232,-6.389148,-0.60196,0.48737,5.60882,4.95158,-0.9982,50,6.24738,-2.13566,-115.27222,-0.79571,7.58454,20.42318,-25.47828,2a5e0a25-0075-4fd9-a35b-106b8826691b,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WIN_EAG,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,8a159220-2221-11f0-90af-2580ac2502dd,77.33849,NA,NA,6.41019,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:06:28,2025-04-25T22:06:28Z,2025-04-25T22:06:28Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.65984,-116.27067,10.21159,6.25584,0.44987,-12.73914,-0.88473,-2.50645,3.79227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-25,18:06:44,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Slider,NA,NA,80.75208,-0.342763,0.036242,2700.930395,145.956976,10:45:00,6.2772,0.85687,4.92426,-32.7999,11.33339,-6.76859,3.21983,0.32709,74.42533,-6.321115,-1.157638,0.478139,3.3424,6.09977,-0.85454,50,6.21683,0.21681,-117.22109,-1.86919,4.68441,20.64991,-23.62513,9fb38d2d-d8e7-47d9-9698-aa6cfcf65e7f,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WIN_EAG,1,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,934f2c70-2221-11f0-90af-2580ac2502dd,78.83149,NA,NA,6.32675,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:06:44,2025-04-25T22:06:44Z,2025-04-25T22:06:44Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.5738,-118.19891,10.32496,6.27885,-0.7505,-11.81257,-0.85955,-0.00501,2.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-25,18:07:05,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Slider,NA,NA,77.75885,-0.670631,-1.082033,2771.202754,75.974989,08:30:00,6.41137,0.72441,4.72962,-48.18026,-0.66095,-7.64174,1.75993,-0.93913,72.81146,-9.269164,-2.427156,0.496143,3.5391,0.15425,-0.60805,50,6.3003,2.44431,-113.01162,-3.09042,4.64909,17.55477,-31.97142,30cb7ebc-7d09-4387-aeda-68fd00568d10,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WIN_EAG,1,Top,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,a0392490-2221-11f0-90af-2580ac2502dd,75.97096,NA,NA,4.94739,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:07:05,2025-04-25T22:07:05Z,2025-04-25T22:07:05Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.77332,-113.9049,8.77739,6.41616,-1.46356,-15.98571,-0.72641,2.20774,2.32454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-25,18:08:08,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Slider,NA,NA,80.05484,0.05469,-0.523134,2728.082797,103.013147,09:30:00,6.23446,0.95074,4.93155,-41.4988,3.07425,-8.06957,2.82792,-0.21623,74.47362,-7.428535,-1.947393,0.480516,3.90693,1.83016,-0.89268,50,6.20492,1.3931,-116.35864,-1.39939,5.42889,19.06484,-29.63094,16c9084b-d787-47cb-91c1-71ac906f81b4,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,WIN_EAG,1,Top,0,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,c5a73460-2221-11f0-90af-2580ac2502dd,78.44163,NA,NA,5.58121,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:08:08,2025-04-25T22:08:08Z,2025-04-25T22:08:08Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.57059,-117.2678,9.53242,6.23797,0.01365,-14.81547,-0.95294,1.13421,2.71445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-25,18:08:33,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Slider,NA,NA,76.26969,1.047346,1.274713,2636.993954,60.511953,08:00:00,6.30844,0.81053,4.49674,-53.69629,-3.80173,-9.09434,2.83206,1.26747,71.09076,-8.521674,-0.31835,0.508391,4.75213,-1.73138,-0.93499,50,6.3662,-2.08893,-110.79114,0.0183,5.99311,17.07753,-34.35759,d4bc6b6a-84c9-4c9b-9320-d6aef611f199,NA,NA,NA,NA,-76.338471,1000193856,"Hernandez, Jaylen",5031.566941,NA,75.90634,Left,47.069573,NA,NA,NA,NA,53.32463,NA,NA,0.16156,2.64137,-1.26009,NA,NA,NA,NA,NA,2,5,WIN_EAG,1,Top,0,1,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,d485f7a0-2221-11f0-90af-2580ac2502dd,74.14062,51.81768,NA,5.17893,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:08:33,2025-04-25T22:08:33Z,2025-04-25T22:08:33Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,56.00639,-111.71313,8.53877,6.31514,1.87323,-17.17879,-0.81347,-2.41249,2.99655,NA,0.16156,17.90934,-17.26509,1.23718,-0.13046,-0.02367,0.01719,-0.00375,4.3e-4,2.64137,81.5131,-22.23887,3.81461,-0.79082,0.19855,-0.03861,0.00544,-4.5e-4,-1.26009,-73.68204,5.1438,-1.63833,0.38792,-0.09323,0.01685,-0.00226,1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
8,2025-04-25,18:08:57,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Fastball,NA,NA,89.29271,0.004065,-0.308153,2385.382321,231.200125,01:45:00,6.24846,1.01546,5.36081,-21.60785,14.2502,16.27253,4.45162,2.08252,81.26232,-4.031443,2.583552,0.430988,-8.19906,7.49048,-0.9995,50,6.23379,-0.05248,-129.57654,-0.73655,-13.88586,28.05347,-19.48826,2854bdd0-989a-46a7-8d1f-e20a64993224,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,WIN_EAG,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,e2cac4d0-2221-11f0-90af-2580ac2502dd,87.45595,NA,NA,8.0304,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:08:57,2025-04-25T22:08:57Z,2025-04-25T22:08:57Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.1367,-130.68391,14.02674,6.24768,0.03272,-9.74413,-1.00825,0.49565,-6.94293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-25,18:09:19,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Fastball,NA,NA,90.12284,-3.911865,-2.1512,2350.299523,216.530967,01:15:00,6.24133,0.90228,5.24306,-15.18076,20.08064,14.05013,1.29152,0.05044,82.77236,-6.760459,0.339044,0.427387,-7.62685,11.43044,-0.71557,50,5.87035,4.26526,-130.51453,-9.4227,-13.21857,26.2327,-12.36321,65c7569c-b74a-4395-87dc-cd6b0b96e91a,NA,NA,NA,NA,-74.592946,1000193856,"Hernandez, Jaylen",4224.682218,NA,74.418,Left,45.837574,26.78535,64.19832,-106.68864,203.93757,68.32769,3.704559,-79.96214,1.34592,0.90312,0.37224,NA,NA,NA,NA,NA,2,7,WIN_EAG,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,efdeda30-2221-11f0-90af-2580ac2502dd,88.19282,64.26388,NA,7.35048,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:09:19,2025-04-25T22:09:19Z,2025-04-25T22:09:19Z,FlyBall,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.25722,-131.56695,13.11635,6.23843,-8.9267,-6.1816,-0.89732,4.79558,-6.60928,NA,1.3436,20.26922,-4.30599,0.96071,-0.68974,0.39555,-0.11764,0.01615,-7.7e-4,0.89915,78.41514,-29.36646,4.95596,-2.17512,1.00559,-0.30448,0.0482,-0.00301,0.37557,-73.42358,14.62389,-6.82833,3.64758,-1.85563,0.62867,-0.11479,0.00844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
10,2025-04-25,18:09:49,"Garcia Jr., Guillermo",1000080477,Right,LON_LAN,Undefined,Slider,NA,NA,80.93586,-0.713854,-1.168058,2652.964283,120.478231,10:00:00,6.19857,0.99113,4.77936,-37.9916,6.38882,-8.53319,2.35576,-0.82733,74.50362,-7.578764,-2.669405,0.479476,3.90713,3.72012,-0.86639,50,6.09408,2.75853,-117.4141,-2.86955,5.46507,21.81844,-26.97054,1e4d77eb-9244-48a4-8d21-f79b3232d96a,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,WIN_EAG,1,Top,0,2,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250425-BuddyBoldingStadium-1,01930490-2222-11f0-90af-2580ac2502dd,78.61166,NA,NA,6.43224,NA,NA,NA,119e247c-2bdd-492a-9a8b-f29ed28d0cd4,2025-04-25,22:09:49,2025-04-25T22:09:49Z,2025-04-25T22:09:49Z,NA,v3,471338,471494,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.72063,-118.47237,10.90922,6.20154,-1.56139,-13.48527,-0.99376,2.49346,2.73253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
