PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,15:05:04,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,87.0705,0.481898,-0.772954,1999.851425,247.640229,02:15:00,4.6346,0.89962,5.55202,-29.6747,7.15296,14.94469,2.61204,1.42272,80.60739,-4.973296,1.893147,0.436776,-7.73351,3.82705,-0.84281,50,4.6566,1.0691,-126.62575,0.00741,-12.72051,22.68708,-25.87909,b1cfa88a-2f4c-4688-950d-ffa19f9a428c,NA,NA,NA,NA,NA,1000322715,"Harvey, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NEV_WOL,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,f61d24f0-2218-11f0-913f-a18fdcb28dd4,86.29701,NA,NA,6.46312,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:05:04,2025-04-25T21:05:04Z,2025-04-25T21:05:04Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.94711,-127.50902,11.34354,4.6367,1.01496,-12.93955,-0.89407,1.56434,-6.36025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-25,15:05:19,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,86.48192,1.451216,-1.414325,2076.327381,243.977149,02:15:00,4.57269,0.93972,5.61862,-29.49828,7.8754,13.97253,3.46952,0.78394,79.68641,-3.995158,1.079788,0.440002,-7.40496,3.96977,-0.82809,50,4.67754,2.508,-125.67117,2.1575,-11.9653,22.98979,-25.75951,b9e7454e-ad91-4d34-a04b-bda26475d301,NA,NA,NA,NA,NA,1000322715,"Harvey, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NEV_WOL,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,fec554b0-2218-11f0-913f-a18fdcb28dd4,85.6643,NA,NA,6.79551,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:05:19,2025-04-25T21:05:19Z,2025-04-25T21:05:19Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.87964,-126.56069,11.4949,4.57478,3.15418,-12.87975,-0.93409,2.97096,-5.98265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-25,15:05:35,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,86.35146,-0.902311,-1.289424,2013.730583,260.007656,02:45:00,4.52384,0.95064,5.67841,-33.62049,3.59193,14.71828,0.88073,0.97498,80.34605,-7.051763,1.345307,0.439052,-7.8417,2.33272,-0.8516,50,4.42635,2.22985,-125.62219,-3.16276,-12.71088,22.02518,-28.39284,b938ed96-2db3-4f25-a0e5-1823a64b7ecf,NA,NA,NA,NA,NA,1000322715,"Harvey, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NEV_WOL,1,Top,0,2,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,08922e50-2219-11f0-913f-a18fdcb28dd4,85.84969,NA,NA,6.00541,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:05:35,2025-04-25T21:05:35Z,2025-04-25T21:05:35Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.82245,-126.46487,11.01259,4.52658,-2.07644,-14.19642,-0.94622,2.71617,-6.35544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-25,15:05:50,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,86.30229,2.058093,-1.54643,2116.282351,240.155329,02:00:00,4.53412,1.1225,5.63777,-29.44635,8.2328,12.42012,4.00177,0.7145,79.12826,-3.393385,0.670434,0.441796,-6.6687,3.9887,-0.99904,50,4.69035,2.85333,-125.30436,3.48986,-10.66968,23.81968,-25.79229,842e224f-7b75-4502-ac06-53644702779f,NA,NA,NA,NA,NA,1000322715,"Harvey, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NEV_WOL,1,Top,0,3,0,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,119fd6a0-2219-11f0-913f-a18fdcb28dd4,85.31634,NA,NA,7.17404,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:05:50,2025-04-25T21:05:50Z,2025-04-25T21:05:50Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.85965,-126.22478,11.90984,4.53625,4.48649,-12.89615,-1.11726,3.26562,-5.33484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-25,15:06:20,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,86.53247,1.216849,-2.769181,2080.151977,246.187682,02:15:00,4.65651,0.96845,5.67152,-30.94466,6.25693,11.8556,3.21376,-0.62732,79.95154,-4.481928,-0.653262,0.438988,-6.68992,3.20669,-0.74226,50,4.73967,5.58604,-125.70509,1.59384,-10.84677,22.30908,-26.97487,a6ac2db2-ac0d-4466-b83c-91444b80bfeb,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NEV_WOL,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,233862b0-2219-11f0-913f-a18fdcb28dd4,85.86218,NA,NA,6.58094,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:06:20,2025-04-25T21:06:20Z,2025-04-25T21:06:20Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.82772,-126.55897,11.15454,4.6589,2.6263,-13.48743,-0.96402,6.0012,-5.42339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-25,15:06:35,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,87.24246,0.388809,-1.35834,2134.5242,245.255611,02:15:00,4.51266,0.98908,5.7776,-29.30124,7.19406,13.36001,2.43277,0.8383,80.49788,-5.028006,1.034959,0.4348,-7.14922,3.89992,-0.88508,50,4.527,2.45115,-126.84825,-0.14552,-11.75996,23.62009,-25.75897,c7b1dfac-d45e-4c66-b128-e77f10a6b752,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NEV_WOL,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,2c755860-2219-11f0-913f-a18fdcb28dd4,86.6891,NA,NA,6.74458,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:06:35,2025-04-25T21:06:35Z,2025-04-25T21:06:35Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.72117,-127.72434,11.81005,4.51469,0.80991,-12.87949,-0.98408,2.88733,-5.87998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-25,15:06:54,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,ChangeUp,NA,NA,78.65716,1.302196,-2.778274,2724.029925,101.03111,09:15:00,4.30672,1.28918,5.23078,-43.47353,2.50453,-6.19953,1.90965,-1.84107,72.76691,-6.592484,-3.874868,0.48803,2.40862,1.30512,-1.02837,50,4.39408,5.78506,-114.14662,1.10011,3.20646,19.23937,-30.43662,cf4ebcbe-72eb-47ca-9d4c-ea753bbbd6c5,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NEV_WOL,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,37baa130-2219-11f0-913f-a18fdcb28dd4,77.23382,NA,NA,5.89025,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:06:54,2025-04-25T21:06:54Z,2025-04-25T21:06:54Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,55.26834,-115.03117,9.61969,4.31133,2.49946,-15.21831,-1.29095,5.63763,1.60323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-25,15:07:11,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,86.96825,0.731083,-1.087367,2066.040224,252.451254,02:30:00,4.6503,0.9677,5.62342,-30.62096,6.36524,16.77182,2.78092,1.35055,80.14092,-4.911808,1.908513,0.437715,-8.89867,3.32823,-0.88651,50,4.69269,1.7144,-126.44972,0.54333,-14.51346,24.01491,-26.74578,b6d21825-09bb-40c3-ae56-e390cd23bd1d,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NEV_WOL,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,41d9e090-2219-11f0-913f-a18fdcb28dd4,86.11188,NA,NA,6.82734,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:07:11,2025-04-25T21:07:11Z,2025-04-25T21:07:11Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.87739,-127.37265,12.00746,4.65205,1.57122,-13.37289,-0.96311,2.27218,-7.25673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-25,15:07:34,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Slider,NA,NA,76.99953,0.402735,-2.045634,2759.744634,95.660945,09:15:00,4.26638,1.08372,5.24613,-46.28802,2.36244,-7.52205,0.78775,-1.46628,70.35179,-8.031662,-3.379343,0.502013,3.14902,1.53374,-0.89005,50,4.26913,4.28344,-111.62772,-0.77181,3.94224,21.56482,-30.25399,f7bd25e1-2db4-4c9b-b698-88f697fb81b6,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NEV_WOL,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,4f905070-2219-11f0-913f-a18fdcb28dd4,75.0826,NA,NA,6.64774,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:07:34,2025-04-25T21:07:34Z,2025-04-25T21:07:34Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,55.25084,-112.63753,10.78241,4.27211,0.64489,-15.127,-1.08631,4.09884,1.97112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-25,15:08:02,"Rhyne, Davis",10109490,Right,AIR_FOR,Undefined,Fastball,NA,NA,86.64029,0.15264,-3.107746,2102.202902,249.911601,02:15:00,4.56449,0.70432,5.54629,-29.86309,7.8591,18.23773,2.21875,-0.68288,79.21828,-5.363268,0.140726,0.442048,-10.03375,4.29618,-0.44733,50,4.55805,6.03447,-125.68205,-0.7152,-16.06695,25.20602,-25.29458,c3652b7b-a049-4acd-9c6f-657b57b3ae82,NA,NA,NA,NA,NA,10148223,"Yamaguchi, Sean",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NEV_WOL,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AIR_FOR,NEV_WOL,FalconField,D1,MW,20250425-FalconField-1,5ff20a30-2219-11f0-913f-a18fdcb28dd4,85.26766,NA,NA,7.42201,NA,NA,NA,c77069d9-8665-4f19-807e-ef6c4fd29dc2,2025-04-25,21:08:02,2025-04-25T21:08:02Z,2025-04-25T21:08:02Z,NA,v3,471472,471377,25 April 2025 17:05-nevada@airforce,"Zapp, Walker",1000088472,Right,AIR_FOR,54.95161,-126.67122,12.60301,4.56664,0.27744,-12.64729,-0.69651,6.66499,-8.03347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
