PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,16:03:19,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,ChangeUp,NA,NA,80.89244,-1.346628,-3.42823,1161.074866,244.169997,02:15:00,5.62932,2.41394,6.09698,-36.98974,5.59929,8.70504,1.29891,-0.03514,74.15282,-8.19461,-1.861074,0.4697,-5.50886,3.67606,-2.15445,50,5.506,6.70983,-117.32977,-3.88795,-7.64974,22.99584,-27.0694,8c8ed1d0-0f4c-496b-bde5-eddd750c1e23,NA,NA,NA,NA,NA,1000137222,"Beale, Myles",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NOR_UNI,1,Top,0,0,0,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,80762780-22d9-11f0-8d21-6dd9ca54f542,80.24797,NA,NA,6.73962,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:03:19,2025-04-26T20:03:19Z,2025-04-26T20:03:19Z,NA,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.40137,-118.18927,11.49792,5.63241,-2.8762,-13.5347,-2.41058,6.99575,-3.82487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,16:03:34,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,Fastball,NA,NA,87.95441,-0.919682,-2.663053,2006.457992,211.996625,01:00:00,5.68011,2.41903,6.46386,-19.47509,16.65611,9.53878,3.21149,0.76621,78.68501,-4.688354,-0.934675,0.432626,-5.89437,9.41359,-2.23489,50,5.60643,5.55157,-127.48813,-2.54832,-9.47483,31.90645,-17.04228,519ed501-7746-42ad-b294-18f1ef7c8267,NA,NA,NA,NA,-161.773957,1000137222,"Beale, Myles",1902.184931,NA,69.92117,Left,23.716616,-104.88486,17.49648,-33.15275,154.62249,60.72706,1.9552,-163.492219,0.67032,3.14444,-0.76679,NA,NA,NA,NA,NA,1,2,NOR_UNI,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,88cdc640-22d9-11f0-8d21-6dd9ca54f542,87.12478,20.85552,NA,9.26941,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:03:34,2025-04-26T20:03:34Z,2025-04-26T20:03:34Z,LineDrive,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.03029,-128.49284,15.95323,5.67823,-2.01167,-8.52114,-2.4144,5.84992,-4.73741,7.92937,0.6704,-89.18587,6.90636,-0.4941,0.73965,-0.81914,0.52124,-0.16651,0.02061,3.14444,41.24677,-26.234,2.91167,-0.46471,0.06562,-0.02446,0.01533,-0.00307,-0.76674,-29.37023,3.27914,0.07213,0.46575,-0.57961,0.36835,-0.11604,0.01417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
3,2025-04-26,16:03:50,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,ChangeUp,NA,NA,82.28415,-1.068337,-3.584989,1268.262866,253.112602,02:30:00,5.57322,2.28574,6.26733,-36.01868,4.78685,11.48398,1.58471,-0.06662,75.49539,-7.758096,-1.511555,0.45976,-7.00256,3.16851,-2.0257,50,5.47647,7.06165,-119.40423,-3.31759,-10.09261,23.35286,-27.60737,b38677b4-d2bb-491d-8bca-35d42bae1df8,NA,NA,NA,NA,NA,1000137222,"Beale, Myles",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NOR_UNI,1,Top,0,1,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,92c1fe00-22d9-11f0-8d21-6dd9ca54f542,81.98292,NA,NA,6.78876,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:03:50,2025-04-26T20:03:50Z,2025-04-26T20:03:50Z,NA,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.23146,-120.22896,11.67643,5.57642,-2.34261,-13.80369,-2.28139,7.41808,-5.0463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,16:04:05,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,ChangeUp,NA,NA,83.19419,-1.40709,-3.685962,1604.703781,242.539542,02:00:00,5.51693,2.1353,6.1062,-31.88978,8.04229,13.15481,1.55532,-0.18167,76.7053,-7.320314,-1.318854,0.454812,-7.8076,4.87985,-1.85888,50,5.39176,7.28822,-120.74042,-3.95312,-11.5856,22.3626,-24.9329,d7ad4de8-9f0f-4492-883d-04fb8e428ef9,NA,NA,NA,NA,2.048508,1000137222,"Beale, Myles",NA,NA,83.42694,Left,42.201973,109.99697,91.56513,0.77426,243.48756,213.79667,5.335257,-1.007792,1.43814,2.36755,0.09666,NA,NA,NA,NA,NA,1,4,NOR_UNI,1,Top,0,1,2,Changeup,InPlay,Undefined,Popup,Out,1,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,9be52a20-22d9-11f0-8d21-6dd9ca54f542,82.87472,101.42227,NA,6.48889,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:04:05,2025-04-26T20:04:05Z,2025-04-26T20:04:05Z,FlyBall,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.39339,-121.55141,11.1813,5.51873,-3.04892,-12.46645,-2.1308,7.70838,-5.7928,174.253294,1.44369,90.47078,-23.75555,6.17111,-1.01081,0.06364,0.00928,-0.0019,1e-4,2.36435,82.24859,-18.78485,0.57034,0.19525,-0.11207,0.03043,-0.00414,2.1e-4,0.09701,3.23182,-2.78694,0.94896,-0.21763,0.03278,-0.00262,5e-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-04-26,16:04:40,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,Fastball,NA,NA,87.53046,-2.419319,-2.808407,1934.960727,217.953732,01:15:00,5.67723,2.40698,6.69052,-23.12533,12.3906,8.76481,1.53362,0.56696,80.08502,-6.801539,-1.212528,0.428927,-5.42134,7.58611,-2.22286,50,5.50655,5.90748,-127.05799,-6.00345,-8.83825,26.69415,-19.80661,e4151ca7-4252-4e88-a3d4-37dfe8ffd144,NA,NA,NA,NA,NA,1000395104,"Voth, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NOR_UNI,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,b08eedd0-22d9-11f0-8d21-6dd9ca54f542,87.87618,NA,NA,7.44545,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:04:40,2025-04-26T20:04:40Z,2025-04-26T20:04:40Z,NA,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,53.80663,-127.85524,13.34708,5.67702,-5.41191,-9.90331,-2.40323,6.17144,-4.41913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,16:04:56,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,ChangeUp,NA,NA,80.86967,-0.456126,-2.73686,1342.339768,252.6531,02:30:00,5.74122,2.2011,6.10507,-38.03707,4.30886,9.58878,2.14918,0.46735,74.34735,-7.49824,-1.009119,0.468357,-5.76311,2.69858,-1.99593,50,5.68596,5.27043,-117.46764,-2.09438,-8.05414,22.2101,-28.40268,4f299110-a311-4f9c-862a-6bbd1454b5af,NA,NA,NA,NA,NA,1000395104,"Voth, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NOR_UNI,1,Top,1,1,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,b9ad8610-22d9-11f0-8d21-6dd9ca54f542,80.47797,NA,NA,6.52232,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:04:56,2025-04-26T20:04:56Z,2025-04-26T20:04:56Z,NA,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.39468,-118.29564,11.10505,5.7443,-1.03552,-14.20134,-2.19801,5.57069,-4.02707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-26,16:05:14,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,ChangeUp,NA,NA,80.35136,0.987331,-2.714875,1135.763851,242.231245,02:00:00,5.67835,2.24559,6.00693,-36.55911,7.43052,10.96882,3.54759,0.64257,72.09583,-5.861288,-0.744134,0.477361,-6.48937,3.99642,-2.0379,50,5.73651,5.0871,-116.37143,0.89374,-8.71697,26.0002,-26.8058,f92a5a74-8098-4fb3-b034-a6c751ef8fdf,NA,NA,NA,NA,NA,1000395104,"Voth, Logan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NOR_UNI,1,Top,1,1,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,c4707f80-22d9-11f0-8d21-6dd9ca54f542,78.9601,NA,NA,8.25553,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:05:14,2025-04-26T20:05:14Z,2025-04-26T20:05:14Z,NA,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.48624,-117.36949,13.0001,5.68245,1.92272,-13.4029,-2.2396,5.42171,-4.35848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,16:05:31,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,Fastball,NA,NA,88.50931,-2.130502,-3.604725,2190.037188,208.529474,01:00:00,5.7647,2.09735,6.4886,-18.39651,16.72521,8.45489,2.27097,-0.51177,80.62205,-5.652805,-2.074198,0.426539,-5.50264,9.74489,-1.84783,50,5.60672,7.76316,-128.34906,-5.26772,-9.13197,27.83646,-16.00181,cd71edbf-0af8-4103-9159-9f995abcd2e7,NA,NA,NA,NA,-3.40165,1000395104,"Voth, Logan",NA,NA,70.46314,Left,48.924474,109.41896,85.00511,-11.29103,175.19599,173.54682,4.722108,-7.426453,2.06634,2.42966,0.48218,NA,NA,NA,NA,NA,2,4,NOR_UNI,1,Top,1,2,1,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,cec85b10-22d9-11f0-8d21-6dd9ca54f542,88.36804,85.33255,NA,7.88726,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:05:31,2025-04-26T20:05:31Z,2025-04-26T20:05:31Z,FlyBall,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.00905,-129.21562,13.91823,5.76295,-4.76957,-8.00091,-2.09393,8.04744,-4.56598,172.657225,2.0669400000000002,67.77429,-16.22916,4.20486,-0.93879,0.21046,-0.04218,0.00548,-3.1e-4,2.43154,77.86078,-20.85995,1.31031,0.13318,-0.17031,0.0507,-0.00687,3.6e-4,0.48224,-4.03095,-0.78778,0.29696,-0.0669,0.00752,4.4e-4,-2e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-04-26,16:05:58,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,ChangeUp,NA,NA,83.66418,-0.399892,-3.443653,1367.622922,247.36752,02:15:00,5.63782,2.15173,6.04896,-33.17167,6.9813,13.38548,2.50266,0.07547,75.8655,-6.586888,-1.037574,0.456069,-7.98721,4.11618,-1.89078,50,5.58891,6.77983,-121.28327,-1.88591,-11.76212,26.23002,-26.11245,f6f1ad7f-6e54-49b2-8058-142c54f0713c,NA,NA,NA,NA,-20.365881,1000238347,"Duryea, Caden",3323.265099,NA,81.60053,Left,22.247149,100.23152,35.45414,-45.31697,252.34621,241.4624,3.418446,-29.807366,1.27309,2.52103,-0.08484,NA,NA,NA,NA,NA,3,1,NOR_UNI,1,Top,2,0,0,Changeup,InPlay,Undefined,Popup,Out,1,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,df1fdba0-22d9-11f0-8d21-6dd9ca54f542,82.6464,37.97402,NA,7.79868,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:05:58,2025-04-26T20:05:58Z,2025-04-26T20:05:58Z,LineDrive,v3,NA,NA,NA,"Peltz, Ben",829614,Right,ASH_UNI,54.4485,-122.24157,13.11501,5.64039,-0.93191,-13.05622,-2.14633,7.20955,-5.88106,138.527296,1.27262,103.86259,-21.15801,5.08421,-1.32397,0.38137,-0.0998,0.0165,-0.00114,2.52148,45.29672,-15.0941,0.11596,0.38193,-0.21346,0.06834,-0.01086,6.5e-4,-0.08475,-38.55317,-1.08341,1.30088,-0.44873,0.09461,-0.01192,5.2e-4,3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-26,16:08:44,"LaMarche, Grant",1000238366,Right,NOR_UNI,Undefined,Fastball,NA,NA,89.53709,-2.974118,-3.199983,2153.235421,219.14988,01:15:00,6.14015,1.30707,5.79234,-17.09206,18.0391,13.7502,1.94247,-0.5268,81.83322,-6.20894,-0.740657,0.426597,-7.87815,10.3643,-1.05178,50,5.88469,6.65681,-129.70717,-7.25962,-13.42266,27.10174,-14.51555,6770f84b-f0a5-4590-90e8-0597d3552427,NA,NA,NA,NA,NA,829612,"Howard, Billy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ASH_UNI,1,Bottom,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250426-AshlandUniversity-2,4217b430-22da-11f0-8d21-6dd9ca54f542,88.35615,NA,NA,7.70386,NA,NA,NA,ddecd3ec-e9b8-48a7-ac68-d2525af3e264,2025-04-26,20:08:44,2025-04-26T20:08:44Z,2025-04-26T20:08:44Z,NA,v3,NA,NA,NA,"Meyer, Matthew",1000238362,Right,NOR_UNI,54.70472,-130.6865,13.55087,6.13754,-6.73509,-7.25778,-1.30109,7.14184,-6.71133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
