PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,15:55:28,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Fastball,NA,NA,84.64284,-1.670042,-2.441452,2080.078589,202.757504,12:45:00,5.99449,1.45173,6.1218,-22.5182,16.2854,6.29855,2.57217,-0.28191,77.29347,-5.924299,-1.307131,0.44834,-3.94205,9.26808,-1.26784,50,5.85467,4.98998,-122.82082,-4.22302,-6.00524,24.93937,-18.05525,96ed3df1-a461-4e90-a9b7-96821400e002,NA,NA,NA,NA,NA,10269146,"Wheeler, Kevin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARC_UNI,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,67af7e00-22d8-11f0-980d-9f2f463e0459,84.07108,NA,NA,7.34936,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:55:28,2025-04-26T19:55:28Z,2025-04-26T19:55:28Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.37761,-123.70653,12.46969,5.99326,-3.5818,-9.02763,-1.44884,5.20325,-3.00262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,15:55:44,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Slider,NA,NA,75.42171,1.86076,-0.754992,2330.124661,118.14946,10:00:00,5.64601,1.60599,5.51828,-42.78526,7.86016,-11.2791,3.82122,-0.03993,68.00853,-6.063994,-2.763885,0.512202,5.46453,3.85477,-1.53231,50,5.77978,1.86342,-109.27647,2.23511,6.49157,22.4115,-27.59481,4f181d6b-afb4-4e6b-9fa9-4d2f61ad4a2e,NA,NA,NA,NA,39.112102,10269146,"Wheeler, Kevin",5520.214837,NA,67.55158,Right,64.483439,70.88209,79.76112,84.11735,141.99441,60.08736,5.111819,50.618923,1.70094,4.02018,0.07855,NA,NA,NA,NA,NA,1,2,ARC_UNI,1,Top,0,0,1,Slider,InPlay,Undefined,Popup,Out,1,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,70ebd770-22d8-11f0-980d-9f2f463e0459,73.58896,106.58243,NA,7.41318,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:55:44,2025-04-26T19:55:44Z,2025-04-26T19:55:44Z,Popup,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.98097,-110.29329,11.20575,5.64997,3.4871,-13.79741,-1.61017,1.5689,3.24579,196.443702,1.70555,32.99787,-8.97282,1.6857,0.37465,-0.343,0.09788,-0.01305,6.7e-4,4.01099,89.59068,-23.82396,3.31366,-1.15638,0.32697,-0.05657,0.00487,-1.5e-4,0.08108,26.87575,-2.04722,0.11245,0.1575,-0.07253,0.01464,-0.0014,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
3,2025-04-26,15:56:17,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Slider,NA,NA,76.37182,2.270362,-0.384244,2286.87561,103.214173,09:30:00,5.58951,1.85212,5.54707,-45.27648,4.05055,-9.70965,3.93937,0.68389,68.8536,-6.096357,-2.115135,0.505492,4.73366,1.86976,-1.81241,50,5.75679,1.12174,-110.62582,2.94186,5.77112,22.71573,-29.89451,1d8ed701-de0d-48e9-ad11-11da797686e2,NA,NA,NA,NA,NA,1000394455,"Oswald, Maximus",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARC_UNI,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,847adc50-22d8-11f0-980d-9f2f463e0459,74.56589,NA,NA,7.51823,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:56:17,2025-04-26T19:56:17Z,2025-04-26T19:56:17Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.95051,-111.63772,11.35786,5.59608,4.27355,-14.94725,-1.85666,0.86466,2.88556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,15:56:32,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Fastball,NA,NA,85.73009,-1.369894,-3.362986,2220.797027,218.23896,01:15:00,6.03905,1.1827,6.24432,-20.81517,17.04217,12.40623,3.03848,-0.88893,77.82007,-5.339252,-1.126241,0.442839,-7.4117,9.62296,-0.93785,50,5.92652,6.81424,-124.29532,-3.54219,-11.50889,26.63887,-17.23153,e93f527d-0847-45e4-8cd0-c0187bdd2ae8,NA,NA,NA,NA,NA,1000394455,"Oswald, Maximus",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ARC_UNI,1,Top,1,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,8d6481e0-22d8-11f0-980d-9f2f463e0459,85.11535,NA,NA,7.91002,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:56:32,2025-04-26T19:56:32Z,2025-04-26T19:56:32Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.25485,-125.20389,13.31943,6.03731,-2.95447,-8.61576,-1.17696,7.20678,-5.75445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-26,15:56:49,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Fastball,NA,NA,84.93793,-0.210647,-2.126,2214.995161,231.429661,01:45:00,6.03782,1.23567,6.37084,-22.89293,15.97619,18.15918,3.93611,0.79177,75.95101,-4.613075,1.161227,0.448718,-10.22642,8.82095,-1.09016,50,6.01202,3.87802,-123.18606,-1.05933,-15.32799,30.07242,-18.95267,6d512b18-0873-49c6-ad82-d64c05b19157,NA,NA,NA,NA,NA,1000394455,"Oswald, Maximus",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ARC_UNI,1,Top,1,1,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,977bf910-22d8-11f0-980d-9f2f463e0459,84.00025,NA,NA,8.98692,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:56:49,2025-04-26T19:56:49Z,2025-04-26T19:56:49Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.12826,-124.18976,15.03621,6.03683,-0.42676,-9.47634,-1.22813,4.38962,-7.66399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,15:57:27,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Slider,NA,NA,78.20955,-0.472926,-2.732381,2437.232182,115.261413,09:45:00,5.61838,1.61961,5.25166,-41.77542,5.36233,-8.08205,1.69218,-1.62345,71.60247,-8.083774,-4.163901,0.494147,3.2348,3.28512,-1.36248,50,5.54416,5.73149,-113.33006,-2.3471,4.18107,21.90656,-27.92798,2c53909f-4e29-441c-9b98-c9c034cf19c0,NA,NA,NA,NA,NA,1000394455,"Oswald, Maximus",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ARC_UNI,1,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,ae2c8940-22d8-11f0-980d-9f2f463e0459,76.27785,NA,NA,6.60708,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:57:27,2025-04-26T19:57:27Z,2025-04-26T19:57:27Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,55.24838,-114.34006,10.95328,5.62269,-1.05948,-13.96399,-1.62228,5.53872,2.0905300000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-26,15:57:43,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Slider,NA,NA,77.68481,1.554676,-1.806289,2392.700346,167.412521,11:30:00,5.58946,1.5946,5.47049,-40.24561,6.69319,-1.17685,3.69173,-0.1945,71.30681,-5.837808,-2.015636,0.493103,0.1063,3.40217,-1.43489,50,5.69889,3.60102,-112.73227,1.75523,0.13725,19.85534,-27.78131,b26a575c-53d3-4cbb-a74a-f6f3ee5e2ba6,NA,NA,NA,NA,NA,1000394455,"Oswald, Maximus",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,ARC_UNI,1,Top,1,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,b7a612c0-22d8-11f0-980d-9f2f463e0459,76.43932,NA,NA,6.37799,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:57:43,2025-04-26T19:57:43Z,2025-04-26T19:57:43Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,55.02965,-113.61468,9.92767,5.59345,2.98989,-13.89066,-1.59478,3.59492,0.06863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,15:58:04,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Fastball,NA,NA,86.38824,-0.923434,-2.677934,2271.135864,204.863893,12:45:00,6.08934,1.04414,6.32663,-15.44591,21.66466,9.45441,3.95075,-0.63599000000000006,78.32327,-3.932573,-0.969933,0.43845,-5.68729,11.88914,-0.85261,50,6.01413,5.48867,-125.35114,-2.37264,-8.9824,27.08008,-13.39653,88b6c110-a255-4f81-ba85-c96ab0317797,NA,NA,NA,NA,NA,1000394455,"Oswald, Maximus",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,ARC_UNI,1,Top,1,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,c44ac480-22d8-11f0-980d-9f2f463e0459,85.96744,NA,NA,8.06497,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:58:04,2025-04-26T19:58:04Z,2025-04-26T19:58:04Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.1719,-126.24919,13.54004,6.08545,-1.92837,-6.69827,-1.03958,5.78656,-4.4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-26,15:58:40,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Fastball,NA,NA,84.4797,0.026545,-1.940041,2083.085433,195.23479,12:30:00,6.16917,1.16897,6.21084,-24.05245,14.62576,3.65169,4.18932,-0.31798,77.20059,-4.518969,-1.281256,0.447615,-2.42917,7.93941,-1.02512,50,6.15903,4.01589,-122.71862,-0.62849,-3.7027,24.38937,-20.07229,5a128db7-8b8f-4842-96f7-dc80fb409109,NA,NA,NA,NA,NA,10016269,"Bruno, Anthony",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARC_UNI,1,Top,1,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,d9bc6c10-22d8-11f0-980d-9f2f463e0459,84.2073,NA,NA,7.27911,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:58:40,2025-04-26T19:58:40Z,2025-04-26T19:58:40Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,54.28879,-123.56804,12.19469,6.16874,0.07057,-10.03615,-1.16723,4.14485,-1.85135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,15:58:59,"Dianna, Trey",1000299519,Right,LEB_VAL,Undefined,Slider,NA,NA,77.83151,0.763501,-3.551508,2200.407835,76.895481,08:30:00,5.67105,1.76933,5.37091,-48.104,-0.50087,-8.96544,2.37968,-2.312,71.04532,-7.997115,-5.139936,0.49658,3.40236,0.00799,-1.44392,50,5.70575,7.349,-112.69145,-0.12138,4.33265,22.34005,-32.16389,7b1ee5fa-7061-4a87-ac97-6e3fa2355f6e,NA,NA,NA,NA,NA,10016269,"Bruno, Anthony",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ARC_UNI,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LEB_VAL,ARC_UNI,McGillField,D3,Team,20250426-McGillField-2,e4f97780-22d8-11f0-980d-9f2f463e0459,75.90407,NA,NA,6.78619,NA,NA,NA,40dbffde-994c-446f-8f6c-3f272216a24a,2025-04-26,19:58:59,2025-04-26T19:58:59Z,2025-04-26T19:58:59Z,NA,v3,NA,NA,NA,"Fetterman, Jace",1000217842,Right,LEB_VAL,55.1295,-113.70378,11.17003,5.67823,1.33611,-16.08195,-1.77248,7.15267,2.16633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
