PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,18:07:31,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,90.65728,0.130037,2.533849,2093.576389,120.032898,10:00:00,4.67429,-1.5181,5.77734,-23.29647,11.17788,-17.27493,2.85404,-0.59846,81.98182,-4.244402,-0.557562,0.42259,9.60512,6.00067,1.31953,50,4.67114,-5.06434,-131.48298,-0.48605,16.6404,30.57094,-21.77815,2cf6a068-088b-4be8-a8c8-1eb9db55a414,NA,NA,NA,NA,-48.450429,813668,"Gurevitch, Jack",6159.883615,NA,56.30754,Left,2.820685,NA,NA,NA,48.19323,46.10273,0.611849,-49.707997,1.229,2.83422,0.56877,NA,NA,NA,NA,NA,1,1,SAN_TOR,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,1c7b4f50-2304-11f0-b223-b9d2c24b1e77,89.19382,3.11469,NA,8.67546,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:07:31,2025-04-27T01:07:31Z,2025-04-27T01:07:31Z,GroundBall,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.72072,-132.57605,15.28547,4.6746,0.29263,-10.88908,1.51124,-5.65931,8.3202,101.318216,1.229,54.70911,-9.84219,0.7404,-0.17188,0.02558,-0.00374,0.00253,-0.00104,2.83422,4.064,-14.80669,1.017,-0.09252,0.02951,-0.00551,6.4e-4,-9e-5,0.56877,-61.7297,1.04606,0.24299,-0.05627,0.01705,-0.00335,6.7e-4,-1.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-04-26,18:07:49,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,91.26706,-1.312744,5.534084,2121.687562,104.809886,09:30:00,4.70982,-1.35711,5.81301,-27.29883,6.44233,-20.39501,1.20833,2.1052399999999998,83.70273,-6.357422,1.898824,0.418072,11.83808,3.96197,0.9145,50,4.58553,-11.9023,-132.06795,-4.01569,21.01327,26.80216,-25.14132,3101e93a-88c3-4c3b-8a08-132e9132ae98,NA,NA,NA,NA,NA,813668,"Gurevitch, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SAN_TOR,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,271c1ac0-2304-11f0-b223-b9d2c24b1e77,90.15766,NA,NA,7.56434,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:07:49,2025-04-27T01:07:49Z,2025-04-27T01:07:49Z,NA,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.68709,-133.01576,13.40108,4.71182,-3.12661,-12.57066,1.34854,-12.6454,10.50664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-26,18:08:04,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Slider,NA,NA,79.5234,1.995924,2.473181,2393.25098,278.132965,03:15:00,4.41496,-1.58533,5.48579,-43.95246,0.44815,5.26792,2.62206,1.16892,73.70609,-6.015528,3.409619,0.479585,-2.08807,0.02764,1.36468,50,4.55963,-5.18854,-115.49916,2.55488,-2.85446,19.09375,-32.13627,1b3b4e7b-8a60-42d0-b2c4-bd639300c452,NA,NA,NA,NA,-32.618681,813668,"Gurevitch, Jack",5370.111174,NA,85.64248,Left,62.97296,NA,NA,NA,NA,53.28997,NA,NA,2.50901,2.33047,-0.88424,NA,NA,NA,NA,NA,1,3,SAN_TOR,1,Top,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,300dd6a0-2304-11f0-b223-b9d2c24b1e77,78.59381,103.25573,NA,5.8173,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:08:04,2025-04-27T01:08:04Z,2025-04-27T01:08:04Z,NA,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,55.01594,-116.32542,9.54687,4.41898,3.94553,-16.06814,1.58653,-5.06501,-1.42723,165.412254,2.50901,48.07547,-20.11776,6.81566,-1.8477,0.46818,-0.11226,0.02172,-0.00229,2.33047,111.89131,-27.49616,2.80757,-0.28388,-0.02748,0.02105,-0.00566,7.5e-4,-0.88424,-30.76764,3.65826,-0.54866,0.02199,0.01758,-0.0079,0.00202,-2.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
4,2025-04-26,18:08:50,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,92.27993,-0.542218,3.3903470000000002,2151.985541,109.199862,09:45:00,4.67176,-1.25667,5.85572,-25.20053,7.47756,-18.69088,2.06703,0.33943,84.86266,-5.216154,0.042633,0.411434,10.48713,4.25244,0.99242,50,4.61282,-7.13498,-133.9972,-2.16206,19.19862,27.0865,-24.38921,608ad53c-20db-44c4-add2-81ab16be7e67,NA,NA,NA,NA,-38.19512,813668,"Gurevitch, Jack",NA,NA,82.71572,Left,-35.379319,NA,NA,NA,4.1197,4.1197,0.029158,-31.079482,1.25685,2.05242,-0.33954,NA,NA,NA,NA,NA,1,4,SAN_TOR,1,Top,0,1,2,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,4b50c030-2304-11f0-b223-b9d2c24b1e77,91.61244,2.05242,NA,7.41727,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:08:50,2025-04-27T01:08:50Z,2025-04-27T01:08:50Z,GroundBall,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.64527,-134.93294,13.54325,4.67296,-1.31951,-12.1946,1.25036,-7.79822,9.59931,NA,1.25607,77.90296,NA,NA,NA,NA,NA,NA,NA,2.05313,-70.39034,NA,NA,NA,NA,NA,NA,NA,-0.33892,-61.29284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
5,2025-04-26,18:09:37,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,90.46845,0.346121,2.928332,2027.043091,121.998806,10:00:00,4.6985,-1.69773,5.80955,-23.23387,10.66209,-15.53611,3.08463,-0.26695,83.43251,-3.976299,0.148258,0.41903,8.63115,5.65878,1.46673,50,4.71299,-6.05293,-131.4379,0.0015,15.27813,24.7638,-22.15738,c8543fe1-36aa-40fd-b531-851c3a03bfee,NA,NA,NA,NA,NA,805182,"Lane, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAN_TOR,1,Top,0,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,674c4b60-2304-11f0-b223-b9d2c24b1e77,89.95164,NA,NA,7.03594,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:09:37,2025-04-27T01:09:37Z,2025-04-27T01:09:37Z,NA,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.69017,-132.31861,12.3819,4.69892,0.78951,-11.07869,1.69166,-6.59629,7.63907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,18:09:58,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Slider,NA,NA,83.8312,1.091384,3.163431,2122.820402,98.294724,09:15:00,4.45628,-1.91872,6.03617,-35.77427,3.55996,-16.47442,2.48733,-0.35941,77.11496,-5.531836,0.202731,0.451395,9.36233,1.87087,1.6808,50,4.52197,-6.10389,-121.76931,1.17383,14.143980000000001,22.5289,-29.34766,85630f6a-e776-4b87-a082-a54c633428b5,NA,NA,NA,NA,-9.65858,805182,"Lane, Isaiah",2155.228013,NA,103.56839,Right,22.35653,108.50607,44.61323,-18.06279,387.93849,382.77985,4.823561,-10.24097,1.70527,2.57573,0.32064,NA,NA,NA,NA,NA,2,2,SAN_TOR,1,Top,0,0,1,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,7413c760-2304-11f0-b223-b9d2c24b1e77,83.5021,69.44138,NA,6.71624,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:09:58,2025-04-27T01:09:58Z,2025-04-27T01:09:58Z,LineDrive,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.46499,-122.59262,11.26445,4.45948,2.24632,-14.67383,1.9133,-6.62076,7.0719900000000004,179.013685,1.70386,138.52448,-27.63377,6.75072,-1.58925,0.35578,-0.06344,0.00701,-3.3e-4,2.57841,57.71046,-12.04367,-0.76671,0.52556,-0.19137,0.04235,-0.00495,2.3e-4,0.32084,-23.57498,4.44157,-1.14173,0.27067,-0.05812,0.00977,-0.00103,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-04-26,18:10:52,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,90.74788,0.802972,3.399313,2104.230817,106.308684,09:30:00,4.73355,-1.67011,5.93579,-27.32324,6.51122,-18.69194,3.20289,-0.0705,82.99207,-4.278644,0.047945,0.41865,10.53249,3.42799,1.40934,50,4.78221,-7.03229,-131.71824,0.90406,18.54834,27.34934,-26.13715,b24b9560-fc4a-4f44-b1ff-4626c1aa1568,NA,NA,NA,NA,-27.319223,801563,"Smith, Austin",4796.803733,NA,71.514,Left,18.516752,92.28015,21.00916,-59.86939,187.86725,104.22843,2.394701,-37.258921,0.67839,3.2223,0.04592,NA,NA,NA,NA,NA,3,1,SAN_TOR,1,Top,1,0,0,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,93bfd770-2304-11f0-b223-b9d2c24b1e77,90.03328,21.33096,NA,7.75581,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:10:52,2025-04-27T01:10:52Z,2025-04-27T01:10:52Z,LineDrive,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.56446,-132.6626,13.67467,4.73541,1.80656,-13.06857,1.66322,-7.67276,9.27417,119.58492,0.67837,88.36513,-15.92164,3.16523,-0.66698,0.12746,-0.0182,1.6e-4,3.1e-4,3.22232,33.30903,-16.14086,0.79764,-0.03024,-0.02195,0.00756,5.2e-4,-3e-4,0.04587,-45.64262,-2.26237,1.23268,-0.49812,0.1917,-0.05734,0.00968,-6.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-04-26,18:11:43,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Slider,NA,NA,79.60366,2.685242,2.977583,2233.612468,269.000873,03:00:00,4.47874,-1.88162,5.43678,-43.50762,1.49772,6.80886,3.37286,1.47656,72.82953,-5.27504,4.184831,0.48284,-2.58945,0.44669,1.61312,50,4.68683,-6.27207,-115.32186,3.93465,-3.48837,21.37401,-31.57228,bc6d6b05-6b3d-4068-a88f-34012071c698,NA,NA,NA,NA,NA,832126,"Watson, Rex",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,SAN_TOR,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,b27615d0-2304-11f0-b223-b9d2c24b1e77,78.06401,NA,NA,6.77412,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:11:43,2025-04-27T01:11:43Z,2025-04-27T01:11:43Z,NA,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,55.06139,-116.25617,10.687,4.48467,5.31474,-15.78614,1.88396,-6.11959,-1.74418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-26,18:12:07,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,90.91782,-0.104975,4.187387,2134.789846,118.432185,10:00:00,4.56824,-1.63071,5.79587,-25.79427,8.25752,-13.24111,2.32081,1.16771,82.95568,-4.899851,1.823506,0.419992,7.87071,4.57788,1.29364,50,4.54424,-9.05741,-131.7404,-1.1469,13.83448,27.94298,-24.1274,cbe9c9b3-8926-4af4-b5ba-d78d9f08956f,NA,NA,NA,NA,NA,832126,"Watson, Rex",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,SAN_TOR,1,Top,1,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,c07aa5b0-2304-11f0-b223-b9d2c24b1e77,89.74555,NA,NA,7.96214,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:12:07,2025-04-27T01:12:07Z,2025-04-27T01:12:07Z,NA,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.70167,-132.73391,13.97149,4.56976,-0.28906,-12.0637,1.62441,-9.54929,6.91724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,18:12:31,"Gozstola, Miles",1000282567,Left,GON_BUL,Undefined,Fastball,NA,NA,91.43833,-0.201445,3.980169,2148.19647,117.890046,10:00:00,4.6489,-1.54011,5.77757,-23.00237,10.79737,-18.27155,2.54414,0.64666,83.04224,-4.506997,0.716964,0.418435,10.30146,5.89744,1.22139,50,4.61852,-8.37238,-132.45961,-1.25538,18.23903,29.20637,-21.73245,96e70f86-cb5f-4c64-b325-387c1c7d291f,NA,NA,NA,NA,NA,832126,"Watson, Rex",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,SAN_TOR,1,Top,1,2,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250426-PattersonBaseballComplex-1,cf30d250-2304-11f0-b223-b9d2c24b1e77,90.07955,NA,NA,8.39609,NA,NA,NA,0a254d59-1a4c-4211-8249-8e05486c183c,2025-04-27,01:12:31,2025-04-27T01:12:31Z,2025-04-27T01:12:31Z,NA,v3,471307,5320,26 April 2025 21:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,54.71838,-133.49592,14.60319,4.64938,-0.48427,-10.86622,1.52994,-9.01954,9.11951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
