PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,18:05:52,"Potts, Jake",1000268615,Right,LIB_FLA,Undefined,Cutter,NA,NA,89.73037,-2.144109,-2.017598,2364.611005,215.420599,01:15:00,5.81405,1.10417,5.587,-27.84777,7.12453,4.31929,1.48907,-0.42068,82.71676,-7.255785,-1.246394,0.425631,-2.73402,4.48642,-0.93382,50,5.61155,4.40212,-130.23974,-5.88717,-4.71936,26.07833,-24.42972,797fc0b3-47ee-4865-ba99-9eb15891dfbf,NA,NA,NA,NA,NA,802008,"Anderson, Nate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,KEN_OWL,1,Top,0,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,7487fe20-2221-11f0-9d2b-c366ab4e5545,88.55654,NA,NA,7.01361,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:05:52,2025-04-25T22:05:52Z,2025-04-25T22:05:52Z,NA,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Moore, Tucker",805218,Right,LIB_FLA,54.91225,-131.21965,13.03916,5.81552,-4.96921,-12.21486,-1.10256,4.57946,-2.35968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-25,18:06:10,"Potts, Jake",1000268615,Right,LIB_FLA,Undefined,Cutter,NA,NA,89.32004,-2.088704,-2.527388,2272.613455,180.631873,12:00:00,5.75803,0.92179,5.86735,-25.84001,9.17725,0.08937,1.66176,-1.41997,82.15108,-6.872349,-2.511364,0.425905,-0.72933,5.59087,-0.71709,50,5.57365,5.71743,-129.61445,-5.60673,-1.24407,26.41089,-22.63757,77222f47-fc64-420b-9140-d1928d42ee1c,NA,NA,NA,NA,NA,802008,"Anderson, Nate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,KEN_OWL,1,Top,0,0,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,7ef165e0-2221-11f0-9d2b-c366ab4e5545,88.49967,NA,NA,7.16896,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:06:10,2025-04-25T22:06:10Z,2025-04-25T22:06:10Z,NA,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Moore, Tucker",805218,Right,LIB_FLA,54.63107,-130.55469,13.20545,5.7589,-4.80083,-11.31879,-0.92142,5.76173,-0.62203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-25,18:06:26,"Potts, Jake",1000268615,Right,LIB_FLA,Undefined,ChangeUp,NA,NA,89.3095,-1.565421,-0.718108,1979.069873,215.142512,01:15:00,5.68037,1.19173,5.76082,-20.52678,14.91032,9.64855,2.5123,1.32735,81.14346,-5.431586,1.01008,0.42845,-5.15859,8.4313,-1.13831,50,5.53842,1.21348,-129.60276,-4.19729,-8.70366,29.11476,-17.94863,efce88cf-0945-4c8d-8a72-82240c798c79,NA,NA,NA,NA,-4.810382,802008,"Anderson, Nate",3987.442832,NA,84.69296,Left,32.742111,108.86986,61.98631,-15.72749,311.94154,306.58261,4.734841,-13.427193,1.42912,2.55291,-1.32562,NA,NA,NA,NA,NA,1,3,KEN_OWL,1,Top,0,1,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,88b23190-2221-11f0-9d2b-c366ab4e5545,87.97385,76.07432,NA,8.16604,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:06:26,2025-04-25T22:06:26Z,2025-04-25T22:06:26Z,FlyBall,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Moore, Tucker",805218,Right,LIB_FLA,54.73678,-130.66253,14.55738,5.67931,-3.54397,-8.97431,-1.18825,1.53029,-4.35183,160.327799,1.43048,104.08534,-19.55629,4.64817,-0.9274,0.17862,-0.03296,0.00429,-2.5e-4,2.55317,67.17113,-16.5818,0.45087,0.25448,-0.17852,0.05314,-0.00755,4.1e-4,-1.32554,-8.76244,-2.67176,0.52617,-0.09282,0.01974,-0.00476,7.3e-4,-5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-04-25,18:07:00,"Potts, Jake",1000268615,Right,LIB_FLA,Undefined,Cutter,NA,NA,88.90346,-1.503557,-1.72978,2519.390998,208.314312,01:00:00,5.81401,1.04639,5.4661,-28.52982,7.11603,3.27622,2.02838,-0.29998,82.14004,-6.729893,-1.146143,0.42971,-2.115,4.26441,-0.89657,50,5.662,3.76038,-129.13761,-4.43258,-3.59981,24.90059,-24.91591,71651b85-5852-4b10-867e-d0e6d1bee7b0,NA,NA,NA,NA,76.157087,1000077702,"Cole, Christopher",NA,NA,75.07241,Left,-44.38047,NA,NA,NA,4.47853,3.26975,0.029634,32.99691,3.19655,2.28878,0.16808,NA,NA,NA,NA,NA,2,1,KEN_OWL,1,Top,1,0,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,9d1ec530-2221-11f0-9d2b-c366ab4e5545,87.71589,2.28878,NA,6.76343,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:07:00,2025-04-25T22:07:00Z,2025-04-25T22:07:00Z,GroundBall,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Moore, Tucker",805218,Right,LIB_FLA,55.03427,-130.10471,12.4503,5.81536,-3.46489,-12.45796,-1.04534,3.90019,-1.7999,NA,3.19629,18.88339,NA,NA,NA,NA,NA,NA,NA,2.28986,-77.23529,NA,NA,NA,NA,NA,NA,NA,0.16702,76.63156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
5,2025-04-25,18:07:31,"Potts, Jake",1000268615,Right,LIB_FLA,Undefined,Cutter,NA,NA,89.49304,-1.729603,-2.334903,2473.484405,195.8681,12:30:00,5.81801,0.99005,5.5877,-25.44419,9.75249,2.46744,2.08075,-0.98583,82.29656,-6.425041,-1.894767,0.426995,-1.87,5.73134,-0.79115,50,5.65285,5.18694,-129.85953,-4.82628,-3.20687,26.10429,-22.34533,731b2c7f-9794-4f66-ba4d-bf170ffd3a9a,NA,NA,NA,NA,NA,828758,"Cash, Donovan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,KEN_OWL,1,Top,2,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,afaed0a0-2221-11f0-9d2b-c366ab4e5545,88.2738,NA,NA,7.19649,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:07:31,2025-04-25T22:07:31Z,2025-04-25T22:07:31Z,NA,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Moore, Tucker",805218,Right,LIB_FLA,54.91011,-130.84284,13.05215,5.81879,-3.98457,-11.17266,-0.98881,5.30774,-1.60344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-25,18:07:47,"Potts, Jake",1000268615,Right,LIB_FLA,Undefined,Cutter,NA,NA,89.95741,-0.862946,-1.920523,2329.46793,203.399123,12:45:00,5.79858,0.98858,5.67705,-28.23746,6.37536,2.31484,2.64049,-0.60953,82.83951,-6.065276,-1.506728,0.423438,-1.6887,3.76579,-0.82818,50,5.70793,4.28322,-130.67994,-2.98328,-2.93609,26.1352,-25.62665,d1ba5546-68cc-4e09-a6cc-e72155db34b6,NA,NA,NA,NA,18.358239,828758,"Cash, Donovan",3218.213923,NA,106.05745,Right,15.215411,101.83336,25.77668,41.59244,304.55142,288.24137,2.901823,28.470904,1.37848,2.61363,0.56529,NA,NA,NA,NA,NA,3,2,KEN_OWL,1,Top,2,0,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,b8e27780-2221-11f0-9d2b-c366ab4e5545,89.01525,30.03943,NA,7.11789,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:07:47,2025-04-25T22:07:47Z,2025-04-25T22:07:47Z,LineDrive,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Moore, Tucker",805218,Right,LIB_FLA,54.8224,-131.64086,13.0676,5.8003,-2.04106,-12.81333,-0.98764,4.39117,-1.46804,239.028891,1.37848,142.45854,-29.92771,7.24687,-1.61817,0.31777,-0.05387,0.00651,-3.7e-4,2.61362,40.82452,-15.63517,0.07206,0.30221,-0.11623,0.02765,-0.00361,2.1e-4,0.56527,47.27546,5.1126,-3.25323,1.15738,-0.31099,0.06239,-0.00801,4.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-25,18:10:59,"Cain IV, Harry",1000112651,Right,KEN_OWL,Undefined,Fastball,NA,NA,92.312970000000007,-1.608,-3.184487,2380.127362,211.699608,01:00:00,6.23872,1.71612,6.14971,-13.34981,19.1119,11.17359,3.6378,-0.29815,84.4116,-4.184936,-1.17363,0.410069,-6.61926,10.61186,-1.47925,50,6.10913,6.97726,-133.95989,-4.11312,-12.05597,28.31108,-12.84616,8df2db7a-b5bc-409b-9675-edc2caf3220c,NA,NA,NA,NA,NA,10049359,"Scilley, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LIB_FLA,1,Bottom,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,2b273e70-2222-11f0-9d2b-c366ab4e5545,91.91729,NA,NA,7.90137,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:10:59,2025-04-25T22:10:59Z,2025-04-25T22:10:59Z,NA,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Posey, Aaron",1000092788,Right,KEN_OWL,54.34802,-134.87566,14.15554,6.23546,-3.69758,-6.42308,-1.71125,7.36723,-6.02799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-25,18:11:12,"Cain IV, Harry",1000112651,Right,KEN_OWL,Undefined,Fastball,NA,NA,92.63892,-2.649856,-3.481336,2413.445608,209.343527,01:00:00,6.18528,1.59406,6.00527,-12.31461,20.00143,10.69367,2.69769,-0.7442,85.14613,-5.020075,-1.563124,0.409148,-6.38284,11.2617,-1.32602,50,5.96968,7.7122,-134.34472,-6.55361,-11.75427,27.0259,-11.43521,7fb8e79e-91b0-4e26-99f1-7bb49ed15d2d,NA,NA,NA,NA,NA,10049359,"Scilley, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LIB_FLA,1,Bottom,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,333b4480-2222-11f0-9d2b-c366ab4e5545,92.1242,NA,NA,7.49279,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:11:12,2025-04-25T22:11:12Z,2025-04-25T22:11:12Z,NA,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Posey, Aaron",1000092788,Right,KEN_OWL,54.49332,-135.24561,13.51295,6.18179,-6.17242,-5.71761,-1.58964,8.10402,-5.87714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-25,18:11:30,"Cain IV, Harry",1000112651,Right,KEN_OWL,Undefined,Fastball,NA,NA,93.28914,-2.577048,-3.46832,2438.245597,208.316309,01:00:00,6.1837,1.48244,5.98966,-11.31284,20.61048,10.577209999999999,2.84665,-0.85437,85.60572,-4.768968,-1.571645,0.406655,-6.36453,11.58733,-1.21464,50,5.97381,7.74645,-135.29138,-6.39199,-11.86535,27.90023,-10.57191,f1ccead0-5b77-43a3-a493-a4d6e0b9b411,NA,NA,NA,NA,29.859097,10049359,"Scilley, Landon",4680.153077,NA,95.12058,Right,30.429721,90.77291,59.06725,62.13061,339.47874,264.6111,4.836251,42.59429,1.10045,2.76445,0.77536,NA,NA,NA,NA,NA,1,3,LIB_FLA,1,Bottom,0,0,2,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,3dbe27b0-2222-11f0-9d2b-c366ab4e5545,92.68909,78.38209,NA,7.68342,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:11:30,2025-04-25T22:11:30Z,2025-04-25T22:11:30Z,FlyBall,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Posey, Aaron",1000092788,Right,KEN_OWL,54.50965,-136.2182,13.95012,6.18031,-6.04079,-5.28595,-1.47852,8.14061,-5.93267,217.935796,1.10267,104.28543,-25.71597,6.59514,-1.42063,0.26244,-0.04607,0.00624,-3.8e-4,2.76548,70.62642,-17.87968,0.26049,0.4848,-0.25944,0.07198,-0.00991,5.3e-4,0.77667,59.86085,-2.60341,-0.844,0.54176,-0.17115,0.0322,-0.00317,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-04-25,18:12:20,"Cain IV, Harry",1000112651,Right,KEN_OWL,Undefined,Fastball,NA,NA,92.60077,-1.60316,-3.445994,2438.572772,222.259772,01:30:00,6.20168,1.75009,5.91177,-16.65245,16.01013,13.58666,3.32296,-0.31986,84.46511,-4.765017,-1.011899,0.411336,-7.898,8.95843,-1.48107,50,6.06335,7.48455,-134.26216,-4.27436,-14.40969,29.19916,-15.82967,7267e1dd-8336-4ef4-b00e-befbeaa03c83,NA,NA,NA,NA,NA,1000266900,"Marsh, Tanner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LIB_FLA,1,Bottom,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LIB_FLA,KEN_OWL,Liberty,D1,CUSA,20250425-Liberty-1,5be3bed0-2222-11f0-9d2b-c366ab4e5545,91.63419,NA,NA,8.13566,NA,NA,NA,e00009ec-e526-4219-84db-c649464031ce,2025-04-25,22:12:20,2025-04-25T22:12:20Z,2025-04-25T22:12:20Z,NA,v3,471336,471506,25 April 2025 18:00-kennesawst@liberty,"Posey, Aaron",1000092788,Right,KEN_OWL,54.58579,-135.2558,14.59958,6.19964,-3.73569,-7.91483,-1.74411,7.9749,-7.20485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
