PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-28,13:03:36,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Fastball,NA,NA,90.75376,-2.297889,-2.588606,2247.065241,237.246925,02:00:00,5.94594,1.35448,5.67522,-22.42773,12.00564,16.86343,1.9314,0.34488,82.66975,-6.479899,0.425411,0.422339,-9.30241,7.11355,-1.1468,50,5.73794,5.19673,-131.54249,-6.05133,-16.21768,29.20677,-19.77239,bfea3f4b-9f3b-40f3-aba8-388fb0b858b3,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARI_WIL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,665f9fa0-059a-11ef-a3eb-0d58044087bb,89.24686,NA,NA,8.08401,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:03:36,2024-04-28T20:03:36Z,2024-04-28T20:03:36Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,54.82249,-132.60892,14.60339,5.94571,-5.32938,-9.88619,-1.34736,5.78888,-8.10884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2024-04-28,13:03:48,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Fastball,NA,NA,92.14151,-1.476349,-2.771232,2274.2308630000002,234.837662,01:45:00,5.89179,1.3694,5.55228,-19.91253,13.91544,18.01269,2.851,0.279,83.06143,-5.226885,0.438786,0.41861,-9.73079,7.81678,-1.14048,50,5.75105,5.56924,-133.37761,-4.1117,-17.31497,31.9544,-18.2649,fdbe3ed0-dce5-4998-b495-c97631293985,NA,NA,NA,NA,-168.258107,804911,"Summerhill, Brendan",1460.622275,NA,77.99393,Left,11.912307,NA,NA,NA,NA,37.55126,NA,NA,2.96332,2.87747,-0.03964,NA,NA,NA,NA,NA,1,2,ARI_WIL,1,Top,0,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,6d407ce0-059a-11ef-a3eb-0d58044087bb,90.04199,9.93823,NA,9.08008,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:03:48,2024-04-28T20:03:48Z,2024-04-28T20:03:48Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,54.93976,-134.55586,15.9772,5.89025,-3.43822,-9.13245,-1.35761,6.2077,-8.65749,NA,2.95323,-109.23292,16.17815,NA,NA,NA,NA,NA,NA,2.87865,23.57152,-13.48414,NA,NA,NA,NA,NA,NA,-0.04052,-22.74702,1.96533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
3,2024-04-28,13:04:05,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Slider,NA,NA,80.86624,-1.016607,0.364051,2423.96653,106.456535,09:30:00,5.8013,1.23937,5.36983,-38.35864,5.40103,-13.41111,1.65148,0.46311,74.01403,-8.031896,-2.023866,0.476111,6.84804,3.44146,-1.26216,50,5.68311,-0.19897,-117.34434,-3.39834,9.49556,23.35134,-27.40205,615d7dc4-e836-426c-94ea-948890153f28,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ARI_WIL,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,77963590-059a-11ef-a3eb-0d58044087bb,79.1673,NA,NA,6.85221,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:04:05,2024-04-28T20:04:05Z,2024-04-28T20:04:05Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,55.12808,-118.36042,11.67567,5.80504,-2.206,-13.70102,-1.24451,-0.61215,4.74778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2024-04-28,13:04:18,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Slider,NA,NA,84.05673,0.305139,0.370123,2608.004988,126.757848,10:15:00,5.79171,1.35723,5.20065,-34.70809,5.71394,-6.00477,3.18638,1.20496,77.19903,-6.03699,-0.694559,0.457594,3.09784,3.14252,-1.38678,50,5.79383,-0.52971,-122.05253,-0.61637,4.68907,23.24636,-27.41733,5a14e8a4-230a-43fb-8c74-c57ec2beb09f,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ARI_WIL,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,7f70b510-059a-11ef-a3eb-0d58044087bb,82.37087,NA,NA,6.85769,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:04:18,2024-04-28T20:04:18Z,2024-04-28T20:04:18Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,55.29752,-123.05737,11.62318,5.79486,0.56876,-13.70866,-1.3595,-0.7324,2.34453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2024-04-28,13:04:32,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Fastball,NA,NA,92.03453,-2.258703,-2.397519,2383.654384,239.742523,02:00:00,5.93524,1.19987,5.37524,-21.121,12.45497,19.56269,2.0547,0.58113,84.46671,-6.167821,1.079843,0.417048,-10.56001,7.18496,-0.99974,50,5.71794,4.70498,-133.51403,-6.03948,-19.12232,27.88719,-19.16332,12a22b49-5a94-4d2c-808f-d76c13b656b8,NA,NA,NA,NA,-151.905665,804911,"Summerhill, Brendan",2550.284705,NA,76.75571,Left,20.075502,NA,NA,NA,NA,59.66412,NA,NA,1.65202,1.98426,-0.40121,NA,NA,NA,NA,NA,1,5,ARI_WIL,1,Top,0,2,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,879f20f0-059a-11ef-a3eb-0d58044087bb,90.37924,16.82119,NA,7.56783,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:04:32,2024-04-28T20:04:32Z,2024-04-28T20:04:32Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,55.12528,-134.58029,13.94359,5.93486,-5.30677,-9.58166,-1.19361,5.43612,-9.56116,NA,1.65202,-93.27654,8.36335,-1.18442,0.26806,-0.05019,0.00887,0.00121,-0.0012,1.98426,38.64223,-25.31724,2.98426,-0.66356,0.14706,-0.03126,0.00637,-7.6e-4,-0.40121,-49.79318,11.5738,-2.14971,0.47223,-0.09792,0.02127,-0.00369,2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2024-04-28,13:04:47,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Slider,NA,NA,82.28232,-0.086687,-0.130455,2699.980635,83.974702,08:45:00,5.80395,1.31401,5.3073,-41.19219,0.09508,-8.73859,2.2899,0.46334,77.12127,-7.535736,-1.684315,0.462466,4.37803,0.3722,-1.29555,50,5.7657,0.627,-119.76223,-1.66748,6.49368,18.52012,-31.62196,2f64f474-337f-4d91-9871-c9a106af1b96,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,ARI_WIL,1,Top,0,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,90cd70a0-059a-11ef-a3eb-0d58044087bb,81.50321,NA,NA,5.16105,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:04:47,2024-04-28T20:04:47Z,2024-04-28T20:04:47Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,55.1945,-120.56283,9.26006,5.80823,-0.3005,-15.81098,-1.31659,0.34629,3.24684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2024-04-28,13:05:16,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Fastball,NA,NA,91.32413,-2.224326,-2.163777,2279.920742,256.206095,02:30:00,5.85349,1.27001,5.6156,-27.65147,6.40323,21.47907,1.47073,1.03953,83.36306,-7.31964,1.675625,0.42001,-11.52595,4.23693,-1.09939,50,5.64569,4.04269,-132.4422,-6.16433,-20.35932,29.74534,-24.68999,fec0dee9-95ea-49f9-92aa-584f660403c4,NA,NA,NA,NA,NA,800595,"Caulfield, Garen",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARI_WIL,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,a1f38bd0-059a-11ef-a3eb-0d58044087bb,89.74172,NA,NA,7.96107,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:05:16,2024-04-28T20:05:16Z,2024-04-28T20:05:16Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,54.88362,-133.53452,14.87267,5.85541,-5.2576599999999996,-12.34499,-1.26157,4.79032,-10.17966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2024-04-28,13:05:29,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Slider,NA,NA,83.54491,-0.218195,-1.576585,2571.106336,134.971019,10:30:00,5.86956,1.20505,5.23562,-36.98317,3.57957,-2.45681,2.58247,-0.48193,77.4942,-6.934781,-2.012355,0.45839,0.85386,2.14945,-1.05805,50,5.82158,3.44312,-121.4068,-1.80497,1.28894,21.22879,-28.92933,b2a26693-9082-4004-a6a7-a8a2beaa89c0,NA,NA,NA,NA,170.383599,800595,"Caulfield, Garen",5213.203105,NA,72.24178,Right,86.295556,NA,NA,NA,NA,1.67266,NA,NA,1.62875,2.59593,0.45348,NA,NA,NA,NA,NA,2,2,ARI_WIL,1,Top,1,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,a9d38990-059a-11ef-a3eb-0d58044087bb,82.22792,34.40637,NA,6.05071,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:05:29,2024-04-28T20:05:29Z,2024-04-28T20:05:29Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,55.26498,-122.32395,10.6144,5.87256,-0.55512,-14.46467,-1.2056,3.38743,0.64447,357.791947,1.63568,-7.03112,-8.84255,NA,NA,NA,NA,NA,NA,2.60153,105.50836,-27.70529,NA,NA,NA,NA,NA,NA,0.45664,1.01522,-4.31285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
9,2024-04-28,13:06:02,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Fastball,NA,NA,92.49199,-2.418193,-4.365577,2339.635826,256.368764,02:30:00,5.82588,1.23622,5.62719,-27.34301,5.98548,20.03926,1.28299,-1.17522,84.27125,-7.458741,-0.794064,0.415508,-11.44016,4.07544,-0.87696,50,5.60178,9.30908,-133.82572,-6.68496,-20.64136,30.25067,-24.82075,83162d03-e70a-4b43-ab1a-329e1300319f,NA,NA,NA,NA,NA,800595,"Caulfield, Garen",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ARI_WIL,1,Top,1,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,bd11fd70-059a-11ef-a3eb-0d58044087bb,90.71417,NA,NA,8.22074,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:06:02,2024-04-28T20:06:02Z,2024-04-28T20:06:02Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,54.87191,-134.9225,15.12534,5.82784,-5.78506,-12.41037,-1.22803,10.05746,-10.32068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2024-04-28,13:06:15,"McAdams, Reilly",695399,Right,WAS_HUS,Undefined,Slider,NA,NA,82.5337,-1.51248,-1.49284,2684.559031,57.850141,08:00:00,5.78423,1.27316,5.33406,-45.77097,-3.54937,-7.86721,0.55015,-0.78335,75.67755,-9.798224,-2.893894,0.467669,3.51441,-0.94461,-1.13247,50,5.61459,3.44375,-119.6961,-4.81835,5.05264,25.04983,-33.53211,d2fe22be-aaa0-4f1b-a0c8-b268a075efee,NA,NA,NA,NA,NA,800595,"Caulfield, Garen",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ARI_WIL,1,Top,1,2,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WAS_HUS,ARI_WIL,UofWashington,D1,PAC12,20240428-UofWashington-1,c4dcc580-059a-11ef-a3eb-0d58044087bb,80.59638,NA,NA,6.85615,NA,NA,NA,c92bdcd4-9947-4034-9929-9334101f4462,2024-04-28,20:06:15,2024-04-28T20:06:15Z,2024-04-28T20:06:15Z,NA,v3,471486,232,27 April 2024 17:05-arizona@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,55.16521,-120.77223,12.52492,5.79064,-3.37782,-16.76605,-1.27574,3.22669,2.52632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
