PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:35:45,"Braun, Corey",701409,Left,USF_BUL,Undefined,Slider,NA,NA,77.72761,1.87536,3.409664,2493.11052,279.371714,03:15:00,5.04793,-3.67689,5.19646,-47.65881,0.32295,7.61504,2.84415,0.16874,70.83144,-6.799487,4.75373,0.498551,-2.79051,0.02114,3.35435,50,5.18599,-7.00506,-112.50666,2.05938,-3.54837,21.91922,-32.14717,b5fd95ee-03bf-4d3c-834e-c97b59c4e630,NA,NA,NA,NA,-24.725123,809860,"Lytle, Mason",4133.564352,NA,98.47369,Right,35.723853,100.44931,82.49092,-44.83228,337.12092,296.82498,5.889216,-25.024613,1.21326,3.78929,1.32644,NA,NA,NA,NA,NA,1,1,UTS_ROA,1,Top,0,0,0,Curveball,InPlay,Undefined,FlyBall,Out,1,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,ca8ef920-27a5-11f0-9141-79b9866c16ec,75.60399,118.6222,NA,6.89618,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:35:45,2025-05-02T22:35:45Z,2025-05-02T22:35:45Z,FlyBall,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,55.30369,-113.53526,10.95961,5.05396,3.56793,-16.07359,3.67917,-6.83854,-1.77419,178.754715,1.21955,106.40012,-26.77163,6.791,-1.20168,0.13354,-0.00754,1.3e-4,0,3.78671,84.35001,-15.78038,-0.49904,0.47475,-0.15731,0.03188,-0.00351,1.5e-4,1.32357,-48.9954,11.85492,-2.95608,0.51132,-0.05436,0.00271,-2e-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Medium,NA,NA,NA
2,2025-05-02,18:36:23,"Braun, Corey",701409,Left,USF_BUL,Undefined,Slider,NA,NA,78.48558,2.23186,1.602645,2546.435823,284.596607,03:30:00,5.0094,-3.55649,4.96618,-48.85404,-1.70701,12.27095,3.04846,-1.01957,71.77257,-6.6163,3.764992,0.494195,-5.59335,-1.01665,3.39092,50,5.18537,-3.69533,-113.75506,2.66611,-7.30842,21.41752,-33.50243,02bdffbe-0680-4bb3-91a4-dbb720c8d16a,NA,NA,NA,NA,NA,823169,"Stucky, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UTS_ROA,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,e0bcc4c0-27a5-11f0-9141-79b9866c16ec,76.27034,NA,NA,6.71301,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:36:23,2025-05-02T22:36:23Z,2025-05-02T22:36:23Z,NA,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,55.53415,-114.79228,10.70876,5.01697,4.2886,-16.75122,3.56131,-3.3414,-3.65421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,18:36:40,"Braun, Corey",701409,Left,USF_BUL,Undefined,ChangeUp,NA,NA,83.32187,1.037516,2.372595,1690.655965,91.313826,09:00:00,4.92418,-3.6057,5.81486,-38.77608,1.67595,-16.73103,2.6585,-2.79255,76.10651,-6.118905,-0.625289,0.457764,9.17335,0.9761,3.4211,50,4.98636,-4.33423,-120.95025,0.8827,13.55646,24.11427,-30.73154,187c350d-b29e-4e84-b456-ffc374ff0329,NA,NA,NA,NA,NA,823169,"Stucky, Andrew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UTS_ROA,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,eb0f4920-27a5-11f0-9141-79b9866c16ec,82.34033,NA,NA,7.21537,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:36:40,2025-05-02T22:36:40Z,2025-05-02T22:36:40Z,NA,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,54.68552,-121.88084,12.05713,4.92941,2.06865,-15.36577,3.59845,-4.85738,6.77823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,18:36:56,"Braun, Corey",701409,Left,USF_BUL,Undefined,Fastball,NA,NA,91.24551,-1.889992,4.102543,2236.783187,134.208378,10:30:00,5.37446,-3.18261,5.39377,-18.21371,16.37639,-15.59942,2.08016,-0.63111,82.69223,-5.319524,1.337638,0.423299,9.07847,9.14394,2.82731,50,5.19293,-8.75157,-131.99672,-4.97717,15.90515,29.92641,-16.1542,2595ddd8-8228-446f-83be-31898ced118a,NA,NA,NA,NA,132.34358,823169,"Stucky, Andrew",4241.747912,NA,72.84187,Right,43.74839,NA,NA,NA,NA,47.24644,NA,NA,0.96333,2.11377,0.63463,NA,NA,NA,NA,NA,2,3,UTS_ROA,1,Top,1,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,f4a00420-27a5-11f0-9141-79b9866c16ec,89.04444,37.64457,NA,8.55328,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:36:56,2025-05-02T22:36:56Z,2025-05-02T22:36:56Z,NA,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,55.10552,-133.14922,14.96321,5.37262,-4.35505,-8.0771,3.17614,-9.36409,7.95258,NA,0.96333,-51.98349,-1.39276,2.00481,-0.66397,0.19017,-0.04629,0.01119,-0.00176,2.11377,73.87533,-30.93062,4.43141,-0.957,0.18141,-0.03285,0.00569,-4e-4,0.63463,57.04189,-6.49726,0.4191,0.05034,-0.05245,0.0162,-0.00482,9.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-05-02,18:37:18,"Braun, Corey",701409,Left,USF_BUL,Undefined,Slider,NA,NA,78.8693,0.830605,1.721657,2531.017036,322.39045,04:45:00,5.0734,-3.45466,5.17957,-51.10404,-5.02453,4.95079,1.59668,-1.42164,72.663570000000007,-8.412243,2.599229,0.488568,-2.0091,-2.375,3.29053,50,5.11128,-3.63898,-114.49106,-0.15061,-2.66799,21.04721,-35.32793,3f11dd72-76a8-4d90-a0b2-2fc7399e2458,NA,NA,NA,NA,-94.131729000000007,823169,"Stucky, Andrew",NA,NA,66.7455,Right,-66.650405,NA,NA,NA,2.10896,2.10896,0.018723,20.050628,2.03362,1.68739,1.4496,NA,NA,NA,NA,NA,2,4,UTS_ROA,1,Top,1,1,2,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,0193e750-27a6-11f0-9141-79b9866c16ec,77.14875,1.68739,NA,6.20573,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:37:18,2025-05-02T22:37:18Z,2025-05-02T22:37:18Z,GroundBall,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,55.32277,-115.46542,10.52361,5.0804,1.48485,-17.66397,3.45613,-3.51547,-1.33399,NA,2.03364,-2.80317,NA,NA,NA,NA,NA,NA,NA,1.68813,-90.12396,NA,NA,NA,NA,NA,NA,NA,1.44992,-38.80491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-05-02,18:38:01,"Braun, Corey",701409,Left,USF_BUL,Undefined,Fastball,NA,NA,91.33238,-1.04151,3.653758,2365.485864,139.579201,10:45:00,5.35473,-3.39701,5.64621,-17.76221,16.11639,-12.80489,2.90095,-1.05128,83.36756,-4.391422,1.372361,0.418923,7.51103,8.78843,3.09497,50,5.25503,-7.88528,-132.39337,-2.98605,13.34255,28.04073,-16.56231,ad5cd105-d7ee-4533-9148-35eccd3fdaa3,NA,NA,NA,NA,125.64766,695606,"Hodge, Ty",3657.662389,NA,76.22237,Right,53.860026,NA,NA,NA,NA,50.99785,NA,NA,0.41364,2.93316,0.97392,NA,NA,NA,NA,NA,3,1,UTS_ROA,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,1b2ec630-27a6-11f0-9141-79b9866c16ec,89.97462,59.10901,NA,7.96483,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:38:01,2025-05-02T22:38:01Z,2025-05-02T22:38:01Z,NA,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,54.85364,-133.41741,14.02037,5.35304,-2.3812,-8.28116,3.39183,-8.37255,6.67127,NA,0.41364,-38.42442,-0.76087,0.98029,-0.29266,0.08122,-0.01722,0.00378,-6.1e-4,2.93316,90.28134,-28.6719,4.22955,-0.88873,0.17123,-0.0277,0.00688,-0.00108,0.97392,53.57645,-5.02639,-0.86378,0.38961,-0.14552,0.03408,-0.00772,0.00145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
7,2025-05-02,18:38:24,"Braun, Corey",701409,Left,USF_BUL,Undefined,Fastball,NA,NA,92.63058,-0.915983,4.48491,2383.309598,142.650784,10:45:00,5.42998,-3.34487,5.4629200000000004,-13.85316,19.18159,-13.87375,3.4155,-0.29461,84.89375,-3.548198,2.026141,0.413673,8.00741,10.13127,2.95828,50,5.33949,-9.85243,-134.14803,-2.56519,14.71496,26.72008,-13.55612,642781f8-ba6a-436a-8108-7f99b852748c,NA,NA,NA,NA,177.715399,695606,"Hodge, Ty",1286.579294,NA,79.76347,Right,10.47683,NA,NA,NA,77.80715,48.83967,0.692424,174.984991,0.49724,2.77322,0.23524,NA,NA,NA,NA,NA,3,2,UTS_ROA,1,Top,1,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,28dd6de0-27a6-11f0-9141-79b9866c16ec,91.11661,5.81884,NA,7.73684,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:38:24,2025-05-02T22:38:24Z,2025-05-02T22:38:24Z,LineDrive,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,55.03462,-135.14712,13.36004,5.42592,-2.05831,-6.77806,3.33696,-10.40264,7.35748,19.717408,0.56248,-116.1943,4.83928,NA,NA,NA,NA,NA,NA,2.79679,20.82664,-35.96064,NA,NA,NA,NA,NA,NA,0.22199,4.83757,6.76432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
8,2025-05-02,18:38:48,"Braun, Corey",701409,Left,USF_BUL,Undefined,Slider,NA,NA,78.67814,0.670323,2.522736,2517.929753,299.0084,04:00:00,5.10887,-3.56932,5.09136,-50.53078,-3.65209,9.35008,1.53038,-0.411,72.00239,-8.468315,4.175047,0.492787,-3.92351,-1.63429,3.32288,50,5.13229,-5.40116,-114.03887,-0.4593,-5.12572,22.52687,-34.30909,af3cbd82-ac0f-4d3b-bd64-00a82c7df0ca,NA,NA,NA,NA,NA,695606,"Hodge, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,UTS_ROA,1,Top,1,0,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,3796f5e0-27a6-11f0-9141-79b9866c16ec,76.48832,NA,NA,6.67575,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:38:48,2025-05-02T22:38:48Z,2025-05-02T22:38:48Z,NA,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,55.41004,-115.10259,11.26344,5.11573,1.16078,-17.15455,3.57221,-5.15912,-2.56286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-02,18:39:22,"Braun, Corey",701409,Left,USF_BUL,Undefined,Cutter,NA,NA,86.74614,0.384877,4.035714,2563.767666,163.028145,11:30:00,5.03611,-3.47947,5.53202,-24.40832,13.70398,-3.78366,3.36276,-0.01602,78.50744,-4.178925,3.364235,0.444328,3.16091,7.18465,3.13108,50,5.05367,-8.6976,-125.54967,0.03889,4.9972,27.67767,-20.81553,94ea0ddc-8529-43e4-8980-bf4f4bb4b27c,NA,NA,NA,NA,-45.363571,832292,"Gruell, Garrett",4010.954239,NA,102.28377,Right,6.95166,NA,NA,NA,126.32576,122.58295,0.971657,-49.327037,2.36528,3.341,0.2443,NA,NA,NA,NA,NA,4,1,UTS_ROA,1,Top,2,0,0,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,4b8cabd0-27a6-11f0-9141-79b9866c16ec,84.83014,6.76449,NA,8.2387,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:39:22,2025-05-02T22:39:22Z,2025-05-02T22:39:22Z,GroundBall,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,54.96695,-126.63992,13.83884,5.03599,0.85883,-10.40777,3.47757,-8.89445,2.4986,78.085199,2.36528,104.62678,-27.75831,5.69559,-0.05243,-2.10303,2.36576,-1.31522,0.30187,3.341,18.15653,-25.48362,3.97701,-0.38724,-0.85162,1.05866,-0.59886,0.13817,0.2443,-105.96382,6.42886,1.12925,0.48203,-1.9744,2.22412,-1.24753,0.28778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-02,18:39:47,"Braun, Corey",701409,Left,USF_BUL,Undefined,ChangeUp,NA,NA,83.78545,0.913984,4.357083,1770.057252,104.201619,09:30:00,4.91014,-3.60154,5.69599,-34.70573,5.53028,-16.80788,2.87229,-0.93391,76.53359,-5.491113,1.3624830000000001,0.45654,9.73001,2.94217,3.24561,50,4.96546,-8.56225,-121.3858,0.77075,14.52855,23.5893,-27.78088,c0481a43-7d87-4788-9322-c2d4c8af840e,NA,NA,NA,NA,NA,832292,"Gruell, Garrett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,UTS_ROA,1,Top,2,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UTS_ROA,USFBaseballStadium,D1,AMER,20250502-USFBaseballStadium-2,5a753310-27a6-11f0-9141-79b9866c16ec,82.56109,NA,NA,7.25186,NA,NA,NA,dcb3e89b-2baf-4f08-9930-219523ff4d33,2025-05-02,22:39:47,2025-05-02T22:39:47Z,2025-05-02T22:39:47Z,NA,v3,471443,471467,NA,"Trippel, Lance",804841,Right,USF_BUL,54.8046,-122.31593,11.79465,4.91348,1.86616,-13.89044,3.59452,-9.13512,7.26428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
