PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-03,13:00:40,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,83.17854,-2.14749,-3.33026,2059.816781,221.734286,01:30:00,5.65523,1.2308,5.89451,-25.46312,15.40623,12.45989,1.53522,-0.82624,75.5291,-6.929114,-1.097148,0.460119,-7.39583,8.96623,-0.96966,50,5.46755,6.51655,-120.46459,-5.27992,-10.76481,25.47354,-19.1235,89bab042-d754-45cc-84f0-88a473d3b394,NA,NA,NA,NA,NA,10138743,"Wiederhold, Austin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LET_UNI,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,256205b0-2849-11f0-a593-25e9b90c2707,81.91887,NA,NA,7.64944,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:00:40,2025-05-03T18:00:40Z,2025-05-03T18:00:40Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.60171,-121.43378,12.73677,5.6546,-4.55234,-9.56175,-1.22539,6.92611,-5.38241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-03,13:00:54,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,76.09539,-0.511872,-2.310997,1972.811226,260.589739,02:45:00,5.76739,1.15564,5.62914,-45.1168,4.29583,15.23517,1.52966,0.26779,69.12687,-8.813866,0.413573,0.50593,-8.51481,2.81847,-0.96903,50,5.69495,3.88848,-110.31309,-2.38755,-10.33307,22.40155,-28.75373,b3bf16c1-6eb9-408a-a753-203b37ba97ba,NA,NA,NA,NA,NA,10138743,"Wiederhold, Austin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LET_UNI,1,Top,0,0,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,2e1a8920-2849-11f0-a593-25e9b90c2707,74.50128,NA,NA,6.96852,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:00:54,2025-05-03T18:00:54Z,2025-05-03T18:00:54Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.86864,-111.29739,11.20077,5.7721,-1.12415,-14.37687,-1.14986,4.3425,-5.16654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-03,13:01:18,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,76.24411,-0.130034,-1.957459,1987.43811,259.180153,02:45:00,5.83318,1.02646,5.55464,-44.20731,4.51193,15.48796,2.02767,0.48746,70.03798,-8.230608,0.807993,0.502368,-8.4541,2.73528,-0.86802,50,5.79256,3.21305,-110.697,-1.644,-10.46891,20.1319,-28.78689,dabdbb0d-bf75-4f76-802d-20abaf3cce27,NA,NA,NA,NA,-20.597678,1000315307,"Jones, Dane",1585.680051,NA,92.20839,Right,21.870608,102.7835,38.6981,-39.18512,333.07734,330.49811,4.093679,-22.071406,2.31378,2.20141,-0.46505,NA,NA,NA,NA,NA,2,1,LET_UNI,1,Top,1,0,0,Changeup,InPlay,Undefined,LineDrive,Double,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,3c3b0570-2849-11f0-a593-25e9b90c2707,75.02958,50.22932,NA,6.20613,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:01:18,2025-05-03T18:01:18Z,2025-05-03T18:01:18Z,LineDrive,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.94492,-111.59269,10.06595,5.83721,-0.36325,-14.39344,-1.02133,3.67882,-5.23446,173.146339,2.3127,117.51006,-19.5642,4.29277,-1.00739,0.24966,-0.05293,0.00696,-3.9e-4,2.20311,50.33548,-14.14013,0.6589,-0.11288,0.00985,0.00311,-6.4e-4,2e-5,-0.46477,-44.16063,6.12907,-1.33888,0.34816,-0.09914,0.02278,-0.00308,1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-05-03,13:02:00,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,70.85036,0.826722,-2.098078,1985.034055,71.10448,08:15:00,5.52688,1.296,5.40499,-60.68806,-3.48272,-15.67611,1.24472,-1.97704,65.09836,-10.188154,-4.887529,0.544364,7.28248,-1.50563,-1.09767,50,5.55793,4.31544,-102.76929,-0.37384,7.70536,18.72566,-33.76711,3030141c-f497-4afa-a327-00e8000ee5c2,NA,NA,NA,NA,NA,1000315313,"Nabors, Xander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LET_UNI,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,55414570-2849-11f0-a593-25e9b90c2707,69.24119,NA,NA,5.752,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:02:00,2025-05-03T18:02:00Z,2025-05-03T18:02:00Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,55.09504,-103.6935,9.36283,5.53525,1.29276,-16.88356,-1.30128,3.93514,3.85268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-03,13:02:16,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,70.97558,1.747969,-0.119958,1751.258653,61.436821,08:00:00,5.57014,1.30254,5.39642,-63.88279,-6.54225,-15.73792,1.88513,-0.12136,64.60555,-9.89007,-2.924542,0.545007,7.85808,-3.25524,-1.28044,50,5.6814,0.78449,-102.91664,1.14886,8.28395,19.80473,-35.60571,d1df7217-41ee-4dc7-b585-a301a95490f7,NA,NA,NA,NA,NA,1000315313,"Nabors, Xander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LET_UNI,1,Top,1,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,5eb88500-2849-11f0-a593-25e9b90c2707,69.15952,NA,NA,6.37003,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:02:16,2025-05-03T18:02:16Z,2025-05-03T18:02:16Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,55.10283,-103.89397,9.90237,5.58135,2.90593,-17.80285,-1.30907,0.3757,4.14198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-03,13:02:30,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,84.59568,-0.773182,-3.095109,2001.228603,234.27309,01:45:00,5.72398,1.20381,5.7032,-27.61033,12.093,14.90509,2.7016,-0.44079,76.75217,-5.927049,-0.432469,0.453508,-8.4817,6.78414,-0.95345,50,5.64213,6.00758,-122.59343,-2.54677,-12.79969,26.13337,-21.93615,f45b6d6b-ec1e-40e8-824b-aa1c751119ea,NA,NA,NA,NA,NA,1000315313,"Nabors, Xander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,LET_UNI,1,Top,1,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,673beeb0-2849-11f0-a593-25e9b90c2707,83.11307,NA,NA,7.84351,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:02:30,2025-05-03T18:02:30Z,2025-05-03T18:02:30Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.79291,-123.61092,13.06669,5.72466,-1.6927,-10.96807,-1.19705,6.50593,-6.39985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-03,13:02:48,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,83.76576,0.41912,-3.069586,2057.739022,224.258636,01:30:00,5.81277,1.18111,5.74198,-25.66253,14.55241,12.90091,4.06503,-0.60458,76.23759,-4.392259,-0.76508,0.45642,-7.40496,7.67311,-0.9335,50,5.83209,5.98239,-121.46127,0.09582,-11.03389,24.35641,-20.74057,eb25c846-5fd5-43fa-9e72-254c6ebefae3,NA,NA,NA,NA,NA,1000315313,"Nabors, Xander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,LET_UNI,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,71e9d980-2849-11f0-a593-25e9b90c2707,82.58271,NA,NA,7.52816,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:02:48,2025-05-03T18:02:48Z,2025-05-03T18:02:48Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.75404,-122.41088,12.17821,5.8126,0.90446,-10.37029,-1.17513,6.41258,-5.51694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-03,13:03:06,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,71.64655,-1.245622,-2.117801,1906.047637,63.75799,08:15:00,5.50587,1.33761,5.37151,-60.1333,-4.21902,-12.21741,-0.67405,-1.66695,66.32497,-12.07384,-4.295906,0.538186,5.60953,-1.40154,-1.13849,50,5.35088,4.26404,-103.94115,-4.11185,6.08136,18.89143,-33.69347,ef6113e8-76ca-4a86-8004-2f5cdcda1c83,NA,NA,NA,NA,NA,1000315313,"Nabors, Xander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,LET_UNI,1,Top,1,2,2,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,7c7b62b0-2849-11f0-a593-25e9b90c2707,70.03603,NA,NA,5.32159,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:03:06,2025-05-03T18:03:06Z,2025-05-03T18:03:06Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,55.12989,-104.86937,9.44572,5.51224,-2.45635,-16.84674,-1.34066,3.96523,3.04068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-03,13:03:26,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,76.16588,-0.214545,-2.6102630000000002,1877.536467,266.632117,03:00:00,5.79291,1.17274,5.71247,-46.59325,2.22457,10.1165,1.71006,-0.41761,69.69333,-8.769214,-0.799288,0.502876,-5.97705,1.61236,-0.9608,50,5.74586,4.67255,-110.50062,-1.85371,-7.33429,21.08071,-30.19558,f515d36e-1568-4aac-b08f-6f14fb4d0a7a,NA,NA,NA,NA,-17.917291,1000315313,"Nabors, Xander",NA,NA,99.99981,Right,-3.039394,NA,NA,NA,25.21438,25.21438,0.161182,-15.6537,2.5248,1.89546,0.46581,NA,NA,NA,NA,NA,3,6,LET_UNI,1,Top,1,3,2,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,889d4fe0-2849-11f0-a593-25e9b90c2707,74.9538,1.89546,NA,6.47255,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:03:26,2025-05-03T18:03:26Z,2025-05-03T18:03:26Z,GroundBall,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.78657,-111.41003,10.54035,5.79773,-0.55109,-15.09779,-1.16919,4.98894,-3.66715,40.930444,2.52573,139.28076,-26.82628,NA,NA,NA,NA,NA,NA,1.8964,-7.85395,-24.30412,NA,NA,NA,NA,NA,NA,0.46608,-45.0797,-0.14358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-03,13:04:00,"Neely, Jagger",1000313697,Right,EAS_TEX,Undefined,Undefined,NA,NA,76.0981,-0.995491,-2.081093,2104.759564,255.076701,02:30:00,5.85069,1.26269,5.54538,-42.76912,6.3854,17.80284,1.35559,0.8006,69.70967,-8.837537,1.098427,0.504607,-9.61036,4.01654,-1.09452,50,5.73627,3.34032,-110.39237,-3.26454,-11.78842,20.74798,-27.24722,5d7587c7-e7cb-49d8-b666-af681fa84aad,NA,NA,NA,NA,NA,1000236005,"Land, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,LET_UNI,1,Top,1,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,EAS_TEX,LET_UNI,TIGERBALLPARK,D3,Team,20250503-TIGERBALLPARK-1,9ca0c170-2849-11f0-a593-25e9b90c2707,74.69667,NA,NA,6.38843,NA,NA,NA,767b03b4-d1cb-41d5-bffb-fd65370dcca2,2025-05-03,18:04:00,2025-05-03T18:04:00Z,2025-05-03T18:04:00Z,NA,v3,NA,NA,NA,"Chavez, Nicolas",1000313670,Right,EAS_TEX,54.95247,-111.31928,10.37399,5.85492,-2.04728,-13.62361,-1.25552,3.86697,-5.89421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
