PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,18:05:21,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Fastball,NA,NA,85.07583,-0.441076,4.285435,2283.388147,115.49984,09:45:00,5.40493,-2.6282,7.02799,-29.37757,7.67611,-13.64855,2.55487,0.13581,77.90301,-6.008785,1.790614,0.438114,8.53674,4.56988,2.37129,50,5.36834,-8.80222,-123.53807,-1.71629,13.18289,24.78065,-25.11696,14f2c280-ca89-4c5b-8c73-0a23372aa2b0,NA,NA,NA,NA,-37.3218,1000235635,"Natividad, Gabriel",3376.511697,NA,96.01484,Right,-2.258624,NA,NA,NA,38.4918,37.21158,0.27045,-36.835047,2.15934,2.80913,-0.32348,NA,NA,NA,NA,NA,1,1,WIN_EAG,1,Top,0,0,0,Changeup,InPlay,Undefined,GroundBall,Double,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,b3e7f7e0-2d21-11f0-9344-d365cd4ffd8a,86.03339,2.80913,NA,7.17282,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:05:21,2025-05-09T22:05:21Z,2025-05-09T22:05:21Z,GroundBall,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.47431,-124.23303,12.39033,5.40659,-1.01189,-12.55848,2.62333,-9.17193,6.59145,NA,2.16293,111.72414,-21.52887,NA,NA,NA,NA,NA,NA,2.81105,-5.6444,-17.58785,NA,NA,NA,NA,NA,NA,-0.32315,-85.32895,4.42558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
2,2025-05-09,18:06:08,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,77.41204,0.992439,3.068918,2158.787249,274.344854,03:15:00,5.3457,-2.87042,6.86393,-43.59691,1.16748,1.82539,2.61867,0.08185,71.47322,-7.167075,3.401975,0.481546,-0.14843,0.78248,2.67447,50,5.3937,-6.09187,-112.54511,0.82012,-0.19112,19.69202,-31.16657,e9c5573a-7ca5-4e74-b8c8-dfa664d364ea,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WIN_EAG,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,d00d5230-2d21-11f0-9344-d365cd4ffd8a,78.2738,NA,NA,5.93882,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:06:08,2025-05-09T22:06:08Z,2025-05-09T22:06:08Z,NA,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.63785,-113.17984,9.84601,5.35108,1.8247,-15.58328,2.87072,-6.08571,-0.09556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-09,18:06:23,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,76.80665,-0.330686,4.39191,2138.324654,328.992589,05:00:00,5.36891,-2.78037,6.84785,-46.25711,-0.74205,1.22122,1.21173,1.33393,71.38658,-8.924707,4.614305,0.485567,0.49622,0.04874,2.49881,50,5.33099,-8.60526,-111.56003,-1.83601,0.62899,18.97792,-32.11228,626a2668-6157-4513-91a3-0242f0268b2c,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WIN_EAG,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,d9774b50-2d21-11f0-9344-d365cd4ffd8a,77.62567,NA,NA,5.42007,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:06:23,2025-05-09T22:06:23Z,2025-05-09T22:06:23Z,NA,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.65573,-112.18019,9.48896,5.37384,-0.78663,-16.05614,2.78035,-8.62582,0.31449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-09,18:06:43,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,74.86834,1.692822,0.852465,2157.505654,286.669828,03:30:00,5.29952,-2.74046,6.71708,-48.154,-0.22429,5.31162,2.83473,-1.51852,69.25709,-7.295191,1.821198,0.49828,-2.62358,-0.25819,2.68198,50,5.39241,-1.77999,-108.99343,1.99363,-3.17237,18.22478,-32.48624,ec87773e-2eb8-4644-8e50-e2dd83bbb7dc,NA,NA,NA,NA,NA,1000193856,"Hernandez, Jaylen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WIN_EAG,1,Top,0,1,1,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,e506e390-2d21-11f0-9344-d365cd4ffd8a,75.64505,NA,NA,5.61125,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:06:43,2025-05-09T22:06:43Z,2025-05-09T22:06:43Z,NA,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.78721,-109.62486,9.11239,5.30384,3.11917,-16.24312,2.74174,-1.67007,-1.58618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-09,18:07:14,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Fastball,NA,NA,86.55589,-0.455306,2.952325,2316.531438,123.516779,10:00:00,5.47838,-2.49277,6.85181,-27.81435,7.96977,-10.42548,2.74483,-0.66737,79.64419,-5.707032,1.049074,0.430543,6.31193,4.69047,2.3074,50,5.43915,-6.12081,-125.86067,-1.76772,10.17238,24.41833,-24.61482,3a63b980-174f-40a9-8ce6-4a8de32307f7,NA,NA,NA,NA,35.767044,811872,"Kropf, Koby",4273.932535,NA,96.94244,Right,19.432117,81.65056,31.47703,73.70986,290.4871,210.47601,3.148244,51.013794,-0.48212,2.5203700000000002,0.68622,NA,NA,NA,NA,NA,3,1,WIN_EAG,1,Top,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,f76e7f70-2d21-11f0-9344-d365cd4ffd8a,87.54627,35.41849,NA,6.9117,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:07:14,2025-05-09T22:07:14Z,2025-05-09T22:07:14Z,LineDrive,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.64965,-126.56676,12.20916,5.47998,-1.05595,-12.30741,2.48865,-6.41496,5.08619,NA,-0.48218,108.79619,-28.29867,7.02912,-1.62873,0.29946,-0.03831,0.00149,2e-4,2.52038,47.30248,-18.83552,1.45522,-0.13829,0.02223,-0.01116,0.00405,-5.2e-4,0.68616,78.3721,0.87572,-2.64781,1.09446,-0.31836,0.06878,-0.00986,6.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-05-09,18:07:36,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,77.00398,0.214606,3.197718,2169.275181,301.519002,04:00:00,5.33161,-2.56655,6.97251,-44.72176,0.20244,1.74059,1.80032,0.49034,71.45953,-8.143347,3.516122,0.482405,-0.10236,0.39874,2.36846,50,5.32978,-6.31035,-112.02231,-0.69905,-0.13087,19.09008,-31.66429,7fc697af-076a-4f42-abaf-41dc0a73bbd2,NA,NA,NA,NA,NA,811872,"Kropf, Koby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,WIN_EAG,1,Top,0,0,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,048e54a0-2d22-11f0-9344-d365cd4ffd8a,78.13447,NA,NA,5.54445,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:07:36,2025-05-09T22:07:36Z,2025-05-09T22:07:36Z,NA,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.53103,-112.62244,9.54504,5.33611,0.29637,-15.83215,2.56678,-6.30624,-0.06543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-09,18:07:59,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,75.5531,1.171635,0.401087,1885.095259,303.186671,04:00:00,5.41432,-2.57643,6.6221,-49.91975,-2.63055,6.11863,2.32746,-1.69924,69.89725,-8.112604,1.516039,0.49494,-3.10398,-1.22713,2.54703,50,5.474,-0.96801,-109.97665,0.8942,-3.81729,18.74714,-33.6832,64f0fadb-d5ad-4c13-9ab7-63b95637ea26,NA,NA,NA,NA,NA,811872,"Kropf, Koby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,WIN_EAG,1,Top,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,1229c270-2d22-11f0-9344-d365cd4ffd8a,76.15561,NA,NA,5.65585,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:07:59,2025-05-09T22:07:59Z,2025-05-09T22:07:59Z,NA,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.88052,-110.63616,9.37357,5.4217,2.07915,-16.8416,2.57872,-0.83372,-1.90865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-09,18:08:15,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,80.51798,-0.457297,3.203832,1586.280035,121.69406,10:00:00,5.33442,-2.49473,7.10645,-34.55959,5.85906,-7.82571,2.03889,-0.23696,75.27139,-6.947205,1.768248,0.457575,4.95347,3.5639,2.30649,50,5.2962,-6.32792,-117.24341,-1.79134,7.02399,18.27448,-27.12044,51896af3-cf3d-4512-83c8-644274236b1c,NA,NA,NA,NA,61.636881,811872,"Kropf, Koby",5676.865364,NA,68.69793,Right,61.592632,25.18263,85.81672,107.07853,156.94675,71.1722,4.855881,78.155507,1.42247,1.7913,-0.66029,NA,NA,NA,NA,NA,3,4,WIN_EAG,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,1c1d36e0-2d22-11f0-9344-d365cd4ffd8a,82.37437,96.8819,NA,5.24659,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:08:15,2025-05-09T22:08:15Z,2025-05-09T22:08:15Z,Popup,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.39748,-117.77178,9.13724,5.33665,-1.00721,-13.56022,2.49238,-6.531,3.51199,NA,1.43525,22.41723,-9.08134,-0.26348,2.92188,-1.77033,0.50088,-0.06912,0.00374,1.78326,88.77399,-25.16955,3.25187,-0.85211,0.14883,-0.00276,-0.0032,3.2e-4,-0.66317,42.23699,-4.13454,0.9362,-0.35622,0.14536,-0.03862,0.00544,-3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-05-09,18:08:41,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,Slider,NA,NA,76.65583,-0.566581,2.867117,2149.085711,276.560273,03:15:00,5.46683,-2.55268,6.94594,-45.52636,0.70768,7.49422,1.15665,0.68343,70.04886,-9.099659,4.238505,0.489387,-3.10666,0.96921,2.37195,50,5.41624,-5.80523,-111.36251,-2.24026,-3.84362,22.75921,-30.9749,397de3ab-cc3c-4ae2-ac3c-fe3dca8d19f3,NA,NA,NA,NA,-47.46763,811872,"Kropf, Koby",2987.848949,NA,96.68772,Right,21.879324,68.27315,33.55909,-86.24834,274.3811,213.46192,3.060672,-60.478281,2.3931,1.42719,-0.60478,NA,NA,NA,NA,NA,3,5,WIN_EAG,1,Top,0,1,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,2b9c7fe0-2d22-11f0-9344-d365cd4ffd8a,77.01973,37.48937,NA,6.60697,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:08:41,2025-05-09T22:08:41Z,2025-05-09T22:08:41Z,LineDrive,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.5557,-112.08684,11.37961,5.47185,-1.25447,-15.48745,2.55476,-5.6829,-1.92181,NA,2.39333,88.94531,-25.3324,5.7039,-1.0133,0.06594,0.02,-0.00581,4.9e-4,1.42716,52.84812,-22.01671,2.52857,-0.63855,0.18004,-0.04198,0.00642,-4.4e-4,-0.60465,-96.97889,8.14025,-0.99832,0.3394,-0.16888,0.05534,-0.00961,6.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-05-09,18:09:06,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,ChangeUp,NA,NA,81.79253,-0.980184,2.991632,1656.905695,163.633835,11:30:00,5.25602,-2.78246,6.91493,-25.99785,13.48611,-3.66134,2.19562,-0.36074,76.3026,-5.886669,2.322874,0.452253,2.63543,7.74898,2.59582,50,5.18493,-6.10484,-119.04584,-2.68018,3.85249,18.85967,-20.84654,51c1a33a-ea8b-4325-834f-d31ff90a5dc3,NA,NA,NA,NA,NA,811872,"Kropf, Koby",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,WIN_EAG,1,Top,0,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,RAD_HIG,WIN_EAG,CarterMemorial,D1,BSOU,20250509-CarterMemorial-1,3a1de0e0-2d22-11f0-9344-d365cd4ffd8a,83.34364,NA,NA,5.48994,NA,NA,NA,bba19414-ac66-4ab8-a05e-d763e2b08764,2025-05-09,22:09:06,2025-05-09T22:09:06Z,2025-05-09T22:09:06Z,NA,v3,471417,471494,09 May 2025 18:00-winthrop@radford,"Sparrer, Tyler",815729,Right,RAD_HIG,53.58774,-119.61287,9.42983,5.25609,-2.05341,-10.42327,2.78111,-6.22067,1.92624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
