PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,18:03:11,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,91.28199,-1.396796,-3.285578,2055.734523,273.567439,03:00:00,5.30409,2.81504,6.38193,-32.81569,0.14,14.24068,1.2821,0.97589,83.7805,-7.485067,-0.706406,0.413177,-8.45863,0.70209,-2.58492,50,5.18791,7.0603,-132.57177,-4.3263,-15.03442,28.67871,-30.92614,e79737c4-877a-4082-ab7d-e82a253ab529,NA,NA,NA,NA,NA,1000230993,"Wolf, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UNC_SPA,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,fb453050-2d29-11f0-8b4d-6b4499d6aedc,91.2258,NA,NA,7.50149,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:03:11,2025-05-09T23:03:11Z,2025-05-09T23:03:11Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.12122,-133.46032,14.33936,5.30711,-3.36811,-15.46307,-2.81089,7.52611,-7.51721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-09,18:03:26,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,92.11205,-1.142007,-5.113543,2157.102826,272.852081,03:00:00,5.34934,2.74289,6.30756,-32.38848,0.27496,15.68682,1.59388,-0.67326,84.19079,-7.147294,-2.287635,0.411341,-9.57347,0.81705,-2.37398,50,5.2501,11.28235,-133.40315,-3.79164,-17.21421,29.28657,-30.7049,c45a09e9-2e8e-478f-bdf8-af198773aa7a,NA,NA,NA,NA,NA,1000230993,"Wolf, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UNC_SPA,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,041c3840-2d2a-11f0-8b4d-6b4499d6aedc,91.63301,NA,NA,7.92126,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:03:26,2025-05-09T23:03:26Z,2025-05-09T23:03:26Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.19329,-134.32057,14.64329,5.35381,-2.82979,-15.35245,-2.73585,11.82159,-8.6071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-09,18:03:49,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,91.46242,-1.354991,-4.476458,2187.901466,250.602471,02:15:00,5.34049,2.73256,6.21615,-26.05064,7.05284,17.04434,1.9151,0.01343,83.69787,-6.217343,-1.408322,0.414103,-10.18914,4.32323,-2.40537,50,5.22549,9.70104,-132.60934,-4.00111,-18.14279,28.37023,-24.47613,5d765dfd-5767-40ad-9fe8-568012dbe31d,NA,NA,NA,NA,NA,1000230993,"Wolf, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,UNC_SPA,1,Top,0,2,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,11ea4ed0-2d2a-11f0-8b4d-6b4499d6aedc,91.02192,NA,NA,7.76456,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:03:49,2025-05-09T23:03:49Z,2025-05-09T23:03:49Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.28651,-133.52324,14.18511,5.34168,-3.21265,-12.23806,-2.72728,10.28548,-9.07139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-09,18:04:43,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,93.20963,-1.210344,-4.695749,2183.072002,253.510561,02:30:00,5.43058,2.80935,6.11613,-26.01123,6.86181,18.72942,2.13997,0.01875,83.04714,-6.108646,-1.331962,0.412659,-11.39087,4.33126,-2.45843,50,5.3241,10.25387,-134.71588,-3.73433,-20.35617,36.78057,-24.43382,561df504-3221-449d-aa75-73036b404109,NA,NA,NA,NA,NA,1000230993,"Wolf, Jeremy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,UNC_SPA,1,Top,0,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,31f5bcf0-2d2a-11f0-8b4d-6b4499d6aedc,91.34035,NA,NA,10.16249,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:04:43,2025-05-09T23:04:43Z,2025-05-09T23:04:43Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.38242,-135.90711,18.39029,5.43223,-2.94298,-12.21691,-2.80121,10.91316,-10.17808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-09,18:05:03,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,93.27327,-0.498437,-4.416433,2191.837887,245.82019,02:15:00,5.43999,2.58398,6.23261,-24.70257,7.40158,14.01347,2.92022,-0.33072,84.43673,-5.139159,-1.894658,0.407804,-8.61048,4.315,-2.26049,50,5.39052,9.83818,-135.11048,-1.99943,-15.76354,32.07643,-24.27437,6fb04a24-8368-428e-a795-429e255c4d1d,NA,NA,NA,NA,19.995686,1000230993,"Wolf, Jeremy",2624.153934,NA,91.27071,Right,3.414898,NA,NA,NA,84.85237,83.77637,0.692596,22.550541,0.9308,2.91203,0.32178,NA,NA,NA,NA,NA,1,5,UNC_SPA,1,Top,0,2,2,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,3dd10430-2d2a-11f0-8b4d-6b4499d6aedc,92.42773,3.7703,NA,8.83653,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:05:03,2025-05-09T23:05:03Z,2025-05-09T23:05:03Z,GroundBall,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.26683,-136.1197,16.03822,5.44141,-1.23569,-12.13719,-2.57783,10.33414,-7.88177,278.309745,0.98159,124.57525,-18.64536,NA,NA,NA,NA,NA,NA,2.93939,7.4382,-16.92018,NA,NA,NA,NA,NA,NA,0.3053,46.02088,0.78447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-05-09,18:05:40,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,ChangeUp,NA,NA,83.84832,0.390683,-3.357849,2420.952891,74.637237,08:30:00,5.38447,2.78416,5.49496,-41.01699,-0.37709,-6.14973,2.33247,-0.87295,76.63754,-7.100339,-4.45051,0.458826,2.13788,0.01449,-2.48564,50,5.3907,7.38066,-121.5323,-0.62013,3.1769,25.24685,-32.15252,acfcf30d-fde7-466d-a361-628455d2008e,NA,NA,NA,NA,-24.402728,1000088222,"Truitt, Brantley",NA,NA,26.17169,Left,-18.070752,NA,NA,NA,9.19237,9.1204,0.179313,-12.026819,3.07408,2.553,0.73171,NA,NA,NA,NA,NA,2,1,UNC_SPA,1,Top,0,0,0,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,543ebf00-2d2a-11f0-8b4d-6b4499d6aedc,82.14978,2.553,NA,7.21079,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:05:40,2025-05-09T23:05:40Z,2025-05-09T23:05:40Z,GroundBall,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,55.00636,-122.5679,12.62343,5.38908,0.69873,-16.07626,-2.78572,7.25035,1.58845,205.083777,3.0742,33.22299,-1.27636,NA,NA,NA,NA,NA,NA,2.55319,-11.92051,-12.93453,NA,NA,NA,NA,NA,NA,0.73167,-15.07345,1.73643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-05-09,18:06:16,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Slider,NA,NA,83.25975,-0.048242,-2.751225,2305.346505,73.827794,08:30:00,5.4615,2.76605,5.61006,-40.68644,-0.16803,-4.60689,2.02589,-0.18788,77.00502,-7.46876,-3.572921,0.458139,1.63441,0.24433,-2.52758,50,5.43074,5.99326,-120.91325,-1.51419,2.43403,22.26289,-31.81017,5a714ee2-86de-4cf4-82bc-b2e79f90872c,NA,NA,NA,NA,NA,10055268,"Wight, Parker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UNC_SPA,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,69afca50-2d2a-11f0-8b4d-6b4499d6aedc,82.27288,NA,NA,6.25473,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:06:16,2025-05-09T23:06:16Z,2025-05-09T23:06:16Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.89215,-121.81068,11.13145,5.46593,-0.2319,-15.90509,-2.76719,5.89515,1.21701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-09,18:06:31,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,91.7415,-1.300854,-2.794366,2232.110154,265.877183,02:45:00,5.23114,3.03813,6.13366,-30.85073,2.63181,19.46277,1.45625,2.07519,82.71289,-7.050259,0.716234,0.416467,-10.89264,2.1837,-2.83402,50,5.11616,5.64162,-132.98208,-4.10386,-19.15075,33.35608,-28.33478,eeb89f08-111c-41cd-bcb8-18be74f335ba,NA,NA,NA,NA,NA,10055268,"Wight, Parker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,UNC_SPA,1,Top,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,722ca450-2d2a-11f0-8b4d-6b4499d6aedc,90.50522,NA,NA,9.02861,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:06:31,2025-05-09T23:06:31Z,2025-05-09T23:06:31Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.3647,-134.07241,16.67804,5.23517,-3.17766,-14.16739,-3.02866,6.26762,-9.57538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-09,18:06:47,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,91.57983,0.327593,-3.626703,2283.186265,272.191857,03:00:00,5.26599,2.77486,6.29137,-32.98852,0.51354,19.36962,2.81945,1.04241,82.16144,-5.843292,-0.129067,0.416588,-11.27548,0.51972,-2.51651,50,5.27459,7.59686,-132.70602,-0.36967,-19.68471,33.965089999999996,-31.26668,e3940c01-bcd9-4165-a8b6-a3ab4a5b7faa,NA,NA,NA,NA,-82.53678,10055268,"Wight, Parker",5372.617077,NA,74.16086,Left,52.100153,NA,NA,NA,NA,79.72557,NA,NA,0.31529,4.03863,-1.97752,NA,NA,NA,NA,NA,3,3,UNC_SPA,1,Top,1,1,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,7bf05630-2d2a-11f0-8b4d-6b4499d6aedc,90.47888,77.2373,NA,9.41839,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:06:47,2025-05-09T23:06:47Z,2025-05-09T23:06:47Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.20807,-133.77871,16.98255,5.27068,0.6178,-15.63334,-2.76625,8.21854,-9.84236,NA,0.31529,8.6787,-8.54058,2.64778,-0.72229,0.25361,-0.12078,0.04271,-0.00675,4.03863,85.82815,-25.80623,2.92305,-0.59412,0.1125,-0.02607,0.00588,-7.4e-4,-1.97752,-66.24898,6.16802,-0.90209,0.10398,0.00356,-0.00828,0.00378,-5.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
10,2025-05-09,18:07:37,"Keshock, Cameron",1000107581,Right,SAM_BUL,Undefined,Fastball,NA,NA,87.08758,-0.939586,-2.077932,1903.275064,252.497932,02:30:00,5.27739,2.89168,5.67279,-30.92029,6.31339,16.20784,1.82404,2.30418,79.62007,-6.647443,0.820729,0.439177,-8.79749,3.84709,-2.72653,50,5.17868,3.89269,-126.39566,-3.15765,-14.19551,26.37669,-25.96639,177b92b2-31e3-4ade-aea7-f0a6dc79dad4,NA,NA,NA,NA,NA,10055268,"Wight, Parker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,UNC_SPA,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,1,0,NA,SAM_BUL,UNC_SPA,SamfordUniversity,D1,SOCON,20250509-SamfordUniversity-2,997b33f0-2d2a-11f0-8b4d-6b4499d6aedc,85.82518,NA,NA,7.46751,NA,NA,NA,4507bd8e-62f3-40db-b324-5f4606c9c24e,2025-05-09,23:07:37,2025-05-09T23:07:37Z,2025-05-09T23:07:37Z,NA,v3,471431,471372,NA,"Strand, Matthew",1000068590,Right,SAM_BUL,54.82709,-127.39901,13.18835,5.28001,-2.16991,-12.9832,-2.88487,4.43268,-7.09775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
