PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-10,15:44:59,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.51516,-1.198447,-5.215972,2017.922758,226.785209,01:30:00,5.48577,3.69634,4.60187,-26.22816,15.34985,14.80808,2.15548,-0.04371,76.73361,-6.00664,-2.636245,0.464091,-8.72898,8.24815,-3.17199,50,5.33837,10.44317,-121.9534,-3.5318,-13.09226,24.89776,-19.80296,e7ab2060-8b90-402e-bbff-5e01ab300744,NA,NA,NA,NA,NA,1000311274,"Grutzmacher, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,COP_STA,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,42688510-2dd7-11f0-adef-cf407bb5d368,81.21773,NA,NA,7.78154,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:44:59,2025-05-10T19:44:59Z,2025-05-10T19:44:59Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.89454,-123.15094,12.44888,5.48533,-2.57931,-9.90148,-3.68944,11.07288,-6.54613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-10,15:45:12,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.9588,-0.316993,-3.946724,2085.395784,227.736423,01:30:00,5.43142,3.66481,4.43323,-26.38159,15.12186,14.99438,2.92985,1.14349,76.62836,-5.162266,-1.335376,0.463675,-8.58898,7.85528,-3.2618,50,5.37316,7.76952,-122.73723,-1.68,-12.95182,26.8902,-20.32863,1ba40224-25b8-45db-93ae-8537d352a152,NA,NA,NA,NA,NA,1000311274,"Grutzmacher, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,COP_STA,1,Top,0,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,4a20d690-2dd7-11f0-adef-cf407bb5d368,81.29068,NA,NA,8.33045,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:45:12,2025-05-10T19:45:12Z,2025-05-10T19:45:12Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,56.06449,-124.05877,13.4451,5.43117,-0.68094,-10.16431,-3.65928,8.40605,-6.47591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-10,15:45:29,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.55558,1.30787,-5.584335,2103.81736,236.175833,01:45:00,5.4542,3.59709,4.64643,-29.27569,11.95599,15.87843,4.26345,-0.40284,77.02799,-4.029085,-2.820636,0.462154,-9.22276,5.87461,-3.03953,50,5.56246,11.19203,-122.04516,1.68949,-13.95625,23.27879,-23.28437,4832d3f2-074f-46df-ac9a-891622dc4698,NA,NA,NA,NA,NA,1000311274,"Grutzmacher, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,COP_STA,1,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,5417f480-2dd7-11f0-adef-cf407bb5d368,81.55816,NA,NA,7.52759,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:45:29,2025-05-10T19:45:29Z,2025-05-10T19:45:29Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.8507,-123.15606,11.6394,5.45532,2.80066,-11.64219,-3.58952,11.85804,-6.97813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-10,15:45:43,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Slider,NA,NA,78.29739,-0.761802,-6.318889,1810.798855,176.195837,11:45:00,5.23228,3.84319,4.98121,-41.5049,5.65894,-0.28866000000000003,1.04969,-2.1725,72.83203,-8.209047,-6.369299,0.494283,-1.40032,3.37516,-3.23117,50,5.12431,12.5326,-113.07264,-2.96493,-1.8349,18.27404,-27.75133,f554133e-7ea0-4696-856e-c449110248e4,NA,NA,NA,NA,NA,1000311274,"Grutzmacher, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,COP_STA,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,5c5f3f90-2dd7-11f0-adef-cf407bb5d368,76.25675,NA,NA,5.46535,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:45:43,2025-05-10T19:45:43Z,2025-05-10T19:45:43Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.5184,-113.961,9.13702,5.23565,-1.61586,-13.87567,-3.84259,12.6218,-0.91745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-10,15:45:58,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.95415,-1.387288,-5.79753,2137.618237,235.138617,01:45:00,5.39755,3.62819,4.6091,-27.83553,13.61705,17.37273,1.75177,-0.4556,76.70112,-6.48564,-2.77399,0.463391,-10.31489,7.49622,-3.04682,50,5.22918,11.62409,-122.40224,-4.0228,-15.48502,26.52206,-20.92051,495c4350-1dc7-4fae-8d37-9857f7647086,NA,NA,NA,NA,47.870967,1000311274,"Grutzmacher, Gavin",5374.012781,NA,71.07361,Right,48.55348,60.24356,79.73111,92.03648,210.79196,89.04841,4.562314,62.002388,1.34921,1.23074,-2.1e-4,NA,NA,NA,NA,NA,1,5,COP_STA,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,659668e0-2dd7-11f0-adef-cf407bb5d368,81.34053,79.94948,NA,8.25304,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:45:58,2025-05-10T19:45:58Z,2025-05-10T19:45:58Z,Popup,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.88814,-123.67151,13.26103,5.39775,-3.02161,-10.46026,-3.62084,12.36515,-7.74251,NA,1.36484,45.935,-12.34659,1.17232,1.56081,-0.96811,0.24871,-0.02972,0.00134,1.23431,78.02908,-21.83128,0.65453,1.08069,-0.7489,0.23717,-0.03641,0.00217,0.00304,51.08243,-2.87697,-0.80639,1.03551,-0.53929,0.15283,-0.02217,0.00128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-05-10,15:46:20,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.94539,0.050674,-5.471012,2078.612372,240.552531,02:00:00,5.3924,3.74751,4.55101,-31.26584,9.86556,15.04517,2.83537,-0.22231,77.27902,-5.625273,-2.854475,0.461592,-8.91965,5.17217,-3.19244,50,5.36876,11.04676,-122.60979,-1.10929,-13.55585,24.61227,-24.31352,52b33f3f-351c-4cc1-9452-4c8090c2a97e,NA,NA,NA,NA,144.483238,1000311274,"Grutzmacher, Gavin",5131.116841,NA,63.73678,Right,52.870206,NA,NA,NA,NA,23.49045,NA,NA,1.25844,2.6631,0.58216,NA,NA,NA,NA,NA,1,6,COP_STA,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,7268ba50-2dd7-11f0-adef-cf407bb5d368,81.6575,29.07722,NA,7.66637,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:46:20,2025-05-10T19:46:20Z,2025-05-10T19:46:20Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.94733,-123.79788,12.30614,5.39398,0.06438,-12.15676,-3.74149,11.70113,-6.77793,NA,1.26564,-46.15758,-0.80912,NA,NA,NA,NA,NA,NA,2.67862,74.04187,-28.77291,NA,NA,NA,NA,NA,NA,0.58022,32.84332,-1.43623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-05-10,15:46:38,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,ChangeUp,NA,NA,77.4489,0.143583,-5.576657,2204.502168,258.803794,02:45:00,5.2527,3.87762,5.21206,-43.09837,4.5965,16.14123,1.79683,-0.03781,71.60122,-7.671059,-2.733009,0.497058,-9.51859,2.63748,-3.37369,50,5.23324,10.31745,-112.0593,-1.16851,-12.2274,18.30682,-28.78597,5ce4cf1c-5a98-4bf1-b259-4373733e4c8f,NA,NA,NA,NA,NA,1000311274,"Grutzmacher, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,COP_STA,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,7da1a710-2dd7-11f0-adef-cf407bb5d368,75.83105,NA,NA,5.84767,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:46:38,2025-05-10T19:46:38Z,2025-05-10T19:46:38Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.28895,-112.92004,9.15341,5.25636,0.18492,-14.39298,-3.8723,10.89235,-6.1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-10,15:46:58,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.95407,0.001201,-4.864101,2049.145078,226.094717,01:30:00,5.3541,3.7275,4.58864,-28.98147,10.99768,10.38256,2.94012,-0.04524,79.26312,-5.217654,-3.055216,0.455081,-6.13248,5.68099,-3.2343,50,5.32733,10.00928,-123.10982,-1.13222,-9.64471,18.75998,-23.23941,7a51cc24-f2d8-41d7-9888-72088aa47917,NA,NA,NA,NA,154.986598,1000311274,"Grutzmacher, Gavin",4248.584057,NA,67.12229,Right,34.860344,NA,NA,NA,NA,35.51207,NA,NA,0.94882,2.6706,0.26958,NA,NA,NA,NA,NA,1,8,COP_STA,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,89717ca0-2dd7-11f0-adef-cf407bb5d368,82.82584,23.43645,NA,5.69095,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:46:58,2025-05-10T19:46:58Z,2025-05-10T19:46:58Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.91236,-124.0075,9.37999,5.3549,-0.0202,-11.61971,-3.72429,10.47078,-4.82236,NA,0.95005,-73.24011,3.62791,NA,NA,NA,NA,NA,NA,2.68293,55.91287,-24.11653,NA,NA,NA,NA,NA,NA,0.27453,34.0128,-5.31812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-05-10,15:47:17,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,ChangeUp,NA,NA,77.8491,0.941881,-5.841868,2181.520911,251.099307,02:15:00,5.30823,3.71045,5.04534,-40.25238,7.47,17.54619,2.84701,-0.35685,71.49166,-6.372082,-2.765065,0.497201,-10.09859,3.94851,-3.16606,50,5.36663,10.77409,-112.46067,0.46524,-13.03607,18.87379,-27.077,01257578-5f19-478c-8d3b-15a63809aaba,NA,NA,NA,NA,170.749661,1000311274,"Grutzmacher, Gavin",2621.98591,NA,67.43395,Right,5.774899,NA,NA,NA,62.81581,31.86627,0.695393,173.554197,2.25548,2.80089,0.14773,NA,NA,NA,NA,NA,1,9,COP_STA,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,94668290-2dd7-11f0-adef-cf407bb5d368,75.8092,3.99602,NA,6.35744,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:47:17,2025-05-10T19:47:17Z,2025-05-10T19:47:17Z,GroundBall,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.45231,-113.37201,9.4369,5.3126,1.77269,-13.5385,-3.7015,11.40355,-6.51803,NA,2.26188,-97.24404,6.0715,NA,NA,NA,NA,NA,NA,2.82049,9.57452,-19.63984,NA,NA,NA,NA,NA,NA,0.16404,15.50189,-8.08013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
10,2025-05-10,15:47:40,"DeCastro, Justin",1000214319,Right,LON_ISL22,Undefined,Fastball,NA,NA,84.87928,0.429522,-5.364434,2024.045642,228.316323,01:30:00,5.3942,3.71298,4.56235,-29.41561,11.51056,11.4915,3.35347,-0.44956,77.64098,-4.911579,-3.366314,0.460439,-7.06465,5.86237,-3.16649,50,5.41186,10.98623,-122.61312,-0.21221,-10.80434,23.1993,-23.20843,3d54eedd-30e4-4aec-a468-4e7077d436c1,NA,NA,NA,NA,NA,1000311274,"Grutzmacher, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,COP_STA,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_ISL22,COP_STA,LIUField,D1,NEC,20250510-LIUField-2,a238b7d0-2dd7-11f0-adef-cf407bb5d368,81.86201,NA,NA,7.23831,NA,NA,NA,29674b87-74c6-4245-8f0e-49c90d4393a3,2025-05-10,19:47:40,2025-05-10T19:47:40Z,2025-05-10T19:47:40Z,NA,v3,longisland,471276,10 May 2025 14:00-coppinst@longisland,"Power, Jack",1000121050,Right,LON_ISL22,55.93641,-123.73123,11.59965,5.39513,0.90635,-11.60422,-3.70853,11.50695,-5.40217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
