PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:05:22,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Fastball,NA,NA,94.17697,-2.245935,-2.312358,2481.663783,201.440078,12:45:00,6.09359,1.30593,6.42903,-11.62516,19.50867,7.24201,3.05771,-0.21715,85.39497,-4.530991,-1.000936,0.401594,-4.48055,11.18351,-1.14422,50,5.92787,5.21588,-136.65123,-5.62625,-8.40144,32.46725,-11.20397,8b0ed04d-4f5e-4c91-849a-de8d34dc8ab6,NA,NA,NA,NA,-9.90566,813970,"Bobo, John-Howard",1856.287064,NA,91.76375,Right,24.79741,108.39346,46.56715,-18.72741,342.80901,337.61635,4.392723,-8.660224,1.12115,3.04309,0.21098,NA,NA,NA,NA,NA,1,1,PAC_TIG,1,Top,0,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,ef889370-31f1-11f0-a7c6-ad9e8feccdad,93.85698,60.49948,NA,8.782,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:05:22,2025-05-16T01:05:22Z,2025-05-16T01:05:22Z,LineDrive,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.07174,-137.61524,16.23363,6.08998,-5.29358,-5.60199,-1.3028,5.46534,-4.20072,176.075032,1.12157,120.34526,-21.10416,4.88265,-0.90443,0.13434,-0.02025,0.00301,-2.2e-4,3.04402,56.42344,-14.20732,-0.12947,0.33789,-0.17342,0.0549,-0.00878,5.4e-4,0.21076,-21.01485,2.89737,-0.10012,-0.03454,-0.00464,0.00547,-0.0012,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-05-15,18:05:52,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Fastball,NA,NA,94.88848,-2.477254,-2.388934,2592.076534,200.14166,12:45:00,6.12043,1.29695,6.41911,-13.65233,16.74816,5.79461,2.70191,-0.41766,86.92402,-5.102767,-1.33976,0.396837,-3.69075,9.72989,-1.12884,50,5.93688,5.50996,-137.78622,-6.33395,-7.10738,30.12471,-13.43705,c1230449-0b19-465a-96ee-90a5641b803f,NA,NA,NA,NA,137.289148,1000393096,"Scott, DJ",4648.381425,NA,75.3602,Right,43.115758,NA,NA,NA,NA,60.4383,NA,NA,0.98996,2.57126,0.32766,NA,NA,NA,NA,NA,2,1,PAC_TIG,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,01905c10-31f2-11f0-a7c6-ad9e8feccdad,94.98228,46.34227,NA,7.96447,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:05:52,2025-05-16T01:05:52Z,2025-05-16T01:05:52Z,NA,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.08333,-138.6761,15.06236,6.11812,-5.93702,-6.71853,-1.2947,5.71991,-3.55369,NA,0.98996,-59.28452,0.68713,0.51248,-0.26842,0.08956,-0.01849,-0.00213,0.00208,2.57126,75.54315,-30.22703,3.86782,-0.56518,0.05835,-0.04088,0.04592,-0.01754,0.32766,54.72697,-16.07475,6.24043,-1.81152,0.49698,-0.16288,0.06895,-0.01924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-05-15,18:06:09,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Fastball,NA,NA,95.5085,-1.430289,-3.427114,2621.559683,202.87326,12:45:00,6.07261,1.48982,6.29905,-13.30308,16.95769,6.74398,3.64347,-1.10979,87.09145,-3.997966,-2.21096,0.395924,-4.44047,9.48398,-1.24061,50,5.96054,8.00168,-138.54553,-3.81882,-8.62386,31.18772,-13.75522,d5e2b489-bc91-4a6a-a4ef-d1c267babc91,NA,NA,NA,NA,NA,1000393096,"Scott, DJ",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PAC_TIG,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,0b3eff50-31f2-11f0-a7c6-ad9e8feccdad,95.20127,NA,NA,8.41705,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:06:09,2025-05-16T01:06:09Z,2025-05-16T01:06:09Z,NA,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.20115,-139.48804,15.59386,6.06967,-3.40313,-6.87761,-1.48636,8.2623,-4.31193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-15,18:06:23,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Fastball,NA,NA,95.29528,-3.509423,-2.549178,2574.061262,197.387443,12:30:00,5.93803,1.4864,6.43577,-12.11725,18.21934,5.39044,1.69572,-0.40874,86.89776,-5.861532,-1.573149,0.396419,-3.53717,10.81705,-1.30724,50,5.68209,5.92199,-138.14708,-8.7744,-6.81436,31.66913,-11.33496,b7bd2139-9560-49d0-9306-f1698516664d,NA,NA,NA,NA,NA,1000393096,"Scott, DJ",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PAC_TIG,1,Top,1,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,13d5a2e0-31f2-11f0-a7c6-ad9e8feccdad,95.08226,NA,NA,8.39752,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:06:23,2025-05-16T01:06:23Z,2025-05-16T01:06:23Z,NA,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.06487,-139.0758,15.83457,5.93453,-8.44199,-5.66748,-1.48384,6.12183,-3.40718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-15,18:06:39,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Fastball,NA,NA,95.54841,-1.690565,-2.505865,2637.245956,198.62559,12:30:00,6.04889,1.30928,6.18416,-14.39418,15.86505,5.02768,3.2863,-0.58722,87.39417,-4.442984,-1.599847,0.395913,-3.29874,8.97485,-1.1225,50,5.9137,5.85487,-138.73346,-4.52025,-6.43564,30.74334,-14.66459,4da53ec0-313d-4e72-9c96-ba24dab5eb33,NA,NA,NA,NA,152.632167,1000393096,"Scott, DJ",4069.485532,NA,74.99506,Right,39.115052,NA,NA,NA,NA,39.76751,NA,NA,0.72729,3.23413,0.54944,NA,NA,NA,NA,NA,2,4,PAC_TIG,1,Top,1,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,1d89c460-31f2-11f0-a7c6-ad9e8feccdad,95.20375,30.22398,NA,8.15424,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:06:39,2025-05-16T01:06:39Z,2025-05-16T01:06:39Z,NA,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.31784,-139.68702,15.37167,6.04685,-4.0654,-7.3323,-1.30719,6.05448,-3.21782,312.817561,0.73886,-76.11282,2.20207,NA,NA,NA,NA,NA,NA,3.25746,68.75617,-28.66655,NA,NA,NA,NA,NA,NA,0.57282,38.59176,-13.64007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-05-15,18:06:58,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Slider,NA,NA,84.82838,-0.526286,-1.973819,2500.688185,132.191539,10:30:00,5.79586,1.50607,5.77836,-29.49309,9.24315,-8.96126,2.84808,-1.0781,78.31881,-5.973146,-3.577062,0.447951,4.08823,5.19264,-1.33743,50,5.73446,4.60382,-123.26214,-2.10303,6.33113,22.99304,-24.13262,28d881ee-8774-495e-b8e0-797bcac5e86c,NA,NA,NA,NA,25.089845,1000393096,"Scott, DJ",4180.560434,NA,80.98804,Right,28.678848,95.5043,50.09535,54.57945,293.76646,255.76404,4.082135,35.975491,0.95,2.78695,1.05948,NA,NA,NA,NA,NA,2,5,PAC_TIG,1,Top,1,1,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,288e5ab0-31f2-11f0-a7c6-ad9e8feccdad,84.14417,57.35038,NA,6.50956,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:06:58,2025-05-16T01:06:58Z,2025-05-16T01:06:58Z,LineDrive,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.72474,-124.14036,11.49652,5.79718,-1.18129,-12.06631,-1.50865,4.36201,3.16556,214.1756,0.94991,94.38308,-19.03529,4.71388,-1.05186,0.25865,-0.06103,0.00927,-5.9e-4,2.78744,56.98637,-15.52297,0.13406,0.31838,-0.20456,0.06547,-0.01019,6.1e-4,1.05934,44.19278,-0.81745,0.11395,-0.03279,0.01629,-0.00527,8.6e-4,-5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-05-15,18:07:28,"Scolari, Callan",10274556,Right,SAN_TOR,Undefined,Fastball,NA,NA,95.6359,-1.317679,-2.022733,2611.927542,216.157643,01:15:00,6.16724,1.24146,6.32855,-19.63725,10.39997,6.91138,3.31636,-0.04613,87.47566,-5.02361,-0.772519,0.394458,-4.1724,6.06989,-1.09698,50,6.0616,4.61578,-138.95537,-3.82901,-8.1549,31.24421,-20.31057,fa29a00e-e800-47a6-9bc0-308d9edbf81c,NA,NA,NA,NA,-7.515974,821974,"Waldon, J.T.",NA,NA,79.26685,Left,-23.6688,NA,NA,NA,7.79204,7.57985,0.067846,-6.473354,0.55507,3.17764,0.06978,NA,NA,NA,NA,NA,3,1,PAC_TIG,1,Top,2,0,0,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,3a6946f0-31f2-11f0-a7c6-ad9e8feccdad,95.55492,3.17764,NA,8.16025,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:07:28,2025-05-16T01:07:28Z,2025-05-16T01:07:28Z,GroundBall,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Lobliner, Jayden",813488,Right,SAN_TOR,54.17366,-139.89067,15.6221,6.16712,-3.22101,-10.15528,-1.23881,4.8599,-4.07745,180,0.551,105.93556,NA,NA,NA,NA,NA,NA,NA,3.17944,-46.83607,NA,NA,NA,NA,NA,NA,NA,0.07032,-13.97673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-05-15,18:10:14,"Souza, Josh",1000198934,Left,PAC_TIG,Undefined,Fastball,NA,NA,84.59344,-1.7076,2.872377,1899.860521,119.925153,10:00:00,6.26791,-2.19711,4.98979,-30.34147,10.42686,-15.67552,2.1245,-0.7888,76.97857,-7.262702,0.106475,0.45955,8.65914,6.07181,1.93376,50,6.07884,-5.45231,-122.46768,-4.76408,13.05659,25.80599,-23.01873,db13b2b0-ce87-4de2-9665-18bd6fcb0822,NA,NA,NA,NA,NA,813668,"Gurevitch, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAN_TOR,1,Bottom,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,9d35a2b0-31f2-11f0-a7c6-ad9e8feccdad,82.02032,NA,NA,7.61487,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:10:14,2025-05-16T01:10:14Z,2025-05-16T01:10:14Z,NA,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Bicknell, Drake",824208,Right,PAC_TIG,55.51187,-123.62366,12.903,6.26915,-3.73296,-11.50936,2.1911,-6.03719,6.5283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-15,18:10:30,"Souza, Josh",1000198934,Left,PAC_TIG,Undefined,Fastball,NA,NA,82.25192,-2.08266,3.481823,1731.371732,132.275885,10:30:00,6.18505,-2.28959,5.08566,-32.30435,10.58599,-10.06709,1.52539,0.15752,75.22039,-7.98163,1.704197,0.471358,6.04937,6.26945,1.96803,50,5.96226,-6.8197,-119.03953,-5.47336,8.64847,23.63181,-23.2109,07140b1e-cc73-47c7-8d6a-ef5ed07587fd,NA,NA,NA,NA,92.500776,813668,"Gurevitch, Jack",NA,NA,83.36057,Left,-46.748814,NA,NA,NA,3.01115,2.76518,0.019907,30.17151,2.67611,1.77596,-0.15576,NA,NA,NA,NA,NA,1,2,SAN_TOR,1,Bottom,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,a74b6c30-31f2-11f0-a7c6-ad9e8feccdad,79.9656,1.77596,NA,7.03153,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:10:30,2025-05-16T01:10:30Z,2025-05-16T01:10:30Z,GroundBall,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Bicknell, Drake",824208,Right,PAC_TIG,55.41632,-120.10997,11.8159,6.18637,-4.42199,-11.60545,2.28582,-7.21145,4.32424,NA,2.67613,-3.662,NA,NA,NA,NA,NA,NA,NA,1.77648,-89.21384,NA,NA,NA,NA,NA,NA,NA,-0.15625,83.84755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-05-15,18:10:49,"Souza, Josh",1000198934,Left,PAC_TIG,Undefined,Slider,NA,NA,70.00566,-0.378401,4.14054,1934.650495,332.025336,05:00:00,6.1671,-2.36736,4.73926,-62.90153,-2.83378,2.53602,0.56539,1.77876,64.73799,-11.591453,4.585519,0.557818,-0.04008,-0.80689,1.94722,50,6.07273,-7.42512,-101.27809,-2.73791,-0.0414,17.37345,-33.0076,dfcf51f3-1a04-443b-a6dd-f02b68b3616e,NA,NA,NA,NA,NA,813668,"Gurevitch, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SAN_TOR,1,Bottom,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_TOR,PAC_TIG,UofSanDiego,D1,WCC,20250515-UofSanDiego-1,b2450600-31f2-11f0-a7c6-ad9e8feccdad,67.57126,NA,NA,5.26766,NA,NA,NA,c78b858c-5ca6-44e3-9339-65b4c55d7a49,2025-05-16,01:10:49,2025-05-16T01:10:49Z,2025-05-16T01:10:49Z,NA,v3,5320,471406,15 May 2025 21:00-pacific@sandiego,"Bicknell, Drake",824208,Right,PAC_TIG,55.76466,-102.26219,8.68673,6.17486,-0.86823,-16.5038,2.36774,-7.42278,-0.0207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
