PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,13:05:19,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Fastball,NA,NA,83.52506,-2.071498,2.739288,2251.814097,134.336279,10:30:00,5.88493,-0.84696,6.34089,-24.9123,15.14107,-13.98107,1.89874,0.51184,75.3946,-6.80599,0.210009,0.455503,8.11016,8.98024,0.65351,50,5.72234,-5.252,-121.03815,-5.05809,11.83538,27.21396,-19.06891,057e0652-9a95-41b4-bf79-d5c1058fc5a9,NA,NA,NA,NA,NA,10092522,"Johnson, Rhett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAL_JAG,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,7f218de0-3349-11f0-b47f-cf02601444cf,82.74908,NA,NA,8.13045,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:05:19,2025-05-17T18:05:19Z,2025-05-17T18:05:19Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.15562,-121.96891,13.60698,5.88418,-4.40591,-9.53446,0.84006,-5.65679,5.91769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-17,13:05:31,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Slider,NA,NA,78.78386,-1.449243,2.696419,2017.70432,51.854153,07:45:00,5.53241,-1.33373,6.19317,-46.25585,-0.01075,-2.51394,0.33799,0.94806,70.21715,-10.052886,2.241961,0.489445,2.37059,1.12473,1.13175,50,5.4006,-5.27492,-113.96989,-4.27312,2.99393,28.69998,-30.7536,758bac07-b862-4469-8409-6d7d479364a2,NA,NA,NA,NA,NA,10092522,"Johnson, Rhett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SAL_JAG,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,85fe2560-3349-11f0-b47f-cf02601444cf,77.01049,NA,NA,8.56672,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:05:31,2025-05-17T18:05:31Z,2025-05-17T18:05:31Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.3025,-115.04824,14.34999,5.53945,-3.1176,-15.3768,1.33206,-5.38741,1.49697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-17,13:05:41,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Fastball,NA,NA,85.21447,-3.334057,2.524572,2375.901516,135.786073,10:30:00,5.78416,-0.97772,6.62713,-22.05017,16.35643,-14.43761,0.88734,0.13231,76.43416,-7.569717,-0.102651,0.44604,8.43453,10.19949,0.81165,50,5.54874,-4.89343,-123.36546,-7.74166,12.67784,30.18154,-16.84334,4976c51e-5a70-4462-b998-6cf13f02b71a,NA,NA,NA,NA,NA,10092522,"Johnson, Rhett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SAL_JAG,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,8c6824f0-3349-11f0-b47f-cf02601444cf,84.50452,NA,NA,8.78031,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:05:41,2025-05-17T18:05:41Z,2025-05-17T18:05:41Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,53.86902,-124.30841,15.09077,5.78239,-7.21542,-8.42167,0.97073,-5.2895200000000004,6.33892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-17,13:05:53,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Fastball,NA,NA,85.305,-2.574274,1.71805,2392.182134,134.727033,10:30:00,5.95142,-0.90566,6.35552,-21.90529,16.49836,-15.21017,1.75394,-0.59139,76.92379,-6.757339,-1.036854,0.446024,8.54579,9.87634,0.78811,50,5.75445,-3.13571,-123.69031,-6.14854,12.98853,29.02881,-17.16322,a1647125-9aa2-4bc9-8273-664b4c50ce84,NA,NA,NA,NA,58.771208,10092522,"Johnson, Rhett",NA,NA,87.30378,Right,-15.085179,NA,NA,NA,10.12515,10.12515,0.060532,42.970007,3.52182,2.02076,0.49076,NA,NA,NA,NA,NA,1,4,SAL_JAG,1,Top,0,2,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,937c2020-3349-11f0-b47f-cf02601444cf,84.50774,2.02076,NA,8.38121,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:05:53,2025-05-17T18:05:53Z,2025-05-17T18:05:53Z,GroundBall,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.14349,-124.65895,14.5144,5.95006,-5.57584,-8.58161,0.89997,-3.56911,6.49427,180,3.52072,64.21119,NA,NA,NA,NA,NA,NA,NA,2.02133,-33.38309,NA,NA,NA,NA,NA,NA,NA,0.48895,105.90513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
5,2025-05-17,13:06:18,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,ChangeUp,NA,NA,77.48092,-0.200803,2.270275,2514.460561,112.570253,09:45:00,5.83875,-0.82251,6.32913,-36.669670000000004,10.10808,-19.99666,2.59788,-0.39718,69.59644,-7.118708,-1.349682,0.492256,11.20993,5.83351,0.66594,50,5.807,-3.75206,-112.36427,-1.38728,13.98382,24.96685,-24.89706,ffc8eaf1-8243-4c05-b9e0-b7180f9660b5,NA,NA,NA,NA,3.916726,10092522,"Johnson, Rhett",1304.013075,NA,92.2726,Right,5.468612,NA,NA,NA,93.14221,93.14221,0.748077,2.175153,2.31513,2.67178,0.36541,NA,NA,NA,NA,NA,1,5,SAL_JAG,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,a248e200-3349-11f0-b47f-cf02601444cf,76.57081,4.44158,NA,7.88448,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:06:18,2025-05-17T18:06:18Z,2025-05-17T18:06:18Z,GroundBall,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.16915,-113.28685,12.48343,5.84127,-0.46728,-12.44853,0.81414,-4.26879,6.99191,45.720393,2.35832,133.61816,-16.58205,NA,NA,NA,NA,NA,NA,2.72704,11.89062,-20.85829,NA,NA,NA,NA,NA,NA,0.39685,8.62654,-5.97445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-05-17,13:06:49,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,ChangeUp,NA,NA,77.46484,-2.231309,1.47424,2511.108473,115.893332,09:45:00,5.82339,-0.73636,6.46416,-36.23404,10.43607,-17.74403,0.75269,-0.86061,69.78835,-9.048819,-1.751531,0.491689,9.8065,6.77595,0.63957,50,5.65005,-2.27839,-112.30651,-5.33383,12.19634,25.30589,-23.74678,2f8c2767-146b-458c-9fc0-9cf1eb3d162b,NA,NA,NA,NA,NA,10053145,"Mathews, Duncan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAL_JAG,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,b5075070-3349-11f0-b47f-cf02601444cf,76.65905,NA,NA,7.67649,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:06:49,2025-05-17T18:06:49Z,2025-05-17T18:06:49Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.0334,-113.2117,12.65294,5.82565,-4.4844,-11.87339,0.72887,-2.71466,6.09817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-17,13:07:06,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Fastball,NA,NA,85.71615,-2.566071,1.344934,2311.52024,135.137634,10:30:00,5.86766,-0.65931,6.66163,-24.35127,12.98568,-11.62268,1.48805,-0.39694,77.87909,-7.191099,-0.773559,0.439785,6.50178,8.035,0.57291,50,5.6854,-2.48534,-124.41092,-6.22643,10.07334,27.6353,-19.72526,f5ea45d8-260f-4eed-9544-811b9748e8e6,NA,NA,NA,NA,NA,10053145,"Mathews, Duncan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SAL_JAG,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,bec97bb0-3349-11f0-b47f-cf02601444cf,85.70642,NA,NA,7.83705,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:07:06,2025-05-17T18:07:06Z,2025-05-17T18:07:06Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,53.83584,-125.26008,13.81765,5.86741,-5.62033,-9.86263,0.65403,-2.79487,5.03667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-17,13:07:24,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Fastball,NA,NA,85.76651,-2.320214,1.490635,2382.451303,149.524097,11:00:00,5.87392,-0.59436,6.4879,-19.18505,18.28418,-9.99489,2.1431,-0.05841,77.88271,-6.004909,-0.323689,0.440564,5.69237,10.67201,0.49384,50,5.70236,-2.86405,-124.49399,-5.5254,8.84614,27.28078,-15.58945,dfb6f8c3-d9e5-4b53-88b4-4a9d22dc32bd,NA,NA,NA,NA,26.475195,10053145,"Mathews, Duncan",3312.510471,NA,92.31164,Right,11.640792,94.67778,14.65169,56.00051,201.62088,201.14355,1.982898,34.114905,0.47548,2.0139,0.02876,NA,NA,NA,NA,NA,2,3,SAL_JAG,1,Top,0,1,1,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,c9a5c980-3349-11f0-b47f-cf02601444cf,85.555,14.64841,NA,7.8838,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:07:24,2025-05-17T18:07:24Z,2025-05-17T18:07:24Z,LineDrive,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.0107,-125.36978,13.64039,5.87171,-5.02493,-7.79472,0.59034,-3.14804,4.42307,242.575963,0.4755,118.69567,-25.63845,5.66441,-0.7995,-0.16523,0.15456,-0.04537,0.00515,2.01389,27.32096,-15.16997,0.56354,-0.33689,0.34901,-0.18197,0.04931,-0.00548,0.02874,59.11996,0.40083,-1.17556,0.0376,0.31389,-0.19766,0.05579,-0.00629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-05-17,13:08:05,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Slider,NA,NA,78.64993,-2.554777,3.740073,1930.708897,279.332248,03:15:00,5.6148,-0.96656,6.45703,-44.37081,0.64571,5.58729,-0.43625,2.9397,71.97968,-10.740597,4.753057,0.4829,-1.73669,1.55949,0.69931,50,5.41399,-7.63374,-113.93565,-6.34204,-2.24513,24.16271,-30.158,e7d51deb-770f-436c-b0ae-3e586664191b,NA,NA,NA,NA,NA,1000138305,"Morrison, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SAL_JAG,1,Top,0,0,0,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,1,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,e254c1c0-3349-11f0-b47f-cf02601444cf,78.05429,NA,NA,6.67025,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:08:05,2025-05-17T18:08:05Z,2025-05-17T18:08:05Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.04379,-114.79003,12.08136,5.61939,-5.27568,-15.079,0.96783,-7.55435,-1.12257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-17,13:08:43,"Eager, Brennan",10126289,Left,ULM_WAR,Undefined,Fastball,NA,NA,85.79021,-0.920615,1.603144,2310.949557,143.604129,10:45:00,5.92595,-0.67405,6.52885,-21.20285,16.12836,-10.9493,3.31408,-0.11541,77.84169,-4.983501,-0.3856,0.439751,6.25689,9.12489,0.56716,50,5.85272,-3.08308,-124.6321,-2.55421,9.74417,27.35935,-17.96342,0318f0a6-cf8c-4148-9357-9433149aefd1,NA,NA,NA,NA,-0.182722,1000138305,"Morrison, Kyle",4738.330775,NA,98.96171,Right,54.666851,NA,NA,NA,NA,70.9078,NA,NA,3.64988,1.91252,-0.30219,NA,NA,NA,NA,NA,3,2,SAL_JAG,1,Top,0,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250517-WarHawkField-1,f88ffae0-3349-11f0-b47f-cf02601444cf,85.71304,70.44788,NA,7.94852,NA,NA,NA,326879a3-2599-48cc-a298-ee6938dc322e,2025-05-17,18:08:43,2025-05-17T18:08:43Z,2025-05-17T18:08:43Z,NA,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,53.9705,-125.50068,13.67968,5.92475,-1.98392,-8.98171,0.66995,-3.39242,4.87208,17.344908,3.64988,83.94043,-1.42102,-4.41399,2.19241,-0.85206,0.28322,-0.07589,0.01145,1.91252,118.4086,-50.96499,11.23545,-2.83905,0.67068,-0.1501,0.02881,-0.00325,-0.30219,-0.2677,-10.26209,4.79411,-1.65815,0.5273,-0.15564,0.03843,-0.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
