PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-22,12:52:31,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,Sinker,NA,NA,90.4135,-1.566264,3.940203,2398.501056,124.872306,10:15:00,5.28206,-3.68676,5.21592,-21.02548,14.80761,-19.28548,2.05337,-1.58318,81.06473,-5.512171,0.530583,0.430837,10.81666,8.27256,3.33719,50,5.12193,-8.06699,-130.61663,-4.31272,18.35867,32.01541,-18.13337,d74e2f21-ac42-4178-82ae-eb83da8f01b5,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CIN_BEA,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,897cd7a0-3735-11f0-b009-2b8e0515e362,87.48646,NA,NA,9.34876,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:52:31,2025-05-22T17:52:31Z,2025-05-22T17:52:31Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,55.27849,-131.9041,16.00771,5.2807,-3.58351,-9.06669,3.67644,-8.80526,9.17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-22,12:52:49,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,ChangeUp,NA,NA,83.70189,0.365258,5.599599,2406.88717,118.650001,10:00:00,4.87575,-3.78933,5.72111,-30.45258,10.58292,-16.59902,2.6799,0.05984,75.25118,-5.31939,2.650329,0.461053,10.141540000000001,5.70634,3.33028,50,4.88797,-11.14718,-120.82087,-0.2066,14.7767,26.67844,-23.85963,275f3a9c-fde0-46d2-94be-2fa3a908ff76,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CIN_BEA,1,Top,0,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,9403b270-3735-11f0-b009-2b8e0515e362,81.75285,NA,NA,8.45071,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:52:49,2025-05-22T17:52:49Z,2025-05-22T17:52:49Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,54.77381,-121.87042,13.33922,4.87763,0.73205,-11.92981,3.78025,-11.7285,7.38835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-22,12:53:09,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,Sinker,NA,NA,90.9951,-1.947664,5.156294,2393.119417,131.634665,10:30:00,5.26927,-3.59973,5.14883,-18.84741,16.65509,-17.22832,1.85688,-0.16794,81.71247,-5.496137,2.123499,0.428846,10.24044,9.2926,3.13032,50,5.07261,-11.02512,-131.2546,-5.12949,17.59186,31.735,-16.21047,257c9fa0-60fd-417c-b178-c9a3716edc3d,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CIN_BEA,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,9fbd8f00-3735-11f0-b009-2b8e0515e362,87.89281,NA,NA,9.28263,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:53:09,2025-05-22T17:53:09Z,2025-05-22T17:53:09Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,55.34751,-132.54122,15.8675,5.26726,-4.47228,-8.10523,3.59177,-11.738340000000001,8.79593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-22,12:53:32,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,Sinker,NA,NA,92.25003,0.486438,2.89132,2338.359099,134.304758,10:30:00,5.37723,-3.41787,5.11075,-18.28816,16.15434,-15.24107,4.31209,-1.96172,82.60672,-2.969761,0.199844,0.422395,8.40138,8.19229,3.15743,50,5.40953,-5.97179,-133.41287,0.50309,14.89519,33.06832,-17.64955,60ff4bf7-c043-49cc-bafe-f6923a9ae1c6,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CIN_BEA,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,ad7696f0-3735-11f0-b009-2b8e0515e362,89.23505,NA,NA,9.6433,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:53:32,2025-05-22T17:53:32Z,2025-05-22T17:53:32Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,55.3821,-134.74029,16.53416,5.37512,1.21158,-8.82477,3.40915,-6.56972,7.44759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-22,12:53:52,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,Sinker,NA,NA,90.79393,0.056106,3.920393,2326.875133,127.748542,10:15:00,5.1891,-3.61654,5.31446,-21.07296,14.16934,-16.63863,3.48581,-1.31786,81.57289,-3.901907,0.975138,0.427271,9.49579,7.42804,3.27301,50,5.17946,-8.20276,-131.28898,-0.60327,16.34639,31.35758,-19.38716,8bdcba4e-fe8c-4bc3-9015-75060fa97850,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CIN_BEA,1,Top,0,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,b9349230-3735-11f0-b009-2b8e0515e362,88.21667,NA,NA,9.22104,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:53:52,2025-05-22T17:53:52Z,2025-05-22T17:53:52Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,55.18028,-132.52048,15.67879,5.1882,0.15812,-9.69358,3.60776,-8.84473,8.1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-22,12:54:10,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,ChangeUp,NA,NA,84.88073,0.531105,3.775681,2388.367589,110.355502,09:45:00,4.80202,-3.73362,5.55237,-31.95876,8.16091,-17.92194,2.63615,-1.69401,76.10761,-5.415399,0.586999,0.45588,10.20701,4.39906,3.4185,50,4.82742,-7.31738,-122.75707,0.04687,15.28653,28.50044,-25.58581,55e25061-c497-48dc-94c2-8e8edba1ce7b,NA,NA,NA,NA,NA,701136,"Cross, Kerrington",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,CIN_BEA,1,Top,0,3,2,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,c44bed30-3735-11f0-b009-2b8e0515e362,82.6807,NA,NA,8.77312,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:54:10,2025-05-22T17:54:10Z,2025-05-22T17:54:10Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,54.94222,-123.89919,14.25022,4.805,1.07219,-12.79291,3.72401,-7.92996,7.64326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-22,12:55:07,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,ChangeUp,NA,NA,83.1289,0.134172,4.124547,2375.133694,124.835003,10:15:00,4.89609,-3.76904,5.53568,-29.18864,12.63481,-15.90887,2.58944,-1.23294,74.64476,-5.322668,1.297484,0.465459,9.4063,6.77146,3.42165,50,4.88877,-8.0081,-120.20854,-0.65885,13.52177,27.11923,-22.43988,794e4903-ccf3-4700-a0e7-b2824724480c,NA,NA,NA,NA,132.434676,1000091481,"Natili, Jackson",3977.497427,NA,74.4763,Right,63.746658,-79.22734,92.2576,76.30834,183.49645,61.10678,4.458692,137.371211,1.67608,2.53835,1.26206,NA,NA,NA,NA,NA,2,1,CIN_BEA,1,Top,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,e5ecc860-3735-11f0-b009-2b8e0515e362,80.97906,93.66123,NA,8.48414,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:55:07,2025-05-22T17:55:07Z,2025-05-22T17:55:07Z,Popup,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,54.96061,-121.3225,13.55962,4.8969,0.26289,-11.21994,3.762,-8.56352,6.76089,349.908033,1.67423,-32.56237,-4.63646,3.09073,-1.04929,0.24667,-0.0306,0.00108,6e-5,2.54061,97.90303,-32.76665,4.24504,-0.31853,-0.19714,0.08018,-0.01218,6.8e-4,1.26412,35.61359,-0.31543,-1.31884,0.67143,-0.21338,0.03691,-0.00295,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-05-22,12:55:32,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,Sinker,NA,NA,90.34101,-1.058453,2.865928,2317.480311,125.778876,10:15:00,5.26976,-3.43624,5.12549,-21.80395,14.10347,-17.69749,2.4545,-2.20951,81.07995,-5.136391,-0.26232,0.431284,9.62453,7.72709,3.18087,50,5.154,-5.67575,-130.65503,-3.19717,16.35688,31.84973,-19.04187,0c325ab8-b5a5-4da1-9999-3432d368f454,NA,NA,NA,NA,NA,1000091481,"Natili, Jackson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CIN_BEA,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,f546fd30-3735-11f0-b009-2b8e0515e362,87.3958,NA,NA,9.26106,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:55:32,2025-05-22T17:55:32Z,2025-05-22T17:55:32Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,55.3682,-131.95715,15.92487,5.26879,-2.41868,-9.52094,3.42658,-6.34447,8.17844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-22,12:55:54,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,ChangeUp,NA,NA,83.49676,-0.669186,5.831617,2381.173306,101.887341,09:30:00,4.86773,-3.71498,5.70881,-35.25053,5.76689,-20.5482,1.30346,0.02463,75.73542,-7.17813,2.178455,0.460952,12.25056,3.53512,3.23825,50,4.78955,-11.49027,-120.61526,-2.58986,17.89014,25.36117,-27.01152,8928acba-be7a-45c1-be2c-52fcba679b39,NA,NA,NA,NA,-46.488385,1000091481,"Natili, Jackson",NA,NA,89.31397,Right,-8.597796,NA,NA,NA,10.15129,10.15129,0.064086,-34.972256,2.59793,1.2562,0.20702,NA,NA,NA,NA,NA,2,3,CIN_BEA,1,Top,0,1,1,Changeup,InPlay,Undefined,GroundBall,Double,0,1,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,02a4c5c0-3736-11f0-b009-2b8e0515e362,81.77088,1.2562,NA,7.76134,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:55:54,2025-05-22T17:55:54Z,2025-05-22T17:55:54Z,GroundBall,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,54.79036,-121.61833,12.68058,4.87085,-1.52151,-13.50576,3.7067,-12.19785,8.94507,180,2.59706,89.2601,NA,NA,NA,NA,NA,NA,NA,1.25639,-19.60171,NA,NA,NA,NA,NA,NA,NA,0.20794,-94.02234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-22,12:56:50,"Kirn, Griffin",822488,Left,WES_MOU,Undefined,Slider,NA,NA,79.79905,0.596881,5.145504,2630.801412,296.776409,04:00:00,4.91861,-3.84449,5.15434,-46.74538,-1.0785,5.06103,1.58733,1.43401,73.04696,-7.855618,6.035127,0.486376,-1.00445,-0.26795,3.35853,50,4.93875,-10.59177,-115.31027,-0.46032,-1.34487,22.55256,-32.53281,efe58a39-a523-4a06-bdcd-49ec800bd3ce,NA,NA,NA,NA,NA,832431,"Coats, Quinton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CIN_BEA,1,Top,0,0,0,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WES_MOU,CIN_BEA,Arlington,D1,BIG12,20250522-Arlington-2,239abaf0-3736-11f0-b009-2b8e0515e362,77.4965,NA,NA,6.75208,NA,NA,NA,30bc8810-72ec-4221-beea-a248989ce1c2,2025-05-22,17:56:50,2025-05-22T17:56:50Z,2025-05-22T17:56:50Z,NA,v3,5327,471270,NA,"Sauve, Logan",702524,Right,WES_MOU,55.3438,-116.35073,11.27628,4.92536,1.04057,-16.2664,3.84575,-10.52972,-0.67243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
