PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-30,18:06:37,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,Fastball,NA,NA,92.89823,-3.283422,-2.392784,2191.551643,199.662032,12:45:00,6.49569,0.91953,5.93427,-9.87394,22.8386,7.74784,2.62053,-0.65611,84.1166,-5.242351,-1.00314,0.41165,-4.71862,13.07186,-0.73282,50,6.22762,5.28509,-134.55456,-7.93904,-8.56914,31.7672,-8.43534,1ef4222b-cfb4-4573-9d81-55c7d5955f67,NA,NA,NA,NA,3.938052,1000124216,"Walker, Kyle",4686.201518,NA,84.2653,Right,50.771401,108.93217,116.71021,15.28985,245.98538,243.40136999999999,5.747948,10.439762,1.04939,2.92886,0.51534,NA,NA,NA,NA,NA,1,1,ARI_SUN,1,Top,0,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,812d3e50-3dbb-11f0-a1ae-8981c63f7eb0,91.56422,125.98327,NA,8.78163,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:06:37,2025-05-31T01:06:37Z,2025-05-31T01:06:37Z,FlyBall,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,54.56664,-135.62842,15.8836,6.49117,-7.65389,-4.21767,-0.91637,5.57476,-4.28457,191.290733,1.05491,77.86144,-18.13458,4.17828,-0.43966,-0.04424,0.02018,-0.00229,9e-5,2.92825,95.73932,-22.0509,1.80635,-0.15375,-0.06445,0.02848,-0.00437,2.4e-4,0.51499,5.37917,2.02434,-0.65073,0.08402,0.01004,-0.00581,8.5e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
2,2025-05-30,18:07:09,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,Fastball,NA,NA,91.95473,-4.470364,-1.908328,2213.956494,202.549065,12:45:00,6.38269,1.312,5.7245,-10.10784,23.58265,9.29607,1.36566,0.3085,83.42036,-6.458711,-0.246613,0.417758,-5.31268,13.70391,-1.15848,50,6.00252,4.01905,-133.00998,-10.63301,-9.44255,30.62714,-7.81736,774c278f-6cd1-4968-af9a-3f3b4c78fc37,NA,NA,NA,NA,NA,815408,"Hairston, Landon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARI_SUN,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,944f9eb0-3dbb-11f0-a1ae-8981c63f7eb0,90.22544,NA,NA,8.53437,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:07:09,2025-05-31T01:07:09Z,2025-05-31T01:07:09Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,54.77624,-134.10526,15.31357,6.37777,-10.35345,-3.90868,-1.30824,4.35673,-4.72127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-30,18:07:23,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,Curveball,NA,NA,81.6944,1.062528,-1.23199,2305.821579,1.639362,06:00:00,6.28384,1.19007,5.64753,-50.35711,-7.81603,-0.26398,3.07888,0.0187,74.55223,-8.14252,-1.27922,0.469435,-0.23969,-3.77792,-1.08534,50,6.34242,2.56078,-118.57316,0.42004,-0.33838,24.45486,-37.50728,d36157c6-c9cc-4f11-8b02-1597d328bf68,NA,NA,NA,NA,NA,815408,"Hairston, Landon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ARI_SUN,1,Top,1,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,9ca9ae70-3dbb-11f0-a1ae-8981c63f7eb0,80.29316,NA,NA,7.14218,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:07:23,2025-05-31T01:07:23Z,2025-05-31T01:07:23Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,54.85437,-119.57015,12.22743,6.29413,1.94915,-18.75364,-1.19002,2.57458,-0.16919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-30,18:07:35,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,ChangeUp,NA,NA,83.17205,-0.095778,-2.117244,1282.129628,240.224237,02:00:00,5.86414,1.80684,5.4412,-32.39183,9.75949,14.14017,3.07508,1.00171,74.2489,-6.130792,0.399115,0.46728,-7.83552,5.41583,-1.62952,50,5.83388,3.8435,-120.34488,-1.28912,-11.18998,29.0579,-24.43965,048da570-8c2c-4449-a496-3a6dc21e61d6,NA,NA,NA,NA,-15.073055,815408,"Hairston, Landon",2911.99103,NA,91.11313,Left,21.039526,103.91469,35.07739,-36.07959,309.32083,301.92883,3.513305,-24.376601,-0.08445,2.96876,-0.98786,NA,NA,NA,NA,NA,2,3,ARI_SUN,1,Top,1,1,1,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,a3c8a620-3dbb-11f0-a1ae-8981c63f7eb0,80.66354,40.34885,NA,8.92315,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:07:35,2025-05-31T01:07:35Z,2025-05-31T01:07:35Z,LineDrive,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,55.0561,-121.55957,14.52895,5.86642,-0.26748,-12.21982,-1.79996,4.31127,-5.59499,127.020446,-0.08458,120.43953,-20.24636,4.66533,-1.20451,0.36685,-0.1097,0.0207,-0.0016,2.96911,47.96179,-16.64479,0.61482,0.35108,-0.27614,0.10727,-0.02044,0.00151,-0.98781,-32.43638,-4.34829,2.31496,-0.73417,0.16371,-0.02612,0.00239,-8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-05-30,18:08:14,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,ChangeUp,NA,NA,83.75097,-1.391104,-4.327897,1245.423858,246.954906,02:15:00,5.9209,1.52726,5.32515,-34.44289,7.69843,13.98103,1.74123,-1.37679,74.54797,-7.762184,-1.851445,0.467224,-8.49327,4.89374,-1.14508,50,5.77061,8.51612,-120.7773,-4.14959,-12.17175,30.04835,-25.1608,6c87ce13-b0d9-4a4c-98e3-683422230b06,NA,NA,NA,NA,NA,823153,"King, Matt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARI_SUN,1,Top,2,0,0,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,badc16d0-3dbb-11f0-a1ae-8981c63f7eb0,80.67311,NA,NA,9.20299,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:08:14,2025-05-31T01:08:14Z,2025-05-31T01:08:14Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,55.16981,-122.05673,15.02417,5.92449,-3.07826,-12.5804,-1.51872,9.03438,-6.08588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-30,18:08:27,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,Fastball,NA,NA,91.2838,-4.396478,-2.33122,2233.552143,205.010851,12:45:00,6.35819,1.20037,5.86258,-13.10174,20.87115,9.18481,1.17044,-0.20122,83.00309,-6.918698,-0.685232,0.419506,-5.34319,12.28123,-1.01638,50,5.99293,4.96651,-132.03282,-10.49664,-9.37795,29.61663,-10.61905,a1c56528-48eb-4428-8142-3923b3ee4e31,NA,NA,NA,NA,NA,823153,"King, Matt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ARI_SUN,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,c28fad60-3dbb-11f0-a1ae-8981c63f7eb0,89.84967,NA,NA,8.28072,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:08:27,2025-05-31T01:08:27Z,2025-05-31T01:08:27Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,54.63639,-133.06875,14.80831,6.35358,-10.1252,-5.30952,-1.19584,5.29453,-4.68898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-30,18:08:43,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,Fastball,NA,NA,92.60794,-3.600561,-1.933044,NA,209.751497,01:00:00,6.25706,0.83512,5.88947,-14.80674,17.98981,9.65583,1.67346,-0.15588,84.46287,-6.420191,-0.200707,0.412179,-5.47382,10.55552,-0.68466,50,5.95764,4.09951,-134.17276,-8.87763,-9.94896,29.82878,-12.98886,a4ffe8ed-d744-4e1c-a314-71b812699430,NA,NA,NA,NA,NA,823153,"King, Matt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,ARI_SUN,1,Top,2,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,cbe497e0-3dbb-11f0-a1ae-8981c63f7eb0,91.44681,NA,NA,8.14506,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:08:43,2025-05-31T01:08:43Z,2025-05-31T01:08:43Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,54.61063,-135.19389,14.91439,6.25394,-8.43298,-6.49443,-0.83083,4.4401,-4.97448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-30,18:08:57,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,ChangeUp,NA,NA,82.7718,-2.031696,-3.1972,1331.924992,220.879206,01:15:00,5.99594,1.49475,5.38203,-29.31206,12.98363,9.8963,1.64492,-0.68082,74.86201,-7.463,-1.439838,0.468079,-5.93607,7.62182,-1.21537,50,5.79359,6.2602,-119.69655,-5.22473,-8.49549,26.02,-21.26597,a6d8210e-9a60-4490-8398-b1b5d259c38c,NA,NA,NA,NA,NA,823153,"King, Matt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,ARI_SUN,1,Top,2,2,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,d47a02f0-3dbb-11f0-a1ae-8981c63f7eb0,80.52572,NA,NA,7.9098,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:08:57,2025-05-31T01:08:57Z,2025-05-31T01:08:57Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,55.11502,-120.80335,13.01,5.99659,-4.32015,-10.63298,-1.48934,6.62158,-4.24775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-30,18:09:12,"Hansen, Trevor",1000134912,Right,CAL_ANT,Undefined,ChangeUp,NA,NA,84.48042,-2.463863,-3.16632,1224.180684,234.73570900000001,01:45:00,5.84535,1.5899,5.65118,-28.01919,11.67497,14.6728,1.20736,-0.14369,77.37064,-7.646422,-0.546262,0.453456,-8.32327,7.01367,-1.33061,50,5.6183,6.16436,-122.40169,-6.19564,-12.61196,24.43251,-21.5465,2895c66d-51e9-4f7c-aa9f-5335c51d79dc,NA,NA,NA,NA,NA,823153,"King, Matt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,ARI_SUN,1,Top,2,2,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,dd552990-3dbb-11f0-a1ae-8981c63f7eb0,83.12267,NA,NA,7.10978,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:09:12,2025-05-31T01:09:12Z,2025-05-31T01:09:12Z,NA,v3,3031,5035,NA,"Penso, Blake",822324,Right,CAL_ANT,54.84991,-123.36598,12.21625,5.84604,-5.34525,-10.77325,-1.58372,6.66212,-6.30598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-30,18:12:00,"Jacobs, Ben",800624,Left,ARI_SUN,Undefined,Fastball,NA,NA,92.30562,-2.29107,2.241647,2113.726399,144.464073,10:45:00,5.45137,-0.8395,6.28497,-15.58733,16.86946,-11.28213,2.03808,0.28743,84.10052,-5.281163,0.203057,0.410038,6.47394,9.73127,0.67918,50,5.27444,-4.76674,-133.9491,-5.78775,11.72011,29.89983,-14.55703,1c04e7e8-1c03-4f1c-8e09-88706ee61b88,NA,NA,NA,NA,NA,822310,"Bermudez, Will",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_ANT,1,Bottom,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_ANT,ARI_SUN,UCLA,D1,BIG10,20250530-UCLA-3,41414d30-3dbc-11f0-a1ae-8981c63f7eb0,91.92423,NA,NA,8.2051,NA,NA,NA,ac0e701d-054e-4548-bb75-2f2c087f81e6,2025-05-31,01:12:00,2025-05-31T01:12:00Z,2025-05-31T01:12:00Z,NA,v3,3031,5035,NA,"Cromwick, Josiah",695319,Right,ARI_SUN,54.21524,-134.88674,14.94992,5.44878,-5.33125,-7.27851,0.83443,-5.13428,5.86006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
