PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-01,19:45:49,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.59188,-1.636298,-2.656331,2243.884064,224.384478,01:30:00,5.73098,1.66468,6.29887,-20.24859,14.63694,13.0595,2.53394,0.30375,80.6017,-5.509234,-0.296248,0.425103,-7.58977,8.50252,-1.47508,50,5.60091,5.47629,-129.84323,-4.28573,-12.73219,31.58895,-17.91069,d9036a44-3fdc-475a-82e8-6981316fde66,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ORE_BEA,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,b1758c10-3f5b-11f0-b4fd-959745f01828,88.66663,NA,NA,8.99018,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:45:49,2025-06-02T02:45:49Z,2025-06-02T02:45:49Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.19558,-130.85997,15.79447,5.72958,-3.70924,-8.95534,-1.65794,5.8861,-6.3661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-06-01,19:46:06,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.75584,-2.978849,-2.506732,2281.869596,229.147115,01:45:00,5.60179,1.73165,6.26262,-21.08379,13.53135,14.24115,1.0932,0.60573,81.46849,-6.968135,0.066946,0.423452,-8.12748,8.29851,-1.55235,50,5.37045,5.10738,-130.07979,-7.39841,-13.78281,29.89938,-18.10125,fc656ebe-aca1-4d14-b0d3-c28d3013a70c,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ORE_BEA,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,bbbdd740-3f5b-11f0-b4fd-959745f01828,89.01227,NA,NA,8.28735,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:46:06,2025-06-02T02:46:06Z,2025-06-02T02:46:06Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.23395,-131.04937,14.94969,5.60084,-6.81142,-9.05063,-1.72522,5.55433,-6.8914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-06-01,19:46:22,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,90.40818,-1.444467,-2.039492,2333.122817,218.300917,01:15:00,5.71388,1.65662,6.24335,-18.72867,15.5508,11.28583,2.81974,0.71521,81.35609,-5.037129,-0.001259,0.421394,-6.44902,8.87615,-1.50978,50,5.59701,4.18458,-131.07875,-3.83158,-11.03399,31.99444,-16.98734,259e45ee-9336-4bee-94d7-b01c22125678,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ORE_BEA,1,Top,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,c53ba680-3f5b-11f0-b4fd-959745f01828,89.44699,NA,NA,9.05209,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:46:22,2025-06-02T02:46:22Z,2025-06-02T02:46:22Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.25062,-132.11219,15.99722,5.71191,-3.28288,-8.49367,-1.6507,4.54098,-5.51699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-06-01,19:46:44,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,86.35299,-0.535769,-2.946712,1632.266717,246.506064,02:15:00,5.39375,1.9174,6.22614,-29.30261,8.40123,16.0895,2.45687,0.53704,77.63261,-6.055644,-0.042696,0.441941,-9.31666,4.93855,-1.70476,50,5.33934,5.80168,-125.17052,-2.07365,-14.48853,29.92765,-24.49405,b32f5b94-9ab1-40dc-8aa5-9c9b0220a9b2,NA,NA,NA,NA,-115.5668,804928,"Talt, Easton",3910.180521,NA,69.89185,Left,41.293203,NA,NA,NA,NA,33.79925,NA,NA,1.49272,2.51339,-0.5291,NA,NA,NA,NA,NA,1,4,ORE_BEA,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,d24b2800-3f5b-11f0-b4fd-959745f01828,85.28841,28.26097,NA,8.72038,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:46:44,2025-06-02T02:46:44Z,2025-06-02T02:46:44Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.27036,-126.18741,14.96383,5.39566,-1.24139,-12.24702,-1.91025,6.29397,-7.24427,NA,1.49999,-33.45163,-1.58294,NA,NA,NA,NA,NA,NA,2.53004,67.16289,-25.33545,NA,NA,NA,NA,NA,NA,-0.53904,-69.18967,9.5891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
5,2025-06-01,19:47:27,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.40588,-0.114346,-2.052645,2222.741281,233.354762,01:45:00,5.72333,1.57783,6.337,-22.60399,11.99083,14.55324,3.73432,0.89991,81.10848,-4.403791,0.5803,0.423328,-8.13028,6.61969,-1.43457,50,5.70432,4.05482,-129.82568,-0.9304,-13.7675,29.16576,-20.96453,13a1ab6c-d111-495b-ba7e-dfce2e711158,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,ORE_BEA,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,ebd0d130-3f5b-11f0-b4fd-959745f01828,89.03836,NA,NA,8.2974,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:47:27,2025-06-02T02:47:27Z,2025-06-02T02:47:27Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.15942,-130.75677,14.58288,5.72334,-0.26113,-10.48227,-1.57103,4.49433,-6.88375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-06-01,19:47:43,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,91.36754,-0.558481,-2.668653,2253.550996,220.768636,01:15:00,5.85366,1.46389,6.33281,-16.98332,16.18599,12.98394,3.92358,0.08687,82.77778,-3.825621,-0.321851,0.414515,-7.56363,8.9239,-1.27522,50,5.80478,5.64839,-132.62099,-1.75953,-13.35658,30.61172,-16.41535,8a0c5d6b-2e8a-4dc2-9d2f-37c3c24908f2,NA,NA,NA,NA,-62.67095,804928,"Talt, Easton",3461.017379,NA,80.01541,Left,69.912257,NA,NA,NA,NA,44.00436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,ORE_BEA,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,f55caa30-3f5b-11f0-b4fd-959745f01828,90.93153,102.26949,NA,8.58976,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:47:43,2025-06-02T02:47:43Z,2025-06-02T02:47:43Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.16468,-133.57883,15.30586,5.8518,-1.2459,-8.20767,-1.4585,6.06632,-6.67829,NA,1.95322,18.50566,-10.85576,3.58609,-1.33902,1.15834,-1.08664,0.5816,-0.12486,6.28041,110.21683,-29.05644,3.75979,-0.80234,0.24135,-0.13239,0.05927,-0.01163,-0.70626,-35.80776,1.14656,0.3207,-0.3018,0.34417,-0.33818,0.18326,-0.03963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
7,2025-06-01,19:48:06,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Slider,NA,NA,77.78556,1.134372,-1.110498,2453.642685,58.50306,08:00:00,5.85892,1.60342,5.95264,-51.93558,-5.38205,-11.363,2.58332,-0.37352,70.86447,-8.427912,-3.154467,0.491075,5.51874,-2.73103,-1.50863,50,5.91988,2.59964,-112.9434,0.61775,7.03074,23.2042,-35.65329,956f83bf-516e-4ecd-8cdc-32bfe3d8161d,NA,NA,NA,NA,54.748512,804928,"Talt, Easton",3445.503483,NA,80.5558,Left,-3.29593,NA,NA,NA,36.16478,31.18743,0.301433,52.845616,2.30145,2.95241,0.44849,NA,NA,NA,NA,NA,1,7,ORE_BEA,1,Top,0,2,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,037efb40-3f5c-11f0-b4fd-959745f01828,76.75495,2.95241,NA,6.92109,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:48:06,2025-06-02T02:48:06Z,2025-06-02T02:48:06Z,GroundBall,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.54751,-113.87385,11.6021,5.86645,2.0474,-17.82664,-1.60722,2.31772,3.51537,NA,2.30366,67.98116,-10.51408,NA,NA,NA,NA,NA,NA,2.95239,-6.79108,-9.96355,NA,NA,NA,NA,NA,NA,0.44965,96.27257,-7.11855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
8,2025-06-01,19:48:31,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,84.83791,-0.684408,-3.037853,1474.839369,251.207995,02:15:00,5.45764,1.81598,6.41823,-31.35876,7.1915,17.11686,2.21433,0.44711,76.7936,-6.582982,0.063433,0.446874,-9.96477,4.35284,-1.60662,50,5.39457,5.89797,-123.10093,-2.397,-15.07138,27.70819,-25.59049,3b651c98-55af-4f56-a027-58908bb821a4,NA,NA,NA,NA,12.053971,804928,"Talt, Easton",NA,NA,60.42446,Left,-33.274899,NA,NA,NA,6.392,6.22099,0.048936,2.694752,2.82244,2.39059,-0.46022,NA,NA,NA,NA,NA,1,8,ORE_BEA,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,11e4e500-3f5c-11f0-b4fd-959745f01828,84.34688,2.39059,NA,8.04431,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:48:31,2025-06-02T02:48:31Z,2025-06-02T02:48:31Z,GroundBall,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.0805,-124.01599,13.85409,5.45978,-1.55188,-12.79525,-1.80962,6.3957,-7.53569,180,2.81976,72.79923,NA,NA,NA,NA,NA,NA,NA,2.39239,-48.85163,NA,NA,NA,NA,NA,NA,NA,-0.46079,15.54564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-06-01,19:49:12,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.44764,-1.167068,-3.125986,2206.710727,208.683966,01:00:00,5.90666,1.6483,6.39421,-15.3532,19.36225,9.91808,3.55212,-0.40303,80.71852,-4.158013,-1.332772,0.424066,-6.11225,10.79213,-1.42779,50,5.81536,6.67645,-129.68665,-3.00965,-10.28085,30.2511,-14.02163,eba8c107-8fdd-4970-8a2a-c8c80f267c34,NA,NA,NA,NA,NA,804109,"Arquette, Aiva",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ORE_BEA,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,2aa171d0-3f5c-11f0-b4fd-959745f01828,88.88351,NA,NA,8.72912,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:49:12,2025-06-02T02:49:12Z,2025-06-02T02:49:12Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.10096,-130.63975,15.12555,5.90323,-2.56788,-7.01081,-1.64324,7.00036,-5.14042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-06-01,19:49:25,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,90.21794,-2.217454,-3.470891,2317.513453,222.701295,01:30:00,5.77953,1.62775,6.31655,-18.14324,15.81887,13.56379,2.22041,-0.44275,82.2689,-5.676087,-1.021849,0.419439,-8.03052,9.19528,-1.37971,50,5.60819,7.38322,-130.82092,-5.58275,-13.87865,28.30299,-16.28238,9f90dabd-b10b-4d26-bb2f-236cf59941dd,NA,NA,NA,NA,NA,804109,"Arquette, Aiva",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ORE_BEA,1,Top,1,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,ORE_BEA,GossStadium,D1,PAC12,20250601-GossStadium-2,322593f0-3f5c-11f0-b4fd-959745f01828,89.86397,NA,NA,7.94904,NA,NA,NA,8957a96e-dc4d-436b-adac-515826704f62,2025-06-02,02:49:25,2025-06-02T02:49:25Z,2025-06-02T02:49:25Z,NA,v3,5047,471404,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.18124,-131.72243,14.15149,5.77775,-5.06412,-8.14119,-1.62192,7.82528,-6.93932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
