PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-08,12:06:57,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Sinker,NA,NA,89.2138,0.108255,4.0196,2032.613971,96.539779,09:15:00,5.37035,-2.83559,5.12174,-32.71234,3.19272,-18.76627,2.74654,-0.60706,82.24167,-5.835911,0.707149,0.43127,10.30875,1.89394,2.47233,50,5.35507,-8.21985,-129.3553,-1.05447,17.65188,24.30497,-28.93101,94be65eb-a73b-49b5-b42b-a5a38d6d1f65,NA,NA,NA,NA,NA,804826,"Ogden, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_HUR,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,9ac563b0-4482-11f0-aada-dba3e79f6f22,87.39867,NA,NA,6.97212,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:06:57,2025-06-08T16:06:57Z,2025-06-08T16:06:57Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.37926,-130.3621,12.15249,5.37393,0.14396,-14.46551,2.82797,-8.95106,8.82594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-06-08,12:07:13,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Curveball,NA,NA,77.99195,0.501772,0.559232,2394.875036,287.706543,03:30:00,5.42478,-2.75752,5.22216,-50.96326,-4.09209,17.11906,1.64963,-0.80514,72.18325,-8.710291,3.598794,0.492747,-8.45233,-1.80673,2.69246,50,5.43246,-1.77808,-113.33236,-0.78149,-11.02593,20.13746,-34.53088,150507d1-03be-4a3d-a2c8-381012be57fb,NA,NA,NA,NA,NA,804826,"Ogden, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIA_HUR,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,a4a995e0-4482-11f0-aada-dba3e79f6f22,76.49443,NA,NA,5.80869,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:07:13,2025-06-08T16:07:13Z,2025-06-08T16:07:13Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.28032,-114.26674,10.06873,5.43155,0.82075,-17.26544,2.7631,-1.26648,-5.51296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-06-08,12:07:31,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Curveball,NA,NA,76.53574,2.070704,1.357372,2385.46245,292.303131,03:45:00,5.42569,-2.77817,4.93677,-54.96905,-5.32551,16.79552,2.80347,-0.09538,70.1543,-7.848541,4.31754,0.507111,-7.95091,-2.82973,2.63137,50,5.58114,-3.30275,-110.98469,2.06496,-9.87209,20.70441,-35.68752,44633dbf-384b-49b6-bb0a-06ddcde1312c,NA,NA,NA,NA,125.742555,804826,"Ogden, Jake",5432.365599,NA,61.38957,Right,61.933714,NA,NA,NA,NA,24.51585,NA,NA,0.95853,2.67282,0.06214,NA,NA,NA,NA,NA,1,3,MIA_HUR,1,Top,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,af595570-4482-11f0-aada-dba3e79f6f22,74.32783,41.62393,NA,6.38144,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:07:31,2025-06-08T16:07:31Z,2025-06-08T16:07:31Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.56498,-112.01803,10.35221,5.43363,3.84611,-17.84376,2.78391,-2.81004,-4.93604,337.276505,0.95854,-24.74613,-3.99876,1.59137,1.77885,-8.64061,17.70592,-17.84761,7.0976,2.67282,79.4496,-25.63619,2.7173,0.27335,-3.01,6.16362,-6.11585,2.39377,0.06214,34.38321,-3.81927,0.59546,0.11757,-0.73551,1.46149,-1.42749,0.55067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-06-08,12:07:58,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Curveball,NA,NA,78.29963,0.570575,0.479022,2440.608615,304.237733,04:15:00,5.49205,-2.75214,5.11825,-57.12468,-9.51579,16.44276,1.26917,-0.93066,71.23259,-9.755271,3.395785,0.49661,-8.06111,-4.49555,2.69357,50,5.50097,-1.61521,-113.53355,-0.91498,-10.33381,24.24703,-37.93705,9e18b60c-6e7f-4f92-8b66-4056a75c88d1,NA,NA,NA,NA,-146.078799,804826,"Ogden, Jake",NA,NA,78.09959,Right,-81.032232,NA,NA,NA,2.1879,2.18794,0.012376,22.953036,2.19835,1.40266,0.97675,NA,NA,NA,NA,NA,1,4,MIA_HUR,1,Top,0,1,2,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,bf70e6d0-4482-11f0-aada-dba3e79f6f22,75.89948,1.40266,NA,7.06705,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:07:58,2025-06-08T16:07:58Z,2025-06-08T16:07:58Z,GroundBall,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.38279,-114.67738,12.12352,5.50192,0.87466,-18.96852,2.75827,-1.12772,-5.16691,NA,2.1984,-14.84119,NA,NA,NA,NA,NA,NA,NA,1.40304,-113.33491,NA,NA,NA,NA,NA,NA,NA,0.97679,-9.98084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
5,2025-06-08,12:08:44,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Sinker,NA,NA,88.91014,0.66641,5.089818,2036.369023,95.992768,09:15:00,5.31305,-2.72677,4.95234,-33.64344,3.07591,-18.37277,3.14163,0.56413,81.31821,-5.43868,1.865906,0.436133,10.39556,1.70091,2.24792,50,5.35022,-10.5818,-128.58707,0.14185,17.48184,25.56556,-29.31366,43584fa1-044f-45f9-8de7-1515256893dc,NA,NA,NA,NA,NA,803344,"Galvin, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIA_HUR,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,da823910-4482-11f0-aada-dba3e79f6f22,86.42419,NA,NA,7.59193,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:08:44,2025-06-08T16:08:44Z,2025-06-08T16:08:44Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.54758,-129.68534,12.78278,5.31707,1.40114,-14.65683,2.71864,-11.33281,8.74092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-06-08,12:09:05,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Sinker,NA,NA,89.11906,-0.303132,5.364926,2008.105343,102.914913,09:30:00,5.42445,-2.57843,5.03607,-30.70494,5.83532,-20.31277,2.57846,0.80505,81.36932,-5.901059,1.795903,0.435068,11.63977,3.29,2.0822,50,5.37076,-11.17185,-128.84717,-1.88466,19.59298,26.44362,-26.63609,615878ca-e19f-4a13-b466-ee436a529c98,NA,NA,NA,NA,0.85219,803344,"Galvin, Max",2742.86506,NA,96.98791,Left,19.697757,109.9659,37.02384,-2.70828,367.17989,357.57652,4.23316,-4.643576,2.33642,2.73224,-0.78712,NA,NA,NA,NA,NA,2,2,MIA_HUR,1,Top,1,0,1,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,e6d2b050-4482-11f0-aada-dba3e79f6f22,86.63571,51.27224,NA,7.74974,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:09:05,2025-06-08T16:09:05Z,2025-06-08T16:09:05Z,LineDrive,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.46522,-129.96397,13.22181,5.4266,-0.75973,-13.31805,2.5715,-11.99933,9.79649,156.594299,2.33574,133.93064,-22.79955,5.20875,-1.17016,0.27504,-0.0586,0.00826,-5.1e-4,2.73396,47.89562,-11.01188,-1.21347,0.79796,-0.32677,0.08789,-0.01272,7.4e-4,-0.78732,1.99992,-5.98108,2.13248,-0.5726,0.11913,-0.0188,0.00199,-1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-06-08,12:09:48,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Curveball,NA,NA,76.7474,0.441179,1.593619,2436.0745,291.796397,03:45:00,5.47937,-2.72664,5.05364,-53.42145,-4.43181,14.84666,1.44383,0.01393,70.79694,-9.184079,4.219761,0.50376,-6.96957,-1.9335,2.56243,50,5.47846,-3.68342,-111.39307,-1.0094,-8.73859,20.40485,-34.5983,3c94c172-7a56-4fc4-b639-c0cbb1194807,NA,NA,NA,NA,NA,804562,"Cuvet, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIA_HUR,1,Top,2,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,00fe0f60-4483-11f0-aada-dba3e79f6f22,74.82225,NA,NA,5.95046,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:09:48,2025-06-08T16:09:48Z,2025-06-08T16:09:48Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.44813,-112.38662,10.20242,5.48659,0.67526,-17.29915,2.73143,-3.25792,-4.36929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-06-08,12:10:10,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Sinker,NA,NA,89.08094,0.393425,3.72386,1998.357657,108.092577,09:30:00,5.34921,-2.66946,4.91957,-29.68214,7.45496,-18.67769,3.24845,-0.70023,80.14176,-5.058048,0.439028,0.438607,10.31894,3.95512,2.32207,50,5.36346,-7.47238,-128.77576,-0.283,17.09513,30.09264,-25.62172,2b22eefb-a727-4bcc-9cb5-501c17aa26e7,NA,NA,NA,NA,NA,804562,"Cuvet, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MIA_HUR,1,Top,2,0,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,0dd801f0-4483-11f0-aada-dba3e79f6f22,85.93673,NA,NA,8.93918,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:10:10,2025-06-08T16:10:10Z,2025-06-08T16:10:10Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.57662,-130.07238,15.04632,5.35187,0.82099,-12.81086,2.65991,-8.20898,8.54756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-06-08,12:10:33,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Sinker,NA,NA,90.15172,0.472662,5.759332,2129.694546,103.328312,09:30:00,5.49211,-2.69387,5.03587,-29.17525,7.05489,-24.18348,3.50903,0.74269,81.03796,-4.888936,1.515211,0.433218,13.64391,3.74402,2.16216,50,5.51457,-11.93053,-130.02279,-0.06912,23.08858,30.18656,-25.8383,470c79cc-f2bb-4653-b26e-193e4d66eeca,NA,NA,NA,NA,NA,804562,"Cuvet, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,MIA_HUR,1,Top,2,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,1b6d5540-4483-11f0-aada-dba3e79f6f22,87.00572,NA,NA,9.11376,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:10:33,2025-06-08T16:10:33Z,2025-06-08T16:10:33Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.46153,-131.28463,15.09328,5.49489,1.01096,-12.91915,2.68105,-12.89567,11.54429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-06-08,12:10:57,"Eberle, Ethan",830783,Left,LOU_CAR,Undefined,Sinker,NA,NA,89.37767,-0.177527,4.719145,2094.509388,109.593275,09:45:00,5.3684,-2.68002,4.99664,-28.13919,8.20126,-19.74233,2.85529,0.14027,81.52737,-5.325844,1.248305,0.433877,11.08083,4.45099,2.24214,50,5.32864,-9.74715,-129.30685,-1.49931,18.78104,26.69181,-24.63003,e4fee340-2c03-4740-b592-2d3bb4c3f6a3,NA,NA,NA,NA,118.046897,804562,"Cuvet, Daniel",4442.064654,NA,67.65329,Right,30.876403,NA,NA,NA,NA,34.85024,NA,NA,0.57028,2.92576,-0.34286,NA,NA,NA,NA,NA,3,4,MIA_HUR,1,Top,2,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LOU_CAR,MIA_HUR,JimPatterson,D1,ACC,20250608-JimPatterson-1,29abe0e0-4483-11f0-aada-dba3e79f6f22,86.87356,20.92491,NA,7.85031,NA,NA,NA,8795e03d-d442-47b4-af70-138f9099e5d3,2025-06-08,16:10:57,2025-06-08T16:10:57Z,2025-06-08T16:10:57Z,NA,v3,471341,236,NA,"Klein, Matt",702600,Right,LOU_CAR,55.50319,-130.43789,13.34591,5.37005,-0.45564,-12.31502,2.67202,-10.54297,9.39052,NA,0.57483,-40.18449,-1.95468,NA,NA,NA,NA,NA,NA,2.93228,50.7191,-21.01182,NA,NA,NA,NA,NA,NA,-0.33692,74.97725,-9.16144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
