PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-15,19:08:38,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Fastball,NA,NA,90.71497,-3.304387,3.238149,2131.693761,137.764947,10:30:00,5.98473,-1.69577,5.90172,-16.15458,18.01308,-15.31772,1.56272,0.03695,82.75647,-6.375959,0.492753,0.420706,8.81611,10.52934,1.44428,50,5.70932,-6.7872,-131.39516,-8.0744,15.37185,28.52794,-13.81503,3879b58d-eea4-49b6-8754-874241380af1,NA,NA,NA,NA,94.180744,805207,"Bodine, Caden",3988.258849,NA,79.48766,Right,72.654772,NA,NA,NA,NA,35.2075,NA,NA,2.7206,0.10581,-0.23914,NA,NA,NA,NA,NA,1,1,COA_CHA,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,1b354720-49da-11f0-a2ac-238fc9eb2656,89.59324,108.60866,NA,7.95851,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:08:38,2025-06-15T23:08:38Z,2025-06-15T23:08:38Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.59772,-132.38964000000001,14.26397,5.9824,-7.59281,-6.90752,1.69022,-7.32305,7.68593,198.638435,2.7206,-2.53393,0.43325,-0.10645,0.00656,0.01867,-0.01734,0.00738,-0.00127,0.10582,111.27939,-26.46014,3.33687,-0.85689,0.37613,-0.21491,0.08182,-0.01361,-0.23915,34.66655,-8.84644,2.29557,-0.00661,-0.63769,0.56197,-0.23705,0.04063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
2,2025-06-15,19:09:01,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Fastball,NA,NA,92.47299,-2.116848,2.111248,2335.832456,131.463029,10:30:00,5.91678,-1.79059,5.84017,-16.25229,16.70902,-17.6456,2.59283,-1.29802,84.01849,-5.21009,-1.051881,0.413213,9.57725,9.47422,1.6287,50,5.73467,-4.14829,-134.10675,-5.45165,17.33649,30.63068,-15.02403,4acf8ef2-68f3-44c7-a2c4-f221a8dae555,NA,NA,NA,NA,NA,805207,"Bodine, Caden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,COA_CHA,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,28bf9df0-49da-11f0-a2ac-238fc9eb2656,91.21796,NA,NA,8.4545,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:09:01,2025-06-15T23:09:01Z,2025-06-15T23:09:01Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.65717,-135.16628,15.31534,5.91425,-4.93196,-7.51201,1.78257,-4.74797,8.66824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-06-15,19:09:19,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Fastball,NA,NA,92.97274,-3.169462,2.411597,2373.985763,162.230255,11:30:00,5.88317,-1.75414,5.98691,-13.32209,19.1334,-5.78048,1.82987,5.9e-4,84.61009,-5.734251,1.373525,0.41003,3.69571,11.11264,1.56706,50,5.62545,-5.42703,-134.74254,-7.83446,6.75801,30.7381,-11.85332,a4d35d46-4095-4812-b107-bc7820e03453,NA,NA,NA,NA,-12.972032,805207,"Bodine, Caden",5540.234057,NA,98.54666,Right,5.877981,NA,NA,NA,119.04053,119.04053,0.936193,-14.343241,1.44495,1.85916,0.02593,NA,NA,NA,NA,NA,1,3,COA_CHA,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,3393d570-49da-11f0-a2ac-238fc9eb2656,91.92603,4.73567,NA,8.36264,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:09:19,2025-06-15T23:09:19Z,2025-06-15T23:09:19Z,GroundBall,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.51162,-135.76785,15.36905,5.88019,-7.43908,-5.92666,1.75184,-5.65246,3.37901,73.726614,1.57261,138.2282,-17.98695,NA,NA,NA,NA,NA,NA,1.92856,13.78388,-16.99503,NA,NA,NA,NA,NA,NA,0.03533,-32.417230000000004,0.93077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-06-15,19:10:22,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Fastball,NA,NA,91.21674,-2.584074,2.910252,2292.375237,155.388432,11:15:00,5.98845,-1.58034,5.83372,-13.61473,20.59824,-8.86142,2.44727,0.3886,82.2112,-5.22716,1.324457,0.420985,5.44957,11.69949,1.34805,50,5.7695,-6.32193,-132.03772,-6.32388,9.4846,31.82264,-11.81185,3d321804-f1ab-4d62-bb09-36927f39c0d8,NA,NA,NA,NA,117.908647,1000098280,"Alexander, Sebastian",4189.864929,NA,65.62625,Right,41.259155,-63.93346,47.8835,89.51216,187.33862,76.94771,3.250046,128.734257,0.32124,2.41584,-0.37177,NA,NA,NA,NA,NA,2,1,COA_CHA,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,594ca9e0-49da-11f0-a2ac-238fc9eb2656,89.53388,48.61316,NA,9.00553,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:10:22,2025-06-15T23:10:22Z,2025-06-15T23:10:22Z,FlyBall,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.66255,-133.15671,15.91132,5.98457,-5.90854,-5.90593,1.57622,-6.65544,4.7423,312.26909,0.3201,-33.82534,-4.11553,2.56402,-1.28321,0.63687,-0.22877,0.0456,-0.00361,2.41631,63.45591,-24.71986,2.24633,0.05135,-0.33067,0.15806,-0.03545,0.00314,-0.37258,63.96958,-10.49966,2.86652,-0.97447,0.40152,-0.12875,0.02118,-0.00122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-06-15,19:10:48,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000098280,"Alexander, Sebastian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,COA_CHA,1,Top,0,0,1,NA,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,82b75e80-4aa5-11f0-a840-5b2bba86b7fb,NA,NA,NA,NA,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:10:48,2025-06-15T23:10:48Z,2025-06-15T23:10:48Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-06-15,19:11:14,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Slider,NA,NA,79.72766,0.565563,1.124068,2808.8531160000002,293.821543,03:45:00,5.89037,-1.72885,5.50307,-50.12885,-5.02701,14.8728,2.24203,0.56199,72.63741,-8.580369,3.777558,0.483358,-7.11685,-2.21445,1.62055,50,5.90632,-2.86822,-115.66487,-0.59448,-9.51168,24.27794,-35.13367,0c367bb4-cccc-481f-af66-0d3ea6909f8e,NA,NA,NA,NA,NA,1000098280,"Alexander, Sebastian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,COA_CHA,1,Top,0,0,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,784d5ec0-49da-11f0-a2ac-238fc9eb2656,77.98046,NA,NA,7.09025,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:11:14,2025-06-15T23:11:14Z,2025-06-15T23:11:14Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.99592,-116.7088,12.13897,5.8994,0.91623,-17.56684,1.73509,-2.45922,-4.75584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-06-15,19:12:10,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Slider,NA,NA,79.36859,-1.934808,2.088814,2684.601161,280.467474,03:15:00,5.7753,-1.85458,5.5776,-46.12341,-0.75976,12.30883,0.12276,1.1229,72.85252,-10.312245,4.288857,0.484758,-5.6428,0.60165,1.6664,50,5.57837,-4.66566,-115.07464,-5.41804,-7.48093,23.60732,-31.37642,ae0a1a8c-ba5a-4d33-8aef-707d2542f992,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,COA_CHA,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,999348b0-49da-11f0-a2ac-238fc9eb2656,77.75512,NA,NA,6.51606,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:12:10,2025-06-15T23:12:10Z,2025-06-15T23:12:10Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.92239,-116.08007,11.80366,5.78066,-4.08173,-15.68821,1.85832,-4.34705,-3.74046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-06-15,19:12:28,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Fastball,NA,NA,92.41744,-2.533224,4.157783,2336.863405,145.974333,10:45:00,5.82498,-1.75458,6.11423,-14.68686,18.13757,-11.47969,2.25115,1.13982,83.83007,-5.36144,2.096632,0.412354,7.17201,10.45512,1.4412,50,5.62245,-9.23576,-133.77596,-6.33512,12.90345,30.79642,-13.36384,5aee65c0-e8ee-45dc-81aa-e166299eb023,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,COA_CHA,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,a42c9a10-49da-11f0-a2ac-238fc9eb2656,91.40805,NA,NA,8.58738,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:12:28,2025-06-15T23:12:28Z,2025-06-15T23:12:28Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.38364,-134.78133,15.39821,5.82215,-5.89885,-6.68192,1.74959,-9.65701,6.45173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-06-15,19:12:46,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Slider,NA,NA,79.69343,0.149171,3.626872,2869.502136,275.918899,03:15:00,5.98842,-1.92056,5.87633,-44.86829,-0.18902,16.2965,2.38822,2.81044,72.71318,-8.088467,6.539473,0.481088,-7.18579,0.3065,1.61769,50,5.9748,-7.93542,-115.46987,-1.13079,-9.56405,24.34916,-31.7661,929465ce-64c3-4bca-883f-730a6a3ff09b,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,COA_CHA,1,Top,1,2,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,aec946d0-49da-11f0-a2ac-238fc9eb2656,78.34832,NA,NA,6.98025,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:12:46,2025-06-15T23:12:46Z,2025-06-15T23:12:46Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.62246,-116.44053,12.17458,5.99464,0.13554,-15.88305,1.92643,-7.55416,-4.78202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-06-15,19:13:02,"Kleinschmit, Ethan",1000330641,Left,ORE_BEA,Undefined,Fastball,NA,NA,92.60534,-2.824947,2.825876,2336.526791,158.094207,11:15:00,5.87355,-1.70563,6.08517,-13.37772,19.20399,-7.28107,2.14007,0.30397,84.2616,-5.407799,1.516589,0.410827,4.56193,11.03654,1.49111,50,5.64791,-6.30939,-134.20781,-6.97988,8.28348,30.24758,-12.13402,e5558c9c-798b-4924-bc6f-81fbef927315,NA,NA,NA,NA,NA,811743,"Barthol, Blake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,COA_CHA,1,Top,1,3,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,COA_CHA,TDAmeritrade,D1,SEC,20250615-TDAmeritrade-2,b831e060-49da-11f0-a2ac-238fc9eb2656,91.74781,NA,NA,8.34374,NA,NA,NA,591ae879-febd-4ef8-8184-34bb855c4234,2025-06-15,23:13:02,2025-06-15T23:13:02Z,2025-06-15T23:13:02Z,NA,v3,471404,4104,NA,"Weber, Wilson",701777,Right,ORE_BEA,54.41186,-135.19849,15.12379,5.87001,-6.58246,-6.06701,1.70219,-6.58069,4.14174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
