PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-21,18:35:22,1,1,"Fladda, Luc",800720,Left,TUL_GRE,"Johnson, Camden",825128,Left,WIC_SHO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.92118,-2.471063,2.035118,2074.405172,147.819017,11:00:00,5.91983,-1.2324,5.23388,-16.0308,22.17974,-13.12741,2.25826,-0.41257,78.94761,-5.5182,-0.290891,0.444901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12386,12.16886,1.05511,50,5.68077,-3.87918,-125.88006,-5.91061,11.36764,26.86744,-12.75607,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,28fb6bc0-06ad-11f0-8832-6173adc3a814,84.72102,NA,NA,7.97357,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:35:22,2025-03-21T23:35:22Z,2025-03-21T23:35:22Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,2c83c3f0-dd55-45bb-8f05-853553d27bcd,55.2637,-126.99856,13.43372,5.91578,-5.37957,-6.37804,1.22645,-4.35242,5.68382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-21,18:35:36,1,2,"Fladda, Luc",800720,Left,TUL_GRE,"Johnson, Camden",825128,Left,WIC_SHO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.51892,-2.962512,2.360876,2141.490313,147.746714,11:00:00,5.85819,-1.20109,5.24484,-16.95883,20.7893,-12.28757,1.65595,-0.00507,79.47984,-6.168046,0.18368,0.442201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8278,11.64386,0.99361,50,5.57364,-4.66695,-126.66467,-7.08501,11.02128,27.42495,-13.37885,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,31070d60-06ad-11f0-8832-6173adc3a814,85.23833,NA,NA,8.03908,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:35:36,2025-03-21T23:35:36Z,2025-03-21T23:35:36Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,614437c9-f6da-4ea5-bb2b-dbca1eaf69cc,55.2531,-127.79699,13.71247,5.85476,-6.53262,-6.68942,1.1957,-5.122,5.51064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-21,18:36:01,1,3,"Fladda, Luc",800720,Left,TUL_GRE,"Johnson, Camden",825128,Left,WIC_SHO,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.75964,-3.292772,3.995156,2127.787986,146.672931,11:00:00,5.85934,-1.23189,5.33975,-17.81249,20.44155,-12.58674,1.27496,1.4733,79.09307,-6.645865,1.766494,0.445154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41367,11.55182,0.88022,50,5.54896,-8.19865,-125.40059,-7.77964,11.78387,25.78441,-13.8126,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,404bbe60-06ad-11f0-8832-6173adc3a814,84.67286,NA,NA,7.66657,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:36:01,2025-03-21T23:36:01Z,2025-03-21T23:36:01Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,d51be691-e1a6-47a3-9b35-116a5b52417e,55.15831,-126.45678,12.89221,5.85604,-7.21385,-6.9063,1.22594,-8.68134,5.89194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-21,18:36:16,1,4,"Fladda, Luc",800720,Left,TUL_GRE,"Johnson, Camden",825128,Left,WIC_SHO,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.70161,-3.865377,3.189832,2184.652335,141.251315,10:45:00,5.85384,-1.07638,5.34727,-16.47713,20.20674,-15.18631,0.84386,0.65326,80.64019,-6.978358,0.495972,0.435922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5741,11.65985,0.80018,50,5.49343,-6.46652,-128.22506,-9.18813,14.19193,27.95402,-12.87456,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,48e484d0-06ad-11f0-8832-6173adc3a814,86.46596,NA,NA,8.06142,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:36:16,2025-03-21T23:36:16Z,2025-03-21T23:36:16Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,e1fab154-b15a-4f68-902c-22ac471e319b,55.15198,-129.34335,13.97701,5.8507,-8.67308,-6.43728,1.07023,-7.03426,7.09596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-21,18:36:33,1,5,"Fladda, Luc",800720,Left,TUL_GRE,"Johnson, Camden",825128,Left,WIC_SHO,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,NA,86.60325,-2.183491,3.368446,2132.286485,142.377457,10:45:00,5.9179,-1.14511,5.32763,-17.05572,21.23029,-15.37127,2.44318,0.73837,78.85639,-5.4141,0.644284,0.44534,97.19422,20.204428,-5.195427,2458.019314,108.78522,36.20181,-16.30144,347.314,346.70217,-13.902895,3.801418,8.69831,11.65898,0.85191,50,5.70838,-6.71139,-125.40499,-5.3091,13.81599,25.9714,-13.65549,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,5365e160-06ad-11f0-8832-6173adc3a814,84.6375,46.49495,NA,7.74687,NA,NA,NA,1.34253,2.4923,-0.73261,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:36:33,2025-03-21T23:36:33Z,2025-03-21T23:36:33Z,LineDrive,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,897345f3-d68b-48e6-b0b8-6bcd0bb53426,55.1722,-126.47161,12.9857,5.91491,-4.74828,-6.82774,1.1392,-7.27881,6.908,140.218891,1.34197,133.24796,-22.97218,5.45172,-1.23182,0.28035,-0.05776,0.008,-4.8e-4,2.49305,49.20793,-13.7005,-0.50535,0.47458,-0.17856,0.04253,-0.00515,2.2e-4,-0.7328,-12.10547,-6.87709,2.51424,-0.70126,0.15682,-0.02732,0.00317,-1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-03-21,18:37:20,2,1,"Fladda, Luc",800720,Left,TUL_GRE,"Millan, Mauricio",803019,Right,WIC_SHO,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,79.69325,-1.282336,3.096164,1798.897987,113.267382,09:45:00,5.81788,-1.62558,5.54925,-34.14092,10.71532,-21.40667,1.77254,-0.51335,72.76745,-7.584927,-0.720876,0.48204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.69942,6.24492,1.37183,50,5.68434,-5.3983,-115.51276,-3.68237,15.72938,22.51048,-23.77803,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,6f656430-06ad-11f0-8832-6173adc3a814,78.19362,NA,NA,6.9258,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:37:20,2025-03-21T23:37:20Z,2025-03-21T23:37:20Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,1bc18e18-bc00-4ee2-ba3d-6d95c3ccc972,54.95052,-116.47349,11.25524,5.81985,-2.66754,-11.88902,1.61656,-6.06962,7.86469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-21,18:37:38,2,2,"Fladda, Luc",800720,Left,TUL_GRE,"Millan, Mauricio",803019,Right,WIC_SHO,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.55697,-3.038444,3.335798,2101.318782,130.118272,10:15:00,5.80305,-1.44595,5.20513,-22.96608,15.47591,-16.87261,1.02406,0.28882,79.2557,-7.281592,0.349477,0.446246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35823,8.94237,1.15024,50,5.50419,-6.55602,-125.27671,-7.45548,14.88221,25.14775,-17.95319,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,7a060890-06ad-11f0-8832-6173adc3a814,84.46561,NA,NA,7.30126,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:37:38,2025-03-21T23:37:38Z,2025-03-21T23:37:38Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,1635ca54-2034-4117-9849-1bef363feff8,55.29494,-126.33514,12.57388,5.80208,-6.69987,-8.9766,1.43936,-7.18238,7.44111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-21,18:37:58,2,3,"Fladda, Luc",800720,Left,TUL_GRE,"Millan, Mauricio",803019,Right,WIC_SHO,Undefined,1,Top,0,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,79.85008,-0.391709,3.355068,1784.764794,115.005006,09:45:00,5.71596,-1.44699,5.51702,-34.77856,9.82973,-17.95458,2.45085,0.19751,72.99934,-6.806856,0.158605,0.480706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0852,5.48575,1.16712,50,5.6585,-6.08815,-115.77507,-1.91494,13.65761,22.06927,-24.74512,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,85af4350-06ad-11f0-8832-6173adc3a814,78.41064,NA,NA,6.85073,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:37:58,2025-03-21T23:37:58Z,2025-03-21T23:37:58Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,8428332b-036d-405f-bc31-0d28cb946578,54.98399,-116.72126,11.03464,5.71786,-0.85403,-12.37256,1.4407,-6.6737,6.8288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-21,18:38:19,2,4,"Fladda, Luc",800720,Left,TUL_GRE,"Millan, Mauricio",803019,Right,WIC_SHO,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,1,NA,88.03253,-1.835388,2.759363,2090.947791,143.313346,10:45:00,5.79547,-1.46259,5.33946,-18.01174,19.103,-13.28217,2.57005,0.02124,79.90927,-5.237407,0.402963,0.438475,101.3926,21.685677,-26.179751,2283.356816,95.56564,36.91143,-54.47141,326.94726000000003,326.94726000000003,-36.005479,3.43927,7.50516,10.50721,1.22354,50,5.6173400000000004,-5.55696,-127.5201,-4.66351,12.27933,27.78697,-14.98306,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,922ee0e0-06ad-11f0-8832-6173adc3a814,85.96262,44.6448,NA,8.12326,NA,NA,NA,1.30305,2.52817,0.05548,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:38:19,2025-03-21T23:38:19Z,2025-03-21T23:38:19Z,LineDrive,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,fefc32ec-38d6-4462-a603-4a3a89aaea14,55.15974,-128.63951,13.89348,5.79305,-4.05992,-7.49153,1.45737,-6.05164,6.13967,120.755261,1.30283,124.01466,-26.69336,7.11822,-1.7499,0.38438,-0.06997,0.00788,-3.2e-4,2.52825,54.94836,-19.59661,1.0766,0.05203,-0.05059,0.00799,8.3e-4,-2.3e-4,0.05563,-60.97028,-0.80812,1.95739,-0.75807,0.18759,-0.03098,0.00304,-1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-03-21,18:39:09,3,1,"Fladda, Luc",800720,Left,TUL_GRE,"Rogers, Jordan",1000099788,Right,WIC_SHO,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.02168,-0.66096,2.344805,1798.016646,98.543458,09:15:00,5.68079,-1.82875,5.68345,-39.78479,4.2517,-18.94765,1.74875,-1.22082,73.4437,-7.96968,-1.046043,0.477615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26941,2.7861,1.6432,50,5.60023,-4.01605,-116.16286,-2.64246,14.00927,22.08915,-28.37332,TUL_GRE,WIC_SHO,Tulane,D1,AMER,20250321-Tulane-1,b00b3a00-06ad-11f0-8832-6173adc3a814,78.91809,NA,NA,6.57798,NA,NA,NA,NA,NA,NA,eba9f728-ccca-4694-91b2-d66738efe425,2025-03-21,23:39:09,2025-03-21T23:39:09Z,2025-03-21T23:39:09Z,NA,v3,471471,471492,21 March 2025 19:30-wichitast@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,8fb5b3e3-fa4c-4719-95ce-3286b7bcbe4e,54.81732,-117.07532,11.04458,5.68517,-1.47041,-14.18666,1.82104,-4.59475,7.00464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
