PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-04,14:01:40,1,1,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.30714,-0.710683,2.646849,2290.260133,127.397069,10:15:00,5.4341,-2.28363,6.56642,-22.12596,14.58792,-17.15603,2.93805,-1.28518,77.71092,-4.983791,-0.469406,0.4361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82174,8.30705,2.10722,50,5.3758,-5.15416,-126.5044,-2.14719,15.46435,32.631100000000004,-19.09457,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,dcc27b90-117e-11f0-af3f-b1dc6c1b805a,86.43064,NA,NA,9.59622,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:01:40,2025-04-04T18:01:40Z,2025-04-04T18:01:40Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,b473fec0-c72d-480c-afb3-6749e72db529,53.92663,-127.51323,16.315550000000002,5.43306,-1.55686,-9.54729,2.27396,-5.63226,7.73218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-04,14:01:54,1,2,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,72.57491,2.577973,0.343919,2005.611392,292.634726,03:45:00,5.34375,-2.15718,5.96854,-58.71212,-4.97264,16.47784,2.84288,-0.46515,65.76885,-8.267017,3.306693,0.527616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.28012,-2.76776,2.1211,50,5.51618,-1.21129,-105.25976,3.0124,-9.12547,20.81274,-35.22437,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,e4ef12b0-117e-11f0-af3f-b1dc6c1b805a,71.43912,NA,NA,6.80605,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:01:54,2025-04-04T18:01:54Z,2025-04-04T18:01:54Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,75e06c82-6923-4255-93ac-5f810a5db8b0,54.53059,-106.15181,10.40637,5.35471,4.52213,-17.61219,2.16464,-0.82017,-4.56274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-04,14:02:08,1,3,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.27333,-0.64094,4.47671,2350.031904,127.79711,10:15:00,5.47889,-2.00799,6.46769,-19.43135,15.8982,-18.66718,3.26913,0.55635,79.37135,-4.409735,1.102966,0.4278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2256,8.90426,1.69873,50,5.42483,-9.33059,-129.10754,-1.95057,18.4393,33.59737,-17.54783,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,ed5cf890-117e-11f0-af3f-b1dc6c1b805a,88.10767,NA,NA,9.90198,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:02:08,2025-04-04T18:02:08Z,2025-04-04T18:02:08Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,89b5f6a0-3623-47a1-9f9b-c6bc1008944d,54.02627,-130.15107,16.79868,5.47695,-1.40553,-8.77392,1.99743,-9.90332,9.21965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-04,14:02:32,1,4,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.2508,-2.154157,2.352121,1908.688474,133.487806,10:30:00,5.43243,-2.34052,6.75226,-24.30801,16.93623,-16.04879,1.43643,-1.52813,73.20218,-6.85825,-0.57553,0.462224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31296,10.2302,2.1913299999999998,50,5.28171,-4.31377,-119.15127,-5.05267,12.94928,29.88551,-17.94937,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,fbe166d0-117e-11f0-af3f-b1dc6c1b805a,81.54576,NA,NA,9.04862,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:02:32,2025-04-04T18:02:32Z,2025-04-04T18:02:32Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,6168614d-a07b-4eab-94f5-9ab98ba68d8c,53.74174,-120.0861,14.94275,5.43097,-4.4912,-8.97469,2.3326,-4.71883,6.47464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-04,14:02:48,1,5,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.10715,-3.059234,4.782066,2427.749278,129.528064,10:15:00,5.46249,-2.20725,6.49472,-17.98147,16.46257,-18.36273,1.14329,0.66248,81.00171,-6.529041,1.462583,0.422404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.26953,10.02619,1.87943,50,5.23941,-10.17982,-130.2626,-7.4564,19.00293,32.11588,-15.26767,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,05456c80-117f-11f0-af3f-b1dc6c1b805a,89.23308,NA,NA,9.10543,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:02:48,2025-04-04T18:02:48Z,2025-04-04T18:02:48Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,d691c123-d20c-4373-b57b-1d1a2e23a4ff,54.00394,-131.24605,16.05794,5.46058,-6.98888,-7.63384,2.20007,-10.76172,9.50147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-04,14:03:04,1,6,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.85909,-2.916607,5.06097,2444.929158,123.564942,10:00:00,5.37052,-2.36431,6.65216,-19.80434,14.9743,-20.41544,1.03808,0.57834,80.021,-6.748708,1.36023,0.424451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.58638,9.34044,2.03036,50,5.16532,-10.6924,-129.77706,-7.14742,20.84989,34.41192,-16.70119,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,0eafdad0-117f-11f0-af3f-b1dc6c1b805a,88.80276,NA,NA,9.83809,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:03:04,2025-04-04T18:03:04Z,2025-04-04T18:03:04Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,8c67c4a5-3222-48bf-a378-940f407e6e76,53.84461,-130.79253,17.20596,5.36896,-6.65458,-8.35059,2.35496,-11.30766,10.42494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-04,14:03:20,1,7,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Farrell, Ernie",1000313805,Right,FLO_MEM,Undefined,1,Top,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,84.13131,-2.157521,5.152573,2013.643433,127.776013,10:15:00,5.37583,-2.30987,6.96795,-23.79466,14.61351,-17.13182,1.42135,0.96245,76.44489,-6.717141,2.030008,0.44605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.77091,8.84886,1.99601,50,5.23363,-10.41512,-121.84497,-5.17621,16.04846,25.92605,-18.98942,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,1872a250-117f-11f0-af3f-b1dc6c1b805a,84.50279,NA,NA,7.68643,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:03:20,2025-04-04T18:03:20Z,2025-04-04T18:03:20Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,abcd6791-2129-4608-aca6-934b67d07e28,53.53186,-122.59417,12.96303,5.37528,-4.62746,-9.49471,2.30368,-10.87888,8.02423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-04,14:03:54,2,1,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Carratala, Christian",10016462,Right,FLO_MEM,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.56404,-1.797055,3.135696,2433.02819,131.729818,10:30:00,5.44604,-2.48944,6.65799,-19.1243,15.26902,-15.70647,2.20484,-0.92594,80.69832,-5.486079,0.279453,0.422093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22764,8.97863,2.28387,50,5.31716,-6.49266,-129.8631,-4.56972,15.50404,31.28437,-17.08839,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,2cbce0e0-117f-11f0-af3f-b1dc6c1b805a,89.2988,NA,NA,8.86573,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:03:54,2025-04-04T18:03:54Z,2025-04-04T18:03:54Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,c0a0cca5-6fd3-4159-9104-4bc349e7dd6b,53.83822,-130.78447,15.64219,5.44433,-4.06644,-8.54419,2.48181,-6.94928,7.75202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-04,14:04:09,2,2,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Carratala, Christian",10016462,Right,FLO_MEM,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.69671,-2.780116,4.283326,1982.698778,132.388635,10:30:00,5.40479,-2.25634,6.79996,-25.991,13.8182,-13.68052,0.69254,0.52002,75.62103,-7.708289,1.792434,0.454112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.60189,8.54048,1.98368,50,5.21437,-8.52762,-119.86754,-6.48769,12.4518,24.26548,-19.81113,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,3589d6b0-117f-11f0-af3f-b1dc6c1b805a,83.00248,NA,NA,7.07568,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:04:09,2025-04-04T18:04:09Z,2025-04-04T18:04:09Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,3481b2ac-37db-44c8-b61f-6cc27c0339c5,53.70056,-120.61433,12.13274,5.40465,-5.87798,-9.90556,2.25203,-8.91083,6.2259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-04,14:04:43,2,3,"Robertson, Aaron",1000261701,Left,SOU_UNI,"Carratala, Christian",10016462,Right,FLO_MEM,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.548,-1.899235,3.750522,2464.397795,130.232194,10:15:00,5.38887,-2.37661,6.52839,-18.45418,16.2454,-17.65985,2.10434,-0.40272,80.44939,-5.465949,0.549976,0.423968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.48008,9.51343,2.12271,50,5.24858,-7.8008,-129.71365,-4.78592,17.52272,31.85265,-16.26757,SOU_UNI,FLO_MEM,TedABroerStadium,NAIA,TSC,20250404-TedABroerStadium-1,49c60b80-117f-11f0-af3f-b1dc6c1b805a,88.90387,NA,NA,9.09861,NA,NA,NA,NA,NA,NA,e1ad0261-0b93-4bc9-8262-6aaf5b21b858,2025-04-04,18:04:43,2025-04-04T18:04:43Z,2025-04-04T18:04:43Z,NA,v3,NA,NA,NA,"Hicks, Connor",801360,Right,SOU_UNI,f28c853d-51ed-4905-9189-cea44cb7239a,53.96865,-130.68456,15.92633,5.3869,-4.29006,-8.13378,2.36863,-8.33492,8.76136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
