PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:35:01,1,1,"Schmitt, Tyler",831325,Right,ILL_ILL,"Casillas, Benny",813699,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.89751,-1.243196,-2.578389,2027.171529,223.063455,01:30:00,6.02122,1.53678,6.34697,-19.54883,12.30957,10.55607,3.24639,0.04134,84.85505,-4.947386,-0.669149,0.406241,80.4351,15.073646,161.092809,2957.662769,-106.60959,14.06954,27.09833,170.72647,65.75997,168.044662,1.785463,-6.21941,7.06945,-1.35415,50,5.92155,5.63842,-134.91493,-3.5243,-11.45039,29.65957,-19.15862,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,ca513100-fbac-11ef-8cd8-1173cd89ee41,92.78351,15.28354,NA,8.04246,NA,NA,NA,0.34937,3.08637,-0.11827,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:35:01,2025-03-07T23:35:01Z,2025-03-07T23:35:01Z,LineDrive,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,c719f3e9-d0e6-4eab-8223-9e0d1739d236,54.15189,-135.82461,14.82979,6.02063,-2.93669,-9.57931,-1.53247,5.98961,-5.72519,278.48598,0.34937,-107.76572,10.02707,-1.53689,0.15549,0.07175,-0.06148,0.02123,-0.00287,3.08638,30.67885,-20.50974,1.6644,-0.11268,-0.18464,0.14362,-0.0477,0.00628,-0.11829,36.9144,-14.05186,3.83149,-1.45032,0.92825,-0.51409,0.15931,-0.02035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-03-07,18:35:16,1,2,"Schmitt, Tyler",831325,Right,ILL_ILL,"Casillas, Benny",813699,Right,MIC_WOL,Undefined,1,Top,0,0,1,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,76.43509,1.174093,-0.237537,2404.921792,20.287823,06:45:00,6.01322,1.26249,5.62825,-64.61948,-15.22371,-6.31374,1.72396,0.5147,69.08003,-10.617213,-1.369462,0.505844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14669,-7.76859,-1.238,50,6.07129,0.69374,-110.85116,0.15319,3.80936,24.81525,-41.5786,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,d3932fc0-fbac-11ef-8cd8-1173cd89ee41,74.51402,NA,NA,7.35505,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:35:16,2025-03-07T23:35:16Z,2025-03-07T23:35:16Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,a89ac1a7-8c99-43c0-88f8-23d656e6ba21,54.87351,-111.93683,12.40763,6.0248,1.97226,-20.7893,-1.2647,0.52708,1.90468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,18:35:32,1,3,"Schmitt, Tyler",831325,Right,ILL_ILL,"Casillas, Benny",813699,Right,MIC_WOL,Undefined,1,Top,0,0,2,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,93.73263,-2.234913,-3.524786,2120.361769,204.175966,12:45:00,6.20411,1.35874,5.92105,-11.26205,21.521,9.05741,3.18668,-1.16153,83.20212,-4.484575,-1.903178,0.412094,87.89035,14.128201,12.247335,1682.729775,106.20686,19.62055,28.63744,226.9367,224.82727,17.145328,2.335377,-5.91122,12.19292,-1.0814,50,6.0187,7.93099,-135.44777,-5.54275,-10.66158,37.61245,-10.18277,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,dd11c250-fbac-11ef-8cd8-1173cd89ee41,91.46565,19.75059,NA,10.53051,NA,NA,NA,1.50082,3.24394,1.15244,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:35:32,2025-03-07T23:35:32Z,2025-03-07T23:35:32Z,LineDrive,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,fc05e600-fe52-43bd-b61b-df63aba5f176,54.57358,-136.71191,18.80622,6.19924,-5.20051,-5.09138,-1.35398,8.28932,-5.33079,233.607666,1.50084,122.16053,-18.79266,3.85797,-0.74066,0.07523,0.01171,-0.00644,8.6e-4,3.24393,31.46555,-15.83484,0.84562,-0.07335,0.03349,-0.0169,0.00547,-6.9e-4,1.15244,26.51793,2.84201,-1.78804,0.60967,-0.15674,0.03305,-0.0048,3.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-03-07,18:36:33,2,1,"Schmitt, Tyler",831325,Right,ILL_ILL,"Kim, Jonathan",1000072654,Left,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.52917,-4.152512,-3.247346,2232.30587,205.822333,12:45:00,6.21009,1.63342,6.04581,-11.2043,21.31828,9.71237,1.41907,-0.56683,84.0121,-6.364119,-1.503278,0.410454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.10831,12.74091,-1.38562,50,5.87988,7.24717,-135.14957,-10.08641,-11.08472,34.63368,-9.05325,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,019746e0-fbad-11ef-8cd8-1173cd89ee41,91.83119,NA,NA,9.51707,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:36:33,2025-03-07T23:36:33Z,2025-03-07T23:36:33Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,3be5936e-ab9d-4ebd-be65-4db06a9075ef,54.45183,-136.28563,17.31684,6.20587,-9.78945,-4.52663,-1.62931,7.61077,-5.54236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,18:37:21,2,2,"Schmitt, Tyler",831325,Right,ILL_ILL,"Kim, Jonathan",1000072654,Left,MIC_WOL,Undefined,1,Top,0,1,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,84.64894,-3.065323,-3.108723,1715.929597,248.907227,02:15:00,6.07132,1.7727,5.91956,-31.41285,8.40788,17.89867,0.60204,0.37652,76.46075,-8.900964,0.107311,0.454178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.28835,5.7537,-1.53404,50,5.80759,5.94332,-122.47276,-7.56936,-15.31401,28.69984,-23.60978,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,1dd88da0-fbad-11ef-8cd8-1173cd89ee41,82.99045,NA,NA,8.18819,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:37:21,2025-03-07T23:37:21Z,2025-03-07T23:37:21Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,2d4aae93-08ad-40f5-81c3-4398864b73e7,54.57914,-123.54116,14.34992,6.07301,-6.69045,-11.80489,-1.76591,6.51341,-7.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,18:37:42,2,3,"Schmitt, Tyler",831325,Right,ILL_ILL,"Kim, Jonathan",1000072654,Left,MIC_WOL,Undefined,1,Top,0,1,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,86.53797,-2.902017,-3.394038,1840.754885,238.866356,02:00:00,6.02016,1.89512,5.80942,-26.66309,11.68863,16.89536,1.09252,0.14317,77.80626,-7.890109,-0.368274,0.445722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.8267,7.37307,-1.62692,50,5.76601,6.72109,-125.12092,-7.20902,-15.23965,30.35519,-20.73959,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,2a8d9310-fbad-11ef-8cd8-1173cd89ee41,84.56496,NA,NA,8.73171,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:37:42,2025-03-07T23:37:42Z,2025-03-07T23:37:42Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,fece5475-afd6-4b65-8cbb-a292a5e04e28,54.68828,-126.25321,15.1776,6.02049,-6.43541,-10.36979,-1.88823,7.28955,-7.61982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,18:38:15,2,4,"Schmitt, Tyler",831325,Right,ILL_ILL,"Kim, Jonathan",1000072654,Left,MIC_WOL,Undefined,1,Top,0,1,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,76.81931,0.621074,-0.424136,2410.0842,17.699408,06:30:00,5.99053,1.7512,5.48045,-57.68361,-8.38308,-3.28477,1.76472,1.08062,69.14537,-9.918351,-1.010998,0.505356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,-3.97374,-1.71166,50,6.00578,0.95026,-111.3039,-0.7169,1.84009,25.30079,-37.01638,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,3e468e20-fbad-11ef-8cd8-1173cd89ee41,74.58595,NA,NA,7.67394,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:38:15,2025-03-07T23:38:15Z,2025-03-07T23:38:15Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,3b488e33-e092-40f1-a923-5a85fc8b92de,55.01838,-112.43886,12.6504,6.0007,0.9436,-18.50819,-1.75243,0.86772,0.92004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,18:39:00,2,5,"Schmitt, Tyler",831325,Right,ILL_ILL,"Kim, Jonathan",1000072654,Left,MIC_WOL,Undefined,1,Top,0,1,2,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,2,0,NA,85.84071,-1.740407,-3.062051,1794.047081,255.97797,02:30:00,6.08184,1.86757,5.75626,-32.50805,6.34347,19.6034,1.74996,0.64815,77.44066,-7.768773,0.448449,0.448617,74.36733,-13.079391,16.75321,NA,NA,NA,NA,8.2377,5.34223,8.266205,0.063779,-11.01697,4.2187,-1.62564,50,5.91772,5.8324,-124.29428,-4.88045,-16.91377,29.23973,-25.69732,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,590af8e0-fbad-11ef-8cd8-1173cd89ee41,84.01923,1.57724,NA,8.40005,NA,NA,NA,1.6514,1.57724,-0.77254,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:39:00,2025-03-07T23:39:00Z,2025-03-07T23:39:00Z,GroundBall,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,40a8d2a6-950a-42d3-a071-6c41f48305f2,54.74202,-125.40486,14.61987,6.08455,-3.90442,-12.84866,-1.85936,6.47482,-8.45689,180,1.64942,101.92604,NA,NA,NA,NA,NA,NA,NA,1.57773,-24.72995,NA,NA,NA,NA,NA,NA,NA,-0.77313,30.68248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-03-07,18:39:39,3,1,"Schmitt, Tyler",831325,Right,ILL_ILL,"Voit, Mitch",702491,Right,MIC_WOL,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.61133,-1.982067,-2.476513,2235.000733,196.600065,12:30:00,6.17259,1.85782,5.96229,-9.88441,21.71607,6.13213,3.50855,0.07103,85.18475,-3.952354,-1.376193,0.404593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9015,12.04568,-1.66451,50,6.0094900000000004,5.64492,-137.05989,-4.94554,-7.31988,34.16445,-9.57434,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,7044b640-fbad-11ef-8cd8-1173cd89ee41,93.16138,NA,NA,9.42658,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:39:39,2025-03-07T23:39:39Z,2025-03-07T23:39:39Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,7c58dd7b-4d0c-46cb-b3fe-07396655faa2,54.53275,-138.18514,17.08222,6.16718,-4.6302,-4.78717,-1.8544,5.88601,-3.65994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,18:39:55,3,2,"Schmitt, Tyler",831325,Right,ILL_ILL,"Voit, Mitch",702491,Right,MIC_WOL,Undefined,1,Top,2,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.77397,-2.134598,-5.357178,2274.384253,215.300945,01:15:00,6.24023,1.5836,6.0714,-12.96623,18.48745,12.29516,3.17488,-2.36358,85.55334,-4.654243,-3.158322,0.403652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.91406,10.46379,-1.1738,50,6.0671,12.28018,-136.90776,-5.46012,-14.87431,32.97869,-12.50756,ILL_ILL,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,7997f310-fbad-11ef-8cd8-1173cd89ee41,93.37853,NA,NA,9.22063,NA,NA,NA,NA,NA,NA,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:39:55,2025-03-07T23:39:55Z,2025-03-07T23:39:55Z,NA,v3,NA,2290,NA,"Schroeder, Jacob",671680,Right,ILL_ILL,d9890aa6-71cf-4b8a-9270-51ef4fe34595,54.42482,-137.96951,16.48935,6.23641,-5.05743,-6.25378,-1.57686,12.75906,-7.43716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
