PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-28,15:05:31,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Fastball,NA,NA,89.27242,-1.042049,-2.279735,2278.928619,208.206684,01:00:00,5.80793,1.53817,6.42202,-16.67225,18.12225,9.05485,3.45984,0.19605,80.54631,-4.274843,-0.639838,0.424548,-5.38922,10.11233,-1.37907,50,5.72564,4.78212,-129.508,-2.76764,-9.03404,30.32421,-15.22255,51c6f825-5917-45c7-bf92-8a6484fe81c2,NA,NA,NA,NA,NA,702526,"Snow, Eric",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,AUB_TIG,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,bf146400-f617-11ef-ab85-83b5215e41b4,88.78251,NA,NA,8.72611,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:05:31,2025-02-28T21:05:31Z,2025-02-28T21:05:31Z,NA,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.07203,-130.45798,15.1621,5.80488,-2.29075,-7.61128,-1.53331,5.06513,-4.51702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-28,15:05:47,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,ChangeUp,NA,NA,84.44957,-2.64377,-3.213574,1927.251456,226.213025,01:30:00,5.45272,1.79686,5.75064,-24.92773,14.8143,14.03816,0.9086,-0.02806,76.97763,-7.297942,-0.703138,0.453729,-8.08622,8.72591,-1.53851,50,5.21775,6.29257,-122.29683,-6.43115,-12.17915,25.35964,-19.03146,e5581f40-e798-4f28-9e79-5c7704eab933,NA,NA,NA,NA,NA,702526,"Snow, Eric",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,AUB_TIG,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,c8530760-f617-11ef-ab85-83b5215e41b4,83.07261,NA,NA,7.47194,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:05:47,2025-02-28T21:05:47Z,2025-02-28T21:05:47Z,NA,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.74645,-123.27713,12.67982,5.45213,-5.69547,-9.51573,-1.79086,6.76336,-6.08958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-28,15:06:03,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Fastball,NA,NA,89.12443,-0.275205,-2.068925,2284.900493,211.159956,01:00:00,5.7572,1.35601,6.50892,-17.37973,17.36147,9.76107,4.05616,0.26995,80.446,-3.643077,-0.297915,0.424223,-5.68811,9.49583,-1.21506,50,5.72999,4.2736,-129.35785,-1.04978,-9.52228,30.01157,-16.27736,2ae41bcd-77cc-4b82-b523-d109e9c5f21a,NA,NA,NA,NA,NA,702526,"Snow, Eric",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,AUB_TIG,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,d19d1c70-f617-11ef-ab85-83b5215e41b4,88.85063,NA,NA,8.67843,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:06:03,2025-02-28T21:06:03Z,2025-02-28T21:06:03Z,NA,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,53.98498,-130.2791,15.00578,5.75455,-0.55012,-8.13868,-1.35073,4.5659,-4.76114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-28,15:06:17,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Fastball,NA,NA,88.72153,-1.133172,-2.576645,2321.358426,204.589603,12:45:00,5.80106,1.38089,6.48597,-14.51954,20.54946,8.84323,3.54954,-0.24939,80.21158,-3.977351,-0.973888,0.426219,-5.3554,11.40048,-1.20316,50,5.7144,5.43153,-128.71625,-2.86013,-8.8928,29.26484,-13.24319,02227513-ee5c-49ff-852f-f7c3564b5971,NA,NA,NA,NA,175.961002,702526,"Snow, Eric",2770.372417,NA,74.77838,Right,43.345095,NA,NA,NA,NA,42.51983,NA,NA,1.41918,3.565,0.23535,NA,NA,NA,NA,NA,1,4,AUB_TIG,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,da190c10-f617-11ef-ab85-83b5215e41b4,88.43441,37.64053,NA,8.50994,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:06:17,2025-02-28T21:06:17Z,2025-02-28T21:06:17Z,NA,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.00804,-129.62431,14.63242,5.79678,-2.44921,-6.62159,-1.37598,5.70746,-4.4464,328.369623,1.41918,-79.56097,4.34109,0.27218,0.1452,-2.04445,5.89635,-7.56129,3.65389,3.565,75.27977,-29.09239,3.69007,-0.06804,-3.71325,10.12629,-12.4985,5.88486,0.23535,5.61789,-5.78551,2.06698,0.30959,-4.68612,12.93891,-16.21789,7.7204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-02-28,15:06:39,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Fastball,NA,NA,90.86961,-1.130588,-1.890813,2361.462215,207.59657,01:00:00,5.77312,1.4582,6.20293,-14.01646,19.93312,9.77103,3.5608,0.52652,81.71309,-3.873867,-0.127923,0.419361,-5.6513,11.02536,-1.32077,50,5.68098,3.9365,-131.79204,-2.93918,-9.77671,32.29006,-13.10023,43a77e99-c51d-48f1-b1e9-f2687e798974,NA,NA,NA,NA,18.382853,702526,"Snow, Eric",2894.197844,NA,78.0864,Right,2.729363,NA,NA,NA,72.59542,70.09262,0.689147,20.88258,0.30687,3.5904,-0.5426,NA,NA,NA,NA,NA,1,5,AUB_TIG,1,Top,0,2,2,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,e792e820-f617-11ef-ab85-83b5215e41b4,89.88056,4.05242,NA,9.15652,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:06:39,2025-02-28T21:06:39Z,2025-02-28T21:06:39Z,GroundBall,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.29221,-132.8395,16.14503,5.76944,-2.51422,-6.55012,-1.45361,4.25365,-4.88836,266.400861,0.3396,107.91682,-14.5576,NA,NA,NA,NA,NA,NA,3.6067,5.13564,-15.07892,NA,NA,NA,NA,NA,NA,-0.56092,36.4392,2.82696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-02-28,15:07:21,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Slider,NA,NA,79.7322,1.385024,-1.776737,2543.235074,44.627442,07:30:00,5.57096,1.87111,5.46201,-50.82042,-6.07107,-7.3693,2.63315,-0.40651,73.17674,-7.865265,-3.089074,0.481465,3.22071,-3.0778,-1.70938,50,5.65785,3.88026,-115.73711,1.03996,4.35631,22.16634,-36.33705,2554c34f-4e0c-4379-8230-2a8a8a9d3844,NA,NA,NA,NA,-16.62108,811297,"Belyeu, Cade",3291.477398,NA,80.80669,Left,19.319257,101.95879,25.02746,-41.28395,214.20183,211.67203,2.531823,-27.531099,0.69942,2.52956,0.44557,NA,NA,NA,NA,NA,2,1,AUB_TIG,1,Top,0,0,0,Curveball,InPlay,Undefined,LineDrive,Single,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,00381c60-f618-11ef-ab85-83b5215e41b4,78.28697,25.07062,NA,6.55546,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:07:21,2025-02-28T21:07:21Z,2025-02-28T21:07:21Z,LineDrive,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,55.03853,-116.69812,11.08317,5.57862,2.61532,-18.16853,-1.87352,3.69139,2.17816,111.446504,0.69941,107.17082,-19.23244,3.92078,-0.76105,0.11137,-0.01236,7e-4,2e-5,2.52957,39.20767,-18.27595,1.18548,-0.1275,0.01469,-0.00218,9.2e-4,-1.3e-4,0.44554,-31.98836,-6.59045,2.71989,-0.79623,0.17415,-0.02818,0.00277,-1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-02-28,15:07:59,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Fastball,NA,NA,89.07343,0.375289,-0.345165,2305.009833,207.789223,01:00:00,5.7822,1.618,5.93135,-15.50733,20.27607,9.988,4.83812,2.1301,79.78443,-2.645243,1.448479,0.430539,-5.15709,10.57934,-1.59568,50,5.80332,0.33482,-129.12846,0.45644,-8.54262,31.63361,-14.64957,13b529db-fa2c-4774-a151-b63d85609a5f,NA,NA,NA,NA,NA,702610,"Irish, Ike",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,AUB_TIG,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,175466b0-f618-11ef-ab85-83b5215e41b4,87.54718,NA,NA,9.28901,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:07:59,2025-02-28T21:07:59Z,2025-02-28T21:07:59Z,NA,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.56088,-130.24099,15.8168,5.77821,0.97165,-7.32478,-1.61273,0.63526,-4.27131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-28,15:08:41,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Slider,NA,NA,79.04138,0.378522,-1.235564,2549.604207,48.451294,07:30:00,5.6556,1.90077,5.37251,-54.78562,-9.04997,-11.83599,1.4451,-0.24413,72.73427,-9.539293,-3.344199,0.486742,5.6226,-4.29799,-1.78127,50,5.65026,2.93922,-114.78225,-1.15317,7.46018,22.32838,-37.87671,d47280a2-ee95-486c-a8af-0be1d6e92400,NA,NA,NA,NA,NA,702610,"Irish, Ike",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,AUB_TIG,1,Top,0,1,0,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,3058d1f0-f618-11ef-ab85-83b5215e41b4,77.43825,NA,NA,6.30711,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:08:41,2025-02-28T21:08:41Z,2025-02-28T21:08:41Z,NA,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,55.12911,-115.77571,11.16419,5.66407,0.53208,-18.93836,-1.90466,2.6073,3.73009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-28,15:09:08,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Slider,NA,NA,78.10474,1.440775,-0.317582,2598.682888,59.423626,08:00:00,5.57366,1.71794,5.64264,-53.26534,-6.72008,-13.96749,2.47917,0.25774,71.34517,-8.30089,-2.8164,0.491031,7.02296,-3.45067,-1.68174,50,5.66178,1.15721,-113.40589,1.09235,9.05853,22.5905,-36.62487,74c54b5b-117b-4e76-9a41-1c9fd8e906a0,NA,NA,NA,NA,19.830151,702610,"Irish, Ike",2104.679346,NA,106.26102,Left,4.887172,NA,NA,NA,101.28764,97.78704,0.716821,21.410507,1.64729,2.53852,-0.27862,NA,NA,NA,NA,NA,3,3,AUB_TIG,1,Top,0,1,1,Curveball,InPlay,Undefined,GroundBall,Out,2,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,402f3ba0-f618-11ef-ab85-83b5215e41b4,76.7618,4.28747,NA,6.75958,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:09:08,2025-02-28T21:09:08Z,2025-02-28T21:09:08Z,GroundBall,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.85809,-114.36953,11.29525,5.58186,2.65465,-18.31243,-1.72286,0.7708,4.52927,310.286209,1.71191,144.84889,-21.99984,NA,NA,NA,NA,NA,NA,2.59799,12.14508,-22.10457,NA,NA,NA,NA,NA,NA,-0.29243,52.94495,-1.30934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Medium,NA,NA,NA
10,2025-02-28,15:09:51,"Erdmann, Drew",815200,Right,OSU_BUC,Undefined,Curveball,NA,NA,78.1862,1.32555,-0.655957,2561.710778,31.982891,07:00:00,5.6099,1.55825,5.56763,-61.87145,-15.18871,-10.45469,1.69249,0.07425,71.50477,-9.920031,-2.526538,0.491756,5.12544,-7.76835,-1.4945,50,5.68291,1.69661,-113.53286,0.52844,6.60469,23.25407,-42.18443,7cde309d-8a7b-4217-8856-8627272a3397,NA,NA,NA,NA,33.671571,803102,"McMurray, Cooper",4410.571233,NA,93.45358,Left,0.885599,NA,NA,NA,42.56857,42.56857,0.309379,33.053292,2.65695,1.87145,-0.09558,NA,NA,NA,NA,NA,4,1,AUB_TIG,1,Top,2,0,0,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,OSU_BUC,AUB_TIG,Arlington,D1,SEC,20250228-Arlington-1,59d2cd10-f618-11ef-ab85-83b5215e41b4,76.64868,1.91138,NA,6.68143,NA,NA,NA,bf60445b-2f90-4cea-ab12-dc23499cff7e,2025-02-28,21:09:51,2025-02-28T21:09:51Z,2025-02-28T21:09:51Z,GroundBall,v3,4144,471236,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.935,-114.5392,11.62703,5.62054,2.354,-21.09221,-1.56174,1.41078,3.30234,307.083039,2.66177,113.84885,-23.08338,NA,NA,NA,NA,NA,NA,1.87769,1.84935,-25.65778,NA,NA,NA,NA,NA,NA,-0.09787,76.08349,-2.30793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
