PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,15:33:45,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Fastball,NA,NA,86.85819,-0.927101,-2.480599,1964.208372,231.477133,01:45:00,5.7333,1.18883,4.90782,-22.67466,16.93442,19.21887,2.96612,0.44312,77.07827,-5.191698,0.904073,0.452969,-10.27697,9.11347,-0.96305,50,5.62483,4.50954,-125.43521,-2.81035,-15.90162,32.18443,-18.07268,2abb9bb3-77a8-499f-b78a-0d70b4f0bd13,NA,NA,NA,NA,NA,10012823,"Myers, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ALB_GRE,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,79848260-f6dc-11ef-ae68-6d7b39680bf6,83.21187,NA,NA,9.77992,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:33:45,2025-03-01T20:33:45Z,2025-03-01T20:33:45Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.58529,-126.8602,16.09222,5.73155,-2.01017,-9.03634,-1.1783,5.2136,-7.95081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-01,15:34:01,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Fastball,NA,NA,85.52754,-0.421849,-3.645698,1900.279067,242.576534,02:00:00,5.81994,0.85319,4.85596,-28.58942,12.03772,20.17895,3.03737,-0.9208,76.5694,-5.705588,-0.099713,0.458754,-11.08902,6.50638,-0.51123,50,5.75477,6.9234,-123.54137,-1.96337,-16.80087,29.12577,-22.31629,439858e7-503f-4d9a-be67-71884b27001a,NA,NA,NA,NA,NA,10012823,"Myers, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ALB_GRE,1,Top,0,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,83234720-f6dc-11ef-ae68-6d7b39680bf6,82.16271,NA,NA,8.95814,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:34:01,2025-03-01T20:34:01Z,2025-03-01T20:34:01Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.63979,-124.86391,14.56288,5.82092,-0.95003,-11.15815,-0.84293,7.68629,-8.40044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-01,15:34:17,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Slider,NA,NA,77.87298,-0.519133,-3.071585,1982.167741,352.393997,05:45:00,5.50583,1.19359,5.07965,-48.69542,0.57028,0.19933,0.9578,-1.68806,69.43444,-9.404437,-3.03635,0.505177,-1.27965,1.03421,-0.90251,50,5.41871,6.0243,-112.41941,-2.71007,-1.57916,27.14801,-30.89776,1eb22bfa-9ecb-4aee-b4a8-52904bd2134a,NA,NA,NA,NA,NA,10012823,"Myers, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ALB_GRE,1,Top,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,8cb90b30-f6dc-11ef-ae68-6d7b39680bf6,74.61233,NA,NA,8.43854,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:34:17,2025-03-01T20:34:17Z,2025-03-01T20:34:17Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.41549,-113.71967,13.57401,5.51307,-1.23022,-15.44888,-1.19286,6.09993,-0.78958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-01,15:34:34,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,ChangeUp,NA,NA,80.43966,-0.838407,-3.59964,1522.926312,249.94767,02:15:00,5.78386,0.95357,5.07798,-36.80069,7.61961,17.14851,1.92515,-1.01522,74.101070000000007,-7.530135,-0.571424,0.479692,-9.4702,4.41634,-0.62624,50,5.67528,6.61993,-116.59181,-3.01017,-13.1102,20.74773,-26.0602,39e67de2-0743-475f-82cf-1bcc8a991feb,NA,NA,NA,NA,NA,10012823,"Myers, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ALB_GRE,1,Top,0,1,2,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,96887ce0-f6dc-11ef-ae68-6d7b39680bf6,78.57637,NA,NA,6.33859,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:34:34,2025-03-01T20:34:34Z,2025-03-01T20:34:34Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.42244,-117.55278,10.37387,5.78675,-1.80314,-13.0301,-0.94692,7.22716,-6.5551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.69983,2.858163,1.773568,1.084595,-0.14802,1.71536,1.02963,-1.17514,5.24698,-3.79146,74.34513,4.82825,-50.43806,-1.11825,75.65857,-5.62592,5.27937,14.50034,-13.7644,-3.8174,-45.93812,2.73207,High,High,High,NA,NA,High,High,High
5,2025-03-01,15:35:01,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Fastball,NA,NA,86.96559,-1.338652,-1.328648,2053.218613,233.486018,01:45:00,5.75283,1.1499,5.04526,-22.36501,16.22788,20.06233,2.62581,1.56826,78.62441,-5.506392,2.216689,0.447121,-10.27753,8.84847,-1.03972,50,5.60803,1.98243,-125.96118,-3.71852,-16.32054,28.35555,-18.12281,2ff5e517-c500-4cac-9d04-626a5ed91361,NA,NA,NA,NA,NA,10064140,"Scarabino, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ALB_GRE,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,a6a78850-f6dc-11ef-ae68-6d7b39680bf6,84.30032,NA,NA,8.34117,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:35:01,2025-03-01T20:35:01Z,2025-03-01T20:35:01Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.45119,-127.18239,14.17778,5.75138,-2.93801,-9.0614,-1.14024,2.68532,-8.16027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,15:35:15,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,ChangeUp,NA,NA,77.08851,0.496395,-1.355651,1455.973841,256.650966,02:30:00,5.54747,1.39675,4.71114,-43.82892,6.54737,19.24548,2.36633,1.71365,69.04316,-7.50291,2.026491,0.51084,-9.81709,3.62575,-1.27769,50,5.55949,1.80563,-111.44472,-0.59196,-12.03919,24.6728,-27.7276,a880a7d7-4eaf-4c60-99fb-3fadf3a161d7,NA,NA,NA,NA,NA,10064140,"Scarabino, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ALB_GRE,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,af53d6c0-f6dc-11ef-ae68-6d7b39680bf6,73.78528,NA,NA,8.04536,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:35:15,2025-03-01T20:35:15Z,2025-03-01T20:35:15Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.78364,-112.71789,12.3364,5.55313,0.83885,-13.8638,-1.38689,2.42688,-6.01959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-01,15:35:32,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Fastball,NA,NA,88.0086,-1.403372,-1.864556,2015.448657,236.601803,02:00:00,5.71507,1.10801,4.9435,-22.38237,15.8145,21.74824,2.52266,1.15765,78.81796,-5.585394,1.970877,0.444821,-11.37686,8.70115,-0.94598,50,5.56118,3.11699,-127.30333,-3.91282,-18.26668,31.3958,-18.2035,6d69a24a-00b0-4e57-913f-c9cfab935919,NA,NA,NA,NA,-86.906187,10064140,"Scarabino, Anthony",5281.967999,NA,68.29756,Left,21.095685,NA,NA,NA,NA,61.40245,NA,NA,1.33377,2.51454,-1.16051,NA,NA,NA,NA,NA,2,3,ALB_GRE,1,Top,1,2,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,b8fde620-f6dc-11ef-ae68-6d7b39680bf6,84.7362,18.74621,NA,9.19064,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:35:32,2025-03-01T20:35:32Z,2025-03-01T20:35:32Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.55338,-128.66563,15.6979,5.71382,-3.12295,-9.10175,-1.09842,3.9096,-9.13334,NA,1.33377,5.04393,-10.74363,1.80119,-0.31521,0.02999,0.00368,-0.00686,0.00296,2.51454,36.0537,-18.50084,1.28485,-0.18627,0.02735,-0.00117,2.2e-4,-3e-5,-1.16051,-93.32008,6.67369,-2.06022,0.56038,-0.11879,0.02428,-0.0037,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
8,2025-03-01,15:35:51,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Fastball,NA,NA,87.92098,-1.746317,-0.965761,1974.04837,224.258639,01:30:00,5.68848,1.11835,4.96288,-19.24891,18.64784,16.84627,2.4339,1.60976,79.43105,-5.355562,2.006552,0.44307,-8.60142,10.14717,-1.0394,50,5.50451,1.35141,-127.31252,-4.53394,-13.94716,29.07853,-15.72051,d9f79cdc-911c-4f01-a21d-be95fea77010,NA,NA,NA,NA,NA,10064140,"Scarabino, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ALB_GRE,1,Top,1,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,c4b048a0-f6dc-11ef-ae68-6d7b39680bf6,85.07105,NA,NA,8.48993,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:35:51,2025-03-01T20:35:51Z,2025-03-01T20:35:51Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.53382,-128.57025,14.53927,5.68592,-3.85399,-7.86026,-1.1109,1.95467,-6.97358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,15:36:08,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,ChangeUp,NA,NA,79.03495,-1.236975,-4.233428,1407.759026,271.468078,03:00:00,5.61263,1.12303,5.28132,-44.65676,1.01583,13.51268,0.72618,-1.73397,73.21127,-9.312306,-1.838545,0.486406,-7.92288,1.19299,-0.7467,50,5.46632,7.94948,-114.53468,-4.01764,-10.59259,19.87017,-30.57907,a41eeee3-8b2a-462d-bc84-e7bac0562c92,NA,NA,NA,NA,NA,10064140,"Scarabino, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,ALB_GRE,1,Top,1,3,1,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,ceb7e150-f6dc-11ef-ae68-6d7b39680bf6,77.49168,NA,NA,5.82368,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:36:08,2025-03-01T20:36:08Z,2025-03-01T20:36:08Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.22084,-115.43687,9.93509,5.61721,-2.62922,-15.28953,-1.11856,8.43043,-5.29629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,15:36:39,"Strickland, Alex",1000111140,Right,LON_LAN,Undefined,Fastball,NA,NA,86.84883,-1.693694,-2.678676,2013.550103,218.113769,01:15:00,5.88514,1.33401,5.26523,-16.95036,21.47529,15.76162,2.8793,0.12922,78.39998,-4.924887,0.114052,0.446151,-8.64347,11.62221,-1.10065,50,5.71812,5.16217,-125.70834,-4.22249,-13.68093,28.06535,-13.77837,1dd9857a-2156-47dd-ab82-4177e07b3a84,NA,NA,NA,NA,NA,10023193,"Ferremi, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ALB_GRE,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LON_LAN,ALB_GRE,BuddyBoldingStadium,D1,BSOU,20250301-BuddyBoldingStadium-2,e0d15d30-f6dc-11ef-ae68-6d7b39680bf6,84.48356,NA,NA,8.44885,NA,NA,NA,4a6eb87a-b7bf-4a6b-a1d7-3a2ff120dc84,2025-03-01,20:36:39,2025-03-01T20:36:39Z,2025-03-01T20:36:39Z,NA,v3,471338,albany,NA,"Urbaniak, Mikey",1000361728,Right,LON_LAN,55.2308,-126.87078,14.03268,5.88119,-3.6518,-6.88918,-1.3262,5.72882,-6.84047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
