PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,12:05:53,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Fastball,NA,NA,92.7067,-2.264617,-0.783918,2223.933181,219.99251,01:15:00,5.7161,1.04481,5.88043,-17.50036,14.80891,11.61839,2.15334,1.28495,85.38804,-5.550454,1.30179,0.409105,-6.12859,8.45902,-0.9881,50,5.52294,1.33085,-134.68251,-5.88858,-11.3391,27.25397,-16.52323,9cbc656d-939e-4ff4-b122-610821bf1ebf,NA,NA,NA,NA,NA,828327,"Hockemeyer, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FOR_MAS,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,e7581910-f6c7-11ef-9086-39547005f2d8,92.13383,NA,NA,7.31866,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:05:53,2025-03-01T18:05:53Z,2025-03-01T18:05:53Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,54.61828,-135.61383,13.62699,5.71451,-5.32395,-8.26162,-1.0402,1.71833,-5.66955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-01,12:06:09,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Slider,NA,NA,80.37242,-0.826601,-0.197904,2413.757964,97.729276,09:15:00,5.55539,1.28092,5.37455,-41.21601,2.4774,-9.07461,1.34572,0.33916,74.59305,-8.312343,-1.814101,0.475751,4.51248,1.85142,-1.25659,50,5.45208,0.76756,-116.81047,-3.11569,6.2892,20.20283,-29.59364,b24025b7-007d-4362-9297-a15270ff9276,NA,NA,NA,NA,NA,828327,"Hockemeyer, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,FOR_MAS,1,Top,0,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,f076b150-f6c7-11ef-9086-39547005f2d8,79.2273,NA,NA,5.77938,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:06:09,2025-03-01T18:06:09Z,2025-03-01T18:06:09Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,55.12545,-117.6936,10.10142,5.56,-1.82206,-14.79682,-1.28413,0.49264,3.1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-01,12:06:25,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Slider,NA,NA,81.54854,0.425,-0.536938,2485.268635,83.006395,08:45:00,5.5537,1.48508,5.32719,-42.18101,0.22169,-7.71882,2.43744,0.33801,75.68693,-7.234606,-1.909314,0.468671,3.77252,0.31937,-1.43067,50,5.56126,1.42079,-118.5711,-0.61509,5.42998,20.32627,-31.71438,b8fbf424-f668-42e3-9c5f-abd5faffaa5a,NA,NA,NA,NA,NA,828327,"Hockemeyer, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,FOR_MAS,1,Top,0,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,f9f78dd0-f6c7-11ef-9086-39547005f2d8,80.42406,NA,NA,5.8616,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:06:25,2025-03-01T18:06:25Z,2025-03-01T18:06:25Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,55.1744,-119.45484,10.16314,5.55803,0.76377,-15.85719,-1.48731,1.1847,2.71499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-01,12:06:49,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Fastball,NA,NA,93.12079,-1.649013,-1.363138,2338.514081,208.335449,01:00:00,5.71191,1.05421,6.12952,-12.61532,19.36245,9.88312,3.13555,0.61757,84.88797,-4.096204,0.418202,0.407001,-5.46933,10.76276,-0.95495,50,5.5791,2.79001,-135.23639,-4.21393,-10.10916,30.028,-12.2809,1ecbd5cb-dc57-4bff-9a3e-d63ae90f4bb7,NA,NA,NA,NA,NA,828327,"Hockemeyer, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,FOR_MAS,1,Top,0,0,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,08876dc0-f6c8-11ef-9086-39547005f2d8,92.61015,NA,NA,8.23282,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:06:49,2025-03-01T18:06:49Z,2025-03-01T18:06:49Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,54.36802,-136.20281,15.014,5.70836,-3.81867,-6.14045,-1.04998,3.11536,-5.05458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.36885,NA,NA,0.955396,NA,NA,NA,1.14373,5.18128,3.25665,64.77524,7.40869,60.04194,1.24298,75.43848,-9.34781,5.21374,15.25322,-13.55663,3.27348,62.45376,-3.17481,High,High,High,NA,NA,High,High,High
5,2025-03-01,12:07:18,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Slider,NA,NA,81.76143,-0.19885,-1.122899,2475.563945,111.598115,09:45:00,5.57743,1.50479,5.44408,-37.09112,5.26488,-10.07138,2.30029,-0.38599,75.29523,-6.984928,-2.916161,0.468413,4.75898,3.11331,-1.39849,50,5.53439,2.74003,-118.74241,-1.69083,6.81506,22.09682,-27.71567,c7b39536-5f95-4c17-b778-5396db05ae27,NA,NA,NA,NA,NA,1000133231,"Karczewski, Camden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,FOR_MAS,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,1a288550-f6c8-11ef-9086-39547005f2d8,80.46838,NA,NA,6.46621,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:07:18,2025-03-01T18:07:18Z,2025-03-01T18:07:18Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,55.05448,-119.6793,11.04841,5.58117,-0.5157,-13.85783,-1.50854,2.45108,3.40753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,12:07:35,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Cutter,NA,NA,88.00657,-2.006018,-2.788286,2099.285931,184.916937,12:15:00,5.51213,1.31128,5.56615,-24.39411,12.25473,0.9528,1.60235,-1.2161,80.54727,-6.525981,-2.618551,0.435714,-1.26213,7.12158,-1.0713,50,5.32303,6.17048,-127.54949,-5.3054500000000004,-2.07764,26.42015,-20.45092,9490fec0-c8a0-4417-9009-ce8faa24f768,NA,NA,NA,NA,NA,1000133231,"Karczewski, Camden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,FOR_MAS,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,23bdad20-f6c8-11ef-9086-39547005f2d8,86.50727,NA,NA,7.4593,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:07:35,2025-03-01T18:07:35Z,2025-03-01T18:07:35Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,54.93081,-128.56678,13.21007,5.51215,-4.518,-10.22546,-1.31043,6.25048,-1.03882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-01,12:07:53,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Fastball,NA,NA,92.89549,-2.020039,-1.794966,2266.402937,219.651165,01:15:00,5.68797,1.08398,5.98992,-15.82269,16.71977,12.92528,2.4956,0.49702,84.20644,-5.047606,0.528662,0.410579,-7.11642,9.50339,-0.94915,50,5.51977,3.64136,-134.72455,-5.21266,-12.97021,31.55507,-14.85337,5e25f358-83bc-46f4-a361-96a1bcf9c687,NA,NA,NA,NA,NA,1000133231,"Karczewski, Camden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,FOR_MAS,1,Top,1,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,2e7e5ca0-f6c8-11ef-9086-39547005f2d8,91.80312,NA,NA,8.68905,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:07:53,2025-03-01T18:07:53Z,2025-03-01T18:07:53Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,54.50601,-135.77584,15.77753,5.68519,-4.71781,-7.42669,-1.07767,4.07347,-6.48511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-01,12:08:14,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Fastball,NA,NA,93.82879,-3.241621,-2.698301,2243.089423,215.221562,01:15:00,5.55707,1.22007,5.98871,-14.52375,17.54391,11.57733,1.33591,-0.31776,84.89111,-6.031181,-0.618887,0.407573,-6.73725,10.3252,-1.01327,50,5.29286,5.88011,-135.83703,-8.11102,-12.45367,32.72047,-13.08811,6ca38e8b-50e5-481e-b6b9-57fd2b312b4b,NA,NA,NA,NA,NA,1000133231,"Karczewski, Camden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,FOR_MAS,1,Top,1,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,3b19bf90-f6c8-11ef-9086-39547005f2d8,92.48026,NA,NA,8.93768,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:08:14,2025-03-01T18:08:14Z,2025-03-01T18:08:14Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,54.50736,-136.91846,16.36023,5.55378,-7.67845,-6.54406,-1.21441,6.29171,-6.22684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,12:08:33,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Slider,NA,NA,80.89869,0.081778,0.078254,2495.802425,81.113281,08:45:00,5.54392,1.37376,5.40256,-44.59069,-0.54736,-13.4415,1.90466,0.32696,73.40839,-8.074909,-2.316784,0.477652,6.82374,0.10335,-1.37083,50,5.51993,0.38275,-117.33636,-1.3814,9.36508,25.42776,-32.03224,3588c412-9f2f-439d-9ec0-355611ffac11,NA,NA,NA,NA,-25.765113,1000133231,"Karczewski, Camden",2885.05773,NA,94.04231,Right,2.064077,NA,NA,NA,52.54092,52.13512,0.389437,-26.32749,2.22766,2.04705,-0.29595,NA,NA,NA,NA,NA,2,5,FOR_MAS,1,Top,1,2,2,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,466f5c10-f6c8-11ef-9086-39547005f2d8,78.91196,2.26879,NA,7.4903,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:08:33,2025-03-01T18:08:33Z,2025-03-01T18:08:33Z,GroundBall,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,55.09645,-118.43565,12.71388,5.54972,0.00342,-16.01612,-1.37862,-0.02213,4.68254,42.001882,2.23728,123.80515,-22.21874,NA,NA,NA,NA,NA,NA,2.05981,4.52795,-25.28832,NA,NA,NA,NA,NA,NA,-0.29311,-60.01522,2.37815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-03-01,12:09:15,"Strange, Brian",10061574,Right,SOU_RED,Undefined,Fastball,NA,NA,91.73172,-1.441793,-2.525453,2251.2123110000002,213.942898,01:15:00,5.67845,1.31359,5.80901,-15.52969,18.40863,11.53237,3.04197,-0.07538,82.28921,-4.438697,-0.461191,0.419292,-6.65079,10.1891,-1.11303,50,5.55099,5.32982,-132.82679,-3.782,-11.66961,33.19126,-14.29603,9908a5ee-884e-4075-8574-37ba00d9d0d1,NA,NA,NA,NA,NA,1000095739,"Osterhouse, Justin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,FOR_MAS,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,FOR_MAS,SEMissouriState,D1,OVC,20250301-SEMissouriState-1,5f551bc0-f6c8-11ef-9086-39547005f2d8,89.89545,NA,NA,9.44251,NA,NA,NA,05eb9a88-3063-40c5-a1e5-432de558dbe0,2025-03-01,18:09:15,2025-03-01T18:09:15Z,2025-03-01T18:09:15Z,NA,v3,471444,471321,01 March 2025 13:00-iupufw@semost,"Forsyth, Liam",10868726,Right,SOU_RED,54.68502,-133.99239,16.59563,5.67499,-3.27996,-7.14802,-1.3074,5.73963,-5.83481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
