PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-02,13:01:49,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,93.1767,-2.653533,-3.444203,2167.895998,222.915095,01:30:00,5.90973,1.92035,6.18925,-15.85438,16.84304,14.45398,2.13228,-0.0591,83.19623,-5.725861,-0.840736,0.411555,-8.58233,9.96646,-1.66698,50,5.7011,7.46122,-134.7311,-6.68144,-15.39687,35.81908,-14.29404,dc07a9d3-52e0-468c-a024-08e0a54b8378,NA,NA,NA,NA,NA,1000268620,"Durschlag, Konni",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,HIG_PAN,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,6a05efe0-f790-11ef-8203-f15197db5e9e,91.58537,NA,NA,9.98047,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:01:49,2025-03-02T18:01:49Z,2025-03-02T18:01:49Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,54.30633,-135.87114,17.90954,5.90652,-6.22649,-7.14702,-1.91225,7.95127,-7.69844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-02,13:02:02,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,93.04702,-3.296384,-3.602023,2203.938025,199.533132,12:45:00,5.85789,1.99499,6.61434,-13.71705,18.69068,6.16465,1.68632,-0.79475,82.90981,-6.00205,-2.483871,0.409728,-4.48193,11.31768,-1.75182,50,5.62692,8.20178,-134.47854,-8.05087,-7.98302,36.5935,-12.01546,9b9953ee-1668-41be-98bb-7a9804967d24,NA,NA,NA,NA,NA,1000268620,"Durschlag, Konni",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,HIG_PAN,1,Top,0,0,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,7244af70-f790-11ef-8203-f15197db5e9e,91.99375,NA,NA,10.13721,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:02:02,2025-03-02T18:02:02Z,2025-03-02T18:02:02Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,53.87958,-135.53012,18.29675,5.85332,-7.70559,-6.00773,-1.9908,8.43118,-3.99151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-02,13:02:22,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Slider,NA,NA,82.42489,-1.446196,-3.140385,2439.752533,74.762068,08:30:00,5.81077,2.02964,6.05988,-43.10573,-1.52398,-10.91886,0.87776,-1.78986,75.0904,-9.368016,-5.104549,0.464112,4.5913,0.13465,-1.7799,50,5.67567,6.9724,-119.44165,-4.41416,6.51853,26.6974,-31.98286,6f233ac7-1579-4c21-a4af-830d5eb60c36,NA,NA,NA,NA,NA,1000268620,"Durschlag, Konni",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,HIG_PAN,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,7daff6d0-f790-11ef-8203-f15197db5e9e,81.2141,NA,NA,7.3345,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:02:22,2025-03-02T18:02:22Z,2025-03-02T18:02:22Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,54.44005,-120.43,13.3487,5.81716,-3.23015,-15.99143,-2.03356,6.73108,3.25927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-02,13:02:38,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,94.45967,-1.986138,-3.230633,2266.541518,224.587592,01:30:00,5.96988,1.90245,6.66642,-20.82344,9.86146,8.69772,2.41367,-0.33189,85.86027,-5.940185,-1.649074,0.398689,-5.56894,6.10957,-1.68876,50,5.82801,7.38742,-137.05254,-5.37948,-10.50381,32.65004,-20.65056,8cc6ad18-7e9b-44ac-9b79-d0c9d4566c22,NA,NA,NA,NA,-12.644911,1000268620,"Durschlag, Konni",NA,NA,88.25835,Right,-28.211505,NA,NA,NA,5.68903,2.90746,0.039166,-6.321328,1.2858,2.40183,0.35372,NA,NA,NA,NA,NA,1,4,HIG_PAN,1,Top,0,1,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,8759df20-f790-11ef-8203-f15197db5e9e,94.54103,2.40183,NA,8.5994,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:02:38,2025-03-02T18:02:38Z,2025-03-02T18:02:38Z,GroundBall,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,53.83382,-137.96285,16.32502,5.96997,-4.80373,-10.32528,-1.89881,7.68028,-5.25191,NA,1.28428,111.54206,NA,NA,NA,NA,NA,NA,NA,2.40266,-61.32457,NA,NA,NA,NA,NA,NA,NA,0.35406,-25.02442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
5,2025-03-02,13:03:05,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Slider,NA,NA,78.8644,0.920252,-0.823314,2527.987097,89.474405,09:00:00,6.02582,1.98904,5.83463,-44.1351,1.39748,-17.89521,3.20344,-0.26756,71.66215,-7.230455,-4.032309,0.48566,8.80792,0.94,-1.91166,50,6.07542,2.33739,-114.44528,0.42862,11.52398,23.78355,-30.94418,57e33682-719e-4317-b63f-b7222527d1b2,NA,NA,NA,NA,NA,1000194450,"Murphy, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,HIG_PAN,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,975053f0-f790-11ef-8203-f15197db5e9e,77.61071,NA,NA,7.20226,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:03:05,2025-03-02T18:03:05Z,2025-03-02T18:03:05Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,54.66492,-115.41065,11.89178,6.03253,1.68465,-15.47209,-1.99704,1.86964,5.76199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-02,13:03:15,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Slider,NA,NA,83.60935,-2.772419,-2.080105,2536.199627,80.347381,08:45:00,5.89008,2.10627,6.18704,-40.74266,-0.25295,-10.35552,-0.06877,-0.67823,75.76274,-10.280117,-3.952648,0.457977,4.6726,1.2341,-1.9441,50,5.6603,4.7884,-121.11563,-7.15722,6.76749,29.15488,-30.38666,fc582fdc-be33-4352-89d2-e755f5d8af37,NA,NA,NA,NA,NA,1000194450,"Murphy, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,HIG_PAN,1,Top,1,0,1,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,9d7b75c0-f790-11ef-8203-f15197db5e9e,82.30204,NA,NA,7.84661,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:03:15,2025-03-02T18:03:15Z,2025-03-02T18:03:15Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,54.31306,-122.14945,14.57744,5.89499,-6.07972,-15.19333,-2.10964,4.54842,3.38375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-02,13:03:31,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,94.16519,-3.681402,-3.194898,2237.114398,218.552448,01:15:00,6.03059,1.83354,6.38469,-18.21627,13.19276,9.62674,1.11606,-0.30631,85.37527,-7.14183,-1.453396,0.403365,-5.96929,8.34134,-1.60731,50,5.75634,7.19467,-136.29224,-9.32084,-11.10674,32.9757,-16.65374,75e3609b-cc2a-48c6-9e06-6747e9ae40e3,NA,NA,NA,NA,NA,1000194450,"Murphy, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,HIG_PAN,1,Top,1,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,a6e2d6d0-f790-11ef-8203-f15197db5e9e,93.4449,NA,NA,8.78992,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:03:31,2025-03-02T18:03:31Z,2025-03-02T18:03:31Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,54.11334,-137.28385,16.48785,6.0291,-8.82005,-8.32687,-1.82868,7.52866,-5.55337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-02,13:03:43,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,93.42826,-1.044539,-2.739269,2219.10434,191.643581,12:30:00,5.86379,1.78001,6.72717,-11.26068,20.21879,3.93268,3.96956,-0.39769,84.0791,-3.295285,-2.023684,0.403818,-2.93099,11.2739,-1.60024,50,5.78945,6.32055,-135.53023,-2.66944,-5.36867,33.82745,-11.52381,377cbf2d-eca0-4355-b98c-c54abebf8de7,NA,NA,NA,NA,NA,1000194450,"Murphy, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,HIG_PAN,1,Top,1,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,ae6e7300-f790-11ef-8203-f15197db5e9e,93.34026,NA,NA,9.34916,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:03:43,2025-03-02T18:03:43Z,2025-03-02T18:03:43Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,53.7688,-136.46766,16.91372,5.859,-2.3501,-5.7619,-1.77745,6.46933,-2.68434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-02,13:04:01,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,92.00751,-1.901978,-3.874781,2228.691614,209.671308,01:00:00,5.99146,1.64236,6.58145,-14.69265,17.87414,9.53426,3.01931,-1.11969,83.25574,-4.761506,-2.147114,0.410732,-6.15752,10.27997,-1.37978,50,5.85412,8.6404,-133.3257,-4.78606,-10.97346,31.31998,-13.85391,790d0766-8a7d-4619-85cc-c0b72c662206,NA,NA,NA,NA,NA,1000194450,"Murphy, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,HIG_PAN,1,Top,1,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,b926be10-f790-11ef-8203-f15197db5e9e,91.76884,NA,NA,8.75177,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:04:01,2025-03-02T18:04:01Z,2025-03-02T18:04:01Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,53.91664,-134.24262,15.65999,5.9883,-4.38048,-6.92696,-1.63743,8.96166,-5.48673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-02,13:04:30,"Kersey, Braydon",10112085,Right,MER_BEA,Undefined,Fastball,NA,NA,93.38238,-3.750513,-4.40466,2314.505725,211.621179,01:00:00,5.85307,1.96757,6.24837,-12.37198,19.84592,11.49816,1.3478,-1.14466,84.36723,-6.1697,-2.336381,0.408526,-7.29725,11.7743,-1.64469,50,5.56664,9.89603,-134.92826,-9.16,-13.29955,32.47454,-10.71488,293c7b6f-78fb-4c57-a998-2e71c5e4b73e,NA,NA,NA,NA,NA,1000089637,"Hillier, Three",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,HIG_PAN,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,HIG_PAN,MercerUniversity,D1,SOCON,20250302-MercerUniversity-1,ca6d80a0-f790-11ef-8203-f15197db5e9e,92.26446,NA,NA,9.01515,NA,NA,NA,3b261799-66bb-48ae-bfdf-a6cb4c61a602,2025-03-02,18:04:30,2025-03-02T18:04:30Z,2025-03-02T18:04:30Z,NA,v3,471354,471515,NA,"Thompson, Zack",1000220619,Right,MER_BEA,54.24998,-135.9473,16.23727,5.84881,-8.82377,-5.35744,-1.96177,10.31337,-6.64977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
