PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-02,13:05:02,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,85.95199,-2.057506,2.964122,2125.623658,144.486798,10:45:00,5.58316,-1.64253,5.15821,-21.17316,18.41729,-12.08843,1.87857,0.14273,77.39905,-6.034459,0.826942,0.452863,6.96981,10.25138,1.37527,50,5.37531,-5.89146,-124.27932,-5.16189,10.73358,28.47145,-16.3868,39952ff2-b728-4c69-9383-6e9102b77741,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PEN_NIT,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,dc706740-f790-11ef-9c99-ebce0c8ad188,83.23151,NA,NA,8.55294,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:05:02,2025-03-02T18:05:02Z,2025-03-02T18:05:02Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.33854,-125.49638,14.23573,5.58099,-4.4614,-8.1934,1.63692,-6.35029,5.36679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-02,13:05:15,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,86.40414,-2.261463,1.631927,2196.724632,131.09078,10:15:00,5.50232,-1.65325,5.17001,-24.886,14.06446,-14.52981,1.29825,-1.32785,78.27169,-6.872128,-0.942592,0.449188,7.72985,8.11619,1.51273,50,5.27302,-2.90792,-125.09744,-5.81185,12.10805,27.95014,-19.46087,658e6f71-5028-455e-9774-128cfb31d937,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,PEN_NIT,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,e49eac10-f790-11ef-9c99-ebce0c8ad188,83.91245,NA,NA,8.13245,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:05:15,2025-03-02T18:05:15Z,2025-03-02T18:05:15Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.32741,-126.28211,13.97507,5.50188,-4.98699,-9.73043,1.64686,-3.42113,6.05403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-02,13:05:28,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,ChangeUp,NA,NA,85.51958,-2.514945,1.919769,1801.152703,122.610501,10:00:00,5.49154,-1.55795,5.4554,-29.30486,9.37945,-12.83497,0.69235,-0.82973,78.95545,-7.881233,-0.367625,0.44765,7.03178,5.73201,1.39791,50,5.24934,-3.62815,-124.10143,-6.47632,11.02724,23.54244,-23.18507,5bb757a8-03f9-4375-b7eb-2dd3ae3bcf73,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,PEN_NIT,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,ec4dd5d0-f790-11ef-9c99-ebce0c8ad188,84.20064,NA,NA,6.56413,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:05:28,2025-03-02T18:05:28Z,2025-03-02T18:05:28Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.04621,-125.05505,11.77122,5.49265,-5.53717,-11.59254,1.55392,-4.07482,5.51362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-02,13:05:41,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,87.02558,-1.540217,3.652397,2251.212685,130.601874,10:15:00,5.47504,-1.57602,5.33257,-23.7747,14.42851,-15.24182,2.04541,0.58538,78.71142,-5.974182,0.951045,0.444858,8.74595,8.09701,1.25705,50,5.31898,-7.35531,-125.90057,-4.20025,13.89164,28.04709,-19.31316,4e65f1e2-bf78-4369-9ef0-394db03f855e,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,PEN_NIT,1,Top,0,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,f42b3b80-f790-11ef-9c99-ebce0c8ad188,84.72916,NA,NA,8.31416,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:05:41,2025-03-02T18:05:41Z,2025-03-02T18:05:41Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.16525,-127.04603,14.02354,5.47442,-3.41148,-9.65658,1.56903,-7.92265,6.94582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-02,13:05:57,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,86.12513,-2.017844,2.99523,2216.306133,127.423161,10:15:00,5.55116,-1.78176,5.18717,-24.53005,14.97832,-17.59954,1.60522,-0.42791,77.37562,-6.593195,-0.119888,0.452393,9.738,8.55997,1.5173,50,5.34556,-5.71792,-124.50498,-5.23021,15.00018,29.35065,-18.98848,af7e5024-6fce-4b0e-9f3c-7d7e0bd857fc,NA,NA,NA,NA,NA,702265,"Kling, Paxton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,PEN_NIT,1,Top,0,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,fd665c70-f790-11ef-9c99-ebce0c8ad188,83.31789,NA,NA,8.74951,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:05:57,2025-03-02T18:05:57Z,2025-03-02T18:05:57Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.30953,-125.75041,14.67533,5.5504,-4.42448,-9.49424,1.77343,-6.35442,7.50009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.09018,2.34577,1.081805,1.263965,0.04952,1.44557,0.43171,-3.02863,4.89023,1.97119,71.51474,6.02186,-53.27371,-2.96509,64.73655,-4.58907,5.06327,20.5101,-15.59969,1.75728,-52.7921,7.2924,High,High,High,NA,NA,High,High,High
6,2025-03-02,13:06:25,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Curveball,NA,NA,78.24217,0.659992,1.451175,2294.136024,315.227327,04:30:00,5.60692,-1.49398,4.74241,-52.8781,-5.18095,6.61681,1.82668,0.43424,71.97885,-8.827659,2.615227,0.49707,-2.8663,-2.37815,1.34165,50,5.62597,-3.14916,-113.49846,-0.65288,-3.73197,21.13135,-35.27042,0218b612-58e2-48ff-8216-2f4400be3e89,NA,NA,NA,NA,NA,1000115816,"Weingartner, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PEN_NIT,1,Top,1,0,0,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,0de0ce50-f791-11ef-9c99-ebce0c8ad188,75.82921,NA,NA,6.26332,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:06:25,2025-03-02T18:06:25Z,2025-03-02T18:06:25Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.75996,-114.56584,10.56567,5.61396,1.12869,-17.63521,1.49596,-2.96065,-1.86598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-02,13:06:42,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,ChangeUp,NA,NA,84.23827,-0.729439,1.981262,1835.311977,111.694666,09:45:00,5.53658,-1.55715,5.66262,-30.75695,9.71867,-20.60363,2.29285,-1.42585,75.75103,-6.465276,-1.702728,0.457897,11.03678,5.62563,1.40249,50,5.45584,-3.34677,-122.04393,-2.56889,16.31506,28.47396,-23.858,ac605347-2a5c-41e3-bb41-e417327d360a,NA,NA,NA,NA,NA,1000115816,"Weingartner, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PEN_NIT,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,180bcd80-f791-11ef-9c99-ebce0c8ad188,82.31633,NA,NA,8.48724,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:06:42,2025-03-02T18:06:42Z,2025-03-02T18:06:42Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,54.83429,-123.16665,14.23698,5.53859,-1.62818,-11.929,1.54713,-3.99007,8.15753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-02,13:06:56,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,87.8221,-2.034647,2.246382,2243.421289,141.385591,10:45:00,5.66721,-1.47207,5.18906,-15.26749,23.10273,-17.17509,2.47851,-0.78892,77.88974,-5.00243,-0.793831,0.445829,9.41351,12.71249,1.27729,50,5.46784,-4.18961,-126.88526,-4.93882,14.87872,33.3346,-12.08109,aab86342-7540-4730-9dc5-961439debcfb,NA,NA,NA,NA,16.889968,1000115816,"Weingartner, Ryan",3278.836441,NA,71.42405,Right,30.580365,101.30727,42.21007,42.85801,219.51304,219.51304,3.318776,28.268446,1.98765,2.62149,0.78049,NA,NA,NA,NA,NA,2,3,PEN_NIT,1,Top,1,1,1,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,20cd51a0-f791-11ef-9c99-ebce0c8ad188,84.54456,42.53869,NA,9.93237,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:06:56,2025-03-02T18:06:56Z,2025-03-02T18:06:56Z,FlyBall,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.30712,-128.27194,16.6673,5.66284,-4.43626,-6.04054,1.46445,-4.80855,7.43936,236.018613,1.98717,86.31109,-15.21119,3.58894,-0.95551,0.32965,-0.10824,0.0208,-0.00157,2.62183,53.28326,-19.46871,1.27157,-0.06111,-0.07119,0.03395,-0.00576,3.2e-4,0.7805,26.20457,4.1241,-1.54663,0.26876,0.02167,-0.02243,0.00498,-4.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-03-02,13:07:38,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,86.30015,-1.331695,3.073936,2162.056018,139.593378,10:45:00,5.57357,-1.37784,5.3845,-16.30462,23.28793,-18.38753,2.96456,-0.026,76.2275,-4.515754,-0.189567,0.452875,10.26741,12.58095,1.11585,50,5.44368,-5.84922,-124.60767,-3.32246,15.61436,32.67574,-13.04133,9392890e-d28e-45d1-92fc-7fedc4423874,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,PEN_NIT,1,Top,1,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,3956c080-f791-11ef-9c99-ebce0c8ad188,83.22928,NA,NA,10.07265,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:07:38,2025-03-02T18:07:38Z,2025-03-02T18:07:38Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.10839,-125.94012,16.33787,5.56832,-2.79066,-6.52066,1.36735,-6.48594,7.80718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-02,13:07:55,"Feczko, Ryan",801715,Left,WM_TRI,Undefined,Fastball,NA,NA,86.40346,-2.732184,3.903538,2247.30351,125.066604,10:15:00,5.50796,-1.38951,5.25304,-21.9656,17.88564,-23.01371,1.10227,0.36632,76.43615,-6.89571,-0.170231,0.454352,12.93516,10.42871,1.04883,50,5.24137,-7.45072,-124.54567,-6.65668,19.62508,32.94805,-16.35171,be9fb3d8-5bd3-4fcd-8f0c-43477091737e,NA,NA,NA,NA,NA,801751,"Jaconski, Joe",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,PEN_NIT,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,PEN_NIT,PlumeriPark,D1,CAA,20250302-PlumeriPark-1,43f4a5c0-f791-11ef-9c99-ebce0c8ad188,82.95869,NA,NA,9.96731,NA,NA,NA,a9728a25-056a-4faa-95a2-13f8a8523e9a,2025-03-02,18:07:55,2025-03-02T18:07:55Z,2025-03-02T18:07:55Z,NA,v3,471493,5326,NA,"Barnes, Jerry",810954,Right,WM_TRI,55.2423,-125.92487,16.47403,5.50569,-5.9722,-8.17586,1.3779,-8.27222,9.81254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
