PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-02,13:05:12,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Fastball,NA,NA,87.76699,-4.361659,-1.007411,2313.734664,186.738582,12:15:00,6.31315,1.72266,5.90058,-17.26221,19.30418,2.13453,0.81703,0.96521,80.16539,-7.62561,-0.624104,0.435224,-1.39524,11.55843,-1.64291,50,5.95198,2.14838,-127.10277,-10.19049,-2.27197,27.16349,-13.35234,50debba2-0713-44b0-a2cd-7ff49b992c38,NA,NA,NA,NA,NA,702972,"Ross, DeAmez",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UCF_KNI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,16beb410-f791-11ef-abb1-5530187572bd,86.60478,NA,NA,7.60161,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:05:12,2025-03-02T18:05:12Z,2025-03-02T18:05:12Z,NA,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.59909,-128.08188,13.58175,6.31062,-9.7092,-6.67617,-1.72183,2.23027,-1.13598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
2,2025-03-02,13:05:24,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Fastball,NA,NA,86.59132,-2.464245,-0.414065,2291.12835,182.489537,12:00:00,6.323,1.81499,5.90012,-17.43505,20.00324,0.81504,2.58092,1.4985,78.89984,-5.786909,-0.267727,0.440382,-0.53638,11.32516,-1.78215,50,6.11474,0.87408,-125.62009,-5.88576,-0.85325,26.50889,-14.15807,dd89552a-ed28-4eb4-97f7-21ec299a4ffe,NA,NA,NA,NA,NA,702972,"Ross, DeAmez",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UCF_KNI,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,1e118d00-f791-11ef-abb1-5530187572bd,85.59037,NA,NA,7.69148,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:05:24,2025-03-02T18:05:24Z,2025-03-02T18:05:24Z,NA,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.59736,-126.58652,13.25444,6.31991,-5.3696,-7.07904,-1.81458,0.90518,-0.42662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-02,13:05:39,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Fastball,NA,NA,87.76965,-3.720614,-2.192007,2274.219431,192.435991,12:30:00,6.35355,1.63164,6.33835,-17.32127,18.57344,3.83256,1.47718,-0.06816,80.21859,-7.02381,-1.498791,0.431208,-2.64473,11.13508,-1.47386,50,6.07397,4.72407,-127.24087,-8.73643,-4.31948,27.02744,-13.9877,b482e4e0-ed89-46cc-aee1-658622ea9d0a,NA,NA,NA,NA,6.438013,702972,"Ross, DeAmez",3076.151329,NA,91.41621,Left,11.400098,109.27474,15.86236,12.60992,216.23231,216.23231,2.212206,7.307751,2.30586,1.60612,0.04162,NA,NA,NA,NA,NA,1,3,UCF_KNI,1,Top,0,2,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,267f24c0-f791-11ef-abb1-5530187572bd,87.4113,16.03667,NA,7.55106,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:05:39,2025-03-02T18:05:39Z,2025-03-02T18:05:39Z,LineDrive,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.16168,-128.12182,13.51372,6.35129,-8.28051,-6.99385,-1.63012,4.86486,-2.15974,181.282798,2.30586,130.60121,-24.29337,5.55655,-0.88283,-0.01638,0.06885,-0.02065,0.00223,1.60611,26.50434,-11.68463,-0.50201,-0.17941,0.37494,-0.2003,0.05141,-0.00531,0.04162,14.736,-2.51217,1.02315,-0.108,-0.11751,0.07628,-0.02031,0.00212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-03-02,13:06:15,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Cutter,NA,NA,84.04773,-1.542338,-2.997021,2208.572413,158.880774,11:15:00,6.28708,2.32535,6.04627,-29.9125,8.97032,-3.05729,2.36417,-0.70661,78.2061,-7.061591,-3.546401,0.448797,0.87161,5.31882,-2.09008,50,6.1504,6.50757,-122.123,-4.22784,1.33386,21.04673,-24.03449,9ea3735b-b4d2-4b0f-98f5-1dd87c11a61c,NA,NA,NA,NA,-18.775599,1000222236,"Espinal, Edian",NA,NA,38.86112,Left,-62.915906,NA,NA,NA,2.69967,2.69967,0.046335,6.553231,1.53055,2.37829,0.69955,NA,NA,NA,NA,NA,2,1,UCF_KNI,1,Top,0,0,0,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,3c0517a0-f791-11ef-abb1-5530187572bd,83.9854,2.37829,NA,5.84163,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:06:15,2025-03-02T18:06:15Z,2025-03-02T18:06:15Z,GroundBall,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.45578,-122.88851,10.52337,6.28828,-3.35366,-12.01725,-2.32589,6.45905,0.66693,NA,1.52845,24.85128,NA,NA,NA,NA,NA,NA,NA,2.38263,-51.32828,NA,NA,NA,NA,NA,NA,NA,0.70027,-8.44825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
5,2025-03-02,13:06:54,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Cutter,NA,NA,84.10699,-2.019419,-2.089954,2177.227585,176.603227,12:00:00,6.2458,2.44315,5.81205,-27.49809,11.83292,-0.63453,2.07442,0.44598,77.83847,-7.100334,-2.203648,0.451376,-0.20252,6.91847,-2.27142,50,6.0637,4.48228,-122.13611,-5.18929,-0.30869,22.00437,-21.62841,259c49a3-dd2d-414a-8ea7-65ff4e7e3cba,NA,NA,NA,NA,NA,824713,"Williamson, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UCF_KNI,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,53a49bb0-f791-11ef-abb1-5530187572bd,83.50555,NA,NA,6.26852,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:06:54,2025-03-02T18:06:54Z,2025-03-02T18:06:54Z,NA,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.68772,-122.97777,11.00219,6.24637,-4.36201,-10.8142,-2.44309,4.49409,-0.15434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-02,13:07:13,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Cutter,NA,NA,84.79823,-1.980926,-2.274411,2132.680937,171.178934,11:45:00,6.21932,2.46612,5.69642,-28.88974,9.90792,-1.36685,1.96361,0.23155,78.65573,-7.289224,-2.518755,0.448306,0.13787,5.86764,-2.27414,50,6.03459,4.94553,-123.15735,-5.22398,0.21397,22.04342,-23.06698,28bb5e50-b507-45b8-8135-d1ca57cb3a6d,NA,NA,NA,NA,1.498881,824713,"Williamson, Andrew",NA,NA,104.01958,Left,-4.938861,NA,NA,NA,17.20297,17.20297,0.106488,0.662145,1.29832,1.67986,-0.2087,NA,NA,NA,NA,NA,3,2,UCF_KNI,1,Top,1,0,1,Slider,InPlay,Undefined,GroundBall,Single,0,1,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,5ee0bcc0-f791-11ef-abb1-5530187572bd,84.07757,1.67986,NA,6.1425,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:07:13,2025-03-02T18:07:13Z,2025-03-02T18:07:13Z,GroundBall,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.80511,-124.01441,11.02171,6.22027,-4.32712,-11.53349,-2.46626,4.93721,0.10698,3.956524,1.29852,151.91899,-24.19709,NA,NA,NA,NA,NA,NA,1.68011,-13.16506,-24.55474,NA,NA,NA,NA,NA,NA,-0.20868,3.97365,-1.38235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-03-02,13:07:58,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Fastball,NA,NA,88.87393,-3.570309,-3.00029,2283.930525,182.082078,12:00:00,6.25031,2.13789,6.26942,-15.63733,19.46076,0.66571,1.6469,-0.57516,81.26559,-6.561021,-2.880261,0.426396,-1.19965,11.48339,-1.91607,50,5.97772,6.72251,-128.76386,-8.4492,-2.00977,27.2728,-12.9356,d8d560e4-0ba1-477d-8884-cac6dbd8720b,NA,NA,NA,NA,NA,816225,"Rivera, Aris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,UCF_KNI,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,7966e600-f791-11ef-abb1-5530187572bd,88.39774,NA,NA,7.60835,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:07:58,2025-03-02T18:07:58Z,2025-03-02T18:07:58Z,NA,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.22977,-129.65664,13.6364,6.24738,-8.02575,-6.4678,-2.13722,6.7883,-1.00489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-02,13:08:19,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Fastball,NA,NA,87.851070000000007,-1.960384,-1.986241,2282.994574,188.397744,12:15:00,6.22963,2.09027,6.2568,-18.19442,17.54174,2.42138,2.90391,0.45974,80.37182,-5.426423,-1.548981,0.430254,-1.81717,10.01272,-1.94401,50,6.075,4.3293,-127.56847,-4.86666,-2.99239,26.41535,-15.68584,b54cbedc-1821-472e-9011-7a4a2a4b79af,NA,NA,NA,NA,19.746354,816225,"Rivera, Aris",4286.490716,NA,69.5125,Right,27.11486,99.20481,36.73528,47.52167,215.50172,213.6923,3.180519,31.470444,1.01919,2.90803,-0.4475,NA,NA,NA,NA,NA,4,2,UCF_KNI,1,Top,1,0,1,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,85f63b00-f791-11ef-abb1-5530187572bd,87.60502,36.8485,NA,7.47924,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:08:19,2025-03-02T18:08:19Z,2025-03-02T18:08:19Z,FlyBall,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.24265,-128.44398,13.20767,6.22768,-4.34676,-7.84292,-2.08914,4.42848,-1.49619,230.177273,1.01913,85.41288,-15.106,3.30816,-0.65369,0.10688,-0.01101,-2.1e-4,1.6e-4,2.90805,46.4652,-17.08292,0.96988,-0.17106,0.05915,-0.02328,0.00601,-6.3e-4,-0.44747,30.6573,3.2293,-1.00665,0.25849,-0.05656,0.01051,-0.00145,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,High,High,NA,NA,NA
9,2025-03-02,13:08:58,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Cutter,NA,NA,85.99232,-0.952856,-1.351684,2229.830449,161.38479,11:30:00,6.2702,2.32421,6.10013,-25.14175,12.09138,-3.70374,3.29346,0.76521,79.25228,-5.651367,-2.01897,0.439174,1.55854,6.83603,-2.21833,50,6.18355,3.09563,-125.00345,-2.85109,2.48194,23.67944,-21.28795,2ad874e3-62d9-4407-9696-fa5062b1e475,NA,NA,NA,NA,NA,803269,"Boedicker, Lex",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,UCF_KNI,1,Top,1,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,9d3e7750-f791-11ef-abb1-5530187572bd,85.82585,NA,NA,6.74004,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:08:58,2025-03-02T18:08:58Z,2025-03-02T18:08:58Z,NA,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.3993,-125.83405,11.83972,6.27047,-2.10438,-10.64397,-2.32538,3.00857,1.24097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-02,13:09:15,"Nedrow, Jack",828616,Right,USF_BUL,Undefined,Slider,NA,NA,81.27242,0.526448,-1.762576,2302.10237,103.712751,09:30:00,6.11968,2.54928,5.53012,-39.56313,3.08866,-7.53973,3.31513,0.27277,74.97308,-6.710815,-3.106108,0.470046,3.38099,1.75453,-2.3908,50,6.13873,3.92748,-118.06841,-0.2526,4.79505,21.48755,-29.68569,45901109-0a2e-4dde-b15d-e10c68590519,NA,NA,NA,NA,-118.38536,803269,"Boedicker, Lex",5324.792268,NA,69.4372,Left,44.084069,NA,NA,NA,NA,63.03766,NA,NA,1.46086,2.86058,0.08557,NA,NA,NA,NA,NA,5,2,UCF_KNI,1,Top,1,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,UCF_KNI,USFBaseballStadium,D1,AMER,20250302-USFBaseballStadium-1,a788be50-f791-11ef-abb1-5530187572bd,80.18889,46.49482,NA,6.29934,NA,NA,NA,e411de1d-b0e9-4a41-87cd-12c475bcad74,2025-03-02,18:09:15,2025-03-02T18:09:15Z,2025-03-02T18:09:15Z,NA,v3,471443,471267,NA,"Trippel, Lance",804841,Right,USF_BUL,54.97172,-118.96978,10.74378,6.12321,0.99267,-14.84284,-2.55133,3.72634,2.39752,33.840614,1.46086,-34.777589999999996,-4.16953,1.47351,-0.37378,0.07803,-0.00404,-0.00795,0.00316,2.86058,70.85215,-27.51255,3.37186,-0.7288,0.1379,-0.02202,-4.2e-4,0.0012,0.08557,-64.35909,5.63842,-0.84775,0.13062000000000001,-0.01815,0.0045,-0.00103,2.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
