PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:05:42,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.32588,-1.897937,-2.292169,2354.626867,235.232311,01:45:00,5.80279,1.57553,5.73394,-18.59422,14.21103,18.73206,2.48378,1.00085,84.01452,-5.420242,1.059244,0.412233,-10.18501,8.17721,-1.39579,50,5.63332,4.53599,-135.18101,-5.09002,-18.54805,33.82272,-17.28239,a6fae9c8-3ef4-4534-a00b-39415b164fa3,NA,NA,NA,NA,NA,800757,"Brome, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_LIO,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,504960a0-fba0-11ef-8f60-8f776b91b7f7,91.43475,NA,NA,9.31135,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:05:42,2025-03-07T22:05:42Z,2025-03-07T22:05:42Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.76183,-136.36723,16.91136,5.80121,-4.48389,-8.64119,-1.56628,5.1865,-9.27403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,16:05:57,"Garner, Seth",811671,Right,MT,Undefined,ChangeUp,NA,NA,86.44605,-2.227749,-4.068006,1969.954184,264.089345,02:45:00,5.60492,1.8427,6.10821,-33.93403,3.10914,19.21359,0.71084,-0.3242,79.8052,-8.480722,-0.608169,0.438052,-11.10028,2.49606,-1.54026,50,5.41535,8.18236,-125.39031,-5.99981,-17.75406,24.26021,-28.1818,62f121c9-1fa8-4203-8a29-7c839dd2f46a,NA,NA,NA,NA,NA,800757,"Brome, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SOU_LIO,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,58e5f7a0-fba0-11ef-8f60-8f776b91b7f7,86.04562,NA,NA,6.64085,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:05:57,2025-03-07T22:05:57Z,2025-03-07T22:05:57Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.39393,-126.23758,12.13011,5.6077,-5.01558,-14.0909,-1.83684,8.80241,-8.87703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,16:06:11,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.87828,-2.750311,-3.444817,2351.748551,231.054844,01:45:00,5.86583,1.44261,5.82343,-13.10753,19.412960000000002,22.4643,2.21005,0.10821,84.06617,-5.307409,0.574843,0.41044,-12.61875,11.18489,-1.17419,50,5.63301,7.14808,-135.77657,-6.88583,-23.07876,35.34678,-11.71765,a83d7996-e682-45c7-93e6-4754a55f3506,NA,NA,NA,NA,NA,800757,"Brome, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SOU_LIO,1,Top,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,61a92970-fba0-11ef-8f60-8f776b91b7f7,91.83413,NA,NA,9.81211,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:06:11,2025-03-07T22:06:11Z,2025-03-07T22:06:11Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.674,-136.98795,17.67339,5.86212,-6.48425,-5.85883,-1.43272,7.93903,-11.53938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,16:06:25,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,94.11284,-0.724959,-2.170208,2376.848465,227.977372,01:30:00,5.79426,1.73919,5.68645,-15.76091,16.51481,17.02068,3.80462,1.13384,84.59078,-3.744826,0.871188,0.408893,-9.23721,8.92103,-1.5669,50,5.72354,4.35451,-136.36986,-2.21078,-17.1298,34.25016,-15.63055,2cb4e266-ce48-42dc-a512-fc4d6fe1d726,NA,NA,NA,NA,NA,800757,"Brome, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SOU_LIO,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,69afc200-fba0-11ef-8f60-8f776b91b7f7,92.18172,NA,NA,9.52205,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:06:25,2025-03-07T22:06:25Z,2025-03-07T22:06:25Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.80845,-137.57224,17.12508,5.79152,-1.66206,-7.81528,-1.73032,4.95586,-8.5649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,16:06:39,"Garner, Seth",811671,Right,MT,Undefined,ChangeUp,NA,NA,86.95352,-1.814677,-4.089488,1873.821131,279.792009,03:15:00,5.58822,1.81093,6.07675,-39.55238,-2.49465,21.64733,0.60831,-0.17537,79.4804,-9.091465,-0.190086,0.438138,-12.52583,-0.45827,-1.50612,50,5.42624,8.16826,-126.03984,-5.33869,-19.98648,27.55118,-32.90528,89f41e3c-38c5-4a2b-926e-c9168ed24e54,NA,NA,NA,NA,NA,800757,"Brome, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SOU_LIO,1,Top,0,2,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,72291990-fba0-11ef-8f60-8f776b91b7f7,86.02873,NA,NA,7.47312,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:06:39,2025-03-07T22:06:39Z,2025-03-07T22:06:39Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.42535,-127.0035,13.77559,5.59284,-4.18776,-16.45264,-1.80405,8.86733,-9.99324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,16:07:07,"Garner, Seth",811671,Right,MT,Undefined,Slider,NA,NA,84.82056,-1.013754,-1.771243,1730.84413,62.737395,08:00:00,5.98892,1.27728,5.64898,-42.89971,-3.10236,-8.74811,1.46785,-1.10432,77.04541,-8.85957,-3.336554,0.454044,3.83689,-0.77984,-1.12155,50,5.87611,4.17179,-122.95676,-3.71885,5.77637,28.15395,-33.3481,2de8a9cf-5f1c-4e5c-86e7-142cc5899fd4,NA,NA,NA,NA,NA,1000306939,"Walters, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SOU_LIO,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,83317390-fba0-11ef-8f60-8f776b91b7f7,83.01486,NA,NA,7.77515,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:07,2025-03-07T22:07:07Z,2025-03-07T22:07:07Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.84809,-124.06188,14.07698,5.99639,-2.40984,-16.67405,-1.28085,3.94505,2.88819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,16:07:21,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.14881,-2.3147,-2.640978,2297.387579,220.830704,01:15:00,5.91101,1.32054,5.78631,-15.30875,17.23942,13.94788,2.4784,0.02417,84.68592,-5.2326,-0.145062,0.410615,-7.83933,9.77166,-1.1111,50,5.71088,5.5923,-135.0108,-5.92497,-14.40315,30.6547,-14.22068,42924004-bbe0-464d-b223-9eae1738e3b2,NA,NA,NA,NA,NA,1000306939,"Walters, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SOU_LIO,1,Top,1,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,8b77fb50-fba0-11ef-8f60-8f776b91b7f7,91.79511,NA,NA,8.46289,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:21,2025-03-07T22:07:21Z,2025-03-07T22:07:21Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.71082,-136.0762,15.32735,5.90821,-5.43073,-7.11034,-1.31416,6.09288,-7.20158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,16:07:37,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,93.03801,-0.716828,-1.61387,2343.963205,222.629606,01:30:00,6.04664,1.12363,5.60414,-18.83111,13.88509,11.79957,3.80792,0.59998,84.69722,-4.256309,0.492257,0.411673,-6.40402,7.54725,-0.99317,50,5.97326,3.25579,-135.01361,-2.33107,-11.78733,30.17334,-18.28255,286c377e-9a61-44bf-89eb-80b2952aa677,NA,NA,NA,NA,NA,1000306939,"Walters, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SOU_LIO,1,Top,1,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,94ee0260-fba0-11ef-8f60-8f776b91b7f7,91.55908,NA,NA,8.34079,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:37,2025-03-07T22:07:37Z,2025-03-07T22:07:37Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.89284,-136.10269,15.08667,6.04549,-1.67118,-9.14127,-1.11836,3.68124,-5.89366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,16:07:53,"Garner, Seth",811671,Right,MT,Undefined,Slider,NA,NA,82.20993,-1.001706,-1.953377,2328.47328,66.090901,08:15:00,5.98406,1.16515,5.75921,-46.69747,-4.55579,-13.55816,1.15958,-1.78359,74.9731,-9.531758,-4.384227,0.467226,6.26351,-1.54047,-0.99505,50,5.87299,4.60747,-119.22964,-3.68611,8.87183,26.34922,-34.35603,5d598690-9144-491c-beb1-4fbf25634c88,NA,NA,NA,NA,NA,1000306939,"Walters, Logan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,SOU_LIO,1,Top,1,2,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,9e355850-fba0-11ef-8f60-8f776b91b7f7,80.67275,NA,NA,7.23682,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:53,2025-03-07T22:07:53Z,2025-03-07T22:07:53Z,NA,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.73951,-120.27249,13.17461,5.99197,-2.32637,-17.17801,-1.17045,4.25634,4.43592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,16:08:08,"Garner, Seth",811671,Right,MT,Undefined,Fastball,NA,NA,92.12688,-2.142396,-2.261193,2315.902,225.074552,01:30:00,5.89489,1.38156,5.89388,-16.75166,16.4517,15.34812,2.50735,0.56009,83.57858,-5.332231,0.492391,0.414727,-8.57,9.41548,-1.20843,50,5.71273,4.60879,-133.59654,-5.51078,-15.35886,31.03245,-15.29999,e1eaea9d-f7e3-4cd0-887d-a28b5636e20f,NA,NA,NA,NA,-30.574321,1000306939,"Walters, Logan",NA,NA,96.38666,Right,-7.660699,NA,NA,NA,21.85557,18.69822,0.145488,-30.119641,1.46628,2.76301,-0.55526,NA,NA,NA,NA,NA,2,5,SOU_LIO,1,Top,1,3,1,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,a73dd080-fba0-11ef-8f60-8f776b91b7f7,90.88494,2.76301,NA,8.54831,NA,NA,NA,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:08:08,2025-03-07T22:08:08Z,2025-03-07T22:08:08Z,GroundBall,v3,471353,471445,NA,"Sutton, Jonah",803359,Right,MT,54.6046,-134.66187,15.51623,5.8929,-4.98554,-7.64999,-1.3757,5.13605,-7.67943,159.957084,1.46631,120.62345,-5.24464,NA,NA,NA,NA,NA,NA,2.76295,-18.8397,-1.03641,NA,NA,NA,NA,NA,NA,-0.55524,-71.26724,-2.05629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
