PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-15,17:06:13,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Sinker,NA,NA,90.02018,-1.437297,-3.984677,1831.538752,257.209395,02:30:00,5.76992,1.58519,6.2077,-28.5932,5.74406,20.2456,2.05707,-0.4114,82.01142,-6.771735,-0.335255,0.421749,-11.62792,3.75,-1.29537,50,5.64758,8.25403,-130.50644,-4.2276300000000004,-19.94365,28.87928,-25.74222,8d9a6862-88e5-439d-83e1-ec5aedf9009d,NA,NA,NA,NA,NA,1000136981,"Meier, Steven",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TRO_TRJ,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,b62f5b50-01e9-11f0-b431-dd9557525474,89.37167,NA,NA,8.00876,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:06:13,2025-03-15T22:06:13Z,2025-03-15T22:06:13Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.29248,-131.45287,14.43964,5.7723,-3.38401,-12.87111,-1.57658,8.90762,-9.97182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-15,17:06:27,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Sinker,NA,NA,90.70055,0.011111,-2.288155,1927.197137,251.890025,02:30:00,5.93586,1.41809,5.91488,-26.81427,7.37307,19.00529,3.71166,0.87711,82.27009,-4.996051,1.123723,0.420827,-10.37871,4.12437,-1.24519,50,5.92163,4.42878,-131.6228,-0.89911,-18.05514,30.11712,-24.99914,f13bddfd-de9b-409e-87a6-4fc1cd815c9a,NA,NA,NA,NA,NA,1000136981,"Meier, Steven",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TRO_TRJ,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,bea09c90-01e9-11f0-b431-dd9557525474,89.56745,NA,NA,8.43046,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:06:27,2025-03-15T22:06:27Z,2025-03-15T22:06:27Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.58401,-132.66754,15.05856,5.93778,-0.03191,-12.49957,-1.40969,5.0551,-9.02757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-15,17:06:42,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Sinker,NA,NA,88.28627,-0.731772,-4.19933,1802.339777,267.764776,03:00:00,5.68798,1.41368,6.59546,-33.03415,1.73646,18.12926,2.26283,-0.92993,81.38625,-6.888617,-0.908502,0.424402,-10.6343,1.42457,-1.13338,50,5.62427,8.73505,-128.21803,-2.6682,-17.81096,24.99672,-29.78806,af0ade1e-ceba-4c76-b34e-fab1ffe7a475,NA,NA,NA,NA,NA,1000136981,"Meier, Steven",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TRO_TRJ,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,c7638040-01e9-11f0-b431-dd9557525474,88.81306,NA,NA,6.90002,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:06:42,2025-03-15T22:06:42Z,2025-03-15T22:06:42Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,53.90685,-128.97744,12.49836,5.69158,-1.76323,-14.89403,-1.40698,9.27616,-8.90548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-15,17:06:57,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Cutter,NA,NA,86.30128,0.073512,-1.995631,2066.139039,217.733727,01:15:00,5.7394,1.41983,6.08244,-32.35175,4.93303,2.90453,3.11147,-0.18517,78.93155,-5.940488,-1.47259,0.439478,-2.05504,2.90201,-1.26711,50,5.72812,4.25006,-125.33976,-0.90038,-3.26371,25.73067,-27.56525,13b1632b-7480-4e78-b3cd-6b6bdcf2f637,NA,NA,NA,NA,NA,1000136981,"Meier, Steven",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TRO_TRJ,1,Top,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,d0230890-01e9-11f0-b431-dd9557525474,85.76638,NA,NA,7.36972,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:06:57,2025-03-15T22:06:57Z,2025-03-15T22:06:57Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.41592,-126.24304,12.86534,5.74274,0.0673,-13.78263,-1.41832,4.36464,-1.63185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-15,17:07:12,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Cutter,NA,NA,88.20762,-1.715612,-2.580759,2179.587323,205.02591,12:45:00,5.7811,1.31398,6.08459,-28.8371,7.1578,2.76965,1.78875,-0.84437,80.27738,-7.086426,-2.082069,0.431809,-2.22453,4.57,-1.1161,50,5.6332700000000004,5.65456,-127.93099,-4.77544,-3.65134,28.74979,-24.67283,0eeb0051-8b76-4a17-91b2-82150442b04d,NA,NA,NA,NA,9.086147,1000136981,"Meier, Steven",6037.132288,NA,84.99408,Left,5.85553,NA,NA,NA,91.76735,90.99369,0.796319,8.116108,0.80158,1.53469,0.83738,NA,NA,NA,NA,NA,1,5,TRO_TRJ,1,Top,0,2,2,Cutter,InPlay,Undefined,GroundBall,Single,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,d9408f60-01e9-11f0-b431-dd9557525474,87.28953,3.64809,NA,7.93024,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:07:12,2025-03-15T22:07:12Z,2025-03-15T22:07:12Z,GroundBall,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.41429,-128.91919,14.3749,5.78284,-3.92737,-12.33642,-1.31262,5.78007,-1.82567,61.671068,0.83059,121.95723,-11.23747,NA,NA,NA,NA,NA,NA,1.56905,12.13463,-17.76335,NA,NA,NA,NA,NA,NA,0.85935,19.20758,-5.07656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-03-15,17:08:15,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Sinker,NA,NA,89.57917,-0.715218,-3.85292,1850.989334,263.356676,02:45:00,5.84461,1.48779,6.20144,-31.52077,2.72055,14.74725,2.55615,-0.84524,82.6133,-6.552074,-1.19532,0.42116,-8.64764,1.89913,-1.20508,50,5.77483,8.16897,-130.06965,-2.68778,-14.92377,25.39937,-28.89662,f2f334bd-b82d-4d3f-96ad-5aa30f0ab290,NA,NA,NA,NA,NA,822506,"Darnell, Sean",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TRO_TRJ,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,fecfe2d0-01e9-11f0-b431-dd9557525474,89.49683,NA,NA,6.96587,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:08:15,2025-03-15T22:08:15Z,2025-03-15T22:08:15Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.30035,-130.9067,12.69968,5.84772,-1.73547,-14.44831,-1.4824,8.66079,-7.46189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-15,17:08:33,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Sinker,NA,NA,89.45403,-0.726855,-3.528521,1868.077822,259.068604,02:45:00,5.85693,1.47678,6.16446,-30.19474,4.14945,16.30084,2.66797,-0.42836,82.51463,-6.323738,-0.59154,0.421792,-9.37815,2.62819,-1.21734,50,5.78614,7.36194,-129.9403,-2.66128,-16.15878,25.24548,-27.6456,d28e08bb-00b6-43ff-a181-3b3b9394ca11,NA,NA,NA,NA,-11.976148,822506,"Darnell, Sean",NA,NA,89.091,Left,-21.49706,NA,NA,NA,7.15699,7.15699,0.052189,-6.507548,0.89053,2.5044,0.50834,NA,NA,NA,NA,NA,2,2,TRO_TRJ,1,Top,0,0,1,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,09a9e6b0-01ea-11f0-b431-dd9557525474,89.36266,2.5044,NA,6.9394,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:08:33,2025-03-15T22:08:33Z,2025-03-15T22:08:33Z,GroundBall,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.33772,-130.78034,12.62274,5.85939,-1.74138,-13.8228,-1.47125,7.89962,-8.07939,180,0.88837,119.18834,NA,NA,NA,NA,NA,NA,NA,2.50527,-47.98695,NA,NA,NA,NA,NA,NA,NA,0.5088,-25.28241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-03-15,17:09:32,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Sinker,NA,NA,89.2202,-0.58994,-2.522009,1816.614092,249.769005,02:15:00,5.81282,1.5233,5.98125,-27.63356,7.3615,16.96993,2.96264,0.59822,81.60547,-5.733535,0.528188,0.42577,-9.52296,4.25736,-1.33374,50,5.75074,5.01977,-129.58564,-2.25982,-16.17125,27.41726,-24.9445,1516d424-fd08-4b39-9e77-9487d9c13407,NA,NA,NA,NA,52.243733,693293,"Cavill, Blake",NA,NA,80.96182,Left,-44.080965,NA,NA,NA,4.42817,4.42817,0.03656,25.144759,2.09271,3.03009,-0.59221,NA,NA,NA,NA,NA,3,1,TRO_TRJ,1,Top,1,0,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,2c84ef90-01ea-11f0-b431-dd9557525474,88.52778,3.03009,NA,7.61473,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:09:32,2025-03-15T22:09:32Z,2025-03-15T22:09:32Z,GroundBall,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.52042,-130.53855,13.70863,5.81422,-1.39285,-12.47225,-1.51797,5.58181,-8.08563,NA,2.09169,52.40289,NA,NA,NA,NA,NA,NA,NA,3.0317,-82.88072,NA,NA,NA,NA,NA,NA,NA,-0.59353,67.66397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
9,2025-03-15,17:10:11,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Cutter,NA,NA,88.41315,-2.555777,-3.700798,2097.265986,221.499612,01:30:00,5.7171,1.47286,6.20501,-27.69277,7.38063,5.65713,1.04383,-1.47641,82.07407,-7.67537,-2.681416,0.426246,-3.86756,4.75481,-1.19746,50,5.51054,8.08146,-128.30679,-6.6282,-6.52087,23.70891,-24.15728,c399fcaa-b955-4a36-9454-236fa0c7698f,NA,NA,NA,NA,NA,804871,"Bryan, Brooks",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,TRO_TRJ,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,43d6c8d0-01ea-11f0-b431-dd9557525474,88.42882,NA,NA,6.33908,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:10:11,2025-03-15T22:10:11Z,2025-03-15T22:10:11Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.29672,-129.09831,11.85446,5.71836,-5.82171,-12.07864,-1.4709,8.29916,-3.26043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-15,17:10:50,"Tollett, JR",822959,Right,LOU_CAJ,Undefined,Cutter,NA,NA,88.02565,0.495961,-2.033687,2143.102631,183.835986,12:15:00,5.79083,1.54115,5.9867,-32.87742,3.23666,0.13783,3.51103,-0.33305,80.16216,-5.606341,-2.008919,0.432523,-0.67091,1.8826,-1.38071,50,5.81199,4.53155,-127.77667,-0.01857,-1.10264,27.7837,-29.08001,d1ac56f9-3f7b-4ac9-9e5e-ab95fdf962e5,NA,NA,NA,NA,NA,804871,"Bryan, Brooks",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,TRO_TRJ,1,Top,2,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOU_CAJ,TRO_TRJ,LouisianaLafayette,D1,SBELT,20250315-LouisianaLafayette-2,5b5445f0-01ea-11f0-b431-dd9557525474,87.14543,NA,NA,7.86349,NA,NA,NA,760dc802-994a-4232-aad8-be1407a1dbd6,2025-03-15,22:10:50,2025-03-15T22:10:50Z,2025-03-15T22:10:50Z,NA,v3,5075,471470,15 March 2025 17:00-troy@ulala,"Torres, Jose Luis",10061983,Right,LOU_CAJ,54.5117,-128.75396,13.89185,5.79466,1.00431,-14.54001,-1.54078,4.57033,-0.55132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
