PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-15,13:04:30,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Slider,NA,NA,79.79055,0.429803,-2.143805,2228.983982,59.905322,08:00:00,5.91428,1.62412,5.50325,-46.84148,-2.01067,-6.00485,2.41309,-0.88225,72.96317,-8.121447,-3.21389,0.481903,2.38827,-0.70028,-1.43267,50,5.92034,4.57121,-115.74241,-0.73264,3.21591,23.08405,-33.11699,41df223f-b847-4157-b62d-eec9255c7ced,NA,NA,NA,NA,NA,10915836,"Wise, Nathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LOC_HAV,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,8fec6160-01bf-11f0-95a2-1ba6dc58a7c5,78.21581,NA,NA,6.82738,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:04:30,2025-03-15T17:04:30Z,2025-03-15T17:04:30Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.99576,-116.73453,11.54202,5.92124,0.69067,-16.5585,-1.62616,4.433,1.60796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-15,13:04:45,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Fastball,NA,NA,90.03869,-2.515854,-2.838169,2427.92729,210.360729,01:00:00,5.80276,1.58591,6.20802,-16.27068,17.86111,9.8191,2.12048,-0.21751,82.33299,-5.624351,-1.06783,0.420486,-5.8974,10.30178,-1.37766,50,5.6054,6.07965,-130.62561,-6.19427,-10.18673,27.58696,-14.37949,6533877d-655e-44fc-9fa7-85415b7f1296,NA,NA,NA,NA,-10.093815,10915836,"Wise, Nathan",4432.926879,NA,90.46512,Right,42.47518,108.99731,97.63275,-14.81619,261.43702,151.60534,5.687423,-5.57112,0.57386,0.90299,0.1276,NA,NA,NA,NA,NA,1,2,LOC_HAV,1,Top,0,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,98a61d50-01bf-11f0-95a2-1ba6dc58a7c5,89.64025,115.61048,NA,7.7057,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:04:45,2025-03-15T17:04:45Z,2025-03-15T17:04:45Z,FlyBall,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.29108,-131.52873,13.79348,5.80047,-5.72352,-7.18974,-1.58216,6.41313,-5.09336,NA,0.58057,96.21818,-26.27712,6.96657,-1.23751,0.1227,-0.00217,-6.3e-4,4e-5,0.89975,89.64761,-19.31239,0.39177,0.33976,-0.15831,0.03768,-0.00462,2.2e-4,0.12604,-17.11912,7.60707,-2.3588,0.50166,-0.06927,0.00506,-1e-4,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
3,2025-03-15,13:05:17,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Slider,NA,NA,81.62401,-3.349832,-2.664037,2252.160244,304.529819,04:15:00,5.89393,1.42671,5.51294,-42.86794,0.56854,1.46532,-0.81778,-0.94411,74.3695,-11.13125,-2.402264,0.47435,-1.64693,1.71264,-1.19541,50,5.57223,5.43696,-118.06406,-8.36673,-2.27999,26.50068,-29.80306,16cae9fa-5886-486e-9595-d3b2053f4187,NA,NA,NA,NA,NA,10915845,"White, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LOC_HAV,1,Top,1,0,0,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,abb14c30-01bf-11f0-95a2-1ba6dc58a7c5,79.46128,NA,NA,7.25451,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:05:17,2025-03-15T17:05:17Z,2025-03-15T17:05:17Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.98732,-119.17826,13.25034,5.89766,-7.11369,-14.90153,-1.42602,5.53282,-1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-15,13:05:49,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Fastball,NA,NA,89.51037,-2.053924,-3.878918,2334.756339,198.756647,12:45:00,5.75387,1.63126,6.27392,-17.00958,17.76013,5.62441,2.43791,-1.48115,81.22309,-5.317232,-2.865931,0.424397,-4.07882,10.18528,-1.34683,50,5.59329,8.56068,-129.64856,-5.11202,-6.88694,29.12734,-14.97657,0cd19a4f-c31a-4a22-91b3-44f54d256e57,NA,NA,NA,NA,NA,10915845,"White, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,LOC_HAV,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,beebc870-01bf-11f0-95a2-1ba6dc58a7c5,88.81417,NA,NA,8.28728,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:05:49,2025-03-15T17:05:49Z,2025-03-15T17:05:49Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.22273,-130.59381,14.56367,5.7513,-4.62599,-7.48829,-1.62827,8.78417,-3.44347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-15,13:06:05,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Fastball,NA,NA,89.51171,-2.275315,-1.718424,2359.413751,201.916772,12:45:00,5.76264,1.63422,6.12694,-19.05048,15.62713,5.83083,2.06979,0.53117,81.72556,-5.883879,-0.667388,0.423834,-3.51634,9.07646,-1.50585,50,5.57862,3.66077,-129.92407,-5.72554,-5.99133,28.03082,-16.70911,56c8f2d3-9065-4e2f-86a7-30406c262a42,NA,NA,NA,NA,NA,10915845,"White, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,LOC_HAV,1,Top,1,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,c871ae00-01bf-11f0-95a2-1ba6dc58a7c5,88.93202,NA,NA,7.78615,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:06:05,2025-03-15T17:06:05Z,2025-03-15T17:06:05Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.37153,-130.86382,14.01541,5.76118,-5.16536,-8.35455,-1.63194,3.86163,-2.99567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-15,13:06:22,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Fastball,NA,NA,88.3776,-1.739432,-1.677132,2292.436743,188.148848,12:15:00,5.82907,1.60427,5.99242,-20.15836,15.56036,2.06232,2.53604,0.22144,80.71529,-5.544792,-1.306395,0.430149,-1.54976,8.86115,-1.47327,50,5.68087,3.67371,-128.30875,-4.50771,-2.57599,27.27575,-17.44534,d36eadc2-5237-4c62-839b-90250db96529,NA,NA,NA,NA,NA,10915845,"White, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,LOC_HAV,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,d2b25810-01bf-11f0-95a2-1ba6dc58a7c5,87.62641,NA,NA,7.66231,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:06:22,2025-03-15T17:06:22Z,2025-03-15T17:06:22Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.50669,-129.26322,13.63788,5.82793,-3.89723,-8.72267,-1.6034,3.76385,-1.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-15,13:06:55,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Slider,NA,NA,80.65942,-0.990536,-2.121935,2249.816301,32.531592,07:00:00,5.80329,1.56772,5.59441,-48.26818,-4.1463,-3.64209,0.85538,-0.71788,73.39689,-9.794816,-2.773225,0.478078,1.15618,-1.36036,-1.38326,50,5.68691,4.47526,-116.91406,-3.66933,1.57256,25.6027,-34.02432,fdf5bcdd-2c4f-4ec2-870b-6cb9b0fd0ce0,NA,NA,NA,NA,NA,10915845,"White, Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,LOC_HAV,1,Top,1,2,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,e629dd50-01bf-11f0-95a2-1ba6dc58a7c5,78.84165,NA,NA,7.26253,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:06:55,2025-03-15T17:06:55Z,2025-03-15T17:06:55Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.90455,-117.98321,12.80135,5.81048,-2.2485,-17.01216,-1.56878,4.40959,0.78628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-15,13:07:20,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Fastball,NA,NA,88.91289,-2.384151,-1.071557,2286.456035,182.995988,12:00:00,5.74983,1.58095,6.10303,-18.9471,16.21351,0.78858,1.96439,0.65557,81.22625,-5.972496,-0.929429,0.426776,-0.71583,9.40875,-1.499,50,5.55649,2.38236,-129.07385,-5.92857,-1.20396,27.61727,-16.34901,49b63208-31d8-4ec0-8e16-d682418b8175,NA,NA,NA,NA,NA,1000136892,"Vincent, Bryce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LOC_HAV,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,f4df6db0-01bf-11f0-95a2-1ba6dc58a7c5,88.31908,NA,NA,7.68664,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:07:20,2025-03-15T17:07:20Z,2025-03-15T17:07:20Z,NA,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.39535,-130.0109,13.80864,5.74823,-5.37385,-8.1745,-1.58052,2.42321,-0.60198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-15,13:07:34,"Blantz, Connor",822981,Right,MIL_UNI2,Undefined,Fastball,NA,NA,89.81973,-2.509784,-2.070293,2314.155095,195.970959,12:30:00,5.78382,1.53319,6.06536,-15.82879,18.89599,5.06465,2.13906,0.03845,81.52743,-5.548407,-1.159031,0.424122,-3.24543,10.86339,-1.37535,50,5.58063,4.4985,-130.24064,-6.14432,-5.52685,29.53562,-13.67402,0b55a782-510e-4d9f-9ade-6d4791d150e6,NA,NA,NA,NA,-1.944263,1000136892,"Vincent, Bryce",4118.425493,NA,87.45195,Right,41.351386,109.85009,88.93435,5.73873,276.68545,242.2514,5.586178,11.034798,1.37829,2.27536,0.01254,NA,NA,NA,NA,NA,3,2,LOC_HAV,1,Top,2,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,fdaa8ec0-01bf-11f0-95a2-1ba6dc58a7c5,88.8716,108.02637,NA,8.2923,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:07:34,2025-03-15T17:07:34Z,2025-03-15T17:07:34Z,FlyBall,v3,NA,NA,NA,"Laux, Sammy",10090258,Right,MIL_UNI2,54.43242,-131.24196,14.76781,5.78108,-5.68074,-6.83701,-1.53103,4.68587,-2.76343,NA,1.38364,96.12944,-21.4229,4.83505,-0.77185,0.06899,-0.00117,-2e-4,1e-5,2.27377,84.76064,-19.55577,1.29578,-0.08245,-0.04313,0.01764,-0.0026,1.3e-4,0.01106,-3.23706,6.96224,-1.97887,0.39806,-0.05027,0.00278,5e-5,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-03-15,13:09:44,"Lingenfelter, Matthew",10025015,Right,LOC_HAV,Undefined,Fastball,NA,NA,82.65064,-0.104085,-0.187644,1749.750703,214.398754,01:15:00,5.89565,0.72676,5.53686,-31.14454,10.60056,6.28725,3.20299,1.07531,75.09019,-5.883515,0.933973,0.465023,-3.20917,5.81811,-0.71466,50,5.86626,0.12924,-119.89463,-1.24711,-4.63424,24.89536,-23.77235,f3ed5bd7-4f45-45eb-bfc2-2954b24dac2b,NA,NA,NA,NA,NA,821463,"Sabater, Jeff",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIL_UNI2,1,Bottom,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIL_UNI2,LOC_HAV,MillersvilleU,D2,Team,20250315-MillersvilleU-1,4afe1700-01c0-11f0-95a2-1ba6dc58a7c5,81.05504,NA,NA,7.56045,NA,NA,NA,1879805b-4c5f-43aa-bdb5-17f4f49e130c,2025-03-15,17:09:44,2025-03-15T17:09:44Z,2025-03-15T17:09:44Z,NA,v3,NA,NA,NA,"Ambrosio, Jake",10303761,Right,LOC_HAV,54.95866,-120.91988,12.44768,5.89746,-0.26811,-11.88617,-0.72391,0.32009,-2.31712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
