PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-15,16:01:50,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,92.70071,0.924475,2.634,2455.14132,175.419684,11:45:00,5.09945,-2.40786,5.5893,-23.89993,8.96508,-0.63764,3.97204,3.4e-4,84.74338,-3.509929,2.520446,0.412609,1.03551,4.5978,2.18198,50,5.16344,-6.15747,-134.48484,1.29733,1.90098,28.50896,-23.73333,b3b99735-044e-4d10-b4f6-888e41d0782d,NA,NA,NA,NA,NA,811306,"Walk, Jason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OKL_SOO,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,5620cfc0-01d8-11f0-93ea-b915b93d4c7a,91.35157,NA,NA,7.95733,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:01:50,2025-03-15T20:01:50Z,2025-03-15T20:01:50Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.90975,-135.52164,14.25448,5.10057,2.16045,-11.86667,2.40717,-6.2266,0.95049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-15,16:02:03,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,93.03714,-0.248422,2.751875,2483.580077,151.928252,11:00:00,5.00136,-2.43637,5.82631,-22.09942,10.73977,-5.10103,2.92853,-0.3012,83.82632,-4.406394,1.83902,0.412446,3.48559,5.90063,2.21438,50,4.96816,-6.25088,-134.81914,-1.33967,6.32144,33.3149,-21.47266,a411e3ae-2100-498c-89bf-c05007a4174e,NA,NA,NA,NA,7.991263,811306,"Walk, Jason",2236.311813,NA,97.3836,Right,17.187405,108.14989,27.57358,20.08931,293.8566,293.8566,2.934973,14.775496,0.97981,3.00014,0.32784,NA,NA,NA,NA,NA,1,2,OKL_SOO,1,Top,0,1,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,5d5d88a0-01d8-11f0-93ea-b915b93d4c7a,91.38746,30.8153,NA,9.21082,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:02:03,2025-03-15T20:02:03Z,2025-03-15T20:02:03Z,LineDrive,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.67177,-135.96867,16.65745,5.0016,-0.59876,-10.73633,2.43383,-6.469,3.16072,237.430001,0.97986,135.12353,-19.75978,3.63079,-0.67556,0.06681,0.01273,-0.00613,7.2e-4,3.00011,42.20672,-17.55082,1.43555,-0.30361,0.09438,-0.02955,0.00661,-6.4e-4,0.32796,18.96475,4.65241,-1.63061,0.53312,-0.16674,0.03977,-0.00548,3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-03-15,16:02:37,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,91.60423,1.143197,3.097398,2426.134906,169.240096,11:45:00,5.08011,-2.16653,5.75029,-24.47497,8.73154,-1.48256,4.10652,0.59635,84.40712,-3.392067,2.832791,0.414747,1.5191,4.46,1.90997,50,5.16019,-7.13097,-132.98718,1.78875,2.75007,25.61198,-24.0999,b608b5c0-4b1b-4111-9171-3b1bdfc73416,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,OKL_SOO,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,71c49e00-01d8-11f0-93ea-b915b93d4c7a,90.88062,NA,NA,7.19712,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:02:37,2025-03-15T20:02:37Z,2025-03-15T20:02:37Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.7503,-133.89892,12.80599,5.08125,2.64665,-12.04995,2.16556,-7.22887,1.37503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-15,16:02:55,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Slider,NA,NA,81.05497,2.63951,2.47778,2816.366011,302.414459,04:00:00,4.83134,-2.42386,5.33923,-47.43766,-3.62355,7.96126,3.35855,0.56557,73.75107,-6.012306,3.888512,0.476407,-3.22815,-2.12169,2.19436,50,5.03601,-5.41358,-117.39486,3.7125,-4.47505,23.60096,-35.11526,10d46353-1c3a-40f8-b1e8-96bc657f50e7,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OKL_SOO,1,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,7c67da70-01d8-11f0-93ea-b915b93d4c7a,79.1181,NA,NA,7.3039,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:02:55,2025-03-15T20:02:55Z,2025-03-15T20:02:55Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,55.16087,-118.42785,11.80048,4.83988,5.24946,-17.55763,2.42702,-5.21771,-2.23753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-15,16:03:29,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,93.1882,-0.431425,3.160183,2503.940522,174.43411,11:45:00,5.07784,-2.22344,5.89801,-19.82572,12.2928,-1.10284,3.02455,0.62156,85.39512,-4.148287,2.962764,0.407896,1.41028,6.70981,1.96953,50,5.03167,-7.41739,-135.22895,-1.68155,2.62067,28.51306,-19.70536,9de36eae-f84b-4773-a210-a6d840bab8e7,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,OKL_SOO,1,Top,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,90ba5660-01d8-11f0-93ea-b915b93d4c7a,92.40704,NA,NA,7.79308,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:03:29,2025-03-15T20:03:29Z,2025-03-15T20:03:29Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.60155,-136.19573,14.25653,5.07736,-1.01341,-9.85268,2.22254,-7.50625,1.31033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-15,16:04:06,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,93.74312,-0.606676,3.415193,2451.641292,168.896688,11:45:00,5.19101,-2.04172,5.7042,-17.08698,15.20851,-2.77228,3.20077,0.91326,85.04483,-3.841624,2.920962,0.409018,2.41063,8.21615,1.75674,50,5.12957,-7.97636,-135.81058,-1.99418,4.47526,31.41396,-16.92108,5266bec3-40c2-4559-ae19-2a9af68e0727,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,OKL_SOO,1,Top,0,1,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,a6d84380-01d8-11f0-93ea-b915b93d4c7a,92.1535,NA,NA,8.69829,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:04:06,2025-03-15T20:04:06Z,2025-03-15T20:04:06Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.79359,-136.91488,15.70698,5.18921,-1.39935,-8.46054,2.0399,-8.13367,2.23763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-15,16:04:38,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,92.94999,-1.176883,2.208704,2427.071737,168.855223,11:45:00,5.08358,-2.20052,5.92466,-17.98552,14.35891,-2.62563,2.49175,-0.36876,84.86035,-4.574582,1.737659,0.409328,1.96047,7.99709,2.0252,50,4.97913,-5.08708,-134.90978,-3.34574,3.61019,29.57287,-17.44738,f8227f2c-c721-4b99-a84b-72d0bd09eca9,NA,NA,NA,NA,NA,702695,"Carmichael, Easton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OKL_SOO,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,ba0181b0-01d8-11f0-93ea-b915b93d4c7a,92.08377,NA,NA,8.08963,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:04:38,2025-03-15T20:04:38Z,2025-03-15T20:04:38Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.57429,-135.90879,14.78643,5.0822,-2.75635,-8.72369,2.19911,-5.20904,1.8051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-15,16:05:13,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Slider,NA,NA,81.74674,0.810678,0.103525,2998.154957,299.758347,04:00:00,4.93716,-2.39309,5.38437,-48.40814,-5.62177,12.24918,1.66311,-1.27529,74.79201,-7.997967,2.284923,0.470787,-6.09981,-2.61008,2.37501,50,4.9756,-0.72506,-118.67355,-0.07553,-8.64717,23.97117,-35.87413,de0560b0-8811-4729-b15b-5c5022dc70e5,NA,NA,NA,NA,NA,702695,"Carmichael, Easton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,OKL_SOO,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,cec954b0-01d8-11f0-93ea-b915b93d4c7a,80.0627,NA,NA,6.95473,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:05:13,2025-03-15T20:05:13Z,2025-03-15T20:05:13Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,55.11719,-119.70272,11.98559,4.94578,1.46467,-17.93706,2.39817,-0.3538,-4.32359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-15,16:05:32,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Slider,NA,NA,81.44178,1.913086,2.022044,3010.800583,301.184,04:00:00,4.99298,-2.28554,5.37533,-48.67877,-5.36276,11.20823,2.73177,0.54498,74.21396,-6.956233,4.012051,0.473691,-4.98866,-2.79925,2.09623,50,5.13024,-4.63655,-118.06352,2.18875,-6.98353,24.20024,-36.09268,15aceb13-d327-4e21-b8fc-9e2ed195cd54,NA,NA,NA,NA,NA,702695,"Carmichael, Easton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,OKL_SOO,1,Top,1,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,d9f65a90-01d8-11f0-93ea-b915b93d4c7a,79.57171,NA,NA,7.22781,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:05:32,2025-03-15T20:05:32Z,2025-03-15T20:05:32Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,55.12554,-119.1095,12.10012,5.00193,3.74874,-18.04634,2.29011,-4.33471,-3.49177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-15,16:05:52,"McCoy, Jake",811690,Left,SOU_GAM,Undefined,Fastball,NA,NA,95.11131,-0.038241,2.209571,2605.645343,164.627358,11:30:00,5.16509,-2.01193,5.92947,-17.5843,13.16398,-3.3626,3.66423,-0.24097,87.06083,-3.355324,1.606373,0.3991,2.3191,7.04646,1.83717,50,5.15204,-5.18012,-138.14784,-0.67296,4.49589,29.86696,-18.51353,cd3f632c-7972-4b54-a11f-ce2d785f479c,NA,NA,NA,NA,NA,702695,"Carmichael, Easton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,OKL_SOO,1,Top,1,1,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_GAM,OKL_SOO,UofSouthCarolina,D1,SEC,20250315-UofSouthCarolina-1,e5cd3500-01d8-11f0-93ea-b915b93d4c7a,94.44362,NA,NA,8.05048,NA,NA,NA,3b61fc7f-7564-408c-a5b3-77bfeed70bdf,2025-03-15,20:05:52,2025-03-15T20:05:52Z,2025-03-15T20:05:52Z,NA,v3,471441,4244,15 March 2025 16:00-oklahoma@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,54.57074,-139.1325,14.93348,5.16417,-0.0626,-9.25677,2.01039,-5.32834,2.24795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
