PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-15,13:45:50,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,77.30461,1.724783,-0.942418,2123.732126,33.899329,07:15:00,5.72026,1.09233,5.07997,-57.64342,-9.63689,-7.42587,2.54323,-0.41495,71.40851,-8.662736,-2.257021,0.498679,3.43961,-4.82752,-0.99693,50,5.83774,2.14447,-112.2597,1.31786,4.40346,19.70788,-38.35438,082562e1-6d90-414d-89c2-bb4a4611ee44,NA,NA,NA,NA,NA,1000394015,"Mecate, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WHI_COL1,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,7b7ecb40-01de-11f0-b0e6-791773298b7f,75.5845,NA,NA,5.8961,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:45:50,2025-03-15T20:45:50Z,2025-03-15T20:45:50Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.42261,-113.20766,9.85394,5.72997,3.16275,-19.17719,-1.09498,1.93266,2.20173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-15,13:46:04,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,78.01961,-0.650553,-0.45791,1708.085407,22.516041,06:45:00,5.94793,0.66092,5.17989,-64.61535,-17.13969,-7.74024,-0.04884,-0.41496,71.98072,-12.231874,-1.837392,0.495915,3.76835,-8.08693,-0.61209,50,5.8373,1.20721,-113.2809,-3.5826,4.84352,22.79205,-42.56828,0e6957e6-8fde-4033-925a-a1277a01c4de,NA,NA,NA,NA,NA,1000394015,"Mecate, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WHI_COL1,1,Top,0,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,83edc290-01de-11f0-b0e6-791773298b7f,76.00591,NA,NA,6.03889,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:46:04,2025-03-15T20:46:04Z,2025-03-15T20:46:04Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.32428,-114.34713,11.39602,5.95831,-1.59123,-21.28414,-0.66327,0.98063,2.42176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-15,13:46:21,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,80.07012,0.006116,-0.856784,1880.246958,30.925389,07:00:00,6.00215,0.42561,5.21405,-61.8059,-16.68619,-10.89142,0.85741,-1.28772,73.46905,-11.111089,-2.795935,0.483453,5.17386,-7.89493,-0.33798,50,5.95602,2.18587,-116.21888,-2.27069,6.98541,24.39205,-42.8333,ee683fd1-db66-493f-86b2-6ba66337936b,NA,NA,NA,NA,NA,1000394015,"Mecate, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WHI_COL1,1,Top,0,0,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,8e036500-01de-11f0-b0e6-791773298b7f,77.965,NA,NA,6.60107,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:46:21,2025-03-15T20:46:21Z,2025-03-15T20:46:21Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.28892,-117.32367,12.19603,6.01493,-0.33064,-21.41665,-0.42982,1.86948,3.49271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-15,13:46:45,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Fastball,NA,NA,91.9989,-3.37982,-1.551076,2021.725045,202.080214,12:45:00,6.05084,0.27854,5.64765,-13.80828,19.28214,7.42607,1.74282,-0.54973,84.91038,-5.989446,-0.224639,0.414021,-4.14969,10.92867,-0.15176,50,5.75504,3.28308,-133.47994,-8.30292,-7.5654,25.90067,-12.24975,4dbc6874-6967-41ac-b5fd-dcc503eb5812,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WHI_COL1,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,9c293880-01de-11f0-b0e6-791773298b7f,91.03992,NA,NA,7.08853,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:46:45,2025-03-15T20:46:45Z,2025-03-15T20:46:45Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,54.85145,-134.41802,12.95033,6.04772,-7.85925,-6.12488,-0.27563,3.55709,-3.7827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-15,13:46:56,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,79.98711,-0.495608,-1.344794,1873.436526,31.374411,07:00:00,5.95356,0.46432,5.18472,-62.51842,-17.33131,-11.45249,0.27727,-1.75551,73.71185,-11.702921,-3.383179,0.483814,5.32949,-8.13552,-0.33029,50,5.85948,3.19094,-116.10875,-3.30555,7.19603,23.95413,-43.15887,8074bf73-849b-4f49-a073-c09d20b4ae18,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WHI_COL1,1,Top,1,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,a2f26f10-01de-11f0-b0e6-791773298b7f,77.90686,NA,NA,6.27525,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:46:56,2025-03-15T20:46:56Z,2025-03-15T20:46:56Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.31916,-117.20099,11.97706,5.96533,-1.33762,-21.57943,-0.4683,2.86282,3.59802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-15,13:47:08,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,78.68938,-1.448039,-5.731535,2342.440599,42.798995,07:30:00,5.68185,0.81735,5.30967,-59.27889,-12.49548,-12.88135,-0.62436,-5.65399,73.09297,-12.001454,-8.004853,0.492286,4.85701,-5.63803,-0.28579,50,5.50593,11.89821,-113.70561,-4.93136,6.31116,22.30566,-39.5001,5931ba5a-11fa-436c-9e4a-b8b23c903ab7,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WHI_COL1,1,Top,1,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,aa1425e0-01de-11f0-b0e6-791773298b7f,76.56618,NA,NA,5.59641,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:47:08,2025-03-15T20:47:08Z,2025-03-15T20:47:08Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.19435,-114.72006,11.15283,5.68935,-3.13492,-19.75005,-0.82039,11.61118,3.15558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-15,13:47:25,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,79.70256,4.459101,2.37341,1853.075817,39.916228,07:15:00,5.8533,0.48386,5.15848,-58.21035,-12.64485,-11.80607,5.21181,1.73535,72.50387,-6.072883,0.287556,0.485836,6.48555,-6.99162,-0.69625,50,6.22609,-4.27641,-115.31022,6.82678,8.71123,21.92205,-41.56501,30fbde27-e5cd-4895-96a4-734fece4e42a,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,WHI_COL1,1,Top,1,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,b3e6a4d0-01de-11f0-b0e6-791773298b7f,77.58267,NA,NA,7.19869,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:47:25,2025-03-15T20:47:25Z,2025-03-15T20:47:25Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.34339,-116.32163,10.96103,5.86688,8.74446,-20.78251,-0.48968,-4.67831,4.35561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-15,13:47:46,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Curveball,NA,NA,78.50192,1.801516,-1.132557,2329.230555,39.454082,07:15:00,5.53895,0.78799,5.39029,-60.61472,-13.64505,-12.6017,2.17706,-1.32376,71.20271,-9.212973,-3.376954,0.493265,5.98343,-7.04937,-0.67753,50,5.65683,2.74735,-113.81898,1.46209,7.69814,24.63689,-41.24365,9e15c951-297f-4197-b150-e4ed1b9abcc3,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,WHI_COL1,1,Top,1,2,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,c0c63cb0-01de-11f0-b0e6-791773298b7f,76.41421,NA,NA,7.2992,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:47:46,2025-03-15T20:47:46Z,2025-03-15T20:47:46Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,55.11144,-114.92006,12.31845,5.5503,3.30536,-20.62182,-0.79263,2.4033,3.84907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-15,13:48:02,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Fastball,NA,NA,90.25433,-2.548841,-3.700172,2164.199136,200.636913,12:45:00,5.88061,0.47658,5.64332,-16.52276,18.46851,6.5037,2.11956,-2.43785,82.00312,-5.684114,-2.542076,0.425747,-4.375,10.45827,-0.16625,50,5.65336,8.15499,-130.59247,-6.324,-7.51272,28.95013,-14.21516,b6fe0503-4655-4763-93a3-2019f8d0ad33,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,WHI_COL1,1,Top,1,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,ca2d2890-01de-11f0-b0e6-791773298b7f,88.53253,NA,NA,8.25121,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:48:02,2025-03-15T20:48:02Z,2025-03-15T20:48:02Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,54.85326,-131.66396,14.47506,5.87768,-5.79788,-7.10758,-0.47322,8.43304,-3.75636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-15,13:48:19,"Stogner, Graham",1000230537,Right,CHA_UNI,Undefined,Fastball,NA,NA,91.58677,-3.679149,-2.959456,2239.340553,197.593556,12:30:00,5.95684,0.51739,5.63152,-12.6695,21.51403,6.42977,1.45899,-1.71051,82.81293,-6.130749,-1.813449,0.420804,-4.14717,12.36233,-0.26945,50,5.63506,6.54916,-132.39812,-8.85452,-7.28394,31.04179,-10.46136,1a42e249-e6cb-48bf-8241-b0d19f3bc1f0,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,WHI_COL1,1,Top,1,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,CHA_UNI,WHI_COL1,WOHartPark,D3,Team,20250315-WOHartPark-2,d45f7ac0-01de-11f0-b0e6-791773298b7f,89.57248,NA,NA,8.77384,NA,NA,NA,7e05d121-6f84-4a6c-9703-661493a4621b,2025-03-15,20:48:19,2025-03-15T20:48:19Z,2025-03-15T20:48:19Z,NA,v3,NA,NA,NA,"Beckley, Brennan",1000118419,Right,CHA_UNI,54.86387,-133.53362,15.5209,5.95196,-8.47185,-5.23068,-0.51389,6.81561,-3.64197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
