PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-14,16:06:23,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,92.29319,-1.614323,-4.236013,2407.738797,226.005522,01:30:00,5.53272,2.23691,5.64518,-16.18776,17.47769,16.83383,2.6734,-0.31877,83.13322,-4.708613,-1.239304,0.417603,-9.88201,9.72252,-1.88793,50,5.38541,9.12328,-133.49134,-4.27106,-17.60257,32.18157,-14.85557,8d850128-6e86-42c3-a2a7-9d1830caa284,NA,NA,NA,NA,10.383119,1000255512,"Davis, Diego",4914.701206,NA,84.4234,Right,38.627891,107.50362,74.19871,23.3003,281.92317,279.81568,4.842774,12.593622,1.67886,2.74994,0.32032,NA,NA,NA,NA,NA,1,1,PAC_TIG,1,Top,0,0,0,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,cda7f880-010f-11f0-a010-d13f76ff418c,90.25904,85.33817,NA,9.15996,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:06:23,2025-03-14T20:06:23Z,2025-03-14T20:06:23Z,FlyBall,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.85239,-134.65605,16.09078,5.53026,-3.73341,-7.42779,-2.22965,9.76035,-8.80129,196.795463,1.68522,95.01324,-19.11705,4.11179,-0.17885,-0.22864,0.0729,-0.00892,3.9e-4,2.75013,77.2766,-20.41013,1.0826,0.21031,-0.21033,0.07121,-0.01103,6.4e-4,0.32098,17.41437,-0.0285,-0.92343,0.41562,-0.12796,0.02783,-0.00356,1.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-03-14,16:06:54,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,91.86948,-2.277883,-4.551678,2372.008104,225.686372,01:30:00,5.55828,2.03826,5.71052,-17.33914,16.3717,15.58174,1.98335,-0.91274,83.39479,-5.561864,-1.776134,0.417884,-9.24784,9.32768,-1.6663,50,5.35635,9.88,-132.87464,-5.84911,-16.44539,29.88776,-15.58669,311fe1bb-b70d-48bf-8f25-58cc842d762e,NA,NA,NA,NA,NA,1000124499,"Wood, Jarryd",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PAC_TIG,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,e0928000-010f-11f0-a010-d13f76ff418c,90.19823,NA,NA,8.47469,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:06:54,2025-03-14T20:06:54Z,2025-03-14T20:06:54Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.78746,-133.94716,14.94388,5.55621,-5.28979,-7.79335,-2.03143,10.47014,-8.22269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-14,16:07:10,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,93.37525,-1.006527,-3.38104,2410.422703,221.667499,01:30:00,5.59656,2.07271,5.52159,-15.28887,17.5132,14.58182,3.3797,0.12311,84.51966,-3.921282,-0.787787,0.412213,-8.4078,9.48284,-1.78843,50,5.49904,7.31947,-135.26849,-2.86814,-15.45882,31.61674,-14.73865,27a7cfeb-429e-4163-921d-040d7e52d6f7,NA,NA,NA,NA,135.494023,1000124499,"Wood, Jarryd",4505.988271,NA,77.85856,Right,63.594923,NA,NA,NA,NA,23.18098,NA,NA,1.76284,3.43684,-0.12757,NA,NA,NA,NA,NA,2,2,PAC_TIG,1,Top,1,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,ea0fb300-010f-11f0-a010-d13f76ff418c,91.43917,47.14164,NA,8.85559,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:07:10,2025-03-14T20:07:10Z,2025-03-14T20:07:10Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.97678,-136.42677,15.80837,5.59422,-2.32819,-7.36932,-2.06696,7.8858,-7.72941,334.267005,1.76284,-36.21734,-4.46087,2.69747,1.19078,-11.87473,35.22194,-48.74499,25.89409,3.43684,102.2789,-32.25419,4.54137,0.13635,-6.1656,18.08085,-24.62335,12.92311,-0.12757,35.59804,-9.4809,1.64718,0.19577,-2.69511,7.71822,-10.4226,5.43901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-03-14,16:07:33,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,93.19839,-0.49065,-3.658032,2468.479609,218.157407,01:15:00,5.6313,1.89099,5.5642,-12.57422,20.04706,14.93576,4.12414,-0.28634,84.93267,-2.911347,-1.001392,0.411076,-8.54056,10.56965,-1.58507,50,5.58088,7.94645,-135.10132,-1.51955,-15.8041,29.09947,-12.61511,e9603880-390f-4864-8132-fd6f3153bba5,NA,NA,NA,NA,NA,1000124499,"Wood, Jarryd",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PAC_TIG,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,f7a358a0-010f-11f0-a010-d13f76ff418c,91.6922,NA,NA,8.26572,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:07:33,2025-03-14T20:07:33Z,2025-03-14T20:07:33Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.93426,-136.15996,14.54973,5.62781,-1.06061,-6.30756,-1.88462,8.5214,-7.90205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-14,16:07:51,"McEwen, Max",809124,Right,IND_SYC,Undefined,Slider,NA,NA,82.62679,0.183721,-4.234096,2565.536645,81.926933,08:45:00,5.50505,2.28002,5.20584,-42.11955,-0.25252,-10.05107,2.16834,-2.5468,76.60235,-7.417558,-6.005999,0.465701,3.94008,0.19256,-1.87975,50,5.49021,9.28568,-119.74387,-1.15932,5.76391,21.48823,-31.89238,5dcce4a2-f629-4688-8673-595e8cff5436,NA,NA,NA,NA,NA,1000124499,"Wood, Jarryd",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,PAC_TIG,1,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,0205bb80-0110-11f0-a010-d13f76ff418c,80.93693,NA,NA,6.02444,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:07:51,2025-03-14T20:07:51Z,2025-03-14T20:07:51Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,55.29456,-120.69024,10.74412,5.51033,0.24527,-15.94619,-2.28311,9.03182,2.88196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-14,16:08:10,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,92.17554,-1.531712,-3.74042,2398.364027,217.891549,01:15:00,5.48112,2.21564,5.88287,-13.42347,19.05993,14.14083,2.93672,-0.08439,85.3481,-4.085445,-1.210315,0.410206,-8.16536,10.43079,-1.92186,50,5.34948,8.15509,-133.85422,-3.98227,-15.05788,24.43879,-12.93844,c05bdbc8-b03e-4e74-8be2-d76d9011b8fb,NA,NA,NA,NA,154.639845,1000124499,"Wood, Jarryd",4045.238777,NA,77.00692,Right,36.874646,NA,NA,NA,NA,65.12579,NA,NA,1.91089,2.98709,0.0763,NA,NA,NA,NA,NA,2,5,PAC_TIG,1,Top,1,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,0d9294a0-0110-11f0-a010-d13f76ff418c,91.88657,41.0427,NA,6.82744,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:08:10,2025-03-14T20:08:10Z,2025-03-14T20:08:10Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.61867,-134.69485,12.2194,5.4788,-3.53722,-6.46922,-2.21128,8.67304,-7.52894,311.834292,1.91089,-81.64229,3.88532,0.69379,-0.43106,0.71162,-1.0523,0.86899,-0.28698,2.98709,67.77366,-27.37187,3.50114,-1.09557,1.2251,-1.76553,1.44449,-0.47135,0.0763,38.69723,-10.83871,1.68024,-0.57444,0.77011,-1.17376,0.96414,-0.31391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-03-14,16:08:34,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,92.92699,-1.628213,-4.753331,2312.767726,217.926008,01:15:00,5.60919,1.82731,5.82798,-14.99926,17.73863,12.96524,2.84004,-1.52109,84.41951,-4.496464,-2.441177,0.41181,-7.95622,9.83331,-1.44588,50,5.46693,10.59591,-134.45059,-4.27603,-14.51592,30.04344,-14.23344,c60c90dc-a983-4523-8d38-ece35834115b,NA,NA,NA,NA,NA,1000124499,"Wood, Jarryd",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,PAC_TIG,1,Top,1,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,1bc20510-0110-11f0-a010-d13f76ff418c,91.52873,NA,NA,8.50749,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:08:34,2025-03-14T20:08:34Z,2025-03-14T20:08:34Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.66939,-135.48996,15.02172,5.60635,-3.78362,-7.11672,-1.82114,11.09809,-7.25796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-14,16:08:54,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,91.86167,-1.682613,-4.886552,2344.677665,223.623084,01:30:00,5.44332,2.11795,5.85874,-17.00221,16.30119,14.51816,2.45708,-1.22313,83.89858,-4.902455,-2.29606,0.415351,-8.72953,9.10465,-1.72903,50,5.29637,10.72925,-132.96647,-4.4436,-15.66029,27.96531,-15.84077,2e7f2e38-af44-4c98-8add-2c1949761bf9,NA,NA,NA,NA,NA,1000124499,"Wood, Jarryd",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,PAC_TIG,1,Top,1,3,2,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,279f9640-0110-11f0-a010-d13f76ff418c,90.74833,NA,NA,7.96309,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:08:54,2025-03-14T20:08:54Z,2025-03-14T20:08:54Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.6397,-133.93873,13.98265,5.44129,-3.89287,-7.92038,-2.11151,11.27371,-7.83014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.45546,NA,NA,0.980591,NA,NA,NA,1.81743,5.904,-1.52074,70.42771,6.07281,-54.35115,1.8528,74.57127,-4.73272,5.93739,13.86662,-14.00162,-1.57689,-59.85361,6.15722,High,High,High,NA,NA,High,High,High
9,2025-03-14,16:09:27,"McEwen, Max",809124,Right,IND_SYC,Undefined,Slider,NA,NA,78.95122,2.065202,-1.385606,2431.080175,66.433792,08:15:00,5.23801,2.58154,5.29744,-45.83199,-0.3628,-3.78146,3.359,0.96529,72.91568,-6.270886,-2.056525,0.485322,1.54323,-0.29319,-2.4527,50,5.39232,2.92449,-114.64394,2.5417,2.07282,19.36409,-32.56783,7de22715-5529-44ad-ac6b-d8a76eaa15cd,NA,NA,NA,NA,NA,824185,"Tandy, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,PAC_TIG,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,3b6c1950-0110-11f0-a010-d13f76ff418c,77.6648,NA,NA,6.03555,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:09:27,2025-03-14T20:09:27Z,2025-03-14T20:09:27Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,55.20259,-115.51935,9.68204,5.24414,4.01402,-16.28392,-2.58279,2.83079,1.03641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-14,16:09:41,"McEwen, Max",809124,Right,IND_SYC,Undefined,Fastball,NA,NA,93.21701,-1.476354,-4.414845,2395.046092,220.813414,01:15:00,5.5203,2.2358,5.71562,-14.52269,18.20875,14.7506,2.93037,-0.65581,84.41825,-4.261562,-1.787278,0.411769,-8.73882,9.99036,-1.87491,50,5.38757,9.7285,-134.87371,-3.91155,-16.00082,30.9723,-13.88161,014acb5a-d41e-4eda-8670-ec97e593e83c,NA,NA,NA,NA,NA,824185,"Tandy, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,PAC_TIG,1,Top,2,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,PAC_TIG,IndianaState,D1,MVC,20250314-IndianaState-1,43ddf6d0-0110-11f0-a010-d13f76ff418c,91.53777,NA,NA,8.79876,NA,NA,NA,f32b0fb8-5477-44b7-b1fe-d5289df13716,2025-03-14,20:09:41,2025-03-14T20:09:41Z,2025-03-14T20:09:41Z,NA,v3,471319,471406,14 March 2025 16:00-pacific@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.7809,-135.96715,15.48615,5.51701,-3.42147,-6.94081,-2.22834,10.2934,-8.00041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
