PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-15,14:10:49,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,90.74649,-1.459099,-2.131374,2198.716089,207.498266,01:00:00,5.85027,1.24644,5.98352,-13.9052,20.32214,9.94327,3.33788,0.09862,81.88268,-4.164688,-0.345188,0.421074,-5.72595,11.20575,-1.08334,50,5.72721,4.45893,-131.56018,-3.70115,-9.91471,31.04528,-12.77091,bbe068c6-fb59-49ac-9fb0-976890e8fcc9,NA,NA,NA,NA,NA,1000119584,"Ball, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NEV_WOL,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,f96a7ba0-01e1-11f0-a928-b735daa81b33,89.5151,NA,NA,8.8638,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:10:49,2025-03-15T21:10:49Z,2025-03-15T21:10:49Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.5111,-132.62043,15.52264,5.84616,-3.26501,-6.38546,-1.24141,4.79754,-4.95736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-15,14:11:05,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,90.35454,-1.044363,-2.083167,2174.598748,201.312127,12:45:00,5.85664,0.97129,5.90426,-10.11729,24.82529,9.16095,4.04335,-0.19987,80.69941,-3.094862,-0.440307,0.42545,-5.32351,13.3352,-0.80877,50,5.76668,4.34418,-130.84832,-2.54567,-9.034,33.05935,-9.54415,fbd3947e-12b6-4028-9b59-6492709c242c,NA,NA,NA,NA,NA,1000119584,"Ball, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NEV_WOL,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,030f0cc0-01e2-11f0-a928-b735daa81b33,88.59425,NA,NA,9.65513,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:11:05,2025-03-15T21:11:05Z,2025-03-15T21:11:05Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.58768,-132.00232,16.52968,5.84973,-2.21251,-4.77207,-0.96592,4.65953,-4.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-15,14:11:21,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Cutter,NA,NA,87.34371,-2.685376,-1.652751,2234.216588,169.566036,11:45:00,5.92884,1.06649,6.28849,-25.10242,11.21757,-1.84303,1.35942,-0.61061,79.78561,-7.390572,-1.98616,0.433755,0.47213,6.99367,-0.94392,50,5.71881,3.72817,-126.74514,-6.69984,0.76291,27.50902,-20.873,5463a481-d8b3-41c1-bd89-17565c77100f,NA,NA,NA,NA,25.762692,1000119584,"Ball, Michael",4845.296314,NA,91.58432,Right,30.211619,94.51548,55.86479,56.27371,304.14865,259.89088,4.58551,39.57553,1.0246,1.29223,0.6002,NA,NA,NA,NA,NA,1,3,NEV_WOL,1,Top,0,1,1,Cutter,InPlay,Undefined,FlyBall,Out,1,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,0d020c00-01e2-11f0-a928-b735daa81b33,86.89809,70.1303,NA,7.5581,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:11:21,2025-03-15T21:11:21Z,2025-03-15T21:11:21Z,FlyBall,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.20937,-127.65548,13.75451,5.92909,-6.0091,-10.4365,-1.06688,3.70292,0.38145,219.560085,1.0251,104.5364,-25.71652,6.57225,-1.56186,0.34948,-0.070930000000000007,0.0097,-5.7e-4,1.29266,67.57437,-18.16756,0.57581,0.29601,-0.18181,0.05324,-0.00756,4.1e-4,0.60045,50.4476,-0.4534,-1.3922,0.56849,-0.13128,0.01668,-6.6e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-03-15,14:12:00,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,90.21214,-1.565706,-2.141539,2286.873121,207.482363,01:00:00,5.79247,1.0714,5.8661,-12.10355,22.7769,11.18493,3.32804,0.01323,81.16558,-3.953164,-0.136887,0.425072,-6.35626,12.46473,-0.9042,50,5.65854,4.39221,-130.72317,-3.8447,-10.83809,31.31386,-10.92032,b9ece2d7-a6cb-4ae7-b12e-b6513bd33a9a,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NEV_WOL,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,2404dae0-01e2-11f0-a928-b735daa81b33,88.6731,NA,NA,9.04656,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:12:00,2025-03-15T21:12:00Z,2025-03-15T21:12:00Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.62842,-131.82721,15.65693,5.78731,-3.45968,-5.46016,-1.06579,4.77433,-5.41905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-15,14:12:14,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Curveball,NA,NA,78.00463,1.670193,-1.671039,2147.495543,22.779097,06:45:00,5.86304,1.06918,5.49974,-62.1748,-14.80414,-6.92107,2.24508,-1.07097,70.82544,-9.638994,-2.906381,0.495366,2.91103,-7.4228,-0.91844,50,5.96764,3.57511,-113.09124,1.13043,3.7002100000000002,24.18613,-41.60921,ee92fa79-c740-45e4-8c7c-e2d7f26c6f57,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NEV_WOL,1,Top,1,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,2c9033d0-01e2-11f0-a928-b735daa81b33,76.0901,NA,NA,7.17919,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:12:14,2025-03-15T21:12:14Z,2025-03-15T21:12:14Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,55.00027,-114.15561,12.09306,5.87761,2.96154,-20.8046,-1.07219,3.41227,1.85011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-15,14:12:31,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,92.14601,-1.615307,-4.622996,2281.175532,209.915092,01:00:00,5.62788,1.24995,6.14636,-12.3806,20.61726,11.20575,3.09831,-2.09731,83.41165,-4.039235,-2.612638,0.413442,-7.12138,11.42701,-0.90279,50,5.49787,10.29562,-133.35036,-4.05834,-12.73167,30.58462,-11.74479,ffac3f17-7cd7-48d6-ac4c-869328201966,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NEV_WOL,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,36838130-01e2-11f0-a928-b735daa81b33,91.16748,NA,NA,8.73436,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:12:31,2025-03-15T21:12:31Z,2025-03-15T21:12:31Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.3494,-134.34421,15.29231,5.62354,-3.67669,-5.8724,-1.24407,10.70933,-6.36583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-15,14:12:46,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,91.6396,-1.9101,-1.774813,2297.142714,207.372184,01:00:00,5.91133,0.97323,5.80825,-10.89068,23.07198,11.28741,3.22601,0.26287,82.24911,-4.076396,0.246626,0.419442,-6.28174,12.69816,-0.83419,50,5.74816,3.59796,-132.7439,-4.65438,-11.01617,32.96407,-9.90548,0b64643f-17e1-4d73-a705-8a2f273532ce,NA,NA,NA,NA,NA,1000087646,"Kwon, Junhyuk",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NEV_WOL,1,Top,1,1,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,3f9b3ba0-01e2-11f0-a928-b735daa81b33,89.86326,NA,NA,9.3905,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:12:46,2025-03-15T21:12:46Z,2025-03-15T21:12:46Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.68566,-133.90243,16.48204,5.90562,-4.30625,-4.95274,-0.96744,3.98512,-5.50808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.81387,NA,NA,0.890552,NA,NA,NA,-0.90712,5.77088,-5.96213,69.81867,7.30546,-54.96649,-0.8611,84.80755,-6.09635,5.79223,13.46028,-13.19927,-6.00279,-59.55278,5.12129,High,High,High,NA,NA,High,High,High
8,2025-03-15,14:13:21,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,92.35192,-2.002622,-3.158088,2259.074174,220.321953,01:15:00,5.60314,1.24298,5.91794,-13.11564,20.31021,16.15343,2.64812,-0.34463,82.71548,-4.572905,-0.262687,0.416114,-9.27461,11.40186,-0.9988,50,5.43512,6.64657,-133.65854,-5.00644,-16.45137,34.03178,-11.9494,04814c51-cb95-4b3a-81ff-9542ff9c92e4,NA,NA,NA,NA,41.806014,1000245956,"Waller, Jackson",4405.154904,NA,95.92683,Right,-1.328484,NA,NA,NA,48.63832,43.68988,0.366586,43.528284,-0.00638,2.51811,0.25388,NA,NA,NA,NA,NA,3,1,NEV_WOL,1,Top,2,0,0,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,547c14e0-01e2-11f0-a928-b735daa81b33,90.58196,2.51811,NA,9.63643,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:13:21,2025-03-15T21:13:21Z,2025-03-15T21:13:21Z,GroundBall,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.57704,-134.81889,17.01589,5.59887,-4.59901,-5.9747,-1.23498,7.2075,-8.22569,248.992399,0.00617,104.38637,-22.47415,NA,NA,NA,NA,NA,NA,2.51781,-3.25021,-9.86782,NA,NA,NA,NA,NA,NA,0.25593,93.68831,-8.22214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-03-15,14:14:07,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,89.95572,-2.926949,-1.41124,2244.257967,203.635125,12:45:00,5.81469,1.3645,6.01685,-9.63654,25.09458,10.44465,2.29725,0.92741,81.41986,-4.860355,0.466808,0.424161,-5.76331,14.1095,-1.25935,50,5.57962,2.76278,-130.39415,-6.83003,-9.82934,29.825,-8.11021,d3455640-3e63-461a-a1e2-98d0307b1fce,NA,NA,NA,NA,NA,1000132274,"Holder, Taylor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NEV_WOL,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,6fb45010-01e2-11f0-a928-b735daa81b33,88.86351,NA,NA,8.53585,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:14:07,2025-03-15T21:14:07Z,2025-03-15T21:14:07Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.4788,-131.41459,14.9125,5.80856,-6.55255,-4.0551,-1.35963,3.09908,-4.91467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-15,14:14:26,"Anker, Jack",804985,Right,FRE_BUL,Undefined,Fastball,NA,NA,91.30054,-1.420784,-2.088229,2295.782081,199.682878,12:45:00,5.89673,1.36194,5.88005,-10.74839,23.00037,7.81898,3.68043,0.07337,82.79615,-3.543483,-0.686659,0.418119,-4.57961,12.46985,-1.19761,50,5.77555,4.47974,-132.42536,-3.5137,-8.08487,29.81667,-10.15961,a7d0fde6-5801-4c61-85b1-89c0eeefdc47,NA,NA,NA,NA,NA,1000132274,"Holder, Taylor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NEV_WOL,1,Top,2,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FRE_BUL,NEV_WOL,PeteBeidenField,D1,MW,20250315-PeteBeidenField-1,7ac06070-01e2-11f0-a928-b735daa81b33,90.14753,NA,NA,8.50439,NA,NA,NA,922851e3-19fb-4ea8-95f0-ba7ac9d28561,2025-03-15,21:14:26,2025-03-15T21:14:26Z,2025-03-15T21:14:26Z,NA,v3,471253,471377,15 March 2025 18:05-nevada@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,54.61526,-133.46048,14.90833,5.89141,-3.161,-5.07981,-1.358,4.76042,-4.04243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
