PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-23,13:04:53,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,89.31835,-3.17171,-1.337368,1872.904575,213.115729,01:00:00,6.6181,1.18806,5.67638,-17.14741,18.49627,11.25871,2.22846,0.87928,81.17167,-6.42021,0.67559,0.429697,-6.07737,10.68414,-1.08229,50,6.3397,2.52092,-129.39116,-7.68423,-10.23013,28.78148,-14.18927,680cb524-ed5e-4044-a1e6-715fec53a197,NA,NA,NA,NA,NA,1000187787,"Cook, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_GOL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,52f3c8e0-0811-11f0-954a-7dea923492d4,87.71859,NA,NA,8.14668,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:04:53,2025-03-23T18:04:53Z,2025-03-23T18:04:53Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.82093,-130.45911,14.39074,6.61506,-7.15773,-7.09463,-1.18288,2.90051,-5.11507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-23,13:05:05,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,89.40564,-2.931015,-2.290611,2060.552177,214.010092,01:15:00,6.58948,1.03802,5.7,-15.33981,19.75151,12.60107,2.57532,-0.04754,82.20521,-5.836232,-0.038707,0.426355,-7.06,11.17241,-0.85395,50,6.33379,4.65739,-129.70991,-7.10535,-12.09954,25.61899,-13.02664,ebd86fd5-1df7-4781-a28b-6ccf82037951,NA,NA,NA,NA,-17.782083,1000187787,"Cook, Jake",4192.813915,NA,88.31757,Left,49.577645,98.00657,105.67386,-49.94635,275.87319,102.19383,5.517539,-35.810697,1.77329,2.73356,-0.29023,NA,NA,NA,NA,NA,1,2,SOU_GOL,1,Top,0,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,59d123b0-0811-11f0-954a-7dea923492d4,88.40625,118.90018,NA,7.20043,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:05:05,2025-03-23T18:05:05Z,2025-03-23T18:05:05Z,FlyBall,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.80158,-130.65483,12.8095,6.587,-6.62488,-6.51332,-1.03396,5.10366,-6.04977,141.999543,1.81389,79.2,-16.30703,0.20081,2.62783,-1.31555,0.30294,-0.03405,0.00151,2.72975,98.63062,-25.47392,2.29887,0.10054,-0.275,0.09386,-0.01361,7.3e-4,-0.26614,-26.08145,-3.43372,-0.1316,1.10646,-0.52766,0.1133,-0.01161,4.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-03-23,13:05:34,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,ChangeUp,NA,NA,82.54061,-0.3813,-0.564373,1595.275155,245.284952,02:15:00,6.35564,1.42009,5.99828,-33.26699,7.34595,13.32725,3.23004,2.0077,76.04938,-6.546883,1.834719,0.458674,-6.96819,4.27646,-1.3827,50,6.30742,0.66391,-120.00643,-1.84805,-10.20651,22.26583,-25.91021,b5c88dc6-21af-4985-8f14-efb50a92c17e,NA,NA,NA,NA,NA,801465,"Pratt, Ozzie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SOU_GOL,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,6b508270-0811-11f0-954a-7dea923492d4,82.17705,NA,NA,6.49123,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:05:34,2025-03-23T18:05:34Z,2025-03-23T18:05:34Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.50159,-120.83876,11.13291,6.35841,-0.87948,-12.9551,-1.41465,1.04545,-5.10326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-23,13:05:44,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.76801,-3.426424,-1.633411,2152.243264,209.70412,01:00:00,6.65684,0.85373,5.81789,-12.96615,21.33044,11.49627,2.38536,0.2926,82.52032,-5.930978,0.426414,0.421499,-6.19768,12.11749,-0.72594,50,6.36769,3.21211,-131.44478,-8.18412,-10.79721,28.96351,-11.06369,aabc218f-806e-4fe6-b468-8bf4318e193f,NA,NA,NA,NA,-171.99054,801465,"Pratt, Ozzie",3498.068199,NA,73.0973,Left,10.204215,NA,NA,NA,NA,31.93432,NA,NA,1.28617,2.2985,-0.53925,NA,NA,NA,NA,NA,2,2,SOU_GOL,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,7170f5e0-0811-11f0-954a-7dea923492d4,89.42465,7.40958,NA,8.2477,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:05:44,2025-03-23T18:05:44Z,2025-03-23T18:05:44Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.67627,-132.47118,14.48175,6.65076,-7.79205,-5.53185,-0.84655,3.59473,-5.39861,244.375295,1.28732,-104.5322,7.23842,NA,NA,NA,NA,NA,NA,2.29768,19.02668,-9.24432,NA,NA,NA,NA,NA,NA,-0.53681,-14.80306,-15.62618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
5,2025-03-23,13:05:59,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,ChangeUp,NA,NA,82.36631,0.705922,-0.926507,1666.872044,264.797464,02:45:00,6.32986,1.50999,5.76469,-39.45569,2.45016,10.63646,3.69902,1.53396,74.50848,-6.59645,0.97962,0.465917,-5.65965,1.5126,-1.43955,50,6.36489,1.49481,-119.46586,0.14638,-8.06391,26.04566,-30.01887,c7ef873b-5d1e-48ad-8419-623f7e903be5,NA,NA,NA,NA,NA,801465,"Pratt, Ozzie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SOU_GOL,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,7a389480-0811-11f0-954a-7dea923492d4,80.89945,NA,NA,7.85784,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:05:59,2025-03-23T18:05:59Z,2025-03-23T18:05:59Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.73243,-120.49319,13.02283,6.33576,1.33044,-15.00944,-1.50478,1.81288,-4.03196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-23,13:06:11,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.11722,-1.843826,-1.335592,1896.069105,222.49921,01:30:00,6.5995,1.06998,5.76558,-19.88355,15.28725,12.80934,3.22542,0.89415,81.07088,-5.613155,0.958659,0.426837,-6.96681,8.77138,-0.96731,50,6.43505,2.48211,-130.58728,-4.82984,-11.81199,32.15356,-17.30247,30770f8f-5bd2-4fe7-89f0-63e4d704515a,NA,NA,NA,NA,0.151784,801465,"Pratt, Ozzie",839.721387,NA,91.66777,Left,3.039273,NA,NA,NA,80.77932,80.77932,0.635714,-0.621807,1.10458,3.24613,-0.89019,NA,NA,NA,NA,NA,2,4,SOU_GOL,1,Top,1,2,1,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,818552f0-0811-11f0-954a-7dea923492d4,88.30632,3.87771,NA,9.04635,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:06:11,2025-03-23T18:06:11Z,2025-03-23T18:06:11Z,GroundBall,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.73191,-131.74724,16.07678,6.59803,-4.20564,-8.65123,-1.06453,2.90823,-5.90599,8.882131,1.12328,133.8598,-13.51733,NA,NA,NA,NA,NA,NA,3.26669,6.69349,-18.66038,NA,NA,NA,NA,NA,NA,-0.88894,0.32895,-0.48993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-03-23,13:06:44,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,88.4262,-2.673869,-1.584486,2141.077418,207.150079,01:00:00,6.68505,1.01687,5.48514,-15.20828,21.4247,10.33067,2.91325,0.39494,80.20056,-5.582123,0.255062,0.43562,-5.65225,11.95158,-0.88504,50,6.44046,3.07913,-128.08957,-6.41541,-9.31933,28.33026,-12.46856,823ed812-7856-4b2f-a31c-c77c75f54861,NA,NA,NA,NA,NA,825097,"Gillespie, Davis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SOU_GOL,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,952a02b0-0811-11f0-954a-7dea923492d4,86.52598,NA,NA,8.22564,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:06:44,2025-03-23T18:06:44Z,2025-03-23T18:06:44Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,55.012,-129.19334,14.16513,6.68095,-5.92962,-6.23428,-1.01207,3.44222,-4.65967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-23,13:06:58,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,89.39235,-1.965458,-1.96245,1907.271689,204.345521,12:45:00,6.73039,1.00551,5.56986,-14.11792,21.43194,9.1615,3.71613,-0.06492,81.34936,-4.675743,-0.329243,0.429132,-5.23898,11.7969,-0.84265,50,6.55208,4.0454,-129.6444,-4.85521,-8.8809,28.11368,-12.17639,1984fbe3-3028-4b51-83ff-480f803af0e7,NA,NA,NA,NA,-19.701025,825097,"Gillespie, Davis",4300.948917,NA,93.45857,Right,47.371418,NA,NA,NA,NA,102.79259,NA,NA,2.01692,3.75657,0.10016,NA,NA,NA,NA,NA,3,2,SOU_GOL,1,Top,1,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,9d7cbf70-0811-11f0-954a-7dea923492d4,87.83423,106.13001,NA,8.04299,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:06:58,2025-03-23T18:06:58Z,2025-03-23T18:06:58Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.93022,-130.70916,14.05684,6.72722,-4.39405,-6.0882,-1.00223,4.38175,-4.44045,181.404107,2.01692,87.3974,-19.64557,5.29668,-1.26874,0.32548,-0.09629,0.02699,-0.00417,3.75657,100.85222,-22.2077,1.9001,-0.23858,-0.017,0.03621,-0.01832,0.00357,0.10016,-31.29457,7.44022,-2.03566,0.49389,-0.12831,0.03857,-0.01096,0.00171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-03-23,13:07:37,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,89.36405,-1.919541,0.071933,1961.59602,206.865102,01:00:00,6.61329,1.22636,5.95865,-14.63446,20.60131,9.81256,3.61303,2.11077,80.91624,-4.74912,1.835204,0.427231,-4.97284,11.48875,-1.23732,50,6.45257,-0.58656,-129.63462,-4.71813,-8.37607,29.67525,-12.82272,dcf18f66-21dc-4718-8e2f-9f1168194219,NA,NA,NA,NA,NA,1000243142,"Russo, Matthew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,SOU_GOL,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,b49671b0-0811-11f0-954a-7dea923492d4,88.22487,NA,NA,8.4478,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:07:37,2025-03-23T18:07:37Z,2025-03-23T18:07:37Z,NA,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.53806,-130.66932,14.83763,6.60929,-4.27103,-6.41136,-1.22196,-0.29451,-4.18803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-23,13:07:51,"Gonzalez, Daniel",10096042,Right,ULM_WAR,Undefined,Fastball,NA,NA,89.95745,-2.880762,-1.353881,2159.830561,189.13283,12:15:00,6.62387,1.16165,5.59109,-12.30068,22.95198,3.49225,2.90588,0.18825,81.57599,-5.269754,-0.730927,0.427334,-2.19059,12.88989,-1.04784,50,6.36897,2.92847,-130.35491,-6.88457,-3.73745,29.56116,-10.18215,ad85667c-bf48-4646-9eda-8c7df7ef984e,NA,NA,NA,NA,-1.983736,1000243142,"Russo, Matthew",3992.612702,NA,99.76598,Left,35.487894,109.3703,76.07982,-11.75246,359.92331,168.93938,5.71167,-14.09052,1.75427,2.63903,-0.27549,NA,NA,NA,NA,NA,4,2,SOU_GOL,1,Top,2,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ULM_WAR,SOU_GOL,WarHawkField,D1,SBELT,20250323-WarHawkField-1,bcb0b950-0811-11f0-954a-7dea923492d4,88.20375,111.32884,NA,8.38147,NA,NA,NA,65a60040-a5df-4350-8c0f-fce0c918f0b4,2025-03-23,18:07:51,2025-03-23T18:07:51Z,2025-03-23T18:07:51Z,FlyBall,v3,471389,471449,21 March 2025 19:00-smiss@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.90826,-131.46326,14.78058,6.61994,-6.5028,-5.09108,-1.16027,3.0686,-1.86872,153.087344,1.76263,118.9147,-26.54286,5.88146,-0.7396,-0.01671,0.02161,-0.00283,1.2e-4,2.63516,85.00298,-18.61754,0.98296,-0.08936,-0.01848,0.01274,-0.00222,1.2e-4,-0.27281,-4.17632,-7.48207,2.3415,-0.41002,0.02508,0.00408,-7.9e-4,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
