PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-24,14:05:34,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,91.23844,-1.826575,-1.586774,2003.614936,239.078025,02:00:00,5.8533,1.65011,6.471,-21.85013,11.81087,17.50627,2.35376,1.65133,81.53333,-6.004818,1.591547,0.417576,-9.59178,7.20118,-1.5447,50,5.715,2.91948,-132.24852,-4.8529,-16.53694,35.1681,-19.75868,ca71b800-a285-4d97-a57c-2eb52a39668c,NA,NA,NA,NA,NA,801427,"Fernandes, Alex",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAN_SPA,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,babc40a0-08f3-11f0-ab4c-a149ceee6778,90.26496,NA,NA,9.70511,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:05:34,2025-03-24T21:05:34Z,2025-03-24T21:05:34Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,54.02315,-133.31408,17.58405,5.85297,-4.25423,-9.87934,-1.64075,3.42053,-8.26847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-24,14:05:50,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,90.31431,-1.690422,-2.772007,2002.618022,229.439218,01:45:00,5.76324,1.65382,6.60209,-20.59733,13.38076,14.14863,2.49594,0.29148,81.17691,-5.644656,-0.200394,0.419538,-8.44902,7.98,-1.47043,50,5.63929,5.80079,-130.99511999999999,-4.43371,-14.37817,32.99399,-18.59404,fb15f8d0-2126-4e9b-9ddd-188fb059c044,NA,NA,NA,NA,38.338005,801427,"Fernandes, Alex",NA,NA,76.37094,Left,-4.266732,NA,NA,NA,28.38513,25.62976,0.246429,35.850416,2.4371,2.68214,-0.29258,NA,NA,NA,NA,NA,1,2,SAN_SPA,1,Top,0,1,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,c421a5e0-08f3-11f0-ab4c-a149ceee6778,89.84282,2.68214,NA,9.1374,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:05:50,2025-03-24T21:05:50Z,2025-03-24T21:05:50Z,GroundBall,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.8967,-131.97294,16.497,5.76253,-3.88265,-9.29702,-1.64866,6.22691,-7.18908,250.572231,2.43924,87.49826,-16.4002,NA,NA,NA,NA,NA,NA,2.68222,-8.33814,-10.33648,NA,NA,NA,NA,NA,NA,-0.29271,69.29467,-2.61946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-03-24,14:06:22,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,90.74209,-1.560705,-1.818538,1907.26761,242.128851,02:00:00,5.84728,1.61128,6.53602,-23.60529,10.13205,16.77229,2.44755,1.34037,81.57629,-6.051905,1.230121,0.418049,-9.42697,6.20729,-1.49185,50,5.729,3.51276,-131.67091,-4.28347,-16.19553,33.53669,-21.50995,7bd57fac-29e2-458e-bb50-2e15e6c4fe4f,NA,NA,NA,NA,NA,10297158,"Jansen, Neil",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAN_SPA,1,Top,1,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,d725cfe0-08f3-11f0-ab4c-a149ceee6778,90.1628,NA,NA,9.16581,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:06:22,2025-03-24T21:06:22Z,2025-03-24T21:06:22Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.96174,-132.67613,16.76834,5.84772,-3.63873,-10.75497,-1.60442,3.9982,-8.09777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-24,14:06:37,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,91.0346,-1.907686,-2.625246,2009.028002,234.547063,01:45:00,5.78719,1.53367,6.55768,-20.94064,12.33824,15.67556,2.29056,0.43128,82.38474,-5.901219,0.222578,0.415198,-9.0867,7.42685,-1.35883,50,5.64656,5.44144,-132.10161,-5.00005,-15.84555,31.59769,-19.22296,90129f51-eb37-4d99-88a6-864859ead25f,NA,NA,NA,NA,-29.585489,10297158,"Jansen, Neil",2887.286985,NA,92.79818,Right,4.108063,NA,NA,NA,81.81441,76.1748,0.638095,-30.936551,2.41298,2.23793,-0.30347,NA,NA,NA,NA,NA,2,2,SAN_SPA,1,Top,1,0,1,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,e04a82a0-08f3-11f0-ab4c-a149ceee6778,90.78178,3.32336,NA,8.64986,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:06:37,2025-03-24T21:06:37Z,2025-03-24T21:06:37Z,GroundBall,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.94119,-133.04097,15.79885,5.78671,-4.42858,-9.61148,-1.5276,5.91251,-7.92277,63.490097,2.44633,117.34779,-17.63699,NA,NA,NA,NA,NA,NA,2.26735,9.12664,-19.93927,NA,NA,NA,NA,NA,NA,-0.29756,-67.15253,2.65788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,High,NA,NA,NA
5,2025-03-24,14:07:34,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Curveball,NA,NA,77.25274,2.699914,0.948412,2499.800927,26.998588,07:00:00,6.0165,1.652,5.98715,-61.94417,-14.81422,-8.35898,3.35903,1.83451,70.32525,-8.679263,-0.556887,0.494106,4.53807,-7.79784,-1.72252,50,6.19677,-1.54096,-112.13198,3.27437,5.7079,22.56864,-41.98204,c0b77ede-6665-49c7-998f-c3e4b61583e5,NA,NA,NA,NA,NA,1000137460,"Chamizo, Zach",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SAN_SPA,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,0200e1a0-08f4-11f0-ab4c-a149ceee6778,76.28416,NA,NA,6.9275,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:07:34,2025-03-24T21:07:34Z,2025-03-24T21:07:34Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,54.51472,-113.037,11.28432,6.03171,4.95788,-20.99102,-1.65613,-1.76986,2.85395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-24,14:07:53,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,ChangeUp,NA,NA,81.65003,-0.927993,-2.027125,1577.926898,239.120192,02:00:00,5.93502,1.7747,6.54502,-31.42262,9.55961,13.76288,2.46481,1.06178,74.69634,-6.838893,0.474829,0.460754,-7.7639,5.70548,-1.63958,50,5.85754,3.70396,-118.64279,-2.79118,-11.02635,23.4645,-24.07109,07b6b08a-6f22-4fd8-8cad-2a597592a909,NA,NA,NA,NA,NA,1000137460,"Chamizo, Zach",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SAN_SPA,1,Top,1,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,0dcd0db0-08f4-11f0-ab4c-a149ceee6778,81.80599,NA,NA,6.95369,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:07:53,2025-03-24T21:07:53Z,2025-03-24T21:07:53Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.95305,-119.42204,11.73225,5.93696,-1.99179,-12.03555,-1.76867,4.07014,-5.51318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-24,14:08:12,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,ChangeUp,NA,NA,82.43326,-0.086201,-0.874373,1653.827653,251.435724,02:30:00,5.81185,1.64198,6.42183,-34.82982,5.8691,13.27599,2.83011,1.94449,74.79235,-6.624043,1.534657,0.459159,-7.14784,3.54673,-1.58489,50,5.7904,1.32818,-119.73592,-1.20409,-10.24537,25.85252,-27.09036,097aeaa2-74ae-464f-90cb-785e6c3f8100,NA,NA,NA,NA,NA,1000137460,"Chamizo, Zach",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SAN_SPA,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,1933c130-08f4-11f0-ab4c-a149ceee6778,82.09018,NA,NA,7.64091,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:08:12,2025-03-24T21:08:12Z,2025-03-24T21:08:12Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,54.07501,-120.61255,12.92626,5.81566,-0.28548,-13.54518,-1.63582,1.67559,-5.12268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-24,14:08:31,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,91.19767,-1.839984,-3.458124,2149.702573,233.459145,01:45:00,5.82085,1.6915,6.72309,-20.66777,12.39028,15.10965,2.41318,-0.21385,82.32305,-5.800434,-0.707858,0.413819,-9.09878,7.48489,-1.46807,50,5.69092,7.40538,-132.24748,-4.82012,-15.86987,32.18667,-19.11908,a6cc11f5-51fa-44ec-bed1-bbd4aedf8097,NA,NA,NA,NA,-13.840652,1000137460,"Chamizo, Zach",4539.525405,NA,87.93573,Left,53.735996,99.38957,126.08516,-47.13481,228.84291,110.95667,5.792001,-31.682404,1.38844,2.97072,-0.57163,NA,NA,NA,NA,NA,3,4,SAN_SPA,1,Top,1,2,1,Sinker,InPlay,Undefined,Popup,Out,1,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,240e1330-08f4-11f0-ab4c-a149ceee6778,91.08443,131.72483,NA,8.87462,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:08:31,2025-03-24T21:08:31Z,2025-03-24T21:08:31Z,FlyBall,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.77513,-133.16311,16.09334,5.8203,-4.27623,-9.55954,-1.68515,7.85684,-7.93493,154.921102,1.39099,73.9738,-21.72038,5.61108,-0.63576,-0.13649,0.06306,-0.00873,4.2e-4,2.95455,104.26145,-26.47723,3.49347,-0.93272,0.20218,-0.02204,4.2e-4,6e-5,-0.56559,-18.38113,-4.14863,1.48709,0.01142,-0.16354,0.05136,-0.00665,3.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-03-24,14:09:26,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,90.77595,-1.811112,-2.105324,2030.189568,250.653944,02:15:00,5.83001,1.69733,6.74072,-26.31757,7.12733,16.75879,1.98044,1.16945,81.74646,-6.803455,0.953614,0.416233,-9.61536,4.7341,-1.56473,50,5.70082,4.20314,-131.75393,-4.93911,-16.54065,33.56913,-24.0303,47f7272c-4757-489e-9edf-58d6682ce030,NA,NA,NA,NA,NA,1000039263,"Lewis, Jeriah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,SAN_SPA,1,Top,2,0,0,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,44c8fb30-08f4-11f0-ab4c-a149ceee6778,90.55611,NA,NA,9.02949,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:09:26,2025-03-24T21:09:26Z,2025-03-24T21:09:26Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.75792,-132.70794,16.78457,5.83148,-4.25619,-12.01515,-1.69087,4.67322,-8.27033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
10,2025-03-24,14:10:23,"Dugan, Nick",1000110932,Right,STA_CAR,Undefined,Fastball,NA,NA,91.8579,-2.265684,-2.921943,2105.36357,230.745768,01:45:00,5.76389,1.55827,6.70289,-20.74942,11.59942,12.86434,1.95942,-0.04364,83.62311,-6.215343,-0.579255,0.409355,-7.69792,7.12961,-1.36879,50,5.6049,6.31268,-133.33224,-5.8663,-13.75676,30.61326,-19.43293,6da3f44f-4c8e-41ef-b5fc-56b5693d80a2,NA,NA,NA,NA,NA,1000138475,"Vanoncini, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,SAN_SPA,1,Top,2,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,STA_CAR,SAN_SPA,KleinField,D1,ACC,20250324-KleinField-1,66cd0500-08f4-11f0-ab4c-a149ceee6778,92.07754,NA,NA,8.23478,NA,NA,NA,a48f6174-7c4d-47e1-8d6f-44044aa37c76,2025-03-24,21:10:23,2025-03-24T21:10:23Z,2025-03-24T21:10:23Z,NA,v3,471454,471435,NA,"Saum, Charlie",691793,Right,STA_CAR,53.79667,-134.20113,15.30663,5.76357,-5.31473,-9.71646,-1.5535,6.70313,-6.87838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
